varga	eid	n_lemmas	glossed	candidates
AK-1.2	164	2	1	1.1:5;1.6.1.2:4;1.1.3:3;1.1.2:2;1.2.3.3:2;2.1.1.1:2
AK-1.3	165	5	1	4.2.6.2:9;1.6.4.1:5;2.1.4:5;2.1.5:5;3.3.1.1:5;8.4.5.1:5
AK-1.3	166	2	1	8:2;1.1.3.1:1;1.2.1:1;1.3.1.5:1;1.6.1.1.3:1;1.6.4.1:1
AK-1.3	167	2	1	6.8.3.1:3;3.3.3.2:2;6.3.1.1:2;8.4.1.5:2;1.1.1.3:1;1.1.3:1
AK-1.3	168	2	1	8:2;1.1.3.1:1;1.2.1:1;1.3.1.5:1;1.6.1.1.3:1;1.6.4.1:1
AK-1.3	169	3	1	4.8.3.7:2;1.3.1.3:1;6.4.1:1;6.4.5:1;8.5.2.8:1
AK-1.3	170	2	1	1.1.3.1:2;1.6.2:2;2.1.1:2;2.1.3.1:2;3.5.3.1:2;8.1.6.1:2
AK-1.3	171	1	1	1.1:3;2.3.1:1;2.3.1.1:1;3.2.1.1:1;3.2.2.3:1;3.2.5:1
AK-1.3	172	2	1	8.1.1.1:1
AK-1.3	173	2	1	1.1.3.1:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1;3.2.1.2:1;3.2.4:1
AK-1.3	174	2	1	1.6.2:2;2.1.2:2;2.6.4.2.1:2;4.7.7.3:2;4.8.3:2;5.1.1.2:2
AK-1.3	175	2	1	8.4.5.2:3;8.4.6.5.4:3;2.6.4.5:2;8.4.6.5.2:2;8.5.2.8:2;1.1.3:1
AK-1.3	176	2	1	1.1:3;4.3.1.1:3;4.9.2:3;1.1.3.2:2;1.1.3.3:2;1.1.3.6:2
AK-1.3	177	2	1	4.2.6.2:2;1.1.3.1:1;1.3.1.3:1;1.3.2.1:1;1.3.2.2:1;1.6:1
AK-1.3	178	2	1	2.6.5.1:1;3.2.2:1;4.5.1:1;4.6.1.1:1;4.8.3.1:1;4.9.7.2:1
AK-1.3	179	2	1	8.5.2.8:2;1.1.3.1:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1;3.2.1.2:1
AK-1.3	180	2	1	1:2;1.1:2;3.1:2;3.2:2;3.2.1.2:2;3.2.3.2:2
AK-1.3	181	2	1	1.1.3.6:4;1.1.3.1:3;4.9.1:3;4.9.2:3;8.4.2.3:3;1.6.2:2
AK-1.3	182	2	1	8.3.3.3:3;1.1:2;1.6.2:2;2.3.3:2;4.3.1.1:2;4.9.2:2
AK-1.3	183	2	1	4.9.7.2:2;2.6.5.1:1;3.2.2:1;4.2.3.4:1;4.3.2.1:1;4.3.2.3:1
AK-1.3	184	1	1	8.3.1:2;1.1.1:1;1.1.3:1;1.6.3.1:1;1.6.4:1;1.6.4.1:1
AK-1.3	185	1	1	2.1.1.1:2;2.1.4:2;1.1:1;1.1.1:1;1.1.3:1;1.3.6:1
AK-1.3	186	1	0	
AK-1.3	187	1	1	1.1.1:3;1.1.1.1:3;1.1.1.3:1;1.1.3:1;1.1.3.1:1;1.1.3.2:1
