lemma_slp1	varga	eid	match_type	union_dicts	n_dicts
maRqapa	AK-2.2	930	exact	AP BHS CAE CCS MD MW PWG PWK VCP	9
janASraya	AK-2.2	930	exact	MW PWG PWK VCP	4
harmya	AK-2.2	931	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
prAsAda	AK-2.2	932	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
sODa	AK-2.2	933	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
rAjasadana	AK-2.2	933	exact	MW PWG PWK	3
upakAryA	AK-2.2	934	exact	AP MW	2
upakArikA	AK-2.2	934	exact	AP CCS MW SCH SKD	5
svastika	AK-2.2	935	exact	AP BHS CAE CCS INM MW PWG PWK SCH VCP	10
sarvatoBadra	AK-2.2	936	exact	CAE CCS INM MW PWG PWK SCH VCP	8
nandyAvarta	AK-2.2	937	exact	BUR MW PWG PWK SCH	5
vicCandaka	AK-2.2	938	exact	MW PWG PWK VCP	4
stryagAra	AK-2.2	939	exact	MW PWK	2
antaHpura	AK-2.2	939	exact	BUR CAE CCS MW PWG PWK VCP	7
SudDAnta	AK-2.2	939	exact	CAE CCS MW PWG PWK VCP	6
avaroDana	AK-2.2	939	exact	CAE CCS GRA MW PWG PWK	6
avaroDa	AK-2.2	939	exact	CAE CCS MD MW PWG PWK SCH VCP	8
awwa	AK-2.2	940	exact	AP BHS BUR CAE MD MW PWG PWK SCH SKD VCP	11
kzOma	AK-2.2	940	exact	AP BUR CAE CCS MD MW PWG PWK VCP VEI	10
praGARa	AK-2.2	941	exact	BUR MW PWG PWK SCH VCP	6
praGaRa	AK-2.2	941	exact	BUR MD MW PWG PWK SCH VCP	7
alinda	AK-2.2	941	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
gfhAvagrahaRI	AK-2.2	942	exact	AP MW PWK SCH SKD VCP	6
dehalI	AK-2.2	942	exact	AP CAE CCS MD MW PWG PWK SCH SKD VCP	10
aNgaRa	AK-2.2	943	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
catvara	AK-2.2	943	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
ajira	AK-2.2	943	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
SilA	AK-2.2	944	exact	AP BHS CAE CCS MD MW PWG PWK SCH SKD	10
nAsA	AK-2.2	945	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	12
pracCanna	AK-2.2	946	exact	AP CAE CCS MW PWG PWK VCP	7
antardvAra	AK-2.2	946	exact	BUR MW PWG PWK VCP	5
pakzadvAra	AK-2.2	947	exact	CAE MW PWG PWK VCP	5
pakzaka	AK-2.2	947	exact	CAE CCS MD MW PWG PWK SCH VCP	8
valIka	AK-2.2	948	exact	BUR MW PWG PWK SCH VCP	6
nIDra	AK-2.2	948	exact	BUR CAE CCS MD MW PWG PWK VCP	8
pawalaprAnta	AK-2.2	948	exact	MW VCP	2
pawala	AK-2.2	949	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
Cadis	AK-2.2	949	exact	AP BUR CAE CCS GRA MW PWG PWK VCP VEI	10
gopAnasI	AK-2.2	950	exact	AP BHS BUR MW PWG PWK SKD VCP	8
valaBI	AK-2.2	950	exact	AP CAE CCS MD PWG PWK SKD VCP	8
kapotapAlikA	AK-2.2	951	exact	AP CAE MW PWG PWK SCH SKD VCP	8
viwaNka	AK-2.2	951	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
dvAr	AK-2.2	952	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
dvAra	AK-2.2	952	exact	CAE CCS MD MW PWG PWK SCH VCP	8
pratIhAra	AK-2.2	952	exact	AP BUR CAE CCS MW PWG PWK VCP	8
vitardi	AK-2.2	953	exact	CAE CCS MW PWG PWK VCP	6
vedikA	AK-2.2	953	exact	AP BHS CAE CCS MW PWG PWK SCH SKD VCP	10
toraRa	AK-2.2	954	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
bahirdvAra	AK-2.2	954	exact	CAE CCS MW PWG PWK	5
puradvAra	AK-2.2	955	exact	BUR CAE CCS MD MW PWG PWK VCP	8
gopura	AK-2.2	955	exact	BUR CAE CCS MW PWG PWK VCP	7
hastinaKa	AK-2.2	956	exact	MD MW PWG PWK VCP	5
kapAwa	AK-2.2	957	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
arara	AK-2.2	957	exact	BUR MW PWG PWK SCH VCP	6
argala	AK-2.2	958	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
ArohaRa	AK-2.2	959	exact	CAE CCS INM MW PWG PWK SCH VCP	8
sopAna	AK-2.2	959	exact	BUR CAE CCS MD MW PWG PWK VCP	8
niHSreRi	AK-2.2	960	exact	AP MW PWG PWK SCH VCP	6
aDirohiRI	AK-2.2	960	exact	AP MW PWG PWK SCH SKD	6
sammArjanI	AK-2.2	961	exact	VCP	1
SoDanI	AK-2.2	961	exact	AP MW SKD	3
saNkara	AK-2.2	962	exact	BUR VCP	2
avakara	AK-2.2	962	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
muKa	AK-2.2	963	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
niHsaraRa	AK-2.2	963	exact	BHS CAE CCS MW PWG PWK VCP	7
saMniveSa	AK-2.2	964	exact	CAE CCS MW PWG PWK	5
nikarzaRa	AK-2.2	964	exact	AP MW PWG PWK SCH VCP	6
saMvasaTa	AK-2.2	965	exact	MW PWG PWK SCH	4
grAma	AK-2.2	965	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	12
veSmaBU	AK-2.2	966	exact	MW PWG PWK VCP	4
vAstu	AK-2.2	966	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP	12
grAmAnta	AK-2.2	967	exact	MW PWG PWK VCP	4
upaSalya	AK-2.2	967	exact	BUR MD MW PWG PWK VCP	6
sImA	AK-2.2	968	exact	AP CAE CCS MD MW PWG PWK SKD VCP	9
sIman	AK-2.2	968	exact	AP BUR CAE CCS MD MW PWG PWK VCP VEI	10
Goza	AK-2.2	969	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
ABIrapallI	AK-2.2	969	exact	AP MW PWG PWK SKD VCP	6
pakkaRa	AK-2.2	970	exact	BUR MD MW PWG PWK VCP	6
SabarAlaya	AK-2.2	970	exact	MW	1
mahIDra	AK-2.3	971	exact	CAE CCS MW PWG PWK VCP	6
SiKarin	AK-2.3	971	exact	AP CAE CCS MD MW PWG PWK SCH VCP	9
kzmABft	AK-2.3	971	exact	AP CAE CCS MW PWG PWK SKD VCP	8
ahArya	AK-2.3	971	exact	AP BUR CAE CCS MW PWG PWK SCH	8
Dara	AK-2.3	971	exact	AP BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
parvata	AK-2.3	971	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	12
adri	AK-2.3	971	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	11
gotra	AK-2.3	971	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
giri	AK-2.3	971	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	12
grAvan	AK-2.3	971	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
acala	AK-2.3	971	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
SEla	AK-2.3	971	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
Siloccaya	AK-2.3	971	exact	BUR CAE CCS MD MW PWG PWK VCP	8
lokAloka	AK-2.3	972	exact	CAE CCS INM MW PWG PWK SCH VCP	8
cakravAla	AK-2.3	972	exact	CAE CCS MW PWK VCP	5
trikUwa	AK-2.3	973	exact	BUR CAE INM MD MW PWG PWK SCH VCP	9
trikakud	AK-2.3	973	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP VEI	11
asta	AK-2.3	974	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
caramakzmABft	AK-2.3	974	exact	AP MW PWG PWK SKD VCP	6
udaya	AK-2.3	975	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP	12
pUrvaparvata	AK-2.3	975	exact	MW PWG PWK VCP	4
himavat	AK-2.3	976	exact	AP GRA INM MW VCP	5
nizaDa	AK-2.3	977	exact	AP BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
vinDya	AK-2.3	978	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
mAlyavat	AK-2.3	979	exact	AP INM MW VCP	4
pariyAtraka	AK-2.3	980	miss		0
ganDamAdana	AK-2.3	981	exact	AP BHS CAE CCS INM MW PWG PWK VCP	9
hemakUwa	AK-2.3	982	exact	CAE CCS INM MW PWG PWK VCP	7
pAzARa	AK-2.3	983	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
prastara	AK-2.3	983	exact	BUR CAE CCS GRA MW PWG PWK SCH VCP VEI	10
grAvan	AK-2.3	983	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
upala	AK-2.3	983	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP	10
aSman	AK-2.3	983	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
SilA	AK-2.3	983	exact	AP BHS CAE CCS MD MW PWG PWK SCH SKD	10
dfzad	AK-2.3	983	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
kUwa	AK-2.3	984	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	13
SiKara	AK-2.3	984	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
SfNga	AK-2.3	984	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	12
prapAta	AK-2.3	985	exact	BHS BUR CAE CCS MW PWG PWK VCP	8
atawa	AK-2.3	985	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
Bfgu	AK-2.3	985	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
kawaka	AK-2.3	986	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
snu	AK-2.3	987	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
prasTa	AK-2.3	987	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
sAnu	AK-2.3	987	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
utsa	AK-2.3	988	exact	BUR CAE CCS GRA MD MW PWG PWK VCP	9
prasravaRa	AK-2.3	988	exact	CAE CCS GRA MW PWG PWK VCP VEI	8
vAripravAha	AK-2.3	989	exact	MW PWG PWK	3
nirJara	AK-2.3	989	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
Jara	AK-2.3	989	exact	BUR MW PWG PWK SCH VCP	6
darI	AK-2.3	990	exact	AP CCS MW VCP	4
kandara	AK-2.3	990	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
devaKAta	AK-2.3	991	exact	CAE MW PWG PWK SCH VCP	6
bila	AK-2.3	991	exact	CAE CCS GRA MD MW PWG PWK SCH SKD VCP	10
guhA	AK-2.3	991	exact	AP BHS BUR GRA MD MW PWG SKD	8
gahvara	AK-2.3	991	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
gaRqaSEla	AK-2.3	992	exact	MW PWG PWK SCH VCP	5
dantaka	AK-2.3	993	exact	AP CAE CCS MW PWG PWK VCP	7
Kani	AK-2.3	994	exact	BUR CAE CCS MW PWG PWK	6
Akara	AK-2.3	994	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP	11
pAda	AK-2.3	995	exact	CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	12
pratyantaparvata	AK-2.3	995	exact	MW PWK VCP	3
upatyakA	AK-2.3	996	exact	AP BUR CAE CCS MD MW PWK SCH SKD VCP	10
aDityakA	AK-2.3	997	exact	AP BUR MD MW PWG PWK SCH SKD VCP	9
DAtu	AK-2.3	998	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
gErika	AK-2.3	999	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
nikuYja	AK-2.3	1000	exact	BUR CAE MD MW PWG PWK SCH VCP	8
kuYja	AK-2.3	1000	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
awavI	AK-2.4	1001	exact	AP BHS CAE CCS INM MD MW PWG PWK SKD VCP	11
araRya	AK-2.4	1001	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
vipina	AK-2.4	1001	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
gahana	AK-2.4	1001	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP	12
kAnana	AK-2.4	1001	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
vana	AK-2.4	1001	exact	BHS BUR CAE GRA MD MW PWG PWK SCH SKD VCP VEI	12
mahAraRya	AK-2.4	1002	exact	CAE CCS MW PWG PWK	5
araRyAnI	AK-2.4	1002	exact	AP CAE GRA MW PWG SKD VCP	7
gfhArAma	AK-2.4	1003	exact	MW PWG PWK VCP	4
nizkuwa	AK-2.4	1003	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
ArAma	AK-2.4	1004	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
upavana	AK-2.4	1004	exact	BUR CAE CCS MD MW PWG PWK VCP	8
vfkzavAwikA	AK-2.4	1005	exact	AP CAE CCS MW PWG PWK SKD VCP	8
AkrIqa	AK-2.4	1006	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
udyAna	AK-2.4	1006	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
pramadavana	AK-2.4	1007	exact	CAE CCS MW PWG PWK	5
vITi	AK-2.4	1008	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
Ali	AK-2.4	1008	exact	AP BHS BUR CAE CCS MD MW PWG PWK VCP	10
Avali	AK-2.4	1008	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
paNkti	AK-2.4	1008	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
SreRI	AK-2.4	1008	exact	AP CAE MD MW PWK SKD VCP	7
leKA	AK-2.4	1009	exact	AP MD MW SCH SKD VCP	6
vanyA	AK-2.4	1010	exact	AP MW SCH SKD	4
aNkura	AK-2.4	1011	exact	BUR CAE CCS MD MW PWG PWK VCP	8
aBinavodBid	AK-2.4	1011	exact	AP MW VCP	3
vfkza	AK-2.4	1012	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
mahIruha	AK-2.4	1012	exact	CAE CCS MW PWG PWK VCP	6
SAKin	AK-2.4	1012	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
viwapin	AK-2.4	1012	exact	AP CAE CCS MD MW PWG PWK SCH VCP	9
pAdapa	AK-2.4	1012	exact	CAE CCS INM MW PWG PWK VCP	7
taru	AK-2.4	1012	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	14
anokaha	AK-2.4	1012	exact	AP BUR CAE CCS MW PWG PWK VCP	8
kuwa	AK-2.4	1012	exact	BUR GRA MW PWG PWK SCH SKD VCP	8
SAla	AK-2.4	1012	exact	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP	11
palASin	AK-2.4	1012	exact	AP CAE CCS MW PWG PWK SCH VCP	8
dru	AK-2.4	1012	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
druma	AK-2.4	1012	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	12
agama	AK-2.4	1012	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
vAnaspatya	AK-2.4	1013	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
vanaspati	AK-2.4	1014	exact	BHS CAE CCS GRA INM MD MW PWG PWK VCP VEI	11
ozaDi	AK-2.4	1015	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
avanDya	AK-2.4	1016	exact	AP CAE CCS MD MW PWG PWK SCH	8
Palegrahi	AK-2.4	1016	exact	CAE MD MW PWG PWK VCP	6
vanDya	AK-2.4	1017	exact	AP CAE CCS MD MW PWG PWK	7
aPala	AK-2.4	1017	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
avakeSin	AK-2.4	1017	exact	AP BUR MW PWG PWK SCH VCP	7
Palavat	AK-2.4	1018	exact	AP MW VCP	3
Palina	AK-2.4	1018	exact	AP CAE MW PWG PWK VCP	6
Palin	AK-2.4	1018	exact	AP CAE CCS GRA MW PWG PWK SCH VCP	9
praPulla	AK-2.4	1019	exact	AP BUR CAE CCS MW PWG PWK VCP	8
utPulla	AK-2.4	1019	exact	AP CAE CCS MD MW PWG PWK VCP	8
samPulla	AK-2.4	1019	exact	BUR MW VCP	3
vyAkoSa	AK-2.4	1019	exact	AP BUR CAE MW PWG PWK VCP	7
vikaca	AK-2.4	1019	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
sPuwa	AK-2.4	1019	exact	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP	11
Pulla	AK-2.4	1019	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH SKD VCP	12
vikasita	AK-2.4	1019	exact	AP MW VCP	3
sTARu	AK-2.4	1020	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
Druva	AK-2.4	1020	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	14
SaNku	AK-2.4	1020	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	11
kzupa	AK-2.4	1021	exact	BUR CAE CCS INM MD MW PWG PWK SKD VCP	10
stamba	AK-2.4	1022	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
gulma	AK-2.4	1022	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
vallI	AK-2.4	1023	exact	AP CAE MD MW PWG PWK SKD VCP	8
vratati	AK-2.4	1023	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
latA	AK-2.4	1023	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SKD VCP	12
pratAninI	AK-2.4	1024	miss		0
vIruD	AK-2.4	1024	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
gulminI	AK-2.4	1024	miss		0
ulapa	AK-2.4	1024	exact	BUR CAE CCS GRA MW PWG PWK VCP VEI	9
ucCrAya	AK-2.4	1025	exact	MW PWG PWK VCP	4
utseDa	AK-2.4	1025	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
ucCraya	AK-2.4	1025	exact	BHS CAE CCS MD MW PWG PWK VCP	8
prakARqa	AK-2.4	1026	exact	BUR CAE CCS MW PWG PWK SCH VCP	8
skanDa	AK-2.4	1026	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
SAKA	AK-2.4	1027	exact	AP CAE CCS GRA MD MW PWK SCH SKD VEI	10
latA	AK-2.4	1027	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SKD VCP	12
skanDaSAKA	AK-2.4	1028	exact	AP MW PWG PWK SKD VCP	6
SAlA	AK-2.4	1028	exact	AP CAE CCS MD MW PWG PWK SKD VCP VEI	10
SiPA	AK-2.4	1029	exact	AP BUR CAE CCS GRA MD MW SKD VCP VEI	10
jawA	AK-2.4	1029	exact	AP BUR CAE CCS MD MW SKD VCP	8
avaroha	AK-2.4	1030	exact	CAE CCS MW PWG PWK SCH VCP	7
Siras	AK-2.4	1031	exact	AP CAE CCS GRA MD MW PWG PWK VCP	9
agra	AK-2.4	1031	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	12
SiKara	AK-2.4	1031	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
mUla	AK-2.4	1032	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
buDna	AK-2.4	1032	exact	BUR CAE CCS GRA MD MW PWG PWK VCP	9
aNGrinAmaka	AK-2.4	1032	exact	MW PWG	2
sAra	AK-2.4	1033	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	13
majjan	AK-2.4	1033	exact	AP BUR CAE CCS GRA MD MW PWG PWK	9
nari	AK-2.4	1033	miss		0
tvac	AK-2.4	1034	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
valka	AK-2.4	1034	exact	BUR CAE CCS MD MW PWG PWK SKD VCP VEI	10
valkala	AK-2.4	1034	exact	BHS CAE CCS INM MW PWG PWK SCH VCP	9
kAzWa	AK-2.4	1035	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
dAru	AK-2.4	1035	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	14
inDana	AK-2.4	1036	exact	AP CAE CCS GRA MD MW PWG PWK SCH VCP	10
eDa	AK-2.4	1036	exact	BUR CAE CCS GRA MD MW PWG PWK SKD VCP	10
iDma	AK-2.4	1036	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
eDa	AK-2.4	1037	exact	BUR CAE CCS GRA MD MW PWG PWK SKD VCP	10
samit	AK-2.4	1037	exact	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	11
nizkuha	AK-2.4	1038	exact	BUR MW PWG PWK VCP	5
kowara	AK-2.4	1038	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
vallari	AK-2.4	1039	exact	BUR CAE CCS MD MW PWG PWK VCP	8
maYjari	AK-2.4	1039	exact	CAE CCS MD MW PWG PWK VCP	7
patra	AK-2.4	1040	exact	BUR GRA PWG PWK VCP	5
palASa	AK-2.4	1040	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	14
Cadana	AK-2.4	1040	exact	CAE CCS MW PWG PWK VCP	6
dala	AK-2.4	1040	exact	BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	11
parRa	AK-2.4	1040	exact	BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	11
Cada	AK-2.4	1040	exact	BUR CAE CCS INM MD MW PWG PWK SKD VCP	10
pallava	AK-2.4	1041	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
kisalaya	AK-2.4	1041	exact	CAE CCS MD MW PWG PWK VCP	7
vistAra	AK-2.4	1042	exact	CAE CCS INM MD MW PWG PWK SCH VCP	9
viwapa	AK-2.4	1042	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
Pala	AK-2.4	1043	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	13
sasya	AK-2.4	1043	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
vfnta	AK-2.4	1044	exact	BUR CAE CCS MD MW PWG PWK VCP	8
prasavabanDana	AK-2.4	1044	exact	MW PWG PWK VCP	4
SalAwu	AK-2.4	1045	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
vAna	AK-2.4	1046	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
kzAraka	AK-2.4	1047	exact	BHS MW PWG PWK VCP	5
jAlaka	AK-2.4	1047	exact	CAE CCS MD MW PWG PWK SCH VCP	8
kalikA	AK-2.4	1048	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH SKD VCP	12
koraka	AK-2.4	1048	exact	BUR CAE CCS MD MW PWG PWK VCP	8
gucCaka	AK-2.4	1049	exact	MW PWG PWK SCH	4
stabaka	AK-2.4	1049	exact	CAE CCS MD MW PWG PWK	6
kuwmala	AK-2.4	1050	exact	AP BUR MW PWG PWK VCP	6
mukula	AK-2.4	1050	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
sumanas	AK-2.4	1051	exact	AP BUR CAE CCS GRA INM MW PWG PWK VCP	10
puzpa	AK-2.4	1051	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	14
prasUna	AK-2.4	1051	exact	AP CAE CCS MW PWG PWK VCP	7
kusuma	AK-2.4	1051	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
suma	AK-2.4	1051	exact	BUR MD MW PWG PWK SCH VCP	7
makaranda	AK-2.4	1052	exact	CAE CCS MD MW PWG PWK SCH VCP	8
puzparasa	AK-2.4	1052	exact	MW PWG PWK SCH VCP	5
parAga	AK-2.4	1053	exact	BUR CAE CCS MD MW PWG PWK VCP	8
sumanoraja	AK-2.4	1053	miss		0
harItakI	AK-2.4	1054	exact	AP MW VCP	3
ASvatTa	AK-2.4	1055	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
vERava	AK-2.4	1056	exact	AP CAE CCS MD MW PWG PWK SCH VCP	9
plAkza	AK-2.4	1057	exact	BUR CAE CCS MD MW PWG PWK VCP	8
nEyagroDa	AK-2.4	1058	exact	BUR CAE CCS MD MW PWG PWK	7
ENguda	AK-2.4	1059	exact	AP MW PWG PWK VCP	5
bArhata	AK-2.4	1060	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
jambU	AK-2.4	1061	exact	AP CAE INM MW PWK SCH VCP	7
jambu	AK-2.4	1061	exact	AP BUR CAE CCS MD MW PWG PWK SKD VCP	10
jAmbava	AK-2.4	1061	exact	BUR MW PWG PWK VCP	5
pAwalA	AK-2.4	1062	exact	AP MW SKD	3
boDidruma	AK-2.4	1063	exact	BHS MW PWG PWK	4
caladala	AK-2.4	1063	exact	BUR MW PWG PWK SCH VCP	6
pippala	AK-2.4	1063	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
kuYjarASana	AK-2.4	1063	exact	MW PWG PWK VCP	4
aSvatTa	AK-2.4	1063	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	12
kapitTa	AK-2.4	1064	exact	BHS CAE CCS MD MW PWG PWK VCP	8
daDitTa	AK-2.4	1064	exact	CAE MD MW PWG PWK VCP	6
grAhin	AK-2.4	1064	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
manmaTa	AK-2.4	1064	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
daDiPala	AK-2.4	1064	exact	MW PWG PWK VCP	4
puzpaPala	AK-2.4	1064	exact	CAE CCS MW PWG PWK SCH VCP	7
dantaSaWa	AK-2.4	1064	exact	AP MW PWG PWK SCH VCP	6
udumbara	AK-2.4	1065	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	12
jantuPala	AK-2.4	1065	exact	MW PWG PWK VCP	4
yajYANga	AK-2.4	1065	exact	CAE INM MW PWG PWK VCP	6
hemadugDaka	AK-2.4	1065	exact	MW PWG PWK VCP	4
kovidAra	AK-2.4	1066	exact	BHS BUR MD MW PWG PWK VCP	7
camarika	AK-2.4	1066	exact	MW PWG PWK VCP	4
kuddAla	AK-2.4	1066	exact	BUR CAE CCS MD MW PWG PWK VCP	8
yugapatraka	AK-2.4	1066	miss		0
saptaparRa	AK-2.4	1067	exact	BHS CAE CCS MW PWG PWK VCP	7
viSAlatvac	AK-2.4	1067	exact	AP MW PWG PWK VCP	5
SArada	AK-2.4	1067	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
vizamacCada	AK-2.4	1067	exact	MW PWG PWK SCH VCP	5
AragvaDa	AK-2.4	1068	exact	MW PWK	2
rAjavfkza	AK-2.4	1068	exact	MW PWG PWK VCP	4
sampAka	AK-2.4	1068	exact	BUR MW VCP	3
caturaNgula	AK-2.4	1068	exact	BUR MW PWG PWK SCH	5
Arevata	AK-2.4	1068	exact	BUR PWG PWK VCP	4
