lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	8315	III	353	2	Suci	exact	Suci	PWG-key1	1	Suc|Suci	0	bound-prefix-or-stem|routes-disagree
modern-IE	8316	III	353	0	Suj	exact	Suj	PWG-key1	1			bound-prefix-or-stem
modern-IE	8317	III	353-354	0	SuRW	exact	SuRW	PWG-key1	1			bound-prefix-or-stem
modern-IE	8318	III	354	0	SuRWaH	sandhi/diacritic-normalized	SuRWa	rule	1	SuRWa	1	
modern-IE	8319	III	354	0	SuRqA	unmatched			0			
modern-IE	8320	III	354	0	SuRqA	unmatched			0			
modern-IE	8321	III	355	0	SuRqA	unmatched			0			
modern-IE	8322	III	355	0	SuRqikA	unmatched			0			
modern-IE	8323	III	355	0	SutudrI	exact	SutudrI	PWG-key1	1	SutudrI	1	
modern-IE	8324	III	355	0	SudDaH	sandhi/diacritic-normalized	SudDa	rule	1	SudDa	1	
modern-IE	8324	III	355	1	SuD	exact	SuD	PWG-key1	1			bound-prefix-or-stem
modern-IE	8325	III	355	0	SunakaH	sandhi/diacritic-normalized	Sunaka	rule	1	Sunaka	1	
modern-IE	8326	III	355	0	SunaMkuriH	unmatched			0			
modern-IE	8327	III	355-356	0	Sunam	sandhi/diacritic-normalized	Suna	rule	1	Suna	1	
modern-IE	8328	III	356	0	SunaHSepaH	sandhi/diacritic-normalized	SunaHSepa	rule	1	SunaHSepa	1	
modern-IE	8329	III	356	0	SunAsIrO	inflected-form->stem	SunAsIra	dcs	1	SunAsIra	same-route	
modern-IE	8330	III	356-357	0	SunDati	finite-form->root	SuD	dcs	1	SuD	same-route	
modern-IE	8331	III	357	0	SuptiH	sandhi/diacritic-normalized	Supti	rule	1			
modern-IE	8332	III	357-358	0	SuB	exact	SuB	PWG-key1	1			bound-prefix-or-stem
modern-IE	8333	III	358	0	SumbalAni	unmatched			0			
modern-IE	8334	III	358	0	SumB	exact	SumB	PWG-key1	1			bound-prefix-or-stem
modern-IE	8335	III	359	0	SuruDaH	inflected-form->stem	SuruD	dcs	1	SuruD	same-route	
modern-IE	8335	III	359	1	SuruD	exact	SuruD	PWG-key1	1			bound-prefix-or-stem
modern-IE	8336	III	359	0	Suluka	unmatched			0			bound-prefix-or-stem
modern-IE	8336	III	359	1	suluka	unmatched			0			bound-prefix-or-stem
modern-IE	8337	III	359-360	0	Sulkam	sandhi/diacritic-normalized	Sulka	rule	1	Sulka	1	
modern-IE	8338	III	360	0	Sulbam	sandhi/diacritic-normalized	Sulba	rule	1	Sulba	1	
modern-IE	8338	III	360	1	Sulvam	sandhi/diacritic-normalized	Sulva	rule	1	Sulva	1	
modern-IE	8339	III	360	0	SuSukA	unmatched			0			
modern-IE	8340	III	360	0	SuSulUkA	unmatched			0			
