slp1	hom	sense_id	first_era	bucket_via	marginal	n_cites	n_dateable	att_sense_no	att_block	att_earliest	att_latest	conflict	cause	verdict	adjudicated_era	notes
pAta	2	4			0	2	0	4	1	None	None	0	ok	agree		
pAta	2	5	early-medieval	dharmamitra+hand:class	0	4	2	5	1	600	1050	0	ok	agree	early-medieval	
pAta	2	6	early-medieval	dharmamitra	1	1	1	6	1	None	None	0	ok	agree	early-medieval	
pAta	2	7	early-medieval	dharmamitra	0	8	8	7	1	None	None	0	ok	agree	early-medieval	
pAta	2	8	early-medieval	dharmamitra	0	19	19	8	1	None	None	0	ok	agree	early-medieval	
pAta	2	9	late-medieval	hand:class	1	3	1	9	1	1830	1830	0	ok	agree	late-medieval	
pAvana		1	epic-sutra	dcs+dharmamitra	0	40	35	1	1	70	1150	0	ok	agree	epic-sutra	
pAvana		2a	epic-sutra	dcs	0	5	3	2	1	80	1830	0	ok	agree	epic-sutra	
pAvana		2b	late-medieval	hand:class	1	2	1	2	1	80	1830	0	ok	agree	late-medieval	
pAvana		2c	late-medieval	hand:class	1	2	1	2	1	80	1830	0	ok	agree	late-medieval	
pAvana		2d	early-medieval	hand:class	1	1	1	2	1	80	1830	0	ok	agree	early-medieval	
pAvana		2e	epic-sutra	dcs	1	1	1	2	1	80	1830	0	ok	agree	epic-sutra	
pAvana		2f	early-medieval	hand:class	1	2	1	2	1	80	1830	0	ok	agree	early-medieval	
pAvana		2g	early-medieval	dcs	1	1	1	2	1	80	1830	0	ok	agree	early-medieval	
pAvana		3a	early-medieval	hand:class	0	3	2	3	1	70	1830	0	ok	agree	early-medieval	
pAvana		3c	late-medieval	hand:class	1	2	1	3	1	70	1830	0	ok	agree	late-medieval	
pAvana		3d	epic-sutra	dcs+dharmamitra	0	3	2	3	1	70	1830	0	ok	agree	epic-sutra	
pAvana		4a	epic-sutra	dcs+dharmamitra	0	12	11	4	1	70	1830	0	ok	agree	epic-sutra	
pAvana		4b	epic-sutra	dcs+dharmamitra	0	3	3	4	1	70	1830	0	ok	agree	epic-sutra	
pAvana		4c	early-medieval	hand:class	1	3	1	4	1	70	1830	0	ok	agree	early-medieval	
pAvana		4d	early-medieval	hand:class	0	3	2	4	1	70	1830	0	ok	agree	early-medieval	
pAvana		4e	late-medieval	hand:class	1	2	1	4	1	70	1830	0	ok	agree	late-medieval	
pAvana		4g	late-medieval	hand:class	1	2	1	4	1	70	1830	0	ok	agree	late-medieval	
pAvana		4i			0	1	0	4	1	70	1830	0	ok	agree		
pAwala		2	epic-sutra	dcs+dharmamitra	0	42	23	2	1	-400	1200	0	ok	agree	epic-sutra	
pAwala		3	classical	dharmamitra	0	6	4	3	1	400	1200	0	ok	agree	classical	
pAwala		4	early-medieval	dharmamitra	1	1	1	4	1	1150	1150	0	ok	agree	early-medieval	
pAwala		5b	late-medieval	hand:class	1	2	1	5	1	400	1830	0	ok	agree	late-medieval	
