source_key	class	mintable	resolved_same_source	no_locus_same_source	top_shapes	expansion	example_miss	example_hit	example_hit_href
Lot	source	7	0	0	plain=7		<ls>Lot. de la b. l. 334.</ls>		
MATSYOP	source	7	0	0	plain=6;range_fgg=1	MATSYOPĀKHYĀNA, ed. BOPP (GILD. Bibl. 106).	<ls>MATSYOP. 47.</ls>		
TATTVAS	source	7	0	0	plain=7	A Lecture on the Sánkhya Philosophy, embracing the text of the Tattwa Samása. Mirzapore 18	<ls>TATTVAS. 46.</ls>		
Verz. d. Oxf. H	format	7	124	0	plain=7	? [Cologne Addition]	<ls>Verz. d. Oxf. H. No. 398.</ls>	<ls>Verz. d. Oxf. H. 82,b,23.</ls>	https://sanskrit-lexicon-scans.github.io/Oxf_Cat_Aufrecht/index.html?82
BURNOUF	source	6	0	7	plain=6	? [Cologne Addition]	<ls>BURNOUF, Intr. 589.</ls>		
BĀLAB	source	6	0	0	plain=6	BĀLABODHANĪ in WINDISCHMANN'S Sancara (GILD. Bibl. 275).	<ls>BĀLAB. 21.</ls>		
HIT	format	6	323	1	plain=6	HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl 	<ls>HIT. ed. JOHNS. 1614</ls>	<ls>HIT. 20,15.</ls>	https://sanskrit-lexicon-scans.github.io/hitopadesha/app2?20,15
MIT	source	6	0	1	plain=5;range_fgg=1	MITĀKṢARĀ, ed. Calc. 1829 (GILD. Bibl. 314).	<ls>MIT. 268,2. 8.</ls>		
SV	source	6	0	5	roman=5;multi_locus=1	SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt und mit Glossar versehen von 	<ls>SV. II,3,1,7,2. 4,2,1,10. 5,2,3,2</ls>		
VAITĀN	source	6	0	8	plain=5;multi_locus=1	? [Cologne Addition]	<ls>VAITĀN. 10,18</ls>		
VOP	format	6	404	20	plain=6	VOPADEVA'S Grammatik, nach BÖHTLINGK'S Ausgabe (GILD. Bibl. 249, {%a.%} S. 170).	<ls>VOP. S. 176.</ls>	<ls>VOP. 26,215.</ls>	https://sanskrit-lexicon-scans.github.io/mugdhabodha/app1?26,215
ed	format	6	6	253	ed_variant=4;plain=2		<ls>ed. Bomb. 3,19,10</ls>	<ls>ed. orn. 53,20</ls>	https://sanskrit-lexicon-scans.github.io/pantankoseorn/app1?53,20
ŚULBAS	source	6	0	0	plain=6		<ls>ŚULBAS. 3,72</ls>		
BRĀHMAṆ	source	5	0	0	plain=5	BRĀHMAṆAVILĀPA in BOPP'S Ardschuna's Reise zu Indra's Himmel u. s. w. Berlin 1824.	<ls>BRĀHMAṆ. 1,28.</ls>		
COLEBR	source	5	0	2	plain=3;roman=2	? [Cologne Addition]	<ls>COLEBR. Alg. 13.</ls>		
CĀṆ	source	5	0	0	plain=4;range_fgg=1	CĀṆAKYA in HAEB. Chrest. S. 312--322.	<ls>CĀṆ. 11.</ls>		
DEV	source	5	0	0	plain=5	DEVĪMĀHĀTMYA, ed. POLEY (GILD. Bibl. 130).	<ls>DEV. 1,19.</ls>		
KUSUM	source	5	0	0	plain=3;range_fgg=1;multi_locus=1	? [Cologne Addition]	<ls>KUSUM. 16,18. fg.</ls>		
KĀVYĀD	source	5	0	0	plain=5	? [Cologne Addition]	<ls>KĀVYĀD. 2,326.</ls>		
MBh	source	5	0	0	plain=5		<ls>MBh. 1,71,17.</ls>		
TARKAS	source	5	0	0	plain=5	? [Cologne Addition]	<ls>TARKAS. 41</ls>		
UPAG	source	5	0	0	plain=5	? [Cologne Addition]	<ls>UPAG. AV. 7.</ls>		
VYUTP	source	5	0	0	plain=5	VYUTPATTI oder MAHĀVYUTPATTI (s. Mél. asiat. II, 382), ein sanskrit-tibetisches Wörterbuch	<ls>VYUTP. 101.</ls>		
VĀSAV	source	5	0	0	plain=5	VĀSAVADATTĀ; s. Z. d. d. m. G. VIII, 530. fgg.	<ls>VĀSAV. 281,2</ls>		
YOGAŚ	source	5	0	0	plain=5	? [Cologne Addition]	<ls>YOGAŚ. 3,141.</ls>		
{{CARARA->CARAKA||20160103|Dhaval	source	5	0	0	plain=5		<ls>{{CARARA->CARAKA||20160103|Dhaval Patel, Jim Funderburk.|https://github.com/sanskrit-lexicon/CORRECTIONS/issues/216|It is not a typo. Print error.}}. 3,7</ls>		
ŚIKṢĀ	source	5	0	0	plain=5	? [Cologne Addition]	<ls>ŚIKṢĀ 35.</ls>		
BURN	source	4	0	7	plain=4	? [Cologne Addition]	<ls>BURN. Intr. 299.</ls>		
DHARMAŚARM	source	4	0	0	plain=4		<ls>DHARMAŚARM. 13,41</ls>		
GHAṬ	source	4	0	0	plain=4	GHAṬAKARPARA, ed. Calc. (GILD. Bibl. 162).	<ls>GHAṬ. 1.</ls>		
Harṣac	source	4	0	0	plain=4		<ls>Harṣac. 153,15; 167,9.</ls>		
LAGHUJ	source	4	0	0	plain=4	VARĀHAMIHIRA'S LAGHUJĀTAKA.	<ls>LAGHUJ. 13,2.</ls>		
MAHĀBH	source	4	0	1	plain=4	? [Cologne Addition]	<ls>MAHĀBH. 24.</ls>		
MUDRĀR	source	4	0	0	plain=3;multi_locus=1	MUDRĀRĀKṢASA, ed. Calc. (GILD. Bibl. 213).	<ls>MUDRĀR. 6,19. 31,3. 62,5.</ls>		
PAÑCAD	source	4	0	5	plain=3;multi_locus=1		<ls>PAÑCAD. 186,8. 237,12</ls>		
R	format	4	3815	3	plain=2;ed_variant=1;roman=1	RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL	<ls>R. ed. Ser. 1,8,19</ls>	<ls>R. 1,4,18.</ls>	https://sanskrit-lexicon-scans.github.io/ramayanaschl/?1,4,18
SAṂHITOPAN	source	4	0	0	plain=4		<ls>SAṂHITOPAN. 44,3</ls>		
UTTAMAC	source	4	0	0	plain=4		<ls>UTTAMAC. 107</ls>		
VASIṢṬHA	source	4	0	0	plain=4	? [Cologne Addition]	<ls>VASIṢṬHA 16,19</ls>		
Vajracch	source	4	0	0	plain=4		<ls>Vajracch. 28,14; 30,17.</ls>		
VṚDDHA-CĀṆ	source	4	0	0	plain=4	VṚDDHACĀṆAKYA ? [Cologne Addition]	<ls>VṚDDHA-CĀṆ. 13,12.</ls>		
{{MBH	source	4	0	0	plain=4		<ls>{{MBH. 13,61,40->MBH. 13,40,40||20250606|Andhrabharati|https://github.com/sanskrit-lexicon/PWK/issues/84#issuecomment-2948415067|}}</ls>		
<is>Kār	source	3	0	0	plain=3		<ls><is>Kār.</is> 2</ls>		
BHĀG	format	3	2153	15	plain=3	? [Cologne Addition]	<ls>BHĀG. 18,58.</ls>	<ls>BHĀG. P. 10,19,13.</ls>	https://sanskrit-lexicon-scans.github.io/bhagp_bom/app1/?10,19,13
BĀDAR	source	3	0	0	plain=3	? [Cologne Addition]	<ls>BĀDAR. 1,232</ls>		
CHANDOM	source	3	0	0	plain=3	CHANDOMAÑJARĪ, ein Werk über Metrik; nach Anführungen im ŚKDR.	<ls>CHANDOM. 53.</ls>		
