# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
pautimāṣī-                              	pOtimAzI
pūrṇābhilaṣa-                           	pUrRABilaza
pūrṇātmanā                              	pUrRAtmanA
pūrṇāvatara-                            	pUrRAvatara
paṅgv-                                  	paNgv
paṅkajakṣī-                             	paNkajakzI
paścimāmbuddhi-                         	paScimAmbudDi
paścimāpaścimārdha-                     	paScimApaScimArDa
pathikāśrāma-                           	paTikASrAma
pathikāśrāya-                           	paTikASrAya
pathikāvāsa-                            	paTikAvAsa
pañcāśabheda-                           	paYcASaBeda
pañcātāpas-                             	paYcAtApas
pañcāvatī-                              	paYcAvatI
padāhāta-                               	padAhAta
padāntikam                              	padAntikam
padārthādhyavasāyadharmatas             	padArTADyavasAyaDarmatas
padāty-                                 	padAty
padopahāta-                             	padopahAta
pak-                                    	pak
pakṣānugraha-                           	pakzAnugraha
parāśvāsya                              	parASvAsya
parādvayaprathā-                        	parAdvayapraTA
parāhaṃbhāva-                           	parAhaMBAva
parāhaṃtā-                              	parAhaMtA
parājeya-                               	parAjeya
parāmarśopapatti-                       	parAmarSopapatti
parārthānumāna-                         	parArTAnumAna
parāsiṣiṣu-                             	parAsizizu
parāsrita-                              	parAsrita
parātmabhāva-                           	parAtmaBAva
parīkṣyamāṇa-                           	parIkzyamARa
parṇā-                                  	parRA
para cakra-                             	para cakra
paramārthaikagocara-                    	paramArTEkagocara
parasparāṃśa-                           	parasparAMSa
parasparākūtahetuka-                    	parasparAkUtahetuka
parasparānvayayogya-                    	parasparAnvayayogya
parecchayā-                             	parecCayA
parerita-                               	parerita
paribhāvāspada-                         	pariBAvAspada
paribhakṣana-                           	pariBakzana
paridhīyamāna-                          	pariDIyamAna
paridhūta-                              	pariDUta
paridhvaṃsā-                            	pariDvaMsA
pariṇāmānyatva-                         	pariRAmAnyatva
pariṇāmāparāntanirgrāghya-              	pariRAmAparAntanirgrAGya
pariṇāmī-                               	pariRAmI
pariṇāmīn-                              	pariRAmIn
paricchinnāvadhāraṇa-                   	paricCinnAvaDAraRa
paridīṇa-                               	paridIRa
paridṛśyamāna-                          	paridfSyamAna
parihāsaka-                             	parihAsaka
parihīna-                               	parihIna
parikīrtaṇa-                            	parikIrtaRa
parimuhyamāna-                          	parimuhyamAna
parinirvṛtti-                           	parinirvftti
paripūrṇāṅga-                           	paripUrRANga
paripoṣanīya-                           	paripozanIya
parirabhya                              	pariraBya
paryeṣaṇī-                              	paryezaRI
paryuṣana-                              	paryuzana
pascāc                                  	pascAc
pascād                                  	pascAd
pascāl                                  	pascAl
pascān                                  	pascAn
pataṅgaka-                              	pataNgaka
paúruṣeya-                              	pauruzeya
paútra-                                 	pautra
paṭāśrita-                              	pawASrita
pedus                                   	pedus
petus                                   	petus
peṭṭala-                                	pewwala
piṅgalakā-                              	piNgalakA
piśácaka-                               	piSacaka
picaṇda-                                	picaRda
pipathiṣā-                              	pipaTizA
pittātisara-                            	pittAtisara
potādhyakṣa-                            	potADyakza
prāṇābāḍha-                             	prARAbAQa
prāṇādi-                                	prARAdi
prāṇāgni-                               	prARAgni
prāṇāpaná-                              	prARApana
prāṇārāma-                              	prARArAma
prāṇinā-                                	prARinA
prāṇopāhāra-                            	prARopAhAra
prāgraya-                               	prAgraya
prāpty-                                 	prApty
prāstāvikā-                             	prAstAvikA
prātimāsika-                            	prAtimAsika
praiṣyī-                                	prEzyI
prīty-                                  	prIty
pradhānāmatya-                          	praDAnAmatya
praśāntārati-                           	praSAntArati
praśtavya-                              	praStavya
praśtṛ-                                 	praStf
prathamāpakāra-                         	praTamApakAra
pradīpakā-                              	pradIpakA
pragalbhokti-                           	pragalBokti
prajñāloka-                             	prajYAloka
prakāśāvaraṇa-                          	prakASAvaraRa
prakṛtyāpūra-                           	prakftyApUra
prakṛṣita-                              	prakfzita
pramathādhīpa-                          	pramaTADIpa
prapā pālikā-                           	prapA pAlikA
prapañcopaśama-                         	prapaYcopaSama
prasaṅgi-                               	prasaNgi
prasaktākhilakarma-                     	prasaktAKilakarma
prasannānana-                           	prasannAnana
prasrávana-                             	prasravana
pratibhāna vat-                         	pratiBAna vat
pratibiṃbī-                             	pratibiMbI
pratihātāśa-                            	pratihAtASa
pratimānā-                              	pratimAnA
pratinināda-                            	pratininAda
pratinirdiśyamāna-                      	pratinirdiSyamAna
pratipac-                               	pratipac
pratisaṃvedi-                           	pratisaMvedi
prativandya                             	prativandya
prativeśinī-                            	prativeSinI
pratyāropa-                             	pratyAropa
pratyabhijña-                           	pratyaBijYa
pratyastāśeṣamāyāviśeṣa-                	pratyastASezamAyAviSeza
pratyayāntara-                          	pratyayAntara
pratyayānupaśya-                        	pratyayAnupaSya
pratyayāviśeṣa-                         	pratyayAviSeza
pravṛttyāloka-                          	pravfttyAloka
pravṛṣta-                               	pravfzta
pravilāpaya                             	pravilApaya
praviviktāhāratara-                     	praviviktAhAratara
prayatnaśaithilyānantasamāpatti-        	prayatnaSETilyAnantasamApatti
prayogādhikṛta-                         	prayogADikfta
preṅkhana-                              	preNKana
premākāra-                              	premAkAra
pretāsauca-                             	pretAsOca
prithvīśa-                              	priTvISa
proccarita-                             	proccarita
prolbana-                               	prolbana
prollasita-                             	prollasita
pronmeṣa-                               	pronmeza
puṇyābhāsa-                             	puRyABAsa
puṇyāpuṇyahetutva-                      	puRyApuRyahetutva
pujopakaraṇa-                           	pujopakaraRa
pulakāṅkita-                            	pulakANkita
pulakoddhūta-                           	pulakodDUta
pulkasī-                                	pulkasI
punaḥ pāka-                             	punaH pAka
punaḥ pratyupakāra-                     	punaH pratyupakAra
puruṣāgni-                              	puruzAgni
puruṣāyamāṇā-                           	puruzAyamARA
pury                                    	pury
pustā-                                  	pustA
putrapaśu-                              	putrapaSu
puṭāntar                                	puwAntar
puṣpākāra-                              	puzpAkAra
puṣtāṅga-                               	puztANga
puṣyā -                                 	puzyA 
ḍām                                     	qAm
rā́śnā-                                 	rASnA
rāgādiprāpta-                           	rAgAdiprApta
rājāṅgana-                              	rAjANgana
rājyāśrama                              	rAjyASrama
rūḍhārtha-                              	rUQArTa
rūmā-                                   	rUmA
raṅgāvarāraka-                          	raNgAvarAraka
raṅgāvarātin-                           	raNgAvarAtin
ragātmaka-                              	ragAtmaka
raíbhya-                                	raiBya
rajoṃśa-                                	rajoMSa
raktāṃsuka-                             	raktAMsuka
ratnākāra-                              	ratnAkAra
ráudra-                                 	raudra
raṭaratāya-                             	rawaratAya
rirakṣisu-                              	rirakzisu
rodhinī-                                	roDinI
rodhraka-                               	roDraka
rociṣ-                                  	rociz
ruṣti-                                  	ruzti
sābhitapa-                              	sABitapa
sādhanādhyākṣa-                         	sADanADyAkza
sādhiṣṭhana-                            	sADizWana
sāṃnidhyābhāva-                         	sAMniDyABAva
sāṃrājya-                               	sAMrAjya
sāṅgāṅgopāṅgopaniṣad-                   	sANgANgopANgopanizad
sāṅgāṅgopaṅga-                          	sANgANgopaNga
sādbhūta-                               	sAdBUta
sādy-                                   	sAdy
sāṛiṣṭha-                               	sAfizWa
sākāṅkṣa tva-                           	sAkANkza tva
sāmopaya-                               	sAmopaya
sāntarala-                              	sAntarala
sānutapa-                               	sAnutapa
sārundhātīka-                           	sArunDAtIka
sārṣtya-                                	sArztya
sītānaka-                               	sItAnaka
saudhāṅgana-                            	sODANgana
sauḥ                                    	sOH
sphaṭiṭa-                               	sPawiwa
sphotiṭārgala-                          	sPotiwArgala
sphuliṅgiṇī-                            	sPuliNgiRI
sthūlātmanā                             	sTUlAtmanA
sthalāruḍha-                            	sTalAruQa
sūkṣmatayā                              	sUkzmatayA
sūpa kāra-                              	sUpa kAra
sūpa kṛt-                               	sUpa kft
sūryāvalokana-                          	sUryAvalokana
sákhāy-                                 	saKAy
sakhadga-                               	saKadga
saṃbhāṇḍaya-                            	saMBARqaya
saṃbhāṣanīya-                           	saMBAzanIya
saṃbhāṣana-                             	saMBAzana
saṃbhāṣiṣyamāṇa-                        	saMBAzizyamARa
saṃbhajanīya-                           	saMBajanIya
saṃbhṛtārtha-                           	saMBftArTa
saṃdhyāmsa-                             	saMDyAmsa
saṃdhyāntarita-                         	saMDyAntarita
saṃślokaya-                             	saMSlokaya
saṃbodhayitṛ-                           	saMboDayitf
saṃbodhita-                             	saMboDita
saṃgamotsuka-                           	saMgamotsuka
saṃhitādhyayin-                         	saMhitADyayin
saṃjñādibhedakalanākalita-              	saMjYAdiBedakalanAkalita
saṃjñāsaṃjña-                           	saMjYAsaMjYa
saṃjñāsaṃjñitva-                        	saMjYAsaMjYitva
saṃjñi-                                 	saMjYi
saṃjatara-                              	saMjatara
saṃjihīrṣā-                             	saMjihIrzA
saṃkalpaikāyana-                        	saMkalpEkAyana
saṃketodyana-                           	saMketodyana
saṃmānīya-                              	saMmAnIya
saṃmārjita-                             	saMmArjita
saṃmathita-                             	saMmaTita
saṃmantrānīya-                          	saMmantrAnIya
saṃmilita-                              	saMmilita
saṃmohita-                              	saMmohita
saṃmudgāra-                             	saMmudgAra
saṃniśamya                              	saMniSamya
saṃpīḍya                                	saMpIqya
saṃpūjanīya-                            	saMpUjanIya
saṃpūjayitavya-                         	saMpUjayitavya
saṃparityakta-                          	saMparityakta
saṃpariṣvakta-                          	saMparizvakta
saṃpatita-                              	saMpatita
saṃpipādayiṣā-                          	saMpipAdayizA
saṃprārthita-                           	saMprArTita
saṃprīṇita-                             	saMprIRita
saṃpradhārita-                          	saMpraDArita
saṃpraṇādita-                           	saMpraRAdita
saṃpradarśita-                          	saMpradarSita
saṃpradatta-                            	saMpradatta
saṃpradiṣṭa-                            	saMpradizwa
saṃpradruta-                            	saMpradruta
saṃpraharṣita-                          	saMpraharzita
saṃprajñāta-                            	saMprajYAta
saṃprakāśita-                           	saMprakASita
saṃprakalpita-                          	saMprakalpita
saṃpralīna-                             	saMpralIna
saṃpramūḍha-                            	saMpramUQa
saṃpramathya                            	saMpramaTya
saṃpramugdha-                           	saMpramugDa
saṃprasthita-                           	saMprasTita
saṃprasūta-                             	saMprasUta
saṃprasahya                             	saMprasahya
saṃprasakta-                            	saMprasakta
saṃpratāpta-                            	saMpratApta
saṃpratārya-                            	saMpratArya
saṃpratipādita-                         	saMpratipAdita
saṃpratiṣṭhāpya                         	saMpratizWApya
saṃpravṛddha-                           	saMpravfdDa
saṃpraviṣṭa-                            	saMpravizwa
saṃprayāta-                             	saMprayAta
saṃprayuddha-                           	saMprayudDa
saṃprekṣita-                            	saMprekzita
saṃpreṣita-                             	saMprezita
saṃpriyā-                               	saMpriyA
saṃprokṣita-                            	saMprokzita
saṃsārādhvan-                           	saMsArADvan
saṃsargi-                               	saMsargi
saṃskāraśeṣa-                           	saMskAraSeza
saṃtatāśrunipatana-                     	saMtatASrunipatana
saṃvánanā-                              	saMvananA
saṃvargana-                             	saMvargana
saṃyuga mūrdhan-                        	saMyuga mUrDan
saśiraḥ-                                	saSiraH
sacakṣusa-                              	sacakzusa
sacandana-                              	sacandana
sadodita-                               	sadodita
sahādhyāyana-                           	sahADyAyana
sahāsrādhipati-                         	sahAsrADipati
sahāsrāṃśu-                             	sahAsrAMSu
sahāsrāha-                              	sahAsrAha
sahāsrākṣá-                             	sahAsrAkza
sahāsrānana-                            	sahAsrAnana
sahāsrārcis-                            	sahAsrArcis
sahāsrāyudha-                           	sahAsrAyuDa
sahajāloka-                             	sahajAloka
sahodarā-                               	sahodarA
saítava-                                	saitava
sajīṣṇu-                                	sajIzRu
sajū́ṣ-                                 	sajUz
sakalārthin-                            	sakalArTin
salilāvagaha-                           	salilAvagaha
salilodbhāva-                           	salilodBAva
samāśvāsta-                             	samASvAsta
samādātta-                              	samAdAtta
samārādhanīya-                          	samArADanIya
samārambhana-                           	samAramBana
samāvartita-                            	samAvartita
samabhibhāṣana-                         	samaBiBAzana
samabhichanna-                          	samaBiCanna
samabhikṛtya                            	samaBikftya
samudrāyāna-                            	samudrAyAna
samujjihita-                            	samujjihita
samutpatiṣu-                            	samutpatizu
samvācya-                               	samvAcya
saniḥṣvāsam                             	saniHzvAsam
sanigādacaraṇa-                         	sanigAdacaraRa
saniṣvāsam-                             	sanizvAsam
sannatāṅga-                             	sannatANga
sapīdhāna-                              	sapIDAna
sapūya-                                 	sapUya
saparibṛṃhana-                          	saparibfMhana
sapatnātivyādhin-                       	sapatnAtivyADin
sapraṇamam                              	sapraRamam
saraṇḍā-                                	saraRqA
sarvānanaśirogrīva-                     	sarvAnanaSirogrIva
sarvānartha-                            	sarvAnarTa
sarvāntaratman-                         	sarvAntaratman
sarvānugata-                            	sarvAnugata
sarvātīta-                              	sarvAtIta
sarvāvāśin-                             	sarvAvASin
sarvendriya-                            	sarvendriya
sarvopādhivinirmukta-                   	sarvopADivinirmukta
sarṣṭikā-                               	sarzwikA
sasādhāna-                              	sasADAna
satatodita-                             	satatodita
sattrāyana-                             	sattrAyana
sattvāyudha-                            	sattvAyuDa
sattvokarṣa-                            	sattvokarza
satvaka-                                	satvaka
satyālapin-                             	satyAlapin
saúbhāgya-                              	sauBAgya
saúbhaga-                               	sauBaga
saúbhara-                               	sauBara
saúhārdya-                              	sauhArdya
sáurabheya-                             	sauraBeya
saúrya-                                 	saurya
savāsana-                               	savAsana
savarṇī-                                	savarRI
savarcasa-                              	savarcasa
savilāpam                               	savilApam
sehus                                   	sehus
seje                                    	seje
sevyāsevya-                             	sevyAsevya
sṛgāliṇī-                               	sfgAliRI
siṃhiṇī-                                	siMhiRI
siddhī-                                 	sidDI
sikatā setu-                            	sikatA setu
sikatā tva-                             	sikatA tva
sikatā vat-                             	sikatA vat
sitāpatra-                              	sitApatra
sitāpavāraṇa-                           	sitApavAraRa
siṣnāsu-                                	siznAsu
skandhe                                 	skanDe
smaronmada-                             	smaronmada
snehārdra-                              	snehArdra
somodbhāvā-                             	somodBAvA
sopalakṣaṇam                            	sopalakzaRam
sopaskara-                              	sopaskara
sotkṛṣṭa-                               	sotkfzwa
sparśiṭṛ-                               	sparSiwf
stabdhodha-                             	stabDoDa
stanāṅga-                               	stanANga
stanonnāha-                             	stanonnAha
stimitākṣa-                             	stimitAkza
straíṇa-                                	straiRa
subhājita-                              	suBAjita
sudhārya-                               	suDArya
sukhādyanubhava-                        	suKAdyanuBava
sukhānubhāva-                           	suKAnuBAva
sukhopaya-                              	suKopaya
sucī-                                   	sucI
sudrāghiṣṭha-                           	sudrAGizWa
sudurdama-                              	sudurdama
sudustyāja-                             	sudustyAja
sugrīvā-                                	sugrIvA
sukaṇḍa-                                	sukaRqa
sukaṇḍaka-                              	sukaRqaka
sukatha-                                	sukaTa
sukṣmātisūkṣma-                         	sukzmAtisUkzma
sulabhāvabodha-                         	sulaBAvaboDa
sulakṣya-                               	sulakzya
sumanobhirama-                          	sumanoBirama
sunāsā-                                 	sunAsA
sunikhīlam                              	suniKIlam
supraśaṃśita-                           	supraSaMSita
suprakīrṇendrīya-                       	suprakIrRendrIya
supratiṣṭhita yaśas-                    	supratizWita yaSas
supurātana-                             	supurAtana
surāgara-                               	surAgara
susaṃlagna-                             	susaMlagna
susaṅgatā-                              	susaNgatA
sutuṣṭi-                                	sutuzwi
suvibhaktānavādyāṅgī-                   	suviBaktAnavAdyANgI
suviṣanna-                              	suvizanna
suṣṭhūkta-                              	suzWUkta
svādhyāsāpanaya-                        	svADyAsApanaya
svādhyāyeśvarapraṇidhāna-               	svADyAyeSvarapraRiDAna
svājñāna-                               	svAjYAna
svaíra-                                 	svaira
svanubhava-                             	svanuBava
svargārohana                            	svargArohana
tā́ṇdya-                                	tARdya
tāpiñca-                                	tApiYca
tā́ras-                                 	tAras
tātparyānupapatti-                      	tAtparyAnupapatti
tāvakina-                               	tAvakina
tīkṣṇāṃsu-                              	tIkzRAMsu
tīyaka-                                 	tIyaka
tūryogha-                               	tUryoGa
taṅgara-                                	taNgara
tantrākhyāyika-                         	tantrAKyAyika
tantrāvapa-                             	tantrAvapa
taḍāgākṛti-                             	taqAgAkfti
taḍāgī-                                 	taqAgI
tattvābhyāsa-                           	tattvAByAsa
taṭāghata-                              	tawAGata
taṭinī -                                	tawinI 
tepe                                    	tepe
tṛṣṇākṣayasukha-                        	tfzRAkzayasuKa
tiṇḍūka-                                	tiRqUka
titirṣā-                                	titirzA
titirṣu-                                	titirzu
tosalaka-                               	tosalaka
traiśrotasa-                            	trESrotasa
trápuṣ-                                 	trapuz
trayaḥ saptati-                         	trayaH saptati
tulā yaṣṭi-                             	tulA yazwi
tulanā -                                	tulanA 
tuṣarādri-                              	tuzarAdri
uśṇāṃśu-                                	uSRAMSu
ucchalanā-                              	ucCalanA
uccaís                                  	uccais
uddhṛtapādya-                           	udDftapAdya
udgrāhaṇa-                              	udgrAhaRa
udumbarī-                               	udumbarI
udvejayin-                              	udvejayin
udvejayita-                             	udvejayita
uhāpoha-                                	uhApoha
ujjāyikumbhaka-                         	ujjAyikumBaka
unmanā                                  	unmanA
upāghrāya                               	upAGrAya
upāmantraya                             	upAmantraya
upanimantrana-                          	upanimantrana
upanimantrita-                          	upanimantrita
upapatni-                               	upapatni
upasaṃgamya                             	upasaMgamya
upasaṃsakta-                            	upasaMsakta
upasanyāsa-                             	upasanyAsa
upopaviśya                              	upopaviSya
upopaviṣṭa-                             	upopavizwa
urūdbhava-                              	urUdBava
úran-                                   	uran
urveśa-                                 	urveSa
urveśvara-                              	urveSvara
utkarṣāpakarṣa-                         	utkarzApakarza
uttamāmbha-                             	uttamAmBa
uttarā́ya-                              	uttarAya
uttarāyana-                             	uttarAyana
uṣṭrāsana-                              	uzwrAsana
vācakādhvan-                            	vAcakADvan
vācyādhvan-                             	vAcyADvan
vāgarā-                                 	vAgarA
vāgmi-                                  	vAgmi
vākyāparisamāpti-                       	vAkyAparisamApti
vākyaikadeśa-                           	vAkyEkadeSa
vāmābhidhāna-                           	vAmABiDAna
vāmārdhajāni-                           	vAmArDajAni
vāraṇālambakarṇa-                       	vAraRAlambakarRa
vāsayitum                               	vAsayitum
vātātapāmbvāvaraṇa-                     	vAtAtapAmbvAvaraRa
vātoddhata-                             	vAtodData
vaidhvya-                               	vEDvya
vaiśvātmya-                             	vESvAtmya
vaṅkaṭa-                                	vaNkawa
vaṅkrī-                                 	vaNkrI
vaṇtita-                                	vaRtita
vaśānugā-                               	vaSAnugA
vacanāvasarapūrva-                      	vacanAvasarapUrva
vaíśya-                                 	vaiSya
váira-                                  	vaira
vaíṣuvata-                              	vaizuvata
vakrottara-                             	vakrottara
varākaṅkṣin-                            	varAkaNkzin
varṇādhvan-                             	varRADvan
varṇaikadeśa-                           	varREkadeSa
varaṇāsī-                               	varaRAsI
varccikā-                               	varccikA
vargī-                                  	vargI
varuṇāṇī́-                              	varuRARI
varuṇī-                                 	varuRI
varṣotpala-                             	varzotpala
vasantāvatāra-                          	vasantAvatAra
vastūpama-                              	vastUpama
vayasyika-                              	vayasyika
veṅkatācala-                            	veNkatAcala
veṅkateśa-                              	veNkateSa
veṅkateśvara-                           	veNkateSvara
vedāmbhas-                              	vedAmBas
vedānila-                               	vedAnila
vedāpati-                               	vedApati
vetalotthāpana-                         	vetalotTApana
vṛkṣāropana-                            	vfkzAropana
vṛtrari-                                	vftrari
vṛṣāsana-                               	vfzAsana
vibhī́ṣana-                             	viBIzana
vibhakty-                               	viBakty
vidharbādhipa-                          	viDarbADipa
vidharbādhipati-                        	viDarbADipati
vighnesāna-                             	viGnesAna
vighnitechha-                           	viGniteCha
vighurṇanā-                             	viGurRanA
vighurṇana-                             	viGurRana
viśalākṣī-                              	viSalAkzI
viśalākṣas-                             	viSalAkzas
viśarīra-                               	viSarIra
viśeṣāviśeṣaliṅgamātrāliṅga-            	viSezAviSezaliNgamAtrAliNga
viśopalipta-                            	viSopalipta
viśrāvana-                              	viSrAvana
viśrambhārha-                           	viSramBArha
viśvaiśvarya-                           	viSvESvarya
viṭhṭhala-                              	viWWala
viṭhoba-                                	viWoba
vibudharṣaya-                           	vibuDarzaya
vicakravākā-                            	vicakravAkA
vicukrośa-                              	vicukroSa
vidāritāsya-                            	vidAritAsya
vidadhe                                 	vidaDe
vidagdhālapa-                           	vidagDAlapa
vididveśa-                              	vididveSa
vidviṣṭa tā-                            	vidvizwa tA
vidyāvidyā-                             	vidyAvidyA
vigamana-                               	vigamana
vigarhamāṇa-                            	vigarhamARa
vigarhitātman-                          	vigarhitAtman
vigatecchābhayakrodha-                  	vigatecCABayakroDa
vigrahya-                               	vigrahya
vihaṃgamākṣa-                           	vihaMgamAkza
vihageśvara-                            	vihageSvara
vihvalāṭman-                            	vihvalAwman
vijīrṇa-                                	vijIrRa
vijñānākhyamahāsi-                      	vijYAnAKyamahAsi
vijñātātmasvarūpa-                      	vijYAtAtmasvarUpa
vijahau                                 	vijahO
vijigye                                 	vijigye
vijughūrṇa-                             	vijuGUrRa
vikārātman-                             	vikArAtman
vikāri-                                 	vikAri
vikalpanā-                              	vikalpanA
vikampinī-                              	vikampinI
vikarma-                                	vikarma
vikasal-                                	vikasal
vikatthanā-                             	vikatTanA
vikopa-                                 	vikopa
vikrayana-                              	vikrayana
vikṣīṇatká-                             	vikzIRatka
vilāsālasa-                             	vilAsAlasa
vilāsi-                                 	vilAsi
vilīnātman-                             	vilInAtman
vilalāpa                                	vilalApa
vimūḍhāntaḥkaraṇa-                      	vimUQAntaHkaraRa
vimamarśa-                              	vimamarSa
vinītocita-                             	vinItocita
vinaśyattā-                             	vinaSyattA
vinatonnata-                            	vinatonnata
vinibhālya                              	viniBAlya
vinigūhamāna-                           	vinigUhamAna
vinikīrya                               	vinikIrya
vininye                                 	vininye
vinirmeya-                              	vinirmeya
vinirvarṇya                             	vinirvarRya
vinitānucara-                           	vinitAnucara
vinitātman-                             	vinitAtman
vinivartya                              	vinivartya
viniveśya                               	viniveSya
viniveśya                               	viniveSya
vinodopapādin-                          	vinodopapAdin
vipoṭhita-                              	vipoWita
viprārṣabha-                            	viprArzaBa
viprārṣi-                               	viprArzi
vipraṇaṣṭa-                             	vipraRazwa
viprakīrṇaikadeśa-                      	viprakIrREkadeSa
vipulajas-                              	vipulajas
vipulekṣana-                            	vipulekzana
vipusphūra                              	vipusPUra
visphuritādhāra-                        	visPuritADAra
visaṃcarin-                             	visaMcarin
visaṃvādi-                              	visaMvAdi
visṛtāgranthanavāsas-                   	visftAgranTanavAsas
vísṛṣti-                                	visfzti
visisṛkṣā-                              	visisfkzA
vismayotphulla-                         	vismayotPulla
visodara-                               	visodara
vispaṣtārtha-                           	vispaztArTa
visraṃsitāṃśuka-                        	visraMsitAMSuka
vitānopahita-                           	vitAnopahita
vitṛpti-                                	vitfpti
vittaiṣaṇa-                             	vittEzaRa
vitteha-                                	vitteha
vittopārjana-                           	vittopArjana
vivāhoccheda-                           	vivAhocCeda
vivaktī-                                	vivaktI
vivakṣādhīna-                           	vivakzADIna
vivasvad-                               	vivasvad
vivekābhāva-                            	vivekABAva
vivekoditabodhavahni-                   	vivekoditaboDavahni
vivyathe                                	vivyaTe
viṭṭhālita-                             	viwWAlita
viṣādi-                                 	vizAdi
viṣayābhimukha-                         	vizayABimuKa
viṣayābhipatti-                         	vizayABipatti
viṣayākhyagraha-                        	vizayAKyagraha
viṣayāśāmahāpāśa-                       	vizayASAmahApASa
viṣayānucintā-                          	vizayAnucintA
viṣayānukramaṇikā-                      	vizayAnukramaRikA
viṣayāvabodhana-                        	vizayAvaboDana
viṣayāvaptasukha-                       	vizayAvaptasuKa
viṣayāvṛta-                             	vizayAvfta
viṣayecchā-                             	vizayecCA
viṣayendhana-                           	vizayenDana
viṣayonmukhendriya-                     	vizayonmuKendriya
viṣayopacāra-                           	vizayopacAra
viṣehe                                  	vizehe
vyāśa-                                  	vyASa
vyālīḍha-                               	vyAlIQa
vyāsakti-                               	vyAsakti
vyāttmukha-                             	vyAttmuKa
vyaṅgyārtha-                            	vyaNgyArTa
vyathākranta-                           	vyaTAkranta
vyaktāvyaktajñavijñāna-                 	vyaktAvyaktajYavijYAna
vyasanāśraya-                           	vyasanASraya
vyatireky-                              	vyatireky
vyatyasya                               	vyatyasya
vyavahārānabhijña-                      	vyavahArAnaBijYa
vyavahārthin-                           	vyavahArTin
vyavahārocita-                          	vyavahArocita
vyaṣṭy                                  	vyazwy
ṭiṭṭibhā-                               	wiwwiBA
ḷd-                                     	xd
yaugapadyābhimāna-                      	yOgapadyABimAna
yathābhiṣṭa-                            	yaTABizwa
yathācaram                              	yaTAcaram
yathānuśāsanam                          	yaTAnuSAsanam
yathāvakaśam                            	yaTAvakaSam
yákar-                                  	yakar
yantrāruḍha-                            	yantrAruQa
yatāyāta-                               	yatAyAta
yogāṅgānuṣṭhāna-                        	yogANgAnuzWAna
yoṣāgni-                                	yozAgni
ṣoḍaśānta-                              	zoqaSAnta

## compound(2)  (2397)
ābhā-rūpa-                              	ABArUpa
ādhāra-bhūta-                           	ADAraBUta
ākhyāyikā-virahita-                     	AKyAyikAvirahita
āṇava-jñāna-                            	ARavajYAna
āśā-graha-                              	ASAgraha
āśā-janaka-                             	ASAjanaka
āśā-kṛpaṇa-                             	ASAkfpaRa
āścarya-cakita-                         	AScaryacakita
āśir-vacana-                            	ASirvacana
āśrama-darśana-                         	ASramadarSana
āśrayāśrayi-bhāva-                      	ASrayASrayiBAva
āśraya-dūṣaka-                          	ASrayadUzaka
āgama-gamya-                            	Agamagamya
āhāravṛtti-śuddhi-                      	AhAravfttiSudDi
ākāśī-dhāraṇā-                          	AkASIDAraRA
ākāśa-sphatika-                         	AkASasPatika
ākāśa-tva-                              	AkASatva
ākāravat-mauna-                         	AkAravatmOna
ākṛti-vat-                              	Akftivat
ālakṣya-raśanā-                         	AlakzyaraSanA
ālocana-mātra-                          	AlocanamAtra
āma-kuṃbha-                             	AmakuMBa
ānanda-śakti-                           	AnandaSakti
ānanda-mūrti-                           	AnandamUrti
ānanda-rasānubhūti-                     	AnandarasAnuBUti
ānanda-rasāsvādana-                     	AnandarasAsvAdana
āpāta-tas tddh                          	ApAtatas tdD
ārā-mātra-                              	ArAmAtra
ārtha-saṃbandha-                        	ArTasaMbanDa
ārūḍha-śakti-                           	ArUQaSakti
ārdra-śavāśrita-                        	ArdraSavASrita
ārdrendhana-saṃyoga-                    	ArdrenDanasaMyoga
ārka-bimba-                             	Arkabimba
ārogya-siddhi-                          	ArogyasidDi
ārta-svāra-                             	ArtasvAra
ārya-liṇgin-                            	AryaliRgin
ārya-matin-                             	Aryamatin
ārya-saṇgha-                            	AryasaRGa
ārṣa-prayoga-                           	Arzaprayoga
āsthā-paraṅmukha-                       	AsTAparaNmuKa
āsakta-mānas-                           	AsaktamAnas
ātapa-laṅghana-                         	AtapalaNGana
ātma-dhiṣaṇā-                           	AtmaDizaRA
ātma-bimba-                             	Atmabimba
ātmabuddhi-prakāśa-                     	AtmabudDiprakASa
ātma-dṛṣṭi-                             	Atmadfzwi
ātma-lakṣaṇa-                           	AtmalakzaRa
ātma-mātraviśeṣaguṇa-                   	AtmamAtraviSezaguRa
ātma-mati-                              	Atmamati
ātma-niṣṭhita-                          	AtmanizWita
ātma-pada-                              	Atmapada
ātma-sukhānubhūti-                      	AtmasuKAnuBUti
ātma-vastu-                             	Atmavastu
ātma-viśuddhi-                          	AtmaviSudDi
ātmavidya-tapomūla-                     	AtmavidyatapomUla
ātma-vin-                               	Atmavin
ātma-vivṛddhijanman-                    	AtmavivfdDijanman
ātma-yukti-                             	Atmayukti
āvṛti-śakti-                            	AvftiSakti
āvṛtta-cakṣus-                          	Avfttacakzus
āyuḥ -śeṣa-                             	AyuH Seza
āyuḥ śeṣa-tā-                           	AyuH SezatA
