L	key1	devanagari	translit	sense	pc	anchor
38227	nAgavawwa	नागवट्ट	nāgavaṭṭa		4-0095	pc
38228	nAgavatman	नागवत्मन्	nāgavatman		4-0095	pc
38229	nAgavana	नागवन	nāgavana		4-0095	pc
38231	nAgavartman	नागवर्त्मन्	nāgavartman		4-0095	pc
38232	nAgavallarI	नागवल्लरी	nāgavallarī		4-0095	pc
38235	nAgavArika	नागवारिक	nāgavārika		4-0095	pc
38236	nAgavAsa	नागवास	nāgavāsa		4-0095	pc
38238	nAgavITI	नागवीथी	nāgavīthī		4-0096	pc
38239	nAgavfkza	नागवृक्ष	nāgavṛkṣa		4-0096	pc
38240	nAgaSata	नागशत	nāgaśata		4-0096	pc
38241	nAgaSuRqI	नागशुण्डी	nāgaśuṇḍī		4-0096	pc
38242	nAgaSrI	नागश्री	nāgaśrī		4-0096	pc
38245	nAgasAhvaya	नागसाह्वय	nāgasāhvaya		4-0096	pc
38246	nAgasuganDA	नागसुगन्धा	nāgasugandhā		4-0096	pc
38247	nAgasena	नागसेन	nāgasena		4-0096	pc
38248	nAgastokaka	नागस्तोकक	nāgastokaka		4-0096	pc
38249	nAgasTala	नागस्थल	nāgasthala		4-0096	pc
38252	nAgahanu	नागहनु	nāgahanu		4-0096	pc
38253	nAgahantrI	नागहन्त्री	nāgahantrī		4-0096	pc
38254	nAgahrada	नागह्रद	nāgahrada		4-0096	pc
38255	nAgAKya	नागाख्य	nāgākhya		4-0096	pc
38256	nAgANganA	नागाङ्गना	nāgāṅganā		4-0096	pc
38257	nAgAYcalA	नागाञ्चला	nāgāñcalā		4-0097	pc
38258	nAgAYjanA	नागाञ्जना	nāgāñjanā		4-0097	pc
38260	nAgADipa	नागाधिप	nāgādhipa		4-0097	pc
38261	nAgADipati	नागाधिपति	nāgādhipati		4-0097	pc
38262	nAgADirAja	नागाधिराज	nāgādhirāja		4-0097	pc
38263	nAgAnana	नागानन	nāgānana		4-0097	pc
38264	nAgAnanda	नागानन्द	nāgānanda		4-0097	pc
38265	nAgAntaka	नागान्तक	nāgāntaka		4-0097	pc
38266	nAgABiBu	नागाभिभु	nāgābhibhu		4-0097	pc
38267	nAgArAti	नागाराति	nāgārāti		4-0097	pc
38268	nAgAri	नागारि	nāgāri		4-0097	pc
38269	nAgArjuna	नागार्जुन	nāgārjuna		4-0097	pc
38270	nAgArjunIya	नागार्जुनीय	nāgārjunīya		4-0097	pc
38271	nAgAlAbu	नागालाबु	nāgālābu		4-0097	pc
38272	nAgASana	नागाशन	nāgāśana		4-0097	pc
38273	nAgAhva	नागाह्व	nāgāhva		4-0097	pc
38274	nAgAhvaya	नागाह्वय	nāgāhvaya		4-0097	pc
38275	nAgin	नागिन्	nāgin		4-0097	pc
38276	nAgila	नागिल	nāgila		4-0097	pc
38277	nAgulI	नागुली	nāgulī		4-0097	pc
38278	nAgendra	नागेन्द्र	nāgendra		4-0097	pc
38279	nAgeSa	नागेश	nāgeśa		4-0098	pc
38280	nAgeSvara	नागेश्वर	nāgeśvara		4-0098	pc
38281	nAgeSvaratIrTa	नागेश्वरतीर्थ	nāgeśvaratīrtha		4-0098	pc
38283	nAgoda	नागोद	nāgoda		4-0098	pc
38284	nAgodara	नागोदर	nāgodara		4-0098	pc
38285	nAgodBeda	नागोद्भेद	nāgodbheda		4-0098	pc
38286	nAgnajita	नाग्नजित	nāgnajita		4-0098	pc
38287	nAcika	नाचिक	nācika		4-0098	pc
38288	nAciketa	नाचिकेत	nāciketa		4-0098	pc
38289	nAcIna	नाचीन	nācīna		4-0098	pc
38290	nAjjaka	नाज्जक	nājjaka		4-0098	pc
38291	nAwa	नाट	nāṭa		4-0098	pc
38292	nAwaka	नाटक	nāṭaka		4-0098	pc
38294	nAwakAvatAra	नाटकावतार	nāṭakāvatāra		4-0099	pc
38295	nAwakeya	नाटकेय	nāṭakeya		4-0099	pc
38296	nAwAmra	नाटाम्र	nāṭāmra		4-0099	pc
38297	nAwAra	नाटार	nāṭāra		4-0099	pc
38299	nAweya	नाटेय	nāṭeya		4-0099	pc
38300	nAwera	नाटेर	nāṭera		4-0099	pc
38301	nAwya	नाट्य	nāṭya		4-0099	pc
38302	nAqa	नाड	nāḍa		4-0099	pc
38303	nAqapit	नाडपित्	nāḍapit		4-0099	pc
38304	nAqAyana	नाडायन	nāḍāyana		4-0099	pc
38305	nAqi	नाडि	nāḍi		4-0099	pc
38306	nAqika	नाडिक	nāḍika		4-0099	pc
38306	nAqika	नाडिका	nāḍikā		4-0099	pc
38308	nAqikela	नाडिकेल	nāḍikela		4-0099	pc
38309	nAqicIra	नाडिचीर	nāḍicīra		4-0099	pc
38310	nAqiMDama	नाडिंधम	nāḍiṃdhama		4-0100	pc
38311	nAqiMDaya	नाडिंधय	nāḍiṃdhaya		4-0100	pc
38312	nAqipattra	नाडिपत्त्र	nāḍipattra		4-0100	pc
38313	nAqimaRqala	नाडिमण्डल	nāḍimaṇḍala		4-0100	pc
38314	nAqI	नाडी	nāḍī		4-0100	pc
38315	nAqIka	नाडीक	nāḍīka		4-0100	pc
38316	nAqIkalApaka	नाडीकलापक	nāḍīkalāpaka		4-0100	pc
38318	nAqIca	नाडीच	nāḍīca		4-0100	pc
38319	nAqIcaraRa	नाडीचरण	nāḍīcaraṇa		4-0100	pc
38320	nAqIjaNGa	नाडीजङ्घ	nāḍījaṅgha		4-0100	pc
38322	nAqItikta	नाडीतिक्त	nāḍītikta		4-0101	pc
38323	nAqIdeha	नाडीदेह	nāḍīdeha		4-0101	pc
38324	nAqInakzatra	नाडीनक्षत्र	nāḍīnakṣatra		4-0101	pc
38325	nAqIMDama	नाडींधम	nāḍīṃdhama		4-0101	pc
38326	nAqIprakASa	नाडीप्रकाश	nāḍīprakāśa		4-0101	pc
38327	nAqIyantra	नाडीयन्त्र	nāḍīyantra		4-0101	pc
38328	nAqIvigraha	नाडीविग्रह	nāḍīvigraha		4-0101	pc
38329	nAqIvraRa	नाडीव्रण	nāḍīvraṇa		4-0101	pc
38330	nAqISAka	नाडीशाक	nāḍīśāka		4-0101	pc
38331	nAqIsneha	नाडीस्नेह	nāḍīsneha		4-0101	pc
38332	nAqIhiNgu	नाडीहिङ्गु	nāḍīhiṅgu		4-0101	pc
38333	nAqvaleya	नाड्वलेय	nāḍvaleya		4-0101	pc
38334	nARaka	नाणक	nāṇaka		4-0101	pc
38335	nAticira	नातिचिर	nāticira		4-0101	pc
38336	nAtidUra	नातिदूर	nātidūra		4-0101	pc
38337	nAtiBinna	नातिभिन्न	nātibhinna		4-0101	pc
38338	nAtivAda	नातिवाद	nātivāda		4-0101	pc
38339	nAtra	नात्र	nātra		4-0101	pc
38340	nAT	नाथ्	nāth		4-0101	pc
38341	nATa	नाथ	nātha		4-0102	pc
38342	nATakAma	नाथकाम	nāthakāma		4-0102	pc
38343	nATakumAra	नाथकुमार	nāthakumāra		4-0102	pc
38344	nATatva	नाथत्व	nāthatva		4-0102	pc
38346	nATavid	नाथविद्	nāthavid		4-0103	pc
38347	nATavindu	नाथविन्दु	nāthavindu		4-0103	pc
38348	nATahari	नाथहरि	nāthahari		4-0103	pc
38350	nATin	नाथिन्	nāthin		4-0103	pc
38351	nAda	नाद	nāda		4-0103	pc
38352	nAdatA	नादता	nādatā		4-0103	pc
38353	nAdapurARa	नादपुराण	nādapurāṇa		4-0103	pc
38354	nAdara	नादर	nādara		4-0103	pc
38357	nAdi	नादि	nādi		4-0103	pc
38358	nAdika	नादिक	nādika		4-0103	pc
38359	nAdiga	नादिग	nādiga		4-0103	pc
38360	nAdin	नादिन्	nādin		4-0103	pc
38361	nAdeya	नादेय	nādeya		4-0104	pc
38362	nAdya	नाद्य	nādya		4-0104	pc
38363	nAD	नाध्	nādh		4-0104	pc
38365	nADas	नाधस्	nādhas		4-0104	pc
38366	nAna	नान	nāna		4-0104	pc
38366	nAna	नाना	nānā		4-0104	pc
38367	nAnada	नानद	nānada		4-0104	pc
38370	nAnAkanda	नानाकन्द	nānākanda		4-0105	pc
38371	nAnAkAra	नानाकार	nānākāra		4-0105	pc
38372	nAnAkAram	नानाकारम्	nānākāram		4-0105	pc
38373	nAnAgraha	नानाग्रह	nānāgraha		4-0105	pc
38374	nAnAjAtIya	नानाजातीय	nānājātīya		4-0105	pc
38375	nAnAtyaya	नानात्यय	nānātyaya		4-0105	pc
38376	nAnAtva	नानात्व	nānātva		4-0105	pc
38377	nAnADarman	नानाधर्मन्	nānādharman		4-0105	pc
38378	nAnADI	नानाधी	nānādhī		4-0105	pc
38379	nAnADvani	नानाध्वनि	nānādhvani		4-0105	pc
38380	nAnAnam	नानानम्	nānānam		4-0105	pc
38381	nAnAndra	नानान्द्र	nānāndra		4-0105	pc
38382	nAnApraBfti	नानाप्रभृति	nānāprabhṛti		4-0105	pc
38383	nAnAraTam	नानारथम्	nānāratham		4-0105	pc
38384	nAnArUpa	नानारूप	nānārūpa	1	4-0105	pc
38385	nAnArUpa	नानारूप	nānārūpa	2	4-0105	pc
38386	nAnArTa	नानार्थ	nānārtha		4-0105	pc
38387	nAnAvarRa	नानावर्ण	nānāvarṇa	1	4-0106	pc
38388	nAnAvarRa	नानावर्ण	nānāvarṇa	2	4-0106	pc
38390	nAnAvIrya	नानावीर्य	nānāvīrya		4-0106	pc
38391	nAnAsUrya	नानासूर्य	nānāsūrya		4-0106	pc
38392	nAnU	नानू	nānū		4-0106	pc
38393	nAnta	नान्त	nānta		4-0106	pc
38394	nAnda	नान्द	nānda		4-0106	pc
38395	nAntra	नान्त्र	nāntra		4-0106	pc
38396	nAndana	नान्दन	nāndana		4-0106	pc
38397	nAndikara	नान्दिकर	nāndikara		4-0106	pc
38398	nAndin	नान्दिन्	nāndin		4-0106	pc
38399	nAndI	नान्दी	nāndī		4-0106	pc
38400	nAndIka	नान्दीक	nāndīka		4-0106	pc
38401	nAndIGoza	नान्दीघोष	nāndīghoṣa		4-0106	pc
38402	nAndIpawa	नान्दीपट	nāndīpaṭa		4-0106	pc
38403	nAndIpura	नान्दीपुर	nāndīpura		4-0106	pc
38404	nAndImuKa	नान्दीमुख	nāndīmukha		4-0106	pc
38405	nAndISrAdDa	नान्दीश्राद्ध	nāndīśrāddha		4-0107	pc
38406	nAnduka	नान्दुक	nānduka		4-0107	pc
38407	nApita	नापित	nāpita		4-0107	pc
38408	nApitavAstu	नापितवास्तु	nāpitavāstu		4-0107	pc
38409	nApitaSAlA	नापितशाला	nāpitaśālā		4-0107	pc
38410	nApitAyani	नापितायनि	nāpitāyani		4-0107	pc
38411	nApitya	नापित्य	nāpitya		4-0107	pc
38412	nAB	नाभ्	nābh		4-0107	pc
38413	nABa	नाभ	nābha		4-0107	pc
38414	nABaka	नाभक	nābhaka		4-0107	pc
38414	nABaka	नाभाक	nābhāka		4-0107	pc
38415	nABasa	नाभस	nābhasa		4-0107	pc
38417	nABAga	नाभाग	nābhāga		4-0108	pc
38418	nABAgadizwa	नाभागदिष्ट	nābhāgadiṣṭa		4-0108	pc
38420	nABAganedizWa	नाभागनेदिष्ठ	nābhāganediṣṭha		4-0108	pc
38421	nABAgArizwa	नाभागारिष्ट	nābhāgāriṣṭa		4-0108	pc
38422	nABAgi	नाभागि	nābhāgi		4-0108	pc
38423	nABAnedizWa	नाभानेदिष्ठ	nābhānediṣṭha		4-0108	pc
38424	nABi	नाभि	nābhi		4-0108	pc
38425	nABika	नाभिक	nābhika		4-0109	pc
38426	nABikaRwaka	नाभिकण्टक	nābhikaṇṭaka		4-0110	pc
38427	nABikapura	नाभिकपुर	nābhikapura		4-0110	pc
38428	nABiguqaka	नाभिगुडक	nābhiguḍaka		4-0110	pc
38429	nABigupta	नाभिगुप्त	nābhigupta		4-0110	pc
38430	nABigolaka	नाभिगोलक	nābhigolaka		4-0110	pc
38431	nABija	नाभिज	nābhija		4-0110	pc
38432	nABijanman	नाभिजन्मन्	nābhijanman		4-0110	pc
38433	nABinAqI	नाभिनाडी	nābhināḍī		4-0110	pc
38434	nABinAlA	नाभिनाला	nābhinālā		4-0110	pc
38435	nABiBU	नाभिभू	nābhibhū		4-0110	pc
38436	nABimAna	नाभिमान	nābhimāna		4-0110	pc
38437	nABimUla	नाभिमूल	nābhimūla		4-0110	pc
38438	nABivarDana	नाभिवर्धन	nābhivardhana		4-0110	pc
38439	nABivarza	नाभिवर्ष	nābhivarṣa		4-0110	pc
38440	nABila	नाभिल	nābhila		4-0110	pc
38440	nABila	नाभील	nābhīla		4-0110	pc
38442	nABeya	नाभेय	nābheya		4-0110	pc
38443	nABya	नाभ्य	nābhya		4-0110	pc
38444	nAma	नाम	nāma	1	4-0110	pc
38445	nAma	नाम	nāma	2	4-0110	pc
38448	nAmakarman	नामकर्मन्	nāmakarman		4-0111	pc
38449	nAmagraha	नामग्रह	nāmagraha		4-0111	pc
38449	nAmagraha	नामग्राह	nāmagrāha		4-0111	pc
38450	nAmagrahaRa	नामग्रहण	nāmagrahaṇa		4-0111	pc
38452	nAmagrAham	नामग्राहम्	nāmagrāham		4-0111	pc
38453	nAmatas	नामतस्	nāmatas		4-0111	pc
38454	nAmatika	नामतिक	nāmatika		4-0111	pc
38455	nAmaTA	नामथा	nāmathā		4-0111	pc
38456	nAmadeva	नामदेव	nāmadeva		4-0111	pc
38457	nAmadvAdaSI	नामद्वादशी	nāmadvādaśī		4-0111	pc
38458	nAmaDa	नामध	nāmadha		4-0111	pc
38459	nAmaDAtu	नामधातु	nāmadhātu		4-0111	pc
38460	nAmaDAraka	नामधारक	nāmadhāraka		4-0111	pc
38461	nAmaDeya	नामधेय	nāmadheya		4-0111	pc
38462	nAman	नामन्	nāman		4-0112	pc
38463	nAmanAmika	नामनामिक	nāmanāmika		4-0114	pc
38466	nAmapArAyaRa	नामपारायण	nāmapārāyaṇa		4-0114	pc
38467	nAmamAtra	नाममात्र	nāmamātra	1	4-0115	pc
38468	nAmamAtra	नाममात्र	nāmamātra	2	4-0115	pc
38469	nAmamAlA	नाममाला	nāmamālā		4-0115	pc
38470	nAmamudrA	नाममुद्रा	nāmamudrā		4-0115	pc
38471	nAmayajYa	नामयज्ञ	nāmayajña		4-0115	pc
38472	nAmaliNga	नामलिङ्ग	nāmaliṅga		4-0115	pc
38473	nAmavarjita	नामवर्जित	nāmavarjita		4-0115	pc
38474	nAmaSuRqI	नामशुण्डी	nāmaśuṇḍī		4-0115	pc
38475	nAmaSeza	नामशेष	nāmaśeṣa		4-0115	pc
38476	nAmasaMgraha	नामसंग्रह	nāmasaṃgraha		4-0115	pc
38478	nAmAKyAtika	नामाख्यातिक	nāmākhyātika		4-0115	pc
38479	nAmANka	नामाङ्क	nāmāṅka		4-0115	pc
38480	nAmAdeSam	नामादेशम्	nāmādeśam		4-0115	pc
38481	nAmAnuSAsana	नामानुशासन	nāmānuśāsana		4-0115	pc
38482	nAmi	नामि	nāmi		4-0115	pc
38483	nAmika	नामिक	nāmika		4-0115	pc
38484	nAmin	नामिन्	nāmin		4-0115	pc
38485	nAmba	नाम्ब	nāmba		4-0115	pc
38486	nAmya	नाम्य	nāmya		4-0115	pc
38487	nAya	नाय	nāya		4-0116	pc
38488	nAyaka	नायक	nāyaka		4-0116	pc
38489	nAyakatva	नायकत्व	nāyakatva		4-0116	pc
38490	nAyakADipa	नायकाधिप	nāyakādhipa		4-0116	pc
38491	nAyin	नायिन्	nāyin		4-0116	pc
38492	nAra	नार	nāra		4-0116	pc
38493	nAraka	नारक	nāraka		4-0117	pc
38494	nArakika	नारकिक	nārakika		4-0117	pc
38496	nArakIwa	नारकीट	nārakīṭa		4-0117	pc
38498	nAraNga	नारङ्ग	nāraṅga		4-0117	pc
38499	nAraNgapattraka	नारङ्गपत्त्रक	nāraṅgapattraka		4-0117	pc
38501	nArada	नारद	nārada		4-0117	pc
38502	nAradin	नारदिन्	nāradin		4-0118	pc
38503	nAradIya	नारदीय	nāradīya		4-0118	pc
38505	nAradeSvaratIrTa	नारदेश्वरतीर्थ	nāradeśvaratīrtha		4-0118	pc
38507	nArasiMha	नारसिंह	nārasiṃha		4-0118	pc
38508	nArAca	नाराच	nārāca		4-0118	pc
38509	nArAcikA	नाराचिका	nārācikā		4-0119	pc
38510	nArAyaRa	नारायण	nārāyaṇa		4-0119	pc
38511	nArAyaRakalpa	नारायणकल्प	nārāyaṇakalpa		4-0119	pc
38512	nArAyaRagupta	नारायणगुप्त	nārāyaṇagupta		4-0120	pc
38513	nArAyaRacakravartin	नारायणचक्रवर्तिन्	nārāyaṇacakravartin		4-0120	pc
38514	nArAyaRatAra	नारायणतार	nārāyaṇatāra		4-0120	pc
38515	nArAyaRatIrTa	नारायणतीर्थ	nārāyaṇatīrtha		4-0120	pc
38517	nArAyaRadeva	नारायणदेव	nārāyaṇadeva		4-0120	pc
38520	nArAyaRapriya	नारायणप्रिय	nārāyaṇapriya		4-0120	pc
38521	nArAyaRabali	नारायणबलि	nārāyaṇabali		4-0120	pc
38523	nArAyaRamaya	नारायणमय	nārāyaṇamaya		4-0120	pc
38524	nArAyaRaSrIgarBa	नारायणश्रीगर्भ	nārāyaṇaśrīgarbha		4-0120	pc
38525	nArAyaRasaras	नारायणसरस्	nārāyaṇasaras		4-0120	pc
38527	nArAyaRasUri	नारायणसूरि	nārāyaṇasūri		4-0120	pc
38529	nArAyaRi	नारायणि	nārāyaṇi		4-0120	pc
38530	nArAyaRIya	नारायणीय	nārāyaṇīya		4-0120	pc
38531	nArAyaRendra	नारायणेन्द्र	nārāyaṇendra		4-0120	pc
38532	nArAyaRopanizad	नारायणोपनिषद्	nārāyaṇopaniṣad		4-0120	pc
38533	nArASaMsa	नाराशंस	nārāśaṃsa		4-0121	pc
38534	nArASarya	नाराशर्य	nārāśarya		4-0121	pc
38535	nArika	नारिक	nārika		4-0121	pc
38535	nArika	नारीक	nārīka		4-0121	pc
38536	nArikera	नारिकेर	nārikera		4-0121	pc
38537	nArikela	नारिकेल	nārikela		4-0121	pc
38537	nArikela	नारीकेल	nārīkela		4-0121	pc
38538	nArikeladvIpa	नारिकेलद्वीप	nārikeladvīpa		4-0121	pc
38539	nAriNgakanda	नारिङ्गकन्द	nāriṅgakanda		4-0121	pc
38540	nArI	नारी	nārī		4-0121	pc
38542	nArIkavaca	नारीकवच	nārīkavaca		4-0121	pc
38544	nArIca	नारीच	nārīca		4-0121	pc
38545	nArItaraMgaka	नारीतरंगक	nārītaraṃgaka		4-0122	pc
38546	nArItIrTa	नारीतीर्थ	nārītīrtha		4-0122	pc
38547	nArImaya	नारीमय	nārīmaya		4-0122	pc
38548	nArImuKa	नारीमुख	nārīmukha		4-0122	pc
38549	nArIyAna	नारीयान	nārīyāna		4-0122	pc
38550	nArIzwA	नारीष्टा	nārīṣṭā		4-0122	pc
38550	nArIzwA	नारीष्ठ	nārīṣṭha		4-0122	pc
38552	nAruMtuda	नारुंतुद	nāruṃtuda		4-0122	pc
38553	nAreya	नारेय	nāreya		4-0122	pc
38554	nAropAyana	नारोपायन	nāropāyana		4-0122	pc
38555	nArkuwa	नार्कुट	nārkuṭa		4-0122	pc
38556	nArtika	नार्तिक	nārtika		4-0122	pc
38557	nArpatya	नार्पत्य	nārpatya		4-0122	pc
38558	nArmata	नार्मत	nārmata		4-0122	pc
38559	nArmada	नार्मद	nārmada		4-0122	pc
38560	nArmara	नार्मर	nārmara		4-0122	pc
38562	nArmeDa	नार्मेध	nārmedha		4-0122	pc
38563	nArya	नार्य	nārya		4-0122	pc
38564	nAryaNga	नार्यङ्ग	nāryaṅga		4-0122	pc
38565	nAryatikta	नार्यतिक्त	nāryatikta		4-0122	pc
38566	nArzada	नार्षद	nārṣada		4-0122	pc
38567	nAla	नाल	nāla		4-0122	pc
38570	nAlandara	नालन्दर	nālandara		4-0123	pc
38571	nAlavaMSa	नालवंश	nālavaṃśa		4-0123	pc
38573	nAli	नालि	nāli		4-0123	pc
38574	nAlika	नालिक	nālika		4-0123	pc
38574	nAlika	नालिका	nālikā		4-0123	pc
38576	nAlikera	नालिकेर	nālikera		4-0123	pc
38578	nAlijaNGa	नालिजङ्घ	nālijaṅgha		4-0123	pc
38579	nAlitA	नालिता	nālitā		4-0123	pc
38580	nAlinI	नालिनी	nālinī		4-0124	pc
38581	nAlIka	नालीक	nālīka		4-0124	pc
38582	nAlIkinI	नालीकिनी	nālīkinī		4-0124	pc
38583	nAlIpa	नालीप	nālīpa		4-0124	pc
38584	nAlIvraRa	नालीव्रण	nālīvraṇa		4-0124	pc
38585	nAlya	नाल्य	nālya		4-0124	pc
38586	nAva	नाव	nāva	1	4-0124	pc
38587	nAva	नाव	nāva	2	4-0124	pc
38588	nAvamika	नावमिक	nāvamika		4-0124	pc
38589	nAvayajYika	नावयज्ञिक	nāvayajñika		4-0124	pc
38590	nAvAja	नावाज	nāvāja		4-0124	pc
38591	nAvika	नाविक	nāvika		4-0124	pc
38592	nAvin	नाविन्	nāvin		4-0124	pc
38593	nAvopajIvana	नावोपजीवन	nāvopajīvana		4-0124	pc
38594	nAvy	नाव्य्	nāvy		4-0124	pc
38595	nAvya	नाव्य	nāvya	1	4-0124	pc
38596	nAvya	नाव्य	nāvya	2	4-0124	pc
38597	nAvyudaka	नाव्युदक	nāvyudaka		4-0124	pc
38598	nASa	नाश	nāśa	1	4-0124	pc
38599	nASa	नाश	nāśa	2	4-0125	pc
38600	nASaka	नाशक	nāśaka		4-0125	pc
38601	nASana	नाशन	nāśana		4-0125	pc
38603	nASaSata	नाशशत	nāśaśata		4-0125	pc
38604	nASin	नाशिन्	nāśin		4-0125	pc
38605	nASI	नाशी	nāśī		4-0126	pc
38606	nASuka	नाशुक	nāśuka		4-0126	pc
38607	nASya	नाश्य	nāśya		4-0126	pc
38608	nAzwika	नाष्टिक	nāṣṭika		4-0126	pc
38609	nAzwrA	नाष्ट्रा	nāṣṭrā		4-0126	pc
38610	nAs	नास्	nās	1	4-0126	pc
38611	nAs	नास्	nās	2	4-0126	pc
38612	nAsatya	नासत्य	nāsatya		4-0126	pc
38614	nAsA	नासा	nāsā		4-0126	pc
38615	nAsAgra	नासाग्र	nāsāgra		4-0127	pc
38616	nAsACinnI	नासाछिन्नी	nāsāchinnī		4-0127	pc
38617	nAsAjvara	नासाज्वर	nāsājvara		4-0127	pc
38618	nAsAdAru	नासादारु	nāsādāru		4-0127	pc
38619	nAsAnAha	नासानाह	nāsānāha		4-0127	pc
38620	nAsAntika	नासान्तिक	nāsāntika		4-0127	pc
38621	nAsApariSoza	नासापरिशोष	nāsāpariśoṣa		4-0127	pc
38623	nAsApAka	नासापाक	nāsāpāka		4-0127	pc
38624	nAsApuwa	नासापुट	nāsāpuṭa		4-0127	pc
38625	nAsApratInAha	नासाप्रतीनाह	nāsāpratīnāha		4-0127	pc
38626	nAsAraktapitta	नासारक्तपित्त	nāsāraktapitta		4-0127	pc
38627	nAsArSas	नासार्शस्	nāsārśas		4-0127	pc
38628	nAsAlu	नासालु	nāsālu		4-0127	pc
38629	nAsAvaMSa	नासावंश	nāsāvaṃśa		4-0127	pc
38630	nAsAvivara	नासाविवर	nāsāvivara		4-0127	pc
38631	nAsAsaMvedana	नासासंवेदन	nāsāsaṃvedana		4-0127	pc
38632	nAsAsrAva	नासास्राव	nāsāsrāva		4-0127	pc
38633	nAsika	नासिक	nāsika		4-0127	pc
38633	nAsika	नासिका	nāsikā		4-0127	pc
38634	nAsikaMDama	नासिकंधम	nāsikaṃdhama		4-0127	pc
38635	nAsikaMDaya	नासिकंधय	nāsikaṃdhaya		4-0127	pc
38638	nAsikAgra	नासिकाग्र	nāsikāgra		4-0128	pc
38639	nAsikApAka	नासिकापाक	nāsikāpāka		4-0128	pc
38640	nAsikApuwa	नासिकापुट	nāsikāpuṭa		4-0128	pc
38641	nAsikAmala	नासिकामल	nāsikāmala		4-0128	pc
38642	nAsikya	नासिक्य	nāsikya		4-0128	pc
38645	nAstika	नास्तिक	nāstika		4-0128	pc
38646	nAstikatA	नास्तिकता	nāstikatā		4-0128	pc
38647	nAstikya	नास्तिक्य	nāstikya		4-0128	pc
38648	nAstitada	नास्तितद	nāstitada		4-0128	pc
38649	nAstitA	नास्तिता	nāstitā		4-0128	pc
38650	nAstida	नास्तिद	nāstida		4-0128	pc
38651	nAstivAda	नास्तिवाद	nāstivāda		4-0128	pc
38652	nAsya	नास्य	nāsya		4-0129	pc
38653	nAha	नाह	nāha		4-0129	pc
38654	nAhala	नाहल	nāhala		4-0129	pc
38655	nAhuza	नाहुष	nāhuṣa	1	4-0129	pc
38656	nAhuza	नाहुष	nāhuṣa	2	4-0129	pc
38657	nAhuzi	नाहुषि	nāhuṣi		4-0129	pc
38658	ni	नि	ni	1	4-0129	pc
38659	ni	नि	ni	2	4-0129	pc
38660	niMs	निंस्	niṃs	,	4-0129	pc
38662	niHkzatra	निःक्षत्र	niḥkṣatra		4-0129	pc
38663	niHkzatriya	निःक्षत्रिय	niḥkṣatriya		4-0129	pc
38664	niHkzepa	निःक्षेप	niḥkṣepa		4-0130	pc
38666	nikakza	निकक्ष	nikakṣa		4-0130	pc
38667	nikawa	निकट	nikaṭa		4-0130	pc
38669	nikara	निकर	nikara		4-0130	pc
38670	nikartana	निकर्तन	nikartana		4-0130	pc
38671	nikartavya	निकर्तव्य	nikartavya		4-0130	pc
38672	nikarza	निकर्ष	nikarṣa		4-0130	pc
38673	nikarzaRa	निकर्षण	nikarṣaṇa		4-0130	pc
38674	nikaza	निकष	nikaṣa		4-0130	pc
38675	nikazaRa	निकषण	nikaṣaṇa		4-0131	pc
38676	nikazA	निकषा	nikaṣā		4-0131	pc
38678	nikasa	निकस	nikasa		4-0131	pc
38679	nikARam	निकाणम्	nikāṇam		4-0131	pc
38680	nikAma	निकाम	nikāma	1	4-0131	pc
38681	nikAma	निकाम	nikāma	2	4-0131	pc
38682	nikAman	निकामन्	nikāman		4-0131	pc
38683	nikAmana	निकामन	nikāmana		4-0131	pc
38684	nikAya	निकाय	nikāya		4-0131	pc
38685	nikAyAntarIya	निकायान्तरीय	nikāyāntarīya		4-0132	pc
38686	nikAyin	निकायिन्	nikāyin		4-0132	pc
38687	nikAyya	निकाय्य	nikāyya		4-0132	pc
38688	nikAra	निकार	nikāra	1	4-0132	pc
38689	nikAra	निकार	nikāra	2	4-0132	pc
38690	nikAraRa	निकारण	nikāraṇa		4-0132	pc
38691	nikArin	निकारिन्	nikārin		4-0132	pc
38693	nikAvalgA	निकावल्गा	nikāvalgā		4-0132	pc
38694	nikASa	निकाश	nikāśa		4-0132	pc
38694	nikASa	निकास	nikāsa		4-0132	pc
38695	nikAza	निकाष	nikāṣa		4-0132	pc
38697	nikilbiza	निकिल्बिष	nikilbiṣa		4-0132	pc
38698	nikuciti	निकुचिति	nikuciti		4-0132	pc
38699	nikucyakarRi	निकुच्यकर्णि	nikucyakarṇi		4-0132	pc
38700	nikuYcaka	निकुञ्चक	nikuñcaka		4-0132	pc
38701	nikuYja	निकुञ्ज	nikuñja		4-0132	pc
38702	nikuYjikAmlA	निकुञ्जिकाम्ला	nikuñjikāmlā		4-0133	pc
38703	nikumBa	निकुम्भ	nikumbha		4-0133	pc
38705	nikumBita	निकुम्भित	nikumbhita		4-0133	pc
38706	nikumBilA	निकुम्भिला	nikumbhilā		4-0133	pc
38707	nikurumba	निकुरुम्ब	nikurumba		4-0133	pc
38708	nikulInikA	निकुलीनिका	nikulīnikā		4-0133	pc
38709	nikUla	निकूल	nikūla		4-0133	pc
38710	nikfti	निकृति	nikṛti		4-0133	pc
38711	nikftin	निकृतिन्	nikṛtin		4-0134	pc
38712	nikftyA	निकृत्या	nikṛtyā		4-0134	pc
38713	nikftvan	निकृत्वन्	nikṛtvan		4-0134	pc
38714	nikfntana	निकृन्तन	nikṛntana		4-0134	pc
