cyrillic	slp1	iast_witness	validation	onomasticon	witness_count	seeds
Ришьяшринга	fzyASfNga	Ṛṣyāśṛṅga	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ришьямука	fzyamUka	Ṛṣyamūka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Гадхи	gADi	Gādhi	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гаруда	gAruqa	Gāruḍa	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гаятри	gAyatrI	Gāyatrī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Гаутама	gOtama	Gautama	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ганга	gaNgA	Gaṅgā	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гандхамадана	ganDamAdana	Gandhamādana	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гандхарви	ganDarvI	Gandharvī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Гаруда	garuqa	Garuḍa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Гая	gaya	Gaya	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гиривраджа	girivraja	Girivraja	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Годавари	godAvarI	Godāvarī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Гокарна	gokarRa	Gokarṇa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гомати	gomatI	Gomatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гопа	gopa	Gopa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гуха	guha	Guha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хастинапура	hAstinapura	Hāstinapura	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хаха	hahA	Hahā	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хануман	hanumAn	Hanumān	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хари	harI	Harī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Хара	hara	Hara	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хари	hari	Hari	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Харьяшва	haryaSva	Haryaśva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хавишпанда	havizpanda	Haviṣpanda	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хема	hemA	Hemā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хемачандра	hemacandra	Hemacandra	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хришикеша	hfzIkeSa	Hṛṣīkeśa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Химават	himavat	Himavat	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хладини	hlAdinI	Hlādinī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хри	hrI	Hrī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Храсвароман	hrasvaroman	Hrasvaroman	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Хуху	huhU	Huhū	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Икшумати	ikzumatI	Ikṣumatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Икшваку	ikzvAku	Ikṣvāku	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Илвала	ilvala	Ilvala	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Индра	indra	Indra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Индраджит	indrajit	Indrajit	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Иравати	irAvatI	Irāvatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Джабали	jAbAli	Jābāli	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джахнави	jAhnavI	Jāhnavī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джамбават	jAmbavat	Jāmbavat	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джахну	jahnu	Jahnu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джамбха	jamBa	Jambha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джамадагни	jamadagni	Jamadagni	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джамбудвипа	jambUdvIpa	Jambūdvīpa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джанардана	janArdana	Janārdana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джанака	janaka	Janaka	onomasticon	inm,pui	3	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джанамеджая	janamejaya	Janamejaya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джанастхана	janasTAna	Janasthāna	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джатаюс	jatAyus	Jatāyus	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Джава	java	Java	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Джатаюс	jawAyus	Jaṭāyus	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джая	jayA	Jayā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Джаянта	jayanta	Jayanta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Каши	kASi	Kāśi	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кашьяпа	kASyapa	Kāśyapa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Катха	kAWa	Kāṭha	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Какутстха	kAkutsTa	Kākutstha	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Калапа	kAlApa	Kālāpa	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кала	kAla	Kāla	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Калака	kAlaka	Kālaka	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Калинди	kAlindI	Kālindī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кама	kAma	Kāma	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кампилья	kAmpilya	Kāmpilya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Карттикея	kArtikeya	Kārtikeya	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Катьяяна	kAtyAyana	Kātyāyana	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кавья	kAvya	Kāvya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кайкейи	kEkeyI	Kaikeyī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кайласа	kElAsa	Kailāsa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кирти	kIrti	Kīrti	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Киртирата	kIrtirAta	Kīrtirāta	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Киртиратха	kIrtiraTa	Kīrtiratha	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Каушамби	kOSambI	Kauśambī	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Каушики	kOSikI	Kauśikī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Каушика	kOSika	Kauśika	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Каушалья	kOsalyA	Kausalyā	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кришна	kRzRa	Kṇṣṇa	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Канду	kaRqu	Kaṇḍu	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кашьяпа	kaSyapa	Kaśyapa	onomasticon	pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кабандха	kabanDa	Kabandha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кадру	kadrU	Kadrū	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Какутстха	kakutsTa	Kakutstha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Калака	kalakA	Kalakā	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Калинганагара	kaliNganagara	Kaliṅganagara	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Калмашапада	kalmAzapAda	Kalmāṣapāda	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Камбоджа	kamboja	Kamboja	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кандарпа	kandarpa	Kandarpa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Капивати	kapIvatI	Kapīvatī	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Капила	kapila	Kapila	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Каруша	karUza	Karūṣa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кардама	kardama	Kardama	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Кешава	keSava	Keśava	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кешини	keSinI	Keśinī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кекая	kekaya	Kekaya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кришашва	kfSASva	Kṛśāśva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Криттики	kfttikAs	Kṛttikās	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кишкиндха	kizkinDA	Kiṣkindhā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кошала	kosala	Kosala	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Краунчи	krOYcI	Krauñcī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Краунча	krOYca	Krauñca	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Крату	kratu	Kratu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Кродхаваша	kroDavaSA	Krodhavaśā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Кушашва	kuSASva	Kuśāśva	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кушамба	kuSAmba	Kuśāmba	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Куша	kuSa	Kuśa	onomasticon	pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кушадхваджа	kuSaDvaja	Kuśadhvaja	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кушанабха	kuSanABa	Kuśanābha	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кушаплава	kuSaplava	Kuśaplava	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кубера	kubera	Kubera	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кукши	kukzi	Kukṣi	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кулинга	kuliNga	Kuliṅga	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кумара	kumAra	Kumāra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кумбхакарна	kumBakarRa	Kumbhakarṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Куру	kuru	Kuru	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Куруджангала	kurujANgala	Kurujāṅgala	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ланка	laNkA	Laṅkā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Лакшмана	lakzmaRa	Lakṣmaṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Лава	lava	Lava	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Лохитанга	lohitANga	Lohitāṅga	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Мандакарни	mARqakarRi	Māṇḍakarṇi	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Мандави	mARqavI	Māṇḍavī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Малини	mAlinI	Mālinī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мандхатар	mAnDAtf	Māndhātṛ	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Манаса	mAnasa	Mānasa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Марича	mArIca	Mārīca	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Маркандея	mArkaRqeya	Mārkaṇḍeya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Марута	mAruta	Māruta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Матанги	mAtaNgI	Mātaṅgī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Матали	mAtali	Mātali	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Майтхили	mETilI	Maithilī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Майнака	mEnAka	Maināka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Майнда	mEnda	Mainda	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Маудгалья	mOdgalya	Maudgalya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мадху	maDu	Madhu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мадхусудана	maDusUdana	Madhusūdana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мадхушпанда	maDuzpanda	Madhuṣpanda	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Магхаван	maGavan	Maghavan	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мадана	madana	Madana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Магадха	magaDa	Magadha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махадева	mahAdeva	Mahādeva	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махакапала	mahAkapAla	Mahākapāla	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Махападма	mahApadma	Mahāpadma	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махаратха	mahAraTa	Mahāratha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махароман	mahAroman	Mahāroman	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махавира	mahAvIra	Mahāvīra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махидхрака	mahIDraka	Mahīdhraka	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махешвара	maheSvara	Maheśvara	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Махендра	mahendra	Mahendra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Маходая	mahodaya	Mahodaya	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Малада	malada	Malada	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Малая	malaya	Malaya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мантхара	manTarA	Mantharā	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мандакини	mandAkinI	Mandākinī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мандара	mandara	Mandara	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Манматха	manmaTa	Manmatha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ману	manu	Manu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Маричи	marIci	Marīci	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мару	maru	Maru	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
