slp1	n_dicts	dicts
adButavIkzita	1	PD
adButavarRaka	1	PD
adButavarRana	1	PD
adButavarRitA	1	PD
adButaviBrama	1	PD
adButavigraha	1	PD
adButavikrama	1	PD
adButavistara	1	PD
adButodBrAnta	1	PD
adButopalamBa	1	PD
adDAlohakarRa	1	AP
adErGyasUtrya	1	PD
adIkzitadvija	1	PD
adIkzitapUrva	1	PD
adIkzitavESya	1	PD
adIkzitavrata	1	PD
adInotplavana	1	PD
adIrGadarSana	1	PD
adIrGakAlatva	1	PD
adIrGamatsara	1	PD
adIrGasUtratA	1	PD
adIrGasaMSaya	1	PD
adIrGasaMkaTa	1	PD
adUrASivatAti	1	PD
adUraDArAgfha	1	PD
adUramahItala	1	PD
adUramanoraTa	1	PD
adUrasaMsTitA	1	PD
adUrayamavAha	1	PD
adUzitakOmArA	2	PD PWK
adUzitalocanA	1	PD
adUzyacAritra	1	PD
adaBramahIDra	1	PD
adaBrasaMGoza	1	PD
adaBrasaMmata	1	PD
adaBravikrama	1	PD
adaBravistAra	1	PD
adaHkIrtipUra	1	PD
adaRqadaRqana	1	PD
adaRqanIyatva	1	PD
adaRqanimitta	1	PD
adaRqapravAsa	1	PD
adaRqatvABAva	1	PD
adaSanapaNkti	1	PD
adadaridrAvat	1	PD
adagDabIjavat	1	PD
adantadarSana	1	PD
adantagrahaRa	1	PD
adantatvABAva	1	PD
adantavikzata	1	PD
adarSanAByAsa	1	PD
adarSanAdikft	1	PD
adarSanAditas	1	PD
adarSanApatti	1	PD
adarSanAtmaka	1	PD
adarSanAyatta	1	PD
adarSanaSruti	1	PD
adarSanamAtra	1	PD
adarSanasTita	1	PD
adarSanatapta	1	PD
adaridrARamud	1	PD
adaridrIkftya	1	PD
adattAdAnatas	1	PD
adattAdAsyaTa	1	BHS
adattAsvIkAra	1	PD
adattAttaPala	1	PD
adattaBakzaRa	1	PD
adattaPalatva	1	PD
adattadAnatas	1	PD
adattadarSana	1	PD
adattagrAhaka	1	PD
adattagrahaRa	1	PD
adazwozWapuwa	1	PD
adeSAntarasTa	1	PD
adeSAtmakatva	1	PD
adeSajYAnavat	1	PD
adeSakAlayoga	1	PD
adeSottuRqita	1	PD
adehahetuBeda	1	PD
adehamuktatva	1	PD
adehamuktitva	1	PD
adevAnAMpriya	1	PD
adevadattatva	1	PD
adevatArTatva	1	PD
adfQasaMSleza	1	PD
adfSyadarSana	1	PD
adfSyadfSyaka	1	PD
adfSyakajjala	2	PD SCH
adfSyakaraRam	1	AP
adfSyamAnatva	1	PD
adfSyarUpatva	1	PD
adfSyatvAdika	1	PD
adfSyavartman	1	PD
adfSyavigraha	1	PD
adfSyopakrama	1	PD
adfzwABedatas	1	PD
adfzwABisaMDi	1	PD
adfzwADInatva	1	PD
adfzwADizWAna	1	PD
adfzwADizWAtf	1	PD
adfzwADizWita	1	PD
adfzwASrayaRa	1	PD
adfzwAdijanyA	1	PD
adfzwAdvAraka	1	PD
adfzwAdyaBAva	1	PD
adfzwAntIkfta	1	PD
adfzwAnusArin	1	PD
adfzwAnuvidDa	1	PD
adfzwApekzaRa	1	PD
adfzwApekzatA	1	PD
adfzwArTaBeda	1	PD
adfzwArTadAna	1	PD
adfzwArTayAna	1	PD
adfzwAsaMBava	1	PD
adfzwAvarudDa	1	PD
adfzwAviroDin	1	PD
adfzwaBUtalam	1	PD
adfzwaPalaBAj	1	PD
adfzwaPalatva	1	PD
adfzwaSaktika	1	PD
adfzwabanDana	1	PD
adfzwacaratva	1	PD
adfzwadarSana	2	PD PWK
adfzwadozatva	1	PD
adfzwadvAraka	1	PD
adfzwadvAratA	1	PD
adfzwagrahaRa	1	PD
adfzwajYApaka	1	PD
adfzwakalpanA	2	AP PD
adfzwakalpana	1	PD
adfzwakartfka	1	PD
adfzwalakzaRa	1	PD
adfzwamaRqala	1	PD
adfzwamaryAda	1	PD
adfzwamastaka	1	PD
adfzwamudgara	1	PD
adfzwaniScaya	1	PD
adfzwanimitta	1	PD
adfzwanirBaya	1	PD
adfzwanirgama	1	PD
adfzwanivftti	1	PD
adfzwapUrvaka	1	PD
adfzwapUrvatA	1	PD
adfzwaparvata	1	PD
adfzwapraBeda	1	PD
adfzwapramARa	1	PD
adfzwaprasAda	1	PD
adfzwapravAha	1	PD
adfzwapravAsA	1	PD
adfzwaprayoga	1	PD
adfzwapuruzaH	1	AP
adfzwarAjatva	1	PD
adfzwarUpatva	1	PD
adfzwasAjAtya	1	PD
adfzwasAmagrI	1	PD
adfzwasApekza	1	PD
adfzwasaMBogA	1	PD
adfzwasaMgati	1	PD
adfzwasuKecCA	1	PD
adfzwasvarUpa	1	PD
adfzwatvajAti	1	PD
adfzwavEguRya	1	PD
adfzwavEjAtya	1	PD
adfzwavEkalya	1	PD
adfzwavaSatas	1	PD
adfzwaviSizwa	1	PD
adfzwavigraha	1	PD
adfzwavilamba	1	PD
adfzwavipriya	1	PD
adfzwaviroDin	1	PD
adfzwavirudDa	1	PD
adfzwavistAra	1	PD
adfzwavyApAra	1	PD
adfzwavyamuKa	1	PD
adfzwecCApaTa	1	PD
adfzwezwavarA	1	PD
adfzwigocaram	1	PD
adfzwikalpanA	1	PD
adfzwivyApAra	1	PD
adfzwodboDita	1	PD
adfzwopArjana	1	PD
adfzwopAyatva	1	PD
adfzwopagraha	1	PD
adfzwotpAdaka	1	PD
adfzwotpAdana	1	PD
adigdeSAtmaka	1	PD
aditidevatAka	1	PD
aditiduHKahan	1	PD
aditinakzatra	1	PD
aditinandanaH	2	AP SKD
aditiparyanta	1	PD
aditiputratva	1	PD
aditisaMjYikA	1	PD
aditisutArAti	1	PD
adityavarDana	1	PD
adozamahAboDa	1	PD
adozaprasaNga	1	PD
adozaprayukta	1	PD
adozavilokanA	1	PD
adozavyAsaNga	1	PD
adrAvitasTAna	1	PD
adrIndrakanyA	1	PD
adrIndraputrI	2	PD SCH
adravarUpatva	1	PD
adravyaDarman	1	PD
adravyadevatA	1	PD
adravyadravya	1	PD
adravyavacana	1	PD
adravyavattva	1	PD
adravyaviSeza	1	PD
adravyavivAda	1	PD
adrazwavyatva	1	PD
adricakravAla	1	PD
adridrumAkula	1	PD
adridurgapAla	1	PD
adrikftasTalA	1	PD
adrikftasTalI	4	MW PD PWG PWK
adrinirIkzaRa	1	PD
adrinirdalana	1	PD
adriparitrARa	1	PD
adriparivarta	1	PD
adripatISvara	1	PD
adripatikanyA	2	PD SCH
adripratIkASa	1	PD
adripratirava	1	PD
adrirAjArcita	1	PD
adrirAjakanyA	1	PD
adrivanASraya	1	PD
adriviGawwana	1	PD
adriviniHsftA	1	PD
adrohamaDyaga	1	PD
adrutoccArita	1	PD
aduHKAtmakatA	1	PD
aduHKadarSinI	1	PD
aduHzanDipada	1	PD
adurnirUpatva	1	PD
aduruktavAkya	1	PD
aduzwABiprAya	1	PD
aduzwaduzwatA	1	PD
aduzwarUpatva	1	PD
aduzwasAmagrI	1	PD
advArakAnvaya	1	PD
advArakAvasTA	1	PD
advArakajYAna	1	PD
advArakasfzwa	1	PD
advArapraveSa	1	PD
advEtAgamavat	1	PD
advEtAnirRaya	1	PD
advEtAnuDyAna	1	PD
advEtAtirikta	1	PD
advEtAtmapara	1	PD
advEtAtmarUpa	1	PD
advEtAvasTita	1	PD
advEtAviroDin	1	PD
advEtAvyAGAta	1	PD
advEtaBAvasTA	1	PD
advEtaSravaRa	1	PD
advEtaSrutija	1	PD
advEtabrahman	1	PD
advEtacAritra	1	PD
advEtacitsuKa	1	PD
advEtadarSana	1	PD
advEtadarpaRa	1	PWK
advEtajYAnada	1	PD
advEtakOstuBa	1	PWK
advEtalakzaRA	1	PD
advEtamAtraka	1	PD
advEtamaNgala	1	PWK
advEtamatavat	1	PD
advEtaniScaya	1	PD
advEtanirRaya	2	PD PWK
advEtanizWatA	1	PD
advEtanizkala	1	PD
advEtaparatva	1	PD
advEtapramARa	1	PD
advEtapramuKa	1	PD
advEtapratIti	1	PD
advEtarUpatva	1	PD
advEtarahasya	1	PWK
advEtasTiratA	1	PD
advEtasaMkoca	1	PD
advEtasatyatA	1	PD
advEtavartman	1	PD
advEtavijYAna	1	PD
advEtavikrama	1	PD
advEtavyAGAta	1	PD
advEtavyAkopa	1	PD
advEtopadezwf	1	PD
advEtopalabDi	1	PD
advEtopanizad	3	MW PWG PWK
advEtopayogin	1	PD
advandvaBakti	1	PD
advayabrahman	1	PD
advayalakzaRa	1	PD
advayarUpatas	1	PD
advayasvaBAva	1	PD
advayopaBogya	1	PD
advirUpavastu	1	PD
advisaMmIlana	1	PD
advitIyAnanda	1	PD
advitIyArTatA	1	PD
advitIyAtmatA	1	PD
advitIyEkasat	1	PD
advitIyaBAgya	1	PD
advitIyaSruti	1	PD
advitIyamAtra	1	PD
advitIyapakza	1	PD
advitIyavapus	1	PD
advitIyavastu	1	PD
advitIyodgama	1	PD
advyAtmakatva	1	PD
adyaSvInapaTA	1	PD
adyaparyantam	1	PD
adyatanaganDa	1	PD
adyatanakalpa	1	PD
adyatanamAtra	1	PD
adyatanasvara	1	PD
adyatanavAcin	1	PD
agADagAmBIrya	1	PD
agADajalADAra	1	PD
agADajalarUpa	1	PD
agADirAjasutA	2	PD SCH
agAranavIkAra	1	PD
agAraparisara	1	PD
agAraviDvaMsa	1	PD
agItakANgatva	1	PD
agOravalAGava	1	PD
agUQaSabdArTa	1	PD
agUQamantratA	1	PD
agUQasadBAvam	2	AP PD
agaKagakAkaka	1	PD
agaReyasAhasa	1	PD
agaRitADoraRa	1	PD
agaRitagaruqa	1	PD
agaRitaguROGa	1	PD
agaRitaguRaBU	1	PD
agaRitakramam	1	PD
agaRitakuSala	1	PD
agaRitalAGava	1	PD
agaRitamaraRa	1	PD
agaRitaniDana	1	PD
agaRitanidAGa	1	PD
agaRitasvArTa	1	PD
agaRitatrapam	1	PD
agaRitezurASi	1	PD
agaRyahiraRya	1	PD
agaRyalAvaRya	1	PD
agaRyamAnatva	1	PD
agaRyamahiman	1	PD
agaRyaprAyatA	1	PD
agadamAntrika	1	PD
agadapralipta	1	PD
agamBIragAhin	1	PD
agamanaviDAna	1	PD
agamyABigAmin	1	PD
agamyAgAmitva	1	PD
agamyAgamanam	1	AP
agamyagAmitva	1	PD
agamyamAnatva	1	PD
agamyavartman	1	PD
aganDabudbuda	1	PD
aganDatApatti	1	PD
agaparAgapara	1	PD
agapatitanayA	1	PD
agarBasaMBava	1	PD
agarBasaMyoga	1	PD
agarhavAcitva	1	PD
agarhitABIzwa	1	PD
agarhyajIvika	1	PD
agartaskandya	4	MW PD PWK SCH
agaruDUpaDUma	1	PD
agaruDUpavAsa	1	PD
agaruliptANga	1	PD
agarupaNkANka	1	PD
agarusaMmiSra	1	PD
agarusamudita	1	PD
agastikuqmala	1	PD
agastisaMBava	1	PD
agastisaMhitA	2	PD PWG
agastyAcarita	1	PD
agastyAnyokti	1	PD
agastyaBavana	1	PD
agastyaSAsana	1	PD
agastyaSIlita	1	PD
agastyacaraRa	1	PD
agastyacarita	1	PD
agastyadfSvan	1	PD
agastyagfhiRI	1	PD
agastyakaTita	1	PD
agastyakusuma	1	PD
agastyapastyA	1	PD
agastyapattra	1	PD
agastyasahita	1	PD
agastyasevita	1	PD
agastyasodara	1	PD
agastyatIrTam	1	AP
agastyavacana	1	PD
agastyavihita	1	PD
agatakAminIti	1	PD
agatarUpaSoBa	1	PD
agatiparihAra	1	PD
agfDnulakzaRa	1	PD
agfhItAMSatva	1	PD
agfhItAnunaya	1	PD
agfhItAsattva	1	PD
agfhItAtmakam	1	PD
agfhItAviveka	1	PD
agfhItaBedatA	1	PD
agfhItaSastra	1	PD
agfhItagavaya	1	PD
agfhItagocara	1	PD
agfhItagrAhin	1	PD
agfhItarajata	1	PD
agfhItasamaya	1	PD
agfhItavanaBU	1	PD
agfhItaviSeza	1	PD
agfhItaviveka	1	PD
agfhItavyApti	1	PD
agfhyamARatva	1	PD
agnInDanAvfta	1	PD
agnItprayojya	1	PD
agnIzomAdivat	1	PD
agnIzomAtmaka	2	PD PWK
agnIzomIyANga	1	PD
agnIzomIyAjya	1	PD
agnIzomIyAnta	1	PD
agnIzomIyArTa	1	PD
agnIzomIyasTa	1	PD
agnIzomIyatva	2	PD PWG
agnIzomIyavat	1	PD
agnIzomacCAyA	1	PD
agnIzomahavis	1	PD
agnIzomenDana	1	PD
agnIzomoddeSa	1	PD
agnOkaraRAnna	1	PD
agniBAvApatti	1	PD
agniBUkASyapa	1	VEI
agniBayaprada	1	PD
agniDAraRArTa	1	PD
agniDizRyatas	1	PD
agniKaRqaSiKA	1	PD
agniSabdAkAra	1	PD
agniSabdapAWa	1	PD
agniSarIratva	1	PD
agniSaraRArTa	1	PD
agniSarmAyaRa	1	PD
agniSastraBft	1	PD
agniSastravat	1	PD
agniSironizWa	1	PD
agniSuSrUzaRa	1	PD
agniSuSrUzaka	1	PD
agnibADakatva	1	PD
agnibalarakzA	1	PD
agnibalavfdDi	1	PD
agnicakropama	1	PD
agnicaturTaka	1	PD
agnicaturaSra	1	PD
agnicatuzwaya	1	PD
agnicawaDvani	1	PD
agnicawatkAra	1	PD
agnicawatkfti	1	PD
agnicityagata	1	PD
agnidAnakArya	1	PD
agnidEvatatva	1	PD
agnidIkzAhuti	1	PD
agnidIkzaRIyA	1	PD
agnidIptamuKa	1	PD
agnidIptikara	1	PD
agnidagDaniBa	1	PD
agnidagDopama	1	PD
agnidevAtmaka	1	PD
agnidevatyafc	1	PD
agnidigAditas	1	PD
agnidiksaMsTa	1	PD
agnidvayABAva	1	PD
agnigarBASaya	1	PD
agnigatAdfzwa	1	PD
agniharidgaja	1	PD
agnihfdayatva	1	PD
agnihomahavis	1	PD
agnihotrABAva	1	PD
agnihotrABeda	1	PD
agnihotrAdika	1	PD
agnihotrAhoma	1	PD
agnihotrAhuti	4	MW PD PWG PWK
agnihotrArTam	1	PD
agnihotraBava	1	PD
agnihotraBeda	1	PD
agnihotraDUma	1	PD
agnihotraDenu	1	PD
agnihotraPala	1	PD
agnihotraSAlA	1	PD
agnihotraSeza	1	PD
agnihotragata	1	PD
agnihotragfha	1	PD
agnihotrahetu	1	PD
agnihotrahoma	3	MW PD PWK
agnihotrakAla	1	PD
agnihotrakuSa	1	PD
agnihotrakuwI	1	PD
agnihotralABa	1	PD
agnihotralopa	1	PD
agnihotramAsa	1	PD
agnihotranaya	1	PD
agnihotrapada	1	PD
agnihotrapara	1	PD
agnihotrarUpa	1	PD
agnihotrarata	1	PD
agnihotrasama	1	PD
agnihotravedI	1	PD
agnihotravelA	2	MW PD
agnihotraviDi	1	PD
agnihotretara	1	PD
agnihotrikula	1	PD
agnihutaBAgin	1	PD
agnijanakatva	1	PD
agnijihvABeda	1	PD
agnijvAlABaya	1	PD
agnijvAlAhata	1	PD
agnijvAlAkula	1	PD
agnijvAlAmaya	1	PD
agnijvAlopama	1	PD
agnikASyapIya	1	PD
agnikAryArTam	1	PD
agnikAryaBUta	1	PD
agnikAryaDUma	1	PD
agnikAryabali	1	PD
agnikAryalopa	1	PD
agnikAryapara	1	PD
agnikAryaviDi	1	PD
agnikaRanyAya	1	PD
agnikaSyapIya	2	PWG PWK
agnikalaNkita	1	PD
agnikanyApura	2	INM PD
agnikarmaviDi	1	PD
agnikoRAditas	1	PD
agnikriyArata	1	PD
agnikuRqAyuDa	1	PD
agnikuRqalinI	1	PD
agnikuRqaniBa	1	PD
agnikuRqasama	1	PD
agnikzAranadI	1	PD
agnikzepArTam	1	PD
agnilokajYAna	1	PD
agnimAtralABa	1	PD
agnimaDyagata	1	PD
agnimacCrAdDa	1	PD
agnimadviSeza	1	PD
agnimanTagfha	1	PD
agnimanTamUla	1	PD
agnimanTanIya	3	MW PD PWG
agnimantratas	1	PD
agnimatkarman	1	PD
agnimattvavat	1	PD
agnimuKanetra	1	PD
agniniDAnArTa	1	PD
agninigrahaRa	1	PD
agninirapekza	1	PD
agninirvApaRa	1	PD
agninirvApaka	1	PD
agniniryyAsaH	1	SKD
agninizpAdana	1	PD
agnipadaprada	1	PD
agnipakvASana	1	PD
agniparANmuKa	1	PD
agnipariDAnam	1	AP
agniparicCada	5	CAE MW PD PWG PWK
agniparicCeda	1	PD
agniparicaryA	1	PD
agniparigraha	1	PD
agniparikriyA	7	AP CAE MW PD PWG PWK VCP
agniparikzIRa	1	PD
agniparityAga	1	PD
agniparyantam	1	PD
agnipitfkArya	1	PD
agniprAkAraka	1	PD
agniprAyaguRa	1	PD
agnipraBAkara	1	PD
agnipraRayana	6	MW PD PWG PWK SCH VCP
agnipraRiDAna	1	PD
agnipraboDana	1	PD
agnipradIpana	1	PD
agnipraharaRa	1	PD
agniprakASaka	1	PD
agniprakASana	1	PD
agniprakaraRa	1	PD
agniprakftika	1	PD
agniprakopana	1	PD
agniprapatana	1	PD
agniprastaraH	2	AP SKD
agnipratApita	1	PD
agnipratIkAra	1	PD
agnipratapana	1	PD
agnipratiBAsa	1	PD
agnipratizeDa	1	PD
agnipratyakza	1	PD
agnipraveSana	4	MW PD PWG PWK
agniprayojaka	1	PD
agniprayojana	1	PD
agnipuraHsara	1	PD
agnipuraskfta	1	PD
agnirUpApanna	1	PD
agnirakzitikA	2	BHS PD
agnisADakatva	1	PD
agnisAhacarya	1	PD
agnisAkzikatA	1	PD
agnisUryaviDi	1	PD
agnisaMCAdita	1	PD
agnisaMbanDin	1	PD
agnisaMdIpana	4	MW PD PWG PWK
agnisaMkrAnta	1	PD
agnisaMkrAnti	1	PD
agnisaMniDAna	1	PD
agnisaMnihita	1	PD
agnisaMpAdana	1	PD
agnisaMpluzwa	1	PD
agnisaMsevana	1	PD
agnisaMskAraH	1	AP
agnisaMskriyA	1	PD
agnisaMsparSA	1	PD
agnisaMsparSa	1	PD
agnisaMspfzwa	1	PD
agnisaMtApanA	1	PD
agnisaMtApana	1	PD
agnisaMtrasta	1	PD
agnisaMtyAgin	1	PD
agnisaMvalita	1	PD
agnisaMvedana	1	PD
agnisaMvyApta	1	PD
agnisaMyogaja	1	PD
agnisaMyojana	1	PD
agnisahacArin	1	PD
agnisahayukta	1	PD
agnisalakzaRa	1	PD
agnisamASraya	1	PD
agnisamIpasTa	1	PD
agnisamIpatas	1	PD
agnisamadyuti	1	PD
agnisamakalpa	1	PD
agnisamanvita	1	PD
agnisamapraBa	1	PD
agnisamarcana	1	PD
agnisamarcita	1	PD
agnisamarpita	1	PD
agnisamavAyin	1	PD
agnisaminDana	1	PD
agnisamuccaya	1	PD
agnisamuccita	1	PD
agnisamudBUta	1	PD
agnisamudBava	1	PD
agnisatyapada	1	PD
agnisekAdivat	1	PD
agnisevitatva	1	PD
agnisomAtmaka	1	PD
agnistamBakft	1	PD
agnistamBanaM	1	SKD
agnistutipara	1	PD
agnistutiviDi	1	PD
agnisvaBAvaka	1	PD
agnitIrTatIra	1	PD
agnitrayakalA	1	PD
agnitvarUpita	1	PD
agnitvopacAra	1	PD
agnityAgaBaya	1	PD
agnityAgakara	1	PD
agnivAcakatva	1	PD
agnivESyAyana	3	BHS PD PWG
agnivIsarpaRa	1	PD
agnivacanatva	1	PD
agnivarRaniBa	1	PD
agnivarRasama	1	PD
agnivardDakaH	1	SKD
agnivardDanaM	1	SKD
agnivarzaDArA	1	PD
agniveSyAyana	1	PD
agniviDmApana	1	PD
agniviSizwatA	1	PD
agnividyArUpa	1	PD
agniviharaRam	1	AP
agnivikAratva	1	PD
agnivikarzaRa	1	PD
agnivimocanam	1	AP
agnivinirgama	1	PD
agnivinirmARa	1	PD
agniviqambana	1	PD
agnivisarjana	1	PD
agnivivarDana	1	PD
agnivizayatva	1	PD
agnivyaBicAra	1	PD
agnivyavahAra	1	PD
agniyogayukta	1	PD
agnizWaraSanA	1	PD
agnizWavarjam	1	PD
agnizomAtmaka	1	PD
agnizomIyatva	1	PD
agnizwikAdAna	1	PD
agnizwomAdika	1	PD
agnizwomAyana	1	PD
agnizwomAzwan	1	PD
agnizwomaPala	1	PD
agnizwomaSata	1	PD
agnizwomadaSA	1	PD
agnizwomamuKa	1	PD
agnizwomasAma	4	MW PD PWK VCP
agnizwomayAga	1	PD
agnizwunmAtra	1	PD
agnizwunmaDya	1	PD
agnizwunnAman	1	PD
agnyADAnABAva	1	PD
agnyADAnaviDi	1	PD
agnyADeyarUpa	2	MW PD
agnyADirohaRa	1	PD
agnyAdISAntam	1	PD
agnyAdiBAvanA	1	PD
agnyAdidevatA	1	PD
agnyAdidravya	1	PD
agnyAdigamana	1	PD
agnyAdikarman	1	PD
agnyAdikeSara	1	PD
agnyAdikoRaga	1	PD
agnyAdimaraRa	1	PD
agnyAdiniyama	1	PD
agnyAdinizeDa	1	PD
agnyAdipIqita	1	PD
agnyAdiprApti	1	PD
agnyAdirUpatA	1	PD
agnyAdisamUha	1	PD
agnyAdivAcaka	1	PD
agnyAdivacana	1	PD
agnyAdivizaya	1	PD
agnyAdyASrita	1	PD
agnyAdyAtmaka	1	PD
agnyAdyapyaya	1	PD
agnyAdyuddeSa	1	PD
agnyaBiyajana	1	PD
agnyaDikaraRa	1	PD
agnyaboDakatA	1	PD
agnyagArapara	1	PD
agnyagAratfRa	1	PD
agnyanubanDin	1	PD
agnyanugamana	1	PD
agnyanumApaka	1	PD
agnyanuyajana	1	PD
agnyapAdAnaka	1	PD
agnyapanayana	1	PD
agnyapekzatva	1	PD
agnyarTakArya	1	PD
agnyarTakAzWa	1	PD
agnyarkakalpa	1	PD
agnyarkarUpin	1	PD
agnyasaMskfti	1	PD
agnyatigrAhya	1	PD
agnyavacAraRa	1	PD
agnyavaskanda	1	PD
agnyavinABAva	1	PD
agnyudAharaRa	1	PD
agnyudDaraRam	1	AP
agnyudakaSeza	1	PD
agnyudakadAna	1	PD
agnyudgraBaRa	1	PD
agnyupacaraRa	1	PD
agnyupakaraRa	1	PD
agnyupasTAnam	1	AP
agopiRqAtmaka	1	PD
agovyAvfttatA	1	PD
agovyavacCeda	1	PD
agrAhyaBAvanA	1	PD
agrAhyanAmaka	2	PD PWK
agrAhyanAmatA	1	PD
agrAhyayAjana	1	PD
agrAmaRIpUrva	1	PD
agrAmyaSUkara	1	PD
agrAmyanarman	1	PD
agrAmyapacana	1	PD
agrAmyasUkara	1	PD
agrAmyavasana	1	PD
agrAmyavizaya	1	PD
agrApavartana	1	PD
agrAvalehitam	1	AP
agraKuradvaya	1	PD
agraSaraRArTa	1	PD
agrabAhusTAna	1	PD
agrabindupAta	1	PD
agradivyapada	1	PD
agragasEnDava	1	PD
agrahArIkftya	1	PD
agrahAradvija	1	PD
agrahAragraha	1	PD
agrahAsaMBava	1	PD
agrahAyaRezwi	2	PD VCP
agrahaRAtmaka	1	PD
agrahaRaSakti	1	PD
agrahaRaSruti	1	PD
agrahaRakIrRa	1	PD
agrahaRamAtra	1	PD
agrahaRapakza	1	PD
agrahaRasidDi	1	PD
agrahaRavAkya	1	PD
agrahabanDana	1	PD
agrahanimitta	1	PD
agrahasaMBava	1	PD
agrajaSuSrUzA	1	PD
agrajanmaguru	1	PD
agrajasaMBava	1	PD
agrajasaMyuta	1	PD
agrajasatkaTA	1	PD
agrakukundara	1	PD
agramARqalika	1	PD
agranTavizaya	1	PD
agranTikowara	1	PD
agranirIkzita	1	PD
agranirUpaRam	1	AP
agrapAdANgulI	1	PD
agrapAdasTitA	1	AP
agrapAdasTita	1	PD
agrapAtaBagna	1	PD
agraparvAyata	1	PD
agraparyantam	1	PD
agraprajYapti	2	BHS PD
agraprasArita	1	PD
agraprayARaka	1	PD
agrasaMkucita	1	PD
agrasamanvita	1	PD
agratalAYcita	1	PD
agratvaviBAga	1	PD
agratvaviDAna	1	PD
agratvaviSeza	1	PD
agravAmahasta	1	PD
agravakranAsa	1	PD
agravivartana	1	PD
agravyapadeSa	1	PD
agretanAkzara	1	PD
agretanAmAtya	1	PD
agrimAmAvAsyA	1	PD
agrimafgdvaya	1	PD
agrimanandana	1	PD
agrimapAdAnta	1	PD
agrimapaYcamI	1	PD
agrimapadArTa	1	PD
agrimasaMgati	1	PD
agrimasaMsAra	1	PD
agrimavarRaka	1	PD
agrimopayogin	1	PD
agropaharaRam	1	AP
agryArhaRArha	1	PD
agryasaMgraha	1	PD
aguRAntarajYa	1	PD
aguRavfdDiBAj	1	PD
aguRaviDipara	1	PD
aguruDUmaBara	1	PD
aguruDUmajAla	1	PD
aguruDUpaDUma	1	PD
agurudigDANga	1	PD
agurupaNkANka	1	PD
aguruprayukta	3	MD PD PWK
agurusaMyukta	1	PD
aguwikAnvezin	1	PD
ahAraTantaram	1	AP
ahInAASvatTya	1	VEI
ahaHsaMDimant	2	PWG PWK
ahaMprATamikA	1	SCH
ahaMpraTamikA	2	PWG PWK
ahaNkartavyam	1	AP
ahalyAmEtreyI	1	VEI
ahalyAnandana	1	VCP
ahampraTamikA	2	AP MW
ahampratyayaH	1	AP
ahamuttaratva	3	MW PWG PWK
aharbbAnDavaH	1	SKD
aharvyatyAsam	2	MW PWK
ahinirlvayanI	2	PWK SCH
ahinirvlayanI	4	AP MW PWG PWK
ahomasaMyukta	1	PWK
ahorAtravftta	1	PWK
ajANGriDizRya	1	PD
ajAdiprasaNga	1	PD
ajAdisaMbanDa	1	PD
ajAdiyamASaya	1	PD
ajAdyekasUtra	1	PD
ajAgalastanaH	1	AP
ajAjIpuzpavat	1	PD
ajAmadagnyatA	1	PD
ajAmitAkaraRa	1	PD
ajApaYcaprada	1	PD
ajArDaninditA	1	PD
ajAryamaDyaga	1	PD
ajAstanaMDaya	1	PD
ajAtadantatva	1	PD
ajAtakakuttva	1	PD
ajAtanizpatti	1	PD
ajAtaparitoza	1	PD
ajAtaputratva	1	PD
ajAtasaMBrama	1	PD
ajAtasaMkzoBa	1	PD
ajAtasaMskAra	1	PD
ajAtaviSramBa	1	PD
ajAtavyaYjana	4	AP MW PD PWK
ajAtiSabdatva	1	PD
ajAvikaDanAdi	1	PD
ajEkapAdafkza	1	PD
ajEkapAdarkza	3	PD PWG PWK
ajIgarteSvara	1	PD
ajImUtavarzin	3	PD PWK SCH
ajIrRADyaSana	1	PD
ajIrRADyuzita	1	PD
ajIrRakaRwaka	1	PD
ajIrRalakzaRa	1	PD
ajIrRapraBava	1	PD
ajIrRasaMBava	1	PD
ajIrRavyaTita	1	PD
ajIryavikrama	1	PD
ajIvAditattva	1	PD
ajIvajIvaBAva	1	PD
ajIvakartftva	1	PD
ajIvasaMjYita	1	PD
ajIvaspfzwikA	1	PD
ajIvyavyasana	1	PD
ajJalAdeSatva	1	PD
ajJalsADAraRa	1	PD
ajJalsamudAya	1	PD
ajYAnABAvatas	1	PD
ajYAnADInatva	1	PD
ajYAnADyApana	1	PWK
ajYAnANgIkAra	1	PD
ajYAnASrayatA	1	PD
ajYAnAdarSana	1	PD
ajYAnAdiduHKa	1	PD
ajYAnAdisidDi	1	PD
ajYAnAditraya	1	PD
ajYAnAdyAkArA	1	PD
ajYAnAdyApAta	1	PD
ajYAnAdyaBAva	1	PD
ajYAnAdyupADi	1	PD
ajYAnAkalpita	1	PD
ajYAnAnAtmaka	1	PD
ajYAnAnDajana	1	PD
ajYAnAnDakAra	1	PD
ajYAnAnapekza	1	PD
ajYAnAnivftti	1	PD
ajYAnAnubanDa	1	PD
ajYAnAnucCeda	1	PD
ajYAnAnuvftti	1	PD
ajYAnApanutti	1	PD
ajYAnArUQatva	1	PD
ajYAnAsaMBava	1	PD
ajYAnAsvIkAra	1	PD
ajYAnAtirikta	1	PD
ajYAnAtmakatA	1	PD
ajYAnAvacCeda	1	PD
ajYAnAviroDin	1	PD
ajYAnaBAvatas	1	PD
ajYAnaDarzita	1	PD
ajYAnaDvaMsin	1	PD
ajYAnaGasmara	1	PD
ajYAnaPalatva	1	PD
ajYAnaSAtrava	1	PD
