slp1	iast	pos	period_spread
mad	mad	v	1
pratizWA	pratiṣṭhā	v	1
locana	locana	n	1
vAdin	vādin	adj	1
balavat	balavat	adj	1
pAtay	pātay	v	1
budDa	buddha	m	1
utsfj	utsṛj	v	1
udaya	udaya	m	1
saMDi	saṁdhi	mf	1
mfd	mṛd	f	1
duhitf	duhitṛ	f	1
aSvin	aśvin	m	1
pIqay	pīḍay	v	1
AyuDa	āyudha	mn	1
ftu	ṛtu	m	1
kuSala	kuśala	adj	1
meGa	megha	m	1
ruD	rudh	v	1
AnI	ānī	v	1
kzAra	kṣāra	m	1
nipat	nipat	v	1
akzara	akṣara	n	1
saKi	sakhi	m	1
mAnava	mānava	m	1
SaraRa	śaraṇa	n	1
pakva	pakva	adj	1
salila	salila	n	1
Sukra	śukra	n	1
keSa	keśa	m	1
vyAsa	vyāsa	m	1
grAma	grāma	mn	1
AraB	ārabh	v	1
vapus	vapus	n	1
Sakya	śakya	adj	1
kopa	kopa	m	1
bfhaspati	bṛhaspati	m	1
kAYcana	kāñcana	n	1
saMGa	saṁgha	m	1
Ahf	āhṛ	v	1
tanu	tanu	f	1
harza	harṣa	m	1
saMvatsara	saṁvatsara	mn	1
rasAyana	rasāyana	n	1
niveday	niveday	v	1
yAma	yāma	m	1
grahaRa	grahaṇa	n	1
mAkzika	mākṣika	mfn	1
lavaRa	lavaṇa	n	1
saMskAra	saṁskāra	m	1
kratu	kratu	m	1
nija	nija	adj	1
kalpay	kalpay	v	1
sakala	sakala	adj	1
apsaras	apsaras	f	1
Bizaj	bhiṣaj	m	1
DyAna	dhyāna	mn	1
SudDi	śuddhi	f	1
tuz	tuṣ	v	1
anIka	anīka	mn	1
parvan	parvan	n	1
kzatra	kṣatra	n	1
vasizWa	vasiṣṭha	m	1
arTin	arthin	adj	1
oGa	ogha	m	1
muhUrta	muhūrta	mn	1
Asya	āsya	n	1
DUma	dhūma	mn	1
pAvaka	pāvaka	m	1
sarpa	sarpa	m	1
svapna	svapna	mn	1
ambara	ambara	n	1
maraRa	maraṇa	n	1
sveda	sveda	m	1
nIla	nīla	adj	1
arcay	arcay	v	1
sTiti	sthiti	f	1
vasti	vasti	mf	1
divasa	divasa	mn	1
nfpati	nṛpati	m	1
samprAp	samprāp	v	1
caturTa	caturtha	adj	1
jyezWa	jyeṣṭha	adj	1
SAnti	śānti	f	1
balin	balin	adj	1
jAla	jāla	n	1
prAjYa	prājña	adj	1
duz	duṣ	v	1
jit	jit	adj	1
saMgrAma	saṁgrāma	mn	1
dAra	dāra	mn	1
gA	gā	v	1
tIvra	tīvra	adj	1
aKila	akhila	adj	1
asat	asat	adj	1
pratipad	pratipad	v	1
dakziRA	dakṣiṇā	f	1
kalka	kalka	mn	1
amBas	ambhas	n	1
daDi	dadhi	n	1
vAri	vāri	n	1
samasta	samasta	adj	1
Badra	bhadra	adj	1
gulma	gulma	mn	1
jval	jval	v	1
nyas	nyas	v	1
samAna	samāna	adj	1
danta	danta	mn	1
lip	lip	v	1
prAYc	prāñc	adj	1
vasu	vasu	mn	1
sTira	sthira	adj	1
candana	candana	mn	1
havis	havis	n	1
mAruta	māruta	m	1
SApa	śāpa	m	1
vistara	vistara	m	1
niDA	nidhā	v	1
Suc	śuc	v	1
upapad	upapad	v	1
visfj	visṛj	v	1
janArdana	janārdana	m	1
e	e	v	1
sAman	sāman	n	1
antarDA	antardhā	v	1
mUrti	mūrti	f	1
nandana	nandana	m	1
bfhat	bṛhat	adj	1
antarikza	antarikṣa	n	1
avasTA	avasthā	v	1
kArin	kārin	adj	1
mAna	māna	m	1
vipula	vipula	adj	1
SrAdDa	śrāddha	n	1
jihvA	jihvā	f	1
vAsa	vāsa	m	1
sahas	sahas	n	1
daiva	daiva	n	1
nABi	nābhi	f	1
yava	yava	mn	1
ADA	ādhā	v	1
Anana	ānana	n	1
udDf	uddhṛ	v	1
Apad	āpad	v	1
Ayuzmat	āyuṣmat	adj	1
kIrtay	kīrtay	v	1
atI	atī	v	1
