hw_slp1	iast	pw_L	pw_pc	corr_n	corr_dicts	mahavy_refs	dcs_band	proposed_action	evidence	gloss
alaMkArarahasya	alaṃkārarahasya	212847	7-309-d	2	acc;sch		0	add-entry	A:alaMkAraratnAkara	
alajjAkara	alajjākara	212854	7-310-a	2	ben;sch		0	add-entry	B:alajja;A:alatikA	
alabDavya	alabdhavya	212861	7-310-a	2	sch;stc		1	add-entry	A:alabDapada;A:alaBya	
alamelamaNgAstotra	alamelamaṅgāstotra	212866	7-310-a	2	acc;sch		0	add-entry	A:alamArya	
alopayant	alopayant	212889	7-310-b	2	sch;stc		0	add-entry	B:alokyatA	
alOlya	alaulya	212894	7-310-b	2	ben;sch		2	add-entry	B:aloha;A:alpakAya	
alpotsuka	alpotsuka	212913	7-310-b	2	bhs;sch		0	add-entry	B:alpeSAKya;B:avaka	
avaYcaka	avañcaka	212949	7-310-c	2	cae;sch		1	add-entry	A:avajvAla;A:avaYcanatA	
avaragodAnIya	avaragodānīya	213005	7-311-a	2	bhs;sch	154	0	add-entry	B:avara	
avaraBAgIya	avarabhāgīya	213008	7-311-a	2	bhs;sch	109	0	add-entry	B:avaratas	
avalokitalakzmI	avalokitalakṣmī	213038	7-311-b	2	bhs;sch		0	add-entry	A:avalokanaka;A:avalopa	
avikAsaBAva	avikāsabhāva	213121	7-311-d	2	sch;stc		0	add-entry	B:avikArya;A:avikURita	
avicezwant	aviceṣṭant	213141	7-311-d	2	sch;stc		0	add-entry	B:avicAra;B:avicyuta	
avidUzaka	avidūṣaka	213159	7-312-a	3	ap;sch;stc		0	add-entry	B:avidita;B:avidoha	
avirajas	avirajas	213205	7-312-b	2	bhs;sch	251	0	add-entry	B:avimokza;B:avirata	
aviSArada	aviśārada	213232	7-312-b	2	sch;stc		2	add-entry		
avErin	avairin	213278	7-312-c	2	sch;stc		0	add-entry		
avyApakavizayatASUnyatvapattra	avyāpakaviṣayatāśūnyatvapattra	213303	7-312-d	2	acc;sch		0	add-entry	B:avyApaka;B:avyApanna	
aSaWaDI	aśaṭhadhī	213324	7-313-a	2	sch;yat		0	add-entry	B:aSaNkam	
aSanEs	aśanais	213330	7-313-a	3	md;sch;stc		0	add-entry	A:aSanISa	
aSuBaBAvanA	aśubhabhāvanā	213366	7-313-b	2	bhs;sch	52	0	add-entry	A:aSuBacintaka	
aSfRya	aśṛṇya	213370	7-313-b	3	mw72;sch;yat		0	add-entry	B:aSezas	
azwapadamUlikA	aṣṭapadamūlikā	213452	7-313-d	2	acc;sch		0	add-entry	B:azwagava	
azwamAsika	aṣṭamāsika	213456	7-313-d	4	ap;ben;lrv;sch		0	add-entry	A:azwaratni	
azwaSlokI	aṣṭaślokī	213461	7-313-d	2	acc;sch		0	add-entry	A:azwavArzika	
azwasTAnaparIkzA	aṣṭasthānaparīkṣā	213464	7-313-d	2	acc;sch		0	add-entry	B:azwastanA;A:azwANga	
azwANganiGaRwu	aṣṭāṅganighaṇṭu	213466	7-313-d	2	acc;sch		0	add-entry	A:azwANga;A:azwANgapraRipAta	
azwAdaSapurARasAra	aṣṭādaśapurāṇasāra	213472	7-313-d	2	acc;sch		0	add-entry	A:azwAdaSavakra	
azwottaraSatadivyadeSanirUpaRa	aṣṭottaraśatadivyadeśanirūpaṇa	213483	7-314-a	2	acc;sch		0	add-entry	A:azwika;B:azWIla	
asaMyacCant	asaṃyacchant	213489	7-314-a	2	sch;stc		0	add-entry	B:asa;B:asaMyata	
asaMyamitAlakin	asaṃyamitālakin	213493	7-314-a	2	sch;stc		0	add-entry	B:asaMyukta	
asaMlakzita	asaṃlakṣita	213499	7-314-a	2	sch;stc		0	add-entry	B:asaMroha	
asaMkucita	asaṃkucita	213534	7-314-b	2	ben;sch		2	add-entry	A:asaMkIrRa;B:asaMkrAnta	
asaMgfhItatva	asaṃgṛhītatva	213542	7-314-b	2	sch;stc		0	add-entry	B:asaMgata;A:asaMgraha	
asaMcetayamAna	asaṃcetayamāna	213550	7-314-b	3	md;sch;stc		0	add-entry		
asatyavacana	asatyavacana	213562	7-314-c	2	cae;sch		0	add-entry	B:asatyavAda	
asatsaMparka	asatsaṃparka	213565	7-314-c	2	md;sch		0	add-entry	B:asadfSa	
asaMprajanya	asaṃprajanya	213607	7-314-d	2	bhs;sch	104	0	add-entry		
asaMprayuYjant	asaṃprayuñjant	213613	7-314-d	2	sch;stc		0	add-entry	B:asaMpramoza	
asaMBavapattra	asaṃbhavapattra	213617	7-314-d	2	acc;sch		0	add-entry	A:asaMBava;B:asaMBAzya	
asahasra	asahasra	213636	7-315-a	2	sch;stc		1	add-entry	B:asahamAna;B:asahAya	
asADaka	asādhaka	213641	7-315-a	4	cae;ccs;md;sch		3	add-entry	B:asADana	
asAyaka	asāyaka	213651	7-315-a	3	md;sch;stc		0	add-entry	B:asAmAnya	
asKalana	askhalana	213709	7-315-c	3	cae;sch;stc		1	add-entry	B:asKala	
ahirbuDnyasaMhitA	ahirbudhnyasaṃhitā	213813	7-316-b	2	acc;sch		0	add-entry	B:ahirbuDnyas;B:ahiSuzmasatvan	
aholABakara	aholābhakara	213828	7-316-b	2	ap;sch		0	add-entry	B:ahnavAyya	
AkArABinirhAra	ākārābhinirhāra	213849	7-316-c	2	bhs;sch		0	add-entry		
AkASaBErava	ākāśabhairava	213856	7-316-c	2	acc;sch		0	add-entry	A:AkASamaRi	
AkASasParaRa	ākāśaspharaṇa	213859	7-316-c	2	bhs;sch	21	0	add-entry		
AkASADikaraRavAda	ākāśādhikaraṇavāda	213860	7-316-c	2	acc;sch		0	add-entry		
AkASAsaNgavimuktinirupalepa	ākāśāsaṅgavimuktinirupalepa	213861	7-316-c	2	bhs;sch	21	0	add-entry	A:AkiMcanyAyatana	
AgamasArasaMgraha	āgamasārasaṃgraha	213914	7-316-d	2	acc;sch		0	add-entry	B:AgamaSazkulI;A:Agamya	
ANgirasakalpa	āṅgirasakalpa	213941	7-317-a	2	pe;sch		0	add-entry	A:ANgirasa;B:ANgirasapavitra	
AcAradarSana	ācāradarśana	213953	7-317-a	2	acc;sch		0	add-entry	A:AcArya	
AcAryacampU	ācāryacampū	213957	7-317-a	2	acc;sch		0	add-entry	B:AcAryakaraRa;B:AcAryadeva	
AcAryaprapatti	ācāryaprapatti	213959	7-317-a	2	acc;sch		0	add-entry	B:AcAryadeva;A:AcAryamuzwi	
ARqapille	āṇḍapille	214006	7-317-c	2	acc;sch		0	add-entry	A:ARqakoSa;A:ARqapIta	
AtmajYAnopadeSa	ātmajñānopadeśa	214029	7-317-c	2	acc;sch		0	add-entry	B:AtmaGoza;B:Atmatantra	
AtmatvajAtisidDivAda	ātmatvajātisiddhivāda	214032	7-317-c	2	acc;sch		0	add-entry	B:AtmatrARaparigraha;B:AtmadevatA	
AtmaprakASikAvivaraRa	ātmaprakāśikāvivaraṇa	214036	7-317-c	2	acc;sch		0	add-entry	B:Atmanivedana;B:AtmapraBa	
Atmotkarza	ātmotkarṣa	214062	7-317-d	2	md;sch	127	0	add-entry	A:AtmollAsa	
AdarSamuKa	ādarśamukha	214068	7-317-d	2	bhs;sch	167	1	add-entry	B:AdarSa	
AdikuRqanIya	ādikuṇḍanīya	214075	7-317-d	2	acc;sch		0	add-entry		
AdivimAnajIrRodDAra	ādivimānajīrṇoddhāra	214092	7-318-a	2	acc;sch		0	add-entry	A:AdivarAha	
ADAtar	ādhātar	214111	7-318-a	4	ccs;fri;pwg;sch		0	add-entry	B:ADAna	
ApadevIya	āpadevīya	214167	7-318-c	2	acc;sch		0	add-entry	A:ApatsahAya;A:Aparuza	
AmnAyakriyArTatvAdisUtravicAra	āmnāyakriyārthatvādisūtravicāra	214244	7-319-a	2	acc;sch		0	add-entry	B:Amodin;B:Ambuda	
ArADanakrama	ārādhanakrama	214291	7-319-b	2	acc;sch		0	add-entry	B:ArAgra;A:ArAmADipati	
ArUQajAtaka	ārūḍhajātaka	214302	7-319-b	2	acc;sch		0	add-entry	A:ArUQa	
ASAwavI	āśāṭavī	214403	7-320-a	2	bhs;sch		0	add-entry	B:ASaNkya;A:ASAtanA	
ASIrvacanamAlA	āśīrvacanamālā	214418	7-320-b	2	acc;sch		0	add-entry	B:ASIviza	
ASramavAsaparvan	āśramavāsaparvan	214429	7-320-b	2	inm;sch		0	add-entry	A:ASrava	
AsurakARqa	āsurakāṇḍa	214460	7-320-c	2	acc;sch		0	add-entry	B:AsInapracalAyita;B:Asecanaka	
AsParaRakasamADi	āspharaṇakasamādhi	214470	7-320-c	2	bhs;sch	67	0	add-entry	B:AsPAla	
AhitAgnibrAhmaRa	āhitāgnibrāhmaṇa	214495	7-320-d	2	acc;sch		0	add-entry	A:Ahita;B:AhutiBAga	
AhnikaBAskara	āhnikabhāskara	214501	7-320-d	2	acc;sch		0	add-entry	B:Aheya;A:AhrIkya	
iNgyaratna	iṅgyaratna	214514	7-321-a	2	acc;sch		0	add-entry		
icCantika	icchantika	214515	7-321-a	2	bhs;sch	110	2	add-entry	A:icCAsadfSa	
itTaMgata	itthaṃgata	214526	7-321-a	3	cae;ccs;sch		0	add-entry	B:itTam	
indirApariRaya	indirāpariṇaya	214540	7-321-a	2	acc;sch		0	add-entry	B:indirA;A:indIvaradfS	
induratneSvaraprasAda	induratneśvaraprasāda	214549	7-321-b	2	acc;sch		0	add-entry		
indraprasTamAhAtmya	indraprasthamāhātmya	214567	7-321-b	2	acc;sch		0	add-entry	A:indraprayARa;A:indramaGaSrI	
indraSrI	indraśrī	214574	7-321-b	2	bhs;sch		0	add-entry	B:indrasava	
izwinirRaya	iṣṭinirṇaya	214615	7-321-d	2	acc;sch		0	add-entry	B:izwApUrta;A:izwimaya	
Ikzati	īkṣati	214629	7-321-d	3	lrv;sch;vcp		0	add-entry	B:Ikzaka	
IkzAraRyamAhAtmya	īkṣāraṇyamāhātmya	214630	7-321-d	2	acc;sch		0	add-entry		
Ilay	īlay	214640	7-321-d	2	cae;sch		0	add-entry	B:IrapAda	
ISvaradIkzita	īśvaradīkṣita	214651	7-322-a	2	acc;sch		0	add-entry	B:ISvarakAraRin	
ISvaraSataka	īśvaraśataka	214652	7-322-a	2	acc;sch		0	add-entry		
ISvarasuKavAda	īśvarasukhavāda	214653	7-322-a	2	acc;sch		0	add-entry	B:IzatkArya	
ucitopAyasaMgraha	ucitopāyasaṃgraha	214682	7-322-a	2	acc;sch		0	add-entry	A:uccakEs	
uccagopura	uccagopura	214686	7-322-b	2	md;sch		0	add-entry	A:uccataratA	
ucCaNga	ucchaṅga	214706	7-322-b	2	bhs;sch	248	0	add-entry	A:ucCalana	
ucCiraska	ucchiraska	214709	7-322-b	2	bhs;sch		0	add-entry	A:ucCuzma	
ujjahistamba	ujjahistamba	214718	7-322-b	2	pwg;sch		0	add-entry	A:ujjigamizA	
uqigalla	uḍigalla	214729	7-322-c	2	bhs;sch		0	add-entry	A:uwwIkita	
uqudaSAPala	uḍudaśāphala	214730	7-322-c	2	acc;sch		0	add-entry	B:uqupa	
utkuwukikA	utkuṭukikā	214748	7-322-c	2	bhs;sch	263,25	0	add-entry	B:utkuwuka;B:utkUjita	
utkfzwikA	utkṛṣṭikā	214752	7-322-c	2	bhs;sch	263,18	0	add-entry	A:utketana	
utkzepaRIya	utkṣepaṇīya	214761	7-322-d	2	bhs;sch	265	0	add-entry	A:utkzepa;A:utKanana	
uttamaSlokacandrikA	uttamaślokacandrikā	214773	7-322-d	2	acc;sch		0	add-entry	B:uttamBana	
uttarapaYcAla	uttarapañcāla	214781	7-322-d	2	pui;sch		0	add-entry	B:uttaraDAraya	
uttaraprAyaScitta	uttaraprāyaścitta	214784	7-322-d	2	acc;sch		0	add-entry		
uttararAGavIya	uttararāghavīya	214788	7-323-a	2	acc;sch		0	add-entry		
utsfzwaloman	utsṛṣṭaloman	214859	7-323-c	2	md;sch		0	add-entry	A:utsfjya;A:utsekin	
udakamaRi	udakamaṇi	214870	7-323-c	2	bhs;sch		0	add-entry	A:udakarakzikA	
udetos	udetos	214929	7-323-d	4	cae;ccs;md;sch		0	add-entry	A:udUrmi	
uddarpa	uddarpa	214944	7-324-a	3	md;sch;stc		1	add-entry	B:udGuzwa;B:uddAna	
udBUtarUpakAraRatAvAda	udbhūtarūpakāraṇatāvāda	214964	7-324-a	2	acc;sch		0	add-entry	B:udBUtatva	
udyApanaviDAna	udyāpanavidhāna	214969	7-324-a	2	acc;sch		0	add-entry	B:udyAva	
udvijitavya	udvijitavya	214983	7-324-b	3	md;sch;stc		0	add-entry	B:udvAsya;A:udvecam	
unmAdacikitsApawala	unmādacikitsāpaṭala	214996	7-324-b	2	acc;sch		0	add-entry	B:unmAdaka;A:unmAdin	
unmUrDan	unmūrdhan	215004	7-324-b	3	md;sch;stc		0	add-entry	B:unmuKa;A:unmokzA	
upaDivAra	upadhivāra	215050	7-324-d	2	bhs;sch		0	add-entry	A:upaDi;A:upaDenu	
upapayoDi	upapayodhi	215073	7-325-a	2	sch;stc		0	add-entry		
upasaMhAravijaya	upasaṃhāravijaya	215134	7-325-b	2	acc;sch		0	add-entry	A:upasaMhAra	
upANgiraHsmfti	upāṅgiraḥsmṛti	215162	7-325-c	2	acc;sch		0	add-entry	B:upAgama;A:upAttasAra	
upAdAnatvasamarTana	upādānatvasamarthana	215165	7-325-c	2	acc;sch		0	add-entry		
upAdAyarUpa	upādāyarūpa	215166	7-325-c	2	bhs;sch	101,10	0	add-entry		
uBayagrAsarAhUdaya	ubhayagrāsarāhūdaya	215194	7-325-d	2	acc;sch		0	add-entry	A:uBayataHkzRU	
uBayatoBAgavimukta	ubhayatobhāgavimukta	215199	7-325-d	2	bhs;sch	46	0	add-entry		
umeSvara	umeśvara	215209	7-326-a	2	bhs;sch		0	add-entry		
ullaNGikA	ullaṅghikā	215232	7-326-a	2	bhs;sch	263,24	0	add-entry		
UrDvapuRqraDAraRa	ūrdhvapuṇḍradhāraṇa	215284	7-326-c	2	acc;sch		0	add-entry	A:UrDvaBAgahara	
UrDvaBAgIya	ūrdhvabhāgīya	215286	7-326-c	2	bhs;sch	109	0	add-entry	A:UrDvaBAgahara;B:UrDvaBAsin	
fjuvivaraRa	ṛjuvivaraṇa	215319	7-326-d	2	acc;sch		0	add-entry		
fRaDara	ṛṇadhara	215322	7-326-d	2	bhs;sch		0	add-entry	B:fRa	
fRavimocanaSAnti	ṛṇavimocanaśānti	215323	7-326-d	2	acc;sch		0	add-entry		
ekajyAvargavikala	ekajyāvargavikala	215366	7-327-a	2	acc;sch		0	add-entry	A:ekacCAyApravizwa	
ekatvasidDivAda	ekatvasiddhivāda	215372	7-327-a	2	acc;sch		0	add-entry		
ekavIcika	ekavīcika	215412	7-327-b	2	bhs;sch	46	0	add-entry	A:ekavfkzIya	
ekavyUhaviBAga	ekavyūhavibhāga	215418	7-327-b	2	inm;sch		0	add-entry	A:ekavyUha;B:ekavrata	
ekaSAstravAda	ekaśāstravāda	215425	7-327-c	2	acc;sch		0	add-entry	B:ekaSAKa	
ekaSIlasamAcAra	ekaśīlasamācāra	215428	7-327-c	2	bop;sch		0	add-entry	A:ekaSUla	
ekaSlokIvyAKyA	ekaślokīvyākhyā	215432	7-327-c	2	acc;sch		0	add-entry	A:ekaSeza	
ekasAmi	ekasāmi	215436	7-327-c	2	acc;sch		0	add-entry	B:ekasarga;B:ekasfka	
ekAdaSaprayoga	ekādaśaprayoga	215454	7-327-c	2	acc;sch		0	add-entry	B:ekAdaSacCadi	
ekAdaSImAhAtmya	ekādaśīmāhātmya	215458	7-327-c	2	acc;sch		2	add-entry	B:ekAnta	
ekAvacAraka	ekāvacāraka	215465	7-327-d	2	bhs;sch	245,1027	0	add-entry	A:ekArzeya	
ekASIticakrodDAra	ekāśīticakroddhāra	215466	7-327-d	2	acc;sch		0	add-entry		
eqameqa	eḍameḍa	215478	7-327-d	2	bhs;sch		0	add-entry	B:eqa	
eqAkzipuzpa	eḍākṣipuṣpa	215480	7-327-d	2	bhs;sch		0	add-entry	B:eRaka	
etadvid	etadvid	215488	7-327-d	2	cae;sch		0	add-entry	B:etadyoni;B:eraka	
evaMvAdin	evaṃvādin	215495	7-328-a	2	md;sch		3	add-entry	A:evaMvidus	
EhipaSyika	aihipaśyika	215535	7-328-b	2	bhs;sch	63	0	add-entry	B:EzAvIra	
oMkAravAda	oṃkāravāda	215541	7-328-b	2	acc;sch		0	add-entry	B:oja	
oqigalla	oḍigalla	215545	7-328-b	2	bhs;sch		0	add-entry	B:otu	
Ottarapattra	auttarapattra	215560	7-328-b	2	acc;sch		0	add-entry	A:Otkawya;B:Ottarapadika	
OdgAtraprayoga	audgātraprayoga	215567	7-328-c	2	acc;sch		0	add-entry	B:Odumbari;B:OddAlaki	
OpAsanamantra	aupāsanamantra	215584	7-328-c	2	acc;sch		0	add-entry	B:OpavAhya;A:Opendra	
kakzimAlikopanizad	kakṣimālikopaniṣad	215608	7-328-d	2	acc;sch		0	add-entry	B:kakvala	
kaRAdanyAyaBUzaRa	kaṇādanyāyabhūṣaṇa	215655	7-329-a	2	acc;sch		0	add-entry	B:kaRAwIra;B:kaRika	
kanakajAnakI	kanakajānakī	215692	7-329-b	2	acc;sch		0	add-entry	B:kanakadaRqa	
kanyAmADava	kanyāmādhava	215716	7-329-c	2	acc;sch		0	add-entry	A:kanyAdarSam	
karuRAkandalI	karuṇākandalī	215781	7-330-a	2	acc;sch		0	add-entry	B:karenduka	
karmavipAkamahArRava	karmavipākamahārṇava	215831	7-330-b	2	acc;sch		0	add-entry		
kalandakanivApa	kalandakanivāpa	215853	7-330-c	2	bhs;sch	193	2	add-entry	B:kalatra;B:kalamagopavaDU	
kalahakaRwaka	kalahakaṇṭaka	215859	7-330-c	2	md;sch		2	add-entry	B:kalaha;B:kalahakArin	
kalAvatIkAmarUpa	kalāvatīkāmarūpa	215868	7-330-c	2	acc;sch		0	add-entry	B:kali	
kaliviqambana	kaliviḍambana	215874	7-330-d	2	acc;sch		0	add-entry		
kalmAzadamya	kalmāṣadamya	215898	7-330-d	2	bhs;sch		0	add-entry		
kavikaRWapASa	kavikaṇṭhapāśa	215914	7-331-a	2	acc;sch		0	add-entry	B:kavi;A:kavikaRWABaraRa	
kaSambakajAta	kaśambakajāta	215921	7-331-a	2	bhs;sch	278	0	add-entry	B:kaSa;B:kaSyapottarasaMhitA	
kAntisuDAmaya	kāntisudhāmaya	215968	7-331-b	2	md;sch		0	add-entry		
kAmadogDrI	kāmadogdhrī	215976	7-331-b	2	acc;sch		0	add-entry	A:kAmada;B:kAmaDAtu	
kAmAkzIstava	kāmākṣīstava	215986	7-331-c	2	acc;sch		0	add-entry	B:kAmpIlavAsin	
kAyakalisaMpramaTana	kāyakalisaṃpramathana	215992	7-331-c	2	bhs;sch	21,116	0	add-entry	B:kAya	
kArakavAdArTa	kārakavādārtha	216000	7-331-c	2	acc;sch		0	add-entry	B:kAraka;B:kAraRa	
kArtavIryArjuna	kārtavīryārjuna	216019	7-331-d	2	pe;pui		2	add-entry		
kArtasvaramaya	kārtasvaramaya	216020	7-331-d	2	md;sch		0	add-entry		
kAlaviDAnapadDati	kālavidhānapaddhati	216055	7-332-a	2	acc;sch		0	add-entry	B:kAlavAla	
kAverImAhAtmya	kāverīmāhātmya	216076	7-332-a	2	acc;sch		0	add-entry		
kAzWahAraka	kāṣṭhahāraka	216090	7-332-b	2	bhs;sch	186,106	0	add-entry	B:kAzWAluka	
kiMhetu	kiṃhetu	216096	7-332-b	3	cae;ccs;sch		1	add-entry	A:kiMstya	
kiMpratyaya	kiṃpratyaya	216115	7-332-c	2	bhs;sch		0	add-entry	B:kiri	
kirIwavatsa	kirīṭavatsa	216119	7-332-c	2	bhs;sch		0	add-entry	B:kirmira;B:kila	
kiSorAjIya	kiśorājīya	216128	7-332-c	2	acc;sch		0	add-entry	B:kiSoraka;A:kizkuru	
kucelavftta	kucelavṛtta	216155	7-332-d	2	acc;sch		0	add-entry	B:kuYjarI	
kuwukuYcaka	kuṭukuñcaka	216163	7-332-d	2	bhs;sch		1	add-entry		
kutarkaKaRqana	kutarkakhaṇḍana	216178	7-333-a	2	acc;sch		0	add-entry	A:kutapahAra;A:kutastana	
kubjottarA	kubjottarā	216200	7-333-a	2	bhs;sch		0	add-entry	A:kubji;B:kuBra	
kurukuci	kurukuci	216225	7-333-b	2	bhs;sch	127,50	0	add-entry	B:kurukzetra	
kulatattvanirUpaRa	kulatattvanirūpaṇa	216233	7-333-b	2	acc;sch		0	add-entry	B:kulaMkula	
kulopaka	kulopaka	216245	7-333-b	2	bhs;sch		0	add-entry	B:kulodBava	
kuSalavopAKyAna	kuśalavopākhyāna	216258	7-333-c	2	acc;sch		0	add-entry	A:kuSamAlin	
kusumabARavilAsa	kusumabāṇavilāsa	216270	7-333-c	2	acc;sch		0	add-entry	B:kusumanagara	
kUpAdijalasTAnalakzaRa	kūpādijalasthānalakṣaṇa	216297	7-333-d	2	acc;sch		0	add-entry	B:kUpa;B:kUyava	
kUreSavijaya	kūreśavijaya	216299	7-333-d	2	acc;sch		0	add-entry	B:kUyava	
kUzmARqadIkzAnukramaRikA	kūṣmāṇḍadīkṣānukramaṇikā	216304	7-333-d	2	acc;sch		0	add-entry	B:kUlaka;A:kfcCradvitIya	
kftsnAyatana	kṛtsnāyatana	216334	7-334-a	2	bhs;sch	72	0	add-entry		
kfzRanAmAzwottara	kṛṣṇanāmāṣṭottara	216359	7-334-b	2	acc;sch		0	add-entry	B:kfzRadaSa;B:kfzRapakza	
kfzRAnadImAhAtmya	kṛṣṇānadīmāhātmya	216380	7-334-b	2	acc;sch		0	add-entry	B:kfzRAtreya;B:kfzRAlu	
kfzRAvatAracarita	kṛṣṇāvatāracarita	216382	7-334-b	2	acc;sch		0	add-entry	B:kfzRAlu;A:kfzyakAra	
keralIyadvAdaSaBAva	keralīyadvādaśabhāva	216394	7-334-c	2	acc;sch		0	add-entry	B:keralikA;A:kerA	
kevalAnvayikevalavyatirekagranTa	kevalānvayikevalavyatirekagrantha	216399	7-334-c	2	acc;sch		0	add-entry	B:kevalAtman;B:kevalin	
kowanaka	koṭanaka	216430	7-334-d	3	bhs;mci;sch		2	add-entry	B:kocavaka	
kowiviraha	koṭiviraha	216435	7-334-d	2	acc;sch		0	add-entry		
kriyAkEravacandrikA	kriyākairavacandrikā	216498	7-335-b	2	acc;sch		0	add-entry	B:krimRa;B:kriyAguptaka	
kriyAgopana	kriyāgopana	216500	7-335-b	2	acc;sch		0	add-entry	B:kriyAguptaka;B:kriyAviSAla	
kzaRikarAhusidDAnta	kṣaṇikarāhusiddhānta	216541	7-335-c	2	acc;sch		0	add-entry	B:kzatajapAta	
kzatriyajapaviDAna	kṣatriyajapavidhāna	216546	7-335-d	2	acc;sch		0	add-entry	B:kzatriya;B:kzatriyAntakara	
kzetrAnukramaRI	kṣetrānukramaṇī	216606	7-336-a	2	acc;sch		0	add-entry	A:kzetrasADas;B:kzetriya	
KaYjAhva	khañjāhva	216625	7-336-b	2	bhs;sch	213,140	0	add-entry	B:KaYja;B:KawakA	
KaqgalakzaRa	khaḍgalakṣaṇa	216632	7-336-b	2	acc;sch		0	add-entry	A:KaqgavAri	
KamBIrapati	khambhīrapati	216651	7-336-b	2	bhs;sch	186,33	0	add-entry	A:KanyavAdin;B:Karajru	
KalupaScAdBaktika	khalupaścādbhaktika	216665	7-336-c	2	bhs;sch	49	0	add-entry	B:Kalu;A:KalekapotanyAya	
Kavant	khavant	216671	7-336-c	2	pwg;sch		0	add-entry	A:KalvaNga;B:KaSa	
KARu	khāṇu	216676	7-336-c	3	bhs;ieg;sch	245,564	1	add-entry	B:KAtaka	
KAdyakacAraka	khādyakacāraka	216681	7-336-c	2	bhs;sch	274,4	0	add-entry	B:KAdanIya;B:KAnam	
Kusta	khusta	216688	7-336-d	2	bhs;sch		1	add-entry	A:KuramAlin	
gaganagirimunIndracarita	gaganagirimunīndracarita	216699	7-336-d	2	acc;sch		0	add-entry	B:gaganagaYja;A:gaganapariDAna	
gajasUtravAda	gajasūtravāda	216711	7-336-d	2	acc;sch		0	add-entry	B:gajasiMha;B:gajaskanDa	
gajAvartalakzaRa	gajāvartalakṣaṇa	216713	7-336-d	2	acc;sch		0	add-entry	B:gajaskanDa	
gajendramokza	gajendramokṣa	216716	7-336-d	2	acc;sch		0	add-entry	B:gajAhva	
gaRaniGaRwu	gaṇanighaṇṭu	216732	7-337-a	2	acc;sch		0	add-entry	B:gaRanApattrikA;B:gaRarAtra	
gamBIraGozasvaranAdita	gambhīraghoṣasvaranādita	216789	7-337-c	2	bhs;sch	23,42	0	add-entry	B:gamBara	
garBacikitsA	garbhacikitsā	216805	7-337-d	2	acc;sch		0	add-entry	B:garBa;B:garBanirharaRa	
garBapurImAhAtmya	garbhapurīmāhātmya	216807	7-337-d	2	acc;sch		0	add-entry	B:garBanirharaRa;B:garBapuroqASa	
gIrvARaSloka	gīrvāṇaśloka	216869	7-338-b	2	acc;sch		0	add-entry	B:guMkAra	
guruviDivijaya	guruvidhivijaya	216905	7-338-c	2	acc;sch		0	add-entry	B:guruvAra;B:gulPajAha	
gfhyapIWikA	gṛhyapīṭhikā	216945	7-338-d	2	acc;sch		0	add-entry	B:gfhya;A:geha	
gocarapariSudDa	gocarapariśuddha	216956	7-339-a	2	bhs;sch	65,51	0	add-entry	A:gocara	
godApariRaya	godāpariṇaya	216964	7-339-a	2	acc;sch		0	add-entry	A:godAnavrata	
goDanagiri	godhanagiri	216965	7-339-a	2	fri;sch		0	add-entry	B:gonihAra	
gopadmavrata	gopadmavrata	216969	7-339-a	2	acc;sch		0	add-entry	B:gopaticApa	
gopAlaratnAkara	gopālaratnākara	216974	7-339-a	2	acc;sch		0	add-entry	B:gopAlagiri;B:gopiwaka	
gopIcandanamAhAtmya	gopīcandanamāhātmya	216977	7-339-a	2	acc;sch		0	add-entry		
gozWIpurImAhAtmya	goṣṭhīpurīmāhātmya	216999	7-339-b	2	acc;sch		0	add-entry	B:gozWaSva;A:gozWodumbara	
gOcya	gaucya	217003	7-339-b	2	sch;vcp		0	add-entry		
gOqabrahmAnanda	gauḍabrahmānanda	217004	7-339-b	2	acc;sch		0	add-entry	B:gOtama	
gOrAvaskandin	gaurāvaskandin	217010	7-339-b	3	pwg;sch;vcp		0	add-entry	B:gOra;B:gOrijeya	
grahagocaraPala	grahagocaraphala	217020	7-339-c	2	acc;sch		0	add-entry	B:graB;B:grahaRa	
grahaRakriyAkrama	grahaṇakriyākrama	217023	7-339-c	2	acc;sch		0	add-entry	A:grahaRaka;B:grahatva	
grahArcanaprokzaRa	grahārcanaprokṣaṇa	217029	7-339-c	2	acc;sch		0	add-entry	A:grahAntarukTya;B:grahi	
Gowakamfga	ghoṭakamṛga	217102	7-340-a	2	bhs;sch	213,29	0	add-entry	B:GftAhuti	
cakawi	cakaṭi	217110	7-340-a	2	bhs;sch		0	add-entry	B:GrA	
cakArasamarTana	cakārasamarthana	217111	7-340-a	2	acc;sch		0	add-entry	B:cakoradfS	
caRqaBAskara	caṇḍabhāskara	217141	7-340-b	2	acc;sch		0	add-entry	B:cawulita;B:caRqAntika	
caturdaSIstotra	caturdaśīstotra	217158	7-340-b	2	acc;sch		0	add-entry	B:caturdaSAkzara;B:caturdvAra	
catuHSlokI	catuḥślokī	217180	7-340-c	2	acc;sch		0	add-entry	B:catuScakra;B:catuzka	
catuzkumBikA	catuṣkumbhikā	217183	7-340-c	2	bhs;sch	281,111	0	add-entry	B:catuzkizku;B:catuzpaTa	
candrikAKaRqana	candrikākhaṇḍana	217215	7-340-d	2	acc;sch		0	add-entry	B:candrASma	
carakasaMdeSa	carakasaṃdeśa	217228	7-341-a	2	acc;sch		0	add-entry	B:car;A:caraRaka	
