hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form	verdict	rec_score	recommendation	review_note
asitavallI	asitavallī	pw	12607	1-149-c	0	89	0		0		0	0		0	0	confirmed-missing	1	low-priority	
asmay	asmay	pw	12996	1-154-a	0	75	0		1		1	1	pwg	0	0	variant-form-in-MW	1	check	
asrAy	asrāy	pw	13032	1-154-b	0	68	0		1		0	0		0	0	variant-form-in-MW	-1	low-priority	
asraGna	asraghna	pw	13020	1-154-a	0	204	0		0		0	0		0	0	confirmed-missing	1	low-priority	
asrakaRWa	asrakaṇṭha	pw	13017	1-154-a	0	80	0		0		5	5	pwg;shs;vcp;wil;yat	0	0	confirmed-missing	11	add	
asramAtar	asramātar	pw	13026	1-154-b	0	82	0		0		0	0		0	0	confirmed-missing	1	low-priority	
asrareRu	asrareṇu	pw	13027	1-154-b	0	66	0		0		0	0		0	0	confirmed-missing	1	low-priority	
astAga	astāga	pw	12837	1-152-b	0	98	0		0	astAGa:1.000	2	1	mw72;pwg	0	0	confirmed-missing	3	add-check	vowel-length/case variant of MW headword 'astAGa' (fold-twin - same lexeme or distinct word needs eyes)
astAra	astāra	pw	12840	1-152-b	0	63	0		0	AstAra:1.000	0	0		0	1	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'AstAra' (fold-twin - same lexeme or distinct word needs eyes)
astamatI	astamatī	pw	12811	1-152-a	0	76	0		0	asamAti:0.933	8	7	bur;mw72;pwg;shs;skd;vcp;wil;yat	0	0	confirmed-missing	15	add-check	false-friend near form 'asamAti' (0.933) - different word, omission stands
astamitAvavAda	astamitāvavāda	pw	213711	7-315-c	1	119	1	261	0		1	1	sch	0	0	confirmed-missing	5	check	
astaraRa	astaraṇa	pw	12825	1-152-a	0	91	0		0	AstaraRa:1.000	2	2	pwg;vcp	0	0	confirmed-missing	3	add-check	vowel-length/case variant of MW headword 'AstaraRa' (fold-twin - same lexeme or distinct word needs eyes)
astarkzaRa	astarkṣaṇa	pw	12827	1-152-a	0	72	0		0		2	1	mw72;pwg	0	0	confirmed-missing	5	add	
astibala	astibala	pw	12847	1-152-b	0	85	0		0	atibala:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'atibala' (0.933) - different word, omission stands
astimant	astimant	pw	12848	1-152-b	0	54	0		0	astimat:0.933	1	1	pwg	0	0	confirmed-missing	0	check	false-friend near form 'astimat' (0.933) - different word, omission stands
astraKadira	astrakhadira	pw	206699	5-248-b	1	124	0		0	asraKadira:0.952	1	1	sch	0	0	confirmed-missing	1	check	probable orthographic doublet of MW headword 'asraKadira' (0.952)
asuBagaMBavizRu	asubhagaṃbhaviṣṇu	pw	12682	1-150-c	0	77	0		0		0	0		0	0	confirmed-missing	1	low-priority	
asukzaRa	asukṣaṇa	pw	12656	1-150-b	0	70	0		0	asUrkzaRa:0.941	5	4	mw72;pwg;shs;wil;yat	0	0	confirmed-missing	9	add-check	false-friend near form 'asUrkzaRa' (0.941) - different word, omission stands
asurkzaRa	asurkṣaṇa	pw	12715	1-151-a	0	71	0		0	asUrkzaRa:1.000	3	3	pwg;shs;wil	0	0	confirmed-missing	5	add-check	vowel-length/case variant of MW headword 'asUrkzaRa' (fold-twin - same lexeme or distinct word needs eyes)
atalesparSa	atalesparśa	pw	1615.2	1-019-c	0	22	0		0		0	0		0	0	confirmed-missing	0	low-priority	
atanavant	atanavant	pw	1595.1	1-019-c	0	22	0		0	atanavat:0.941	0	0		0	0	confirmed-missing	-2	low-priority	false-friend near form 'atanavat' (0.941) - different word, omission stands
atfptikft	atṛptikṛt	pw	202054	2-287-c	1	89	0		0		1	1	sch	0	0	confirmed-missing	3	check	
atiBavatI	atibhavatī	pw	1898	1-023-a	0	37	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
atiSUka	atiśūka	pw	2090	1-025-a	0	65	0		0	atiSukla:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'atiSukla' (0.933) - different word, omission stands
atiSUkaja	atiśūkaja	pw	2091	1-025-a	0	75	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atiSakawi	atiśakaṭi	pw	2064	1-024-c	0	39	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
atiTyarcA	atithyarcā	pw	1758	1-021-b	0	66	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atibIja	atibīja	pw	1890	1-022-c	0	84	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atibfhatPala	atibṛhatphala	pw	1893	1-023-a	0	78	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atibrAhmaRa	atibrāhmaṇa	pw	1895	1-023-a	0	94	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atidIpti	atidīpti	pw	1771	1-021-c	0	88	0		0		1	1	sch	1	0	confirmed-missing	5	check	
atiduzwa	atiduṣṭa	pw	1784	1-021-c	0	94	0		0		2	2	cae;sch	1	0	confirmed-missing	7	add	
atiganDaka	atigandhaka	pw	1669	1-020-b	0	84	0		0		0	0		1	0	confirmed-missing	3	low-priority	
atihastay	atihastay	pw	2172	1-025-c	0	93	0		1	atihastaya:0.947	2	2	gst;pwg	0	0	variant-form-in-MW	3	add-check	false-friend near form 'atihastaya' (0.947) - different word, omission stands
atikAmuka	atikāmuka	pw	1638	1-020-a	0	69	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atikArIzaganDya	atikārīṣagandhya	pw	1641	1-020-a	0	71	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atikAraka	atikāraka	pw	1640	1-020-a	0	65	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
atikaRwa	atikaṇṭa	pw	1629	1-020-a	0	139	0		0	atiKara:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'atiKara' (0.933) - different word, omission stands
atikaRwaka	atikaṇṭaka	pw	1629.1	1-020-a	0	22	0		0		0	0		1	0	confirmed-missing	2	low-priority	
atikaWinataRqula	atikaṭhinataṇḍula	pw	1627	1-020-a	0	74	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atikanda	atikanda	pw	1632	1-020-a	0	104	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atila	atila	pw	1995	1-024-a	0	100	0		0		1	1	sch	0	0	confirmed-missing	3	check	
atilaka	atilaka	pw	1995.1	1-024-a	0	22	0		0		0	0		0	0	confirmed-missing	0	low-priority	
atimAnavant	atimānavant	pw	1930	1-023-b	0	63	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atima	atima	pw	1914	1-023-a	0	35	0		1		1	1	pwg	0	0	variant-form-in-MW	0	check	
atimaYjulA	atimañjulā	pw	1916	1-023-a	0	79	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atimahiman	atimahiman	pw	200305	1-285-a	1	109	0		0		1	1	sch	0	0	confirmed-missing	3	check	
atipanTAs	atipanthās	pw	1830	1-022-a	0	70	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atipattraka	atipattraka	pw	1827	1-022-a	0	93	0		0		0	0		1	0	confirmed-missing	3	low-priority	
atipicCila	atipicchila	pw	1844	1-022-b	0	156	0		0		0	0		1	0	confirmed-missing	3	low-priority	
atirAjay	atirājay	pw	1976	1-023-c	0	77	0		1	atirAjaya:0.941	2	2	gst;pwg	0	0	variant-form-in-MW	3	add-check	false-friend near form 'atirAjaya' (0.941) - different word, omission stands
atirUQa	atirūḍha	pw	1983	1-023-c	0	73	0		0		1	1	sch	0	1	confirmed-missing	3	check	
atiraktANga	atiraktāṅga	pw	1967	1-023-c	0	97	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atiruhA	atiruhā	pw	1982	1-023-c	0	99	0		1	atiruh:0.923	0	0		1	1	variant-form-in-MW	1	low-priority	false-friend near form 'atiruh' (0.923) - different word, omission stands
atisAraGnI	atisāraghnī	pw	2136	1-025-b	0	67	0		0		0	0		1	1	confirmed-missing	3	low-priority	
atisOmyA	atisaumyā	pw	2152	1-025-b	0	82	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atisikta	atisikta	pw	2139	1-025-b	0	126	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atiskanDA	atiskandhā	pw	2155	1-025-c	0	88	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atisravA	atisravā	pw	2167	1-025-c	0	95	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atisvan	atisvan	pw	200348	1-285-b	1	116	0		1	atiSva:0.923	1	1	sch	0	0	variant-form-in-MW	1	check	false-friend near form 'atiSva' (0.923) - different word, omission stands
atitejanI	atitejanī	pw	1738	1-021-b	0	103	0		0		0	0		0	0	confirmed-missing	1	low-priority	
ativfzala	ativṛṣala	pw	2047	1-024-b	0	100	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atriBaradvAjikA	atribharadvājikā	pw	2354	1-027-c	0	143	0		0	atriBAradvAjikA:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'atriBAradvAjikA' (fold-twin - same lexeme or distinct word needs eyes)
atridagja	atridagja	pw	2351	1-027-c	0	51	0		0		0	0		0	0	confirmed-missing	0	low-priority	
atvaramARa	atvaramāṇa	pw	2360.1	1-027-c	0	22	0		0		1	1	pwg	1	0	confirmed-missing	4	check	
atyAmarda	atyāmarda	pw	2294	1-027-a	0	61	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atyaNga	atyaṅga	pw	2243	1-026-b	0	89	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
atyamlarasA	atyamlarasā	pw	2266	1-026-c	0	85	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atyantaSoRita	atyantaśoṇita	pw	2256	1-026-c	0	71	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atyantapadmA	atyantapadmā	pw	2253	1-026-c	0	73	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atyantara	atyantara	pw	2254	1-026-c	0	81	0		0		0	0		0	0	confirmed-missing	1	low-priority	
atyarka	atyarka	pw	2270	1-026-c	0	104	0		0	atarka:0.923	0	0		1	0	confirmed-missing	1	low-priority	false-friend near form 'atarka' (0.923) - different word, omission stands
atyugraganDA	atyugragandhā	pw	2316	1-027-b	0	97	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avApitaDAnya	avāpitadhānya	pw	10863	1-128-a	0	105	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avEvartacakra	avaivartacakra	pw	213279	7-312-c	1	99	1	651	0		1	1	sch	0	0	confirmed-missing	5	check	
avaRa	avaṇa	pw	10321	1-121-b	0	63	0		0	avara:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'avara' (fold-twin - same lexeme or distinct word needs eyes)
avaSyAyabindu	avaśyāyabindu	pw	10703	1-126-a	0	88	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avaSyavizaya	avaśyaviṣaya	pw	10699	1-126-a	0	65	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avadAhezwakApaTa	avadāheṣṭakāpatha	pw	10378.2	1-122-a	0	23	0		0		4	4	shs;vcp;wil;yat	0	0	confirmed-missing	8	add	
avadAlaka	avadālaka	pw	10376	1-122-a	0	69	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avadAtakara	avadātakara	pw	10363	1-122-a	0	66	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avadAya	avadāya	pw	10372	1-122-a	0	70	0		0	aSvadAya:0.933	1	1	pwg	0	1	confirmed-missing	1	check	false-friend near form 'aSvadAya' (0.933) - different word, omission stands
avadravya	avadravya	pw	206509	5-246-a	1	109	0		0		1	1	sch	0	0	confirmed-missing	3	check	
avagAda	avagāda	pw	10244	1-120-c	0	77	0		0	avagaDa:1.000	6	5	bur;mw72;pwg;shs;wil;yat	0	0	confirmed-missing	11	add-check	vowel-length/case variant of MW headword 'avagaDa' (fold-twin - same lexeme or distinct word needs eyes)
avagAhe	avagāhe	pw	10249	1-120-c	0	112	0		1	avagAh:0.923	2	2	bur;pwg	0	1	variant-form-in-MW	3	add-check	false-friend near form 'avagAh' (0.923) - different word, omission stands
avagAhitavya	avagāhitavya	pw	10247	1-120-c	0	102	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avagUlikA	avagūlikā	pw	10255	1-120-c	0	60	0		0		0	0		0	0	confirmed-missing	0	low-priority	
avaga	avaga	pw	212928	7-310-c	1	105	1	246.	1	avagA:1.000	2	2	bhs;sch	0	0	variant-form-in-MW	5	add-check	vowel-length/case variant of MW headword 'avagA' (fold-twin - same lexeme or distinct word needs eyes)
avagaRanA	avagaṇanā	pw	206497	5-246-a	1	108	0		1	avagaRana:1.000	1	1	sch	0	0	variant-form-in-MW	1	check	vowel-length/case variant of MW headword 'avagaRana' (fold-twin - same lexeme or distinct word needs eyes)
avagalBAy	avagalbhāy	pw	10242.1	1-120-c	0	23	0		0		0	0		0	0	confirmed-missing	0	low-priority	
avaha	avaha	pw	10786	1-127-a	0	60	0		1	Avaha:1.000	4	4	ap;ap90;ieg;vcp	0	0	variant-form-in-MW	6	add-check	vowel-length/case variant of MW headword 'Avaha' (fold-twin - same lexeme or distinct word needs eyes)
avakASaka	avakāśaka	pw	10193	1-120-a	0	69	0		0	avAkSAKa:0.941	0	0		1	0	confirmed-missing	1	low-priority	false-friend near form 'avAkSAKa' (0.941) - different word, omission stands
avakalpanA	avakalpanā	pw	212919	7-310-b	1	104	1	245	0	avakalana:0.947	2	2	bhs;sch	0	0	confirmed-missing	5	add-check	false-friend near form 'avakalana' (0.947) - different word, omission stands
avakalpitin	avakalpitin	pw	10189	1-120-a	0	69	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
avalattikA	avalattikā	pw	10631	1-125-a	0	59	0		0		2	2	pwg;vcp	0	0	confirmed-missing	4	add	
avalinda	avalinda	pw	10637	1-125-b	0	53	0		0	avalIna:0.933	1	1	pwg	0	0	confirmed-missing	0	check	false-friend near form 'avalIna' (0.933) - different word, omission stands
avamUrDa	avamūrdha	pw	212996	7-310-d	1	113	1	154	0		2	2	bhs;sch	1	1	confirmed-missing	9	add	
avanaha	avanaha	pw	212973	7-310-d	1	93	1	261,90	1	avanAha:1.000	1	1	sch	0	0	variant-form-in-MW	3	check	vowel-length/case variant of MW headword 'avanAha' (fold-twin - same lexeme or distinct word needs eyes)
avantyaka	avantyaka	pw	10473	1-123-a	0	101	0		0	avantaka:0.941	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'avantaka' (0.941) - different word, omission stands
avaracAmara	avaracāmara	pw	213006	7-311-a	1	115	1	154	0		1	1	sch	0	0	confirmed-missing	5	check	
avaragodAnIya	avaragodānīya	pw	213005	7-311-a	1	92	1	154	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
avarahasa	avarahasa	pw	10574	1-124-b	0	57	0		0		4	4	ap;ap90;pwg;vcp	0	0	confirmed-missing	8	add	
avaravarRaka	avaravarṇaka	pw	10569.1	1-124-b	0	23	0		0		4	4	pwg;shs;wil;yat	0	0	confirmed-missing	8	add	
avarikA	avarikā	pw	10579	1-124-b	0	50	0		0	AvarikA:1.000	1	1	pwg	0	0	confirmed-missing	0	check	vowel-length/case variant of MW headword 'AvarikA' (fold-twin - same lexeme or distinct word needs eyes)
avarohadru	avarohadru	pw	10604	1-124-c	0	91	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avary	avary	pw	10623	1-125-a	0	62	0		1		1	1	pwg	0	0	variant-form-in-MW	1	check	
avasAdinI	avasādinī	pw	10735	1-126-b	0	83	0		0		0	0		0	1	confirmed-missing	1	low-priority	
avasakTi	avasakthi	pw	10715	1-126-a	0	219	0		0	Avasati:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'Avasati' (0.933) - different word, omission stands
avaskandIya	avaskandīya	pw	10756	1-126-c	0	105	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avasnAna	avasnāna	pw	206535	5-246-b	1	114	0		0	avasAna:0.933	1	1	sch	0	0	confirmed-missing	1	check	false-friend near form 'avasAna' (0.933) - different word, omission stands
avasyandI	avasyandī	pw	10782	1-127-a	0	127	0		1	avasyand:0.941	0	0		0	0	variant-form-in-MW	-1	low-priority	false-friend near form 'avasyand' (0.941) - different word, omission stands
avatUlay	avatūlay	pw	10349	1-121-c	0	58	0		1	avatUlaya:0.941	1	1	pwg	0	0	variant-form-in-MW	0	check	false-friend near form 'avatUlaya' (0.941) - different word, omission stands
avayasa	avayasa	pw	10552	1-124-a	0	79	0		0	avayAsa:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'avayAsa' (fold-twin - same lexeme or distinct word needs eyes)
avazwamBanatA	avaṣṭambhanatā	pw	213050	7-311-b	1	146	1	192	0		1	1	sch	0	0	confirmed-missing	5	check	
avegagamana	avegagamana	pw	11283	1-132-c	0	82	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avfzalIka	avṛṣalīka	pw	11271	1-132-c	0	103	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avfzala	avṛṣala	pw	11269	1-132-c	0	84	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avfzalaka	avṛṣalaka	pw	11270	1-132-c	0	64	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
aviBUti	avibhūti	pw	11082	1-130-b	0	67	0		0	AvirBUti:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'AvirBUti' (0.933) - different word, omission stands
avidDakarRa	aviddhakarṇa	pw	10999	1-129-b	0	84	0		1	AvidDakarRa:1.000	1	1	sch	0	0	variant-form-in-MW	1	check	vowel-length/case variant of MW headword 'AvidDakarRa' (fold-twin - same lexeme or distinct word needs eyes)
avijYapti	avijñapti	pw	213144	7-311-d	1	136	1	101	0		1	1	sch	0	0	confirmed-missing	5	check	
avilAlita	avilālita	pw	11131	1-131-a	0	62	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avimuktaka	avimuktaka	pw	11095	1-130-c	0	256	0		0		0	0		1	0	confirmed-missing	3	low-priority	
avinivartanIya	avinivartanīya	pw	213174	7-312-a	1	120	1	24	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
avipariRAmavartin	avipariṇāmavartin	pw	213179	7-312-a	1	148	1	245,881	0		1	1	sch	0	0	confirmed-missing	5	check	
avirajas	avirajas	pw	213205	7-312-b	1	116	1	251	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
avityajYa	avityajña	pw	10983	1-129-b	0	68	0		0	avityaja:0.941	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'avityaja' (0.941) - different word, omission stands
avivfkza	avivṛkṣa	pw	11153	1-131-b	0	88	0		0		0	0		0	0	confirmed-missing	1	low-priority	
avrIqa	avrīḍa	pw	11444	1-134-c	0	64	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
avyAda	avyāda	pw	11404	1-134-b	0	79	0		0	AvyADa:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'AvyADa' (fold-twin - same lexeme or distinct word needs eyes)
avyaRqa	avyaṇḍa	pw	11340	1-133-b	0	241	0		1	avyaRqA:1.000	0	0		1	0	variant-form-in-MW	1	low-priority	vowel-length/case variant of MW headword 'avyaRqA' (fold-twin - same lexeme or distinct word needs eyes)
avyantIkfta	avyantīkṛta	pw	213291	7-312-d	1	116	1	245,637	0		1	1	sch	0	0	confirmed-missing	5	check	
awAy	aṭāy	pw	1487	1-018-b	0	63	0		1		2	2	gst;pwg	0	0	variant-form-in-MW	3	add-check	pratyayhara/short-form class (PWK lists grammatical elements MW does not headword)
awaja	aṭaja	pw	1477	1-018-b	0	73	0		0		0	0		0	0	confirmed-missing	1	low-priority	
awwAy	aṭṭāy	pw	1505	1-018-c	0	33	0		1		2	2	gst;pwg	0	0	variant-form-in-MW	2	add-check	
ayAcitavallI	ayācitavallī	pw	8788	1-102-c	0	86	0		0		0	0		0	0	confirmed-missing	1	low-priority	
ayAvas	ayāvas	pw	8810	1-103-a	0	87	0		1	ayavas:1.000	0	0		0	0	variant-form-in-MW	-1	low-priority	vowel-length/case variant of MW headword 'ayavas' (fold-twin - same lexeme or distinct word needs eyes)
ayaHSalmalIvana	ayaḥśalmalīvana	pw	212549	7-308-a	1	112	1	215	0		1	1	sch	0	0	confirmed-missing	5	check	
ayavana	ayavana	pw	206386	5-244-c	1	132	0		0	Ayavana:1.000	1	1	sch	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'Ayavana' (fold-twin - same lexeme or distinct word needs eyes)
ayocCizwa	ayocchiṣṭa	pw	8873	1-103-c	0	74	0		0		1	0	mw72	0	0	confirmed-missing	3	check	
ayonitva	ayonitva	pw	208420	6-295-c	1	113	0		0		1	1	sch	0	0	confirmed-missing	3	check	
ayugalaparRa	ayugalaparṇa	pw	206390	5-244-c	1	110	0		0		1	1	sch	0	0	confirmed-missing	3	check	
ayukparRa	ayukparṇa	pw	206389	5-244-c	1	116	0		0		1	1	sch	0	0	confirmed-missing	3	check	
azawprajYa	aṣaṭprajña	pw	12007	1-141-a	0	71	0		0		0	0		0	0	confirmed-missing	1	low-priority	
azwAdaSavivAdAnuSAsana	aṣṭādaśavivādānuśāsana	pw	12128	1-142-b	0	118	0		0		0	0		0	0	confirmed-missing	1	low-priority	
azwAracakravant	aṣṭāracakravant	pw	12146	1-142-c	0	81	0		0	azwAracakravat:0.966	1	1	pwg	0	0	confirmed-missing	1	check	probable orthographic doublet of MW headword 'azwAracakravat' (0.966)
azwahAyanI	aṣṭahāyanī	pw	12100	1-142-a	0	72	0		0		0	0		0	0	confirmed-missing	1	low-priority	
azwakika	aṣṭakika	pw	206663	5-248-a	1	91	0		0		5	5	ap;ap90;pwg;sch;vcp	0	0	confirmed-missing	11	add	
azwalohaka	aṣṭalohaka	pw	12078	1-142-a	0	73	0		0		5	5	pwg;shs;vcp;wil;yat	1	0	confirmed-missing	13	add	
azwamakaBUmi	aṣṭamakabhūmi	pw	213453	7-313-d	1	129	1	150	0		1	1	sch	0	0	confirmed-missing	5	check	
bADyOga	bādhyauga	pw	76675.1	4-220-c	0	23	0		0	bADyoga:1.000	0	0		0	0	confirmed-missing	-2	low-priority	vowel-length/case variant of MW headword 'bADyoga' (fold-twin - same lexeme or distinct word needs eyes)
bAhugartaka	bāhugartaka	pw	76894.1	4-223-c	0	23	0		0		0	0		0	0	confirmed-missing	0	low-priority	
bAhusaMBava	bāhusaṃbhava	pw	76958	4-224-b	0	66	0		0	bAhusamBava:1.000	2	2	lrv;pwg	0	0	confirmed-missing	3	add-check	vowel-length/case variant of MW headword 'bAhusamBava' (fold-twin - same lexeme or distinct word needs eyes)
bAlaja	bālaja	pw	130150.1	7-195-c	0	24	0		0	balaja:1.000	3	3	ap;lrv;pwg	0	0	confirmed-missing	4	add-check	vowel-length/case variant of MW headword 'balaja' (fold-twin - same lexeme or distinct word needs eyes)
bAlhaka	bālhaka	pw	76840	4-222-c	0	126	0		0	bAlAhaka:0.933	4	3	lrv;mw72;pwg;vcp	0	0	confirmed-missing	7	add-check	false-friend near form 'bAlAhaka' (0.933) - different word, omission stands
bIjaruhA	bījaruhā	pw	77174	4-227-a	0	72	0		1	bIjaruha:1.000	0	0		0	0	variant-form-in-MW	-1	low-priority	vowel-length/case variant of MW headword 'bIjaruha' (fold-twin - same lexeme or distinct word needs eyes)
badaraPalI	badaraphalī	pw	75655	4-205-b	0	106	0		0	badaraPallI:0.952	3	3	pwg;skd;vcp	1	1	confirmed-missing	7	add-check	probable orthographic doublet of MW headword 'badaraPallI' (0.952)
bahay	bahay	pw	76163	4-214-a	0	75	0		1		1	1	pwg	0	0	variant-form-in-MW	1	check	
bahudalakaRiSa	bahudalakaṇiśa	pw	76330	4-216-a	0	97	0		0	bahudalakaniSa:0.929	0	0		1	0	confirmed-missing	1	low-priority	false-friend near form 'bahudalakaniSa' (0.929) - different word, omission stands
bahumArga	bahumārga	pw	76433	4-217-b	0	111	0		1		4	4	shs;vcp;wil;yat	0	0	variant-form-in-MW	7	add-check	
bahupAdikA	bahupādikā	pw	76379	4-216-c	0	209	0		0		0	0		1	1	confirmed-missing	3	low-priority	
bahusaMpuwa	bahusaṃpuṭa	pw	76542	4-218-c	0	78	0		0	bahusampuwa:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'bahusampuwa' (fold-twin - same lexeme or distinct word needs eyes)
bahusravA	bahusravā	pw	76560	4-219-a	0	73	0		0	bahusava:0.941	2	2	skd;vcp	0	0	confirmed-missing	3	add-check	false-friend near form 'bahusava' (0.941) - different word, omission stands
baladevasvasar	baladevasvasar	pw	75966	4-211-b	0	85	0		0		0	0		0	0	confirmed-missing	1	low-priority	
balasa	balasa	pw	76009	4-212-a	0	64	0		0	balAsa:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'balAsa' (fold-twin - same lexeme or distinct word needs eyes)
balhIka	balhīka	pw	76139	4-213-c	0	52	0		0	bAlhIka:1.000	3	2	lrv;mw72;pwg	0	0	confirmed-missing	4	add-check	vowel-length/case variant of MW headword 'bAlhIka' (fold-twin - same lexeme or distinct word needs eyes)
baliSI	baliśī	pw	207911.1	5-261-b	1	24	0		1		2	2	ap;skd	0	0	variant-form-in-MW	2	add-check	
baliSi	baliśi	pw	207911	5-261-b	1	99	0		1		1	1	sch	0	0	variant-form-in-MW	1	check	
barbaraka	barbaraka	pw	75873	4-209-c	0	165	0		0	bArbaraka:1.000	2	1	mw72;pwg	1	0	confirmed-missing	5	add-check	vowel-length/case variant of MW headword 'bArbaraka' (fold-twin - same lexeme or distinct word needs eyes)
barbarila	barbarila	pw	75877	4-209-c	0	56	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
barhavant	barhavant	pw	75902	4-210-b	0	54	0		0	barhavat:0.941	1	1	pwg	0	0	confirmed-missing	0	check	false-friend near form 'barhavat' (0.941) - different word, omission stands
barhiRavAhan	barhiṇavāhan	pw	75914	4-210-b	0	74	0		0	barhiRavAhana:0.960	0	0		0	0	confirmed-missing	-1	low-priority	probable orthographic doublet of MW headword 'barhiRavAhana' (0.960)
barhirjyotas	barhirjyotas	pw	75920	4-210-c	0	72	0		0		0	0		0	0	confirmed-missing	1	low-priority	
bfMhayitar	bṛṃhayitar	pw	220036	7-364-a	1	98	1	126,88	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
biWa	biṭha	pw	76990	4-224-c	0	49	0		0		2	1	mw72;vcp	0	0	confirmed-missing	2	add-check	pratyayhara/short-form class (PWK lists grammatical elements MW does not headword)
binducita	binducita	pw	77015	4-225-b	0	106	0		0	binducitra:0.947	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'binducitra' (0.947) - different word, omission stands
bizAkAra	biṣākāra	pw	77140.1	4-226-c	0	23	0		0	Bizaktara:0.941	0	0		0	0	confirmed-missing	-2	low-priority	false-friend near form 'Bizaktara' (0.941) - different word, omission stands
boDipakzanirdeSa	bodhipakṣanirdeśa	pw	220050	7-364-b	1	120	1	65,57	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
brADnAyana	brādhnāyana	pw	78213	4-240-c	0	174	0		0	brADnAyanya:0.952	2	1	mw72;pwg	0	0	confirmed-missing	3	add-check	probable orthographic doublet of MW headword 'brADnAyanya' (0.952)
brahmasaMbanDa	brahmasaṃbandha	pw	78103	4-239-b	0	61	0		0	brahmasambanDa:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'brahmasambanDa' (fold-twin - same lexeme or distinct word needs eyes)
