mw_annexure_headword	in_sup7
agneyAnI	Y
agni	Y
agniBARqa	N
agniSOcavastra	Y
agniSakawI	Y
agniSakti	Y
agnicakra	N
agnigodAna	Y
agnihotfbrAhmaRa	N
agnihotraprAyaRa	Y
agnihotravelA	N
agnijA	N
agnijyezWa	Y
agnijyotis	N
agnikzetra	N
agnilocana	N
agnimIyAma	N
agnimadana	N
agniman	N
agninAman	N
agninArAyaRa	N
agniniDAna	N
agninyakta	N
agnipAnIya	N
agnipAta	N
agnipatana	Y
agnipraRayana	Y
agnipradAna	N
agniputra	Y
agnirahasyakARqa	N
agnisTala	N
agnisaMdIpana	N
agnisamADAna	N
agnisparSa	Y
agnitanu	N
agnituRqa	N
agnivaha	N
agniviS	N
agniyOna	N
agnyAyatana	N
agnyarci	N
agoHprApaRam	N
agocarIkf	N
agrAgra	Y
agrAnta	Y
agra	Y
agraBojya	Y
agraDarma	N
agraRIkf	N
agraSiKa	Y
agraSrAvaka	N
agraboDi	N
agracCada	N
agradevI	N
agradravasaMhati	N
agragaRanA	Y
agraha	Y
agrahaRa	Y
agrapAka	N
agrasaMKyA	N
agrasta	Y
agratalasaMcAra	Y
agrayAna	Y
agrimavatI	Y
aguRin	Y
ahApayat	N
ahInAha	N
ahIramaRi	N
aha	N
ahaHkzAnta	N
ahaHstoma	N
ahaMGAta	Y
ahalyAkAmaDenu	N
ahalyAsaMkrandana	Y
ahamada	N
ahamindra	Y
ahammati	N
ahampadArTa	N
aharAdi	N
ahatamArga	N
aheDma	N
ahelin	N
aheqamAna	Y
ahetuvAda	Y
ahetuvAdin	Y
ahiMkAra	N
ahijamBana	N
ahikaYcuka	Y
ahimarocis	Y
ahina	Y
ahinilvayanI	N
ahipfzWa	N
ahiraRyava	Y
ahividviz	Y
ahivratin	N
ahobala	N
ahrasta	Y
ahutAByudite	N
ajAti	Y
ajIryat	N
ajIryattA	N
ajU	Y
ajYAnaboDinI	N
ajYAnaviDvaMsana	N
ajagati	Y
ajaloman	Y
ajanman	Y
ajapAla	N
ajayapAla	N
ajayasiMha	N
ajayavarman	N
ajinaratna	Y
ajira	Y
ajjU	N
ajyAyas	N
akAla	N
akAlakOmudI	N
akAlaka	N
akAmasaMjYapana	Y
akAvaNka	Y
akAyikA	N
akUja	N
akUjana	Y
akUrmapfzat	N
akaRaka	N
akabara	N
akali	Y
akalita	Y
akalmAza	Y
akalmaza	Y
akalya	Y
akarRIya	Y
akarizyat	N
akarmikA	N
akasyavid	N
akfSakIrti	N
akfmiparisfpta	Y
akftaSmaSAna	N
akftacUqa	Y
akftakArya	N
akfzwa	Y
akiMcid	N
akilina	Y
akkA	Y
akkAdevI	N
aklIba	N
akopya	N
akrIta	Y
akrUra	Y
akra	N
akramaSas	Y
akramam	N
akramoQA	Y
akrandita	N
akroDa	Y
akruDyat	N
akti	Y
akuRqala	N
akuSala	Y
akulA	N
akula	Y
akulaka	Y
akumBa	Y
akupya	Y
akupyat	N
akutUhala	N
akutaScana	N
akutaScid	N
akutomftyu	Y
akutsayat	N
akuzWipfzat	Y
akz	Y
akzAnta	Y
akzIyamARa	N
akzRayApacCedana	N
akza	Y
akzaDarma	Y
akzaDurA	N
akzaSIla	Y
akzaSabda	Y
akzaSikzA	Y
akzamA	Y
akzamAlikA	N
akzama	Y
akzamin	Y
akzanvat	N
akzaprapAtana	N
akzarAntara	N
akzara	Y
akzaraSikzA	Y
akzarasaDAtu	Y
akzarasaMhAta	N
akzarasaMhitA	N
akzarasampad	N
akzaravat	N
akzasUtravalayin	Y
akzatAmaya	Y
akzata	Y
akzayavawa	Y
akziRvat	N
akzibanDa	Y
akzilakzIkf	N
akzisaMskAra	N
akzita	N
akzitavya	Y
akzoByA	N
akzoByatIrTa	N
akzuRRaveDa	N
alABalABa	N
alAGava	Y
alAtacakra	Y
alAtacakravat	N
alIkA	N
alIkavAdaSIla	N
alUna	Y
alaBya	Y
alaMkArAnusAriRI	N
alaMkAra	N
alaMkAraBARqa	Y
alaMkAraratnAkara	Y
alaMkArasarvasva	N
alaNGitAtman	N
alaNGita	N
alaNGitapUrva	N
alabDagADa	Y
alabDapada	Y
alakzaRaka	Y
alakzman	Y
alamArya	Y
alamBavizRu	N
alamarTavacas	Y
alasaya	N
alatikA	Y
alavaRASin	N
alepa	N
algaRqu	N
alimat	N
alipi	N
allApadIna	N
allAqalaharI	N
allawa	N
alopI	N
alpANga	N
alpANgatva	N
alpAlpa	N
alpAlpaBAs	N
alpAtaNka	Y
alpAvaSeza	N
alpAvaSizwa	N
alpAvaSizwatva	N
alpIBAva	N
alpaBujAntara	N
alpaPala	Y
alpacCada	Y
alpadeSavfttitva	N
alpahariRa	N
alpakAt	N
alpakAya	Y
alpakAyatva	N
alpakaRWa	N
alpanidAna	N
alpaparicCada	N
alpapuzpakA	N
alpapuzpaka	N
alpasparSa	N
alpasvamat	N
alpasvara	N
alpavat	N
aluYca	Y
aluma	N
amAputrA	N
amAputra	Y
amApya	Y
amBastas	Y
amBogarBa	N
amBojabanDu	Y
amBojavadanA	Y
amImAMsaka	Y
amOktika	N
amRas	Y
amUlA	N
amaWa	N
amalAnvaya	Y
amalapakzavihaMgama	Y
amamri	Y
amarAgAra	N
amarI	N
amaradruma	Y
amaragaRanAleKya	N
amaragarBa	N
amaragiri	Y
amaramaya	N
amaramfgIdfS	N
amaravaDU	Y
amaravarRin	N
ambUrmigata	N
ambaka	N
ambapAlI	N
ambaraKaRqa	N
ambaraleKin	N
ambaramAlA	N
ambeka	N
ambikAKaRqa	N
ambikAmAhAtmya	N
ambikApariRaya	N
ambikAvana	N
ambika	N
ambuBakzya	N
ambuDAra	N
ambuDakAminI	N
ambuhasta	N
ambujAsanA	N
ambujIvin	Y
ambujabAnDava	N
ambujinI	N
ambukAntAra	N
ambukaPa	N
ambukapi	N
ambukukkuwa	N
ambulIlAgeha	N
ambumaya	N
ambupriya	N
ambusUkara	N
ambusamplava	N
ambuvAsa	N
ambuvallI	N
ambuvarDana	N
ambuvega	N
ameDyapratimantraRa	N
ameGopaplava	N
ameni	Y
amftAtman	N
amftIBU	N
amftaBAzaRa	N
amftaDAyin	N
amftacit	Y
amftameGa	N
amftapAyin	N
amftaplavana	N
amftasaras	N
amiTuna	N
amiTyAkf	N
amitASanA	N
amitAyurDyAnasUtra	N
amitaDvaja	N
amitamati	N
amitapraBa	N
amitaskanDa	N
amitodana	N
amitrakarman	N
amitrakarzaRa	N
amitrakarzin	Y
amlajuRqI	N
amlatiktakazAya	N
amlowa	N
ammarA	N
amoGArTa	N
amoGa	Y
amoGadeva	N
amoGarAGava	N
amoGatA	N
amoGavatI	N
amoha	N
amudA	N
amudra	Y
amudryaYc	N
amukIya	N
amuktaviSramBa	N
amutaHpradAna	N
anABoga	Y
anAKyAya	N
anASakin	N
anASita	N
anASvAsika	Y
anAcIrRa	Y
anAdarAkzepa	N
anAdi	Y
anAgarta	N
anAhita	Y
anAktAkza	N
anAkzepam	N
anAla	Y
anAlabDa	N
anAlayana	N
anAntarIyaka	Y
anApatti	Y
anAprIta	Y
anArUQa	N
anAroka	Y
anAsTa	Y
anAsaNga	N
anAsrava	N
anAsravaprakAra	N
anAstika	N
anAstikya	N
anAtman	N
anAtmatA	Y
anAvfta	Y
anAvfttiBaya	N
anAvidDa	Y
anAwa	N
anAyatana	N
anAyuvAna	N
anDIkaraRa	Y
anDacawakanyAya	N
anDakAla	Y
anDakAntaka	Y
anDakArin	Y
anDakI	N
anDamehala	N
anDaparamparAnyAya	N
anDatAmisra	Y
anDavyUha	Y
anEBftya	Y
anEScArika	Y
anEkAntikatA	N
anEndava	Y
anEqaka	N
anEtihya	Y
anI	N
anIcEstana	Y
anIhamAna	Y
anIkzaka	Y
anIla	Y
anIrita	N
anOcitI	Y
anOpADika	N
anOpama	Y
anOzaDa	Y
anUDas	N
anUdBAsin	Y
anUdara	N
anUddeSa	Y
anUha	Y
anUkASin	N
anUnavastuka	N
anUpAlu	N
anUrDvajYu	N
anUtTAna	Y
anUtTAtf	N
anUtsarga	Y
anUzarih	Y
anUzman	N
anaBiSastI	N
anaBigata	N
anaBihitavAcya	N
anaBijita	N
anaBilulita	N
anaBizecanIya	N
anaBizekya	N
anaByavacAruka	Y
anaDItya	N
anaDIyAna	Y
anaDIyat	N
anaDIzwa	Y
anaDyAsa	N
anaDyAtmavid	N
anaDyAya	Y
anaDyavasita	Y
anaNgaBIma	N
anaNgaharza	N
anaNgalatikA	Y
anaNgamaNgala	N
anaNgavidyA	N
anaNguzWa	N
anaha	N
anaka	N
anakzita	Y
analAya	N
anala	Y
analam	N
analasaKa	Y
analopala	N
anama	Y
anambu	N
anamin	Y
ananUtTAna	Y
anantaHpAdam	N
anantaSAyin	N
anantara	Y
anantarhiti	N
ananuvAkya	Y
ananuyoga	N
ananvAgama	N
ananvAgata	N
ananvagBAva	Y
ananvavajaya	N
ananyakArya	N
ananyaparAyaRa	N
ananyarADas	N
ananyavandin	N
anapAyadfzwa	N
anapacAyitf	N
anapacAyyamAna	Y
anapadozya	Y
anapakzepya	N
anaparudDa	N
anapatrapA	N
anapekzamARa	Y
anapinadDa	N
anapuMsaka	Y
anaqud	N
anaqudarha	Y
anaqudyajYa	Y
anarDuka	N
anarTAvekza	Y
anarTaBIru	N
anarTakAma	N
anarman	Y
anasvin	Y
anatidAha	N
anatidagDa	N
anatidfSna	Y
anatimAnin	N
anatipraSnya	N
anatisfzwa	N
anavIkfta	N
anavacCitti	N
anavadAnIya	N
anavagIta	Y
anavagata	N
anavalopa	N
anavamadarSin	N
anavarAgra	N
anavarRa	Y
anavaroDya	N
anavarti	N
anavarudDa	N
anavasnAtA	Y
anavekzitam	N
anaveta	Y
anavezwa	N
anazwa	N
aneDas	N
anekAtmavAdin	Y
anekaDft	Y
anekasaMKya	N
anekasaMsTAna	N
anekavArzika	Y
anekavarRa	Y
anelamUka	Y
anevaMvid	N
anevam	N
anfNga	N
anfRIkaraRa	Y
anfgvedavinIta	Y
anftAtmaka	Y
anftakaTa	Y
anftapaSu	Y
anftasaMgara	Y
anftasaMhita	Y
anftasarvasva	Y
anftika	N
anfzaBa	Y
ani	N
aniBfta	Y
aniHzwubDa	N
aniNgana	Y
aniNgyamAna	N
aniSAnta	Y
aniScara	Y
aniSceya	Y
anibanDana	N
anicaya	Y
anidAGadIDiti	Y
anigupta	N
anihUta	N
aniha	N
anihita	N
anikAzam	N
anikfti	Y
anikzipya	N
anilASana	Y
anilAhata	N
anila	N
anilamBa	N
animitta	Y
animittalipi	N
animiza	Y
animizita	Y
anipAna	N
anirAkaraRa	N
anirAkarizRu	N
anirAkftin	Y
anirGAtya	N
aniraSita	N
anirdAhuka	N
anirdaya	N
anirhata	N
anirmArga	N
anirudDa	Y
anirvAhaRaSIla	N
anirvApa	N
anirvedita	Y
anisfzwa	Y
anistizWat	N
anitTaMvid	N
anivartin	Y
anivezwyamAna	Y
aniwkArikA	N
aniyamopamA	N
aniyantraRAnuyoga	N
aniyantraRam	Y
aniyasita	Y
anizpanna	N
anizpannatva	N
anizucArin	N
anizwaka	N
anizwayajYa	N
annABiruci	N
annASana	Y
annAda	N
annIya	N
annaBuj	Y
annaSuBa	N
annadravaSUla	Y
annahAra	Y
annajA	N
annakASin	N
annakaraRa	Y
annapASa	N
annaparyAyam	Y
annasaMdeha	Y
annasaMskartf	N
annavidveza	N
annavikfti	Y
annayoni	N
annikA	Y
anojas	N
anoyukta	N
antAt	N
antAya	N
antaHSAnti	Y
antaHSElaja	N
antaHSIrRa	N
antaHSava	N
antaHSri	N
antaHkrOrya	Y
antaHkratu	N
antaHpArSva	Y
antaHpAtin	Y
antaHpUjA	N
antaHpUya	Y
antaHparimArjana	N
antaHprARin	N
antaHpracalita	N
antaHpramoda	Y
antaHpratihAram	N
antaHpraveSa	N
antaHpurADipatya	Y
antaHpurAvacara	Y
antaHpurIya	N
antaHpuracArikA	Y
antaHpuravfdDA	N
antaHpurevAsa	Y
antaHsAma	N
antaHsAmika	Y
antaHsAnu	N
antaHsTIBAva	N
antaHsadas	Y
antaHsalila	N
antaHsalilam	N
antaHsalilasTa	N
antaHsattva	N
antaHsmayin	N
antaHsmera	Y
antaHsmita	N
antaHspandya	N
antaHstoBa	N
antaHstomaBAgam	N
antaHsuzirin	Y
antaSas	Y
antaScaRqAla	N
antaScakzus	N
antaScara	N
antadIpaka	Y
antadvIpa	N
antadvIpin	N
antakAnana	Y
antakapura	Y
antakaraRa	Y
antakarman	N
antamasTA	N
antanAman	Y
antanetra	Y
antapluta	Y
antarA	Y
antarABakta	N
antarASfNgIya	Y
antarAgamana	N
antarAntarAt	Y
antarAnvezin	N
antarBAva	Y
antarBUta	N
antarBeda	N
antarBinna	Y
antarDErya	Y
antarDana	Y
antarDinAman	N
antarDvAnta	Y
antarIkf	N
antaraBAvanA	N
antaradvIpa	N
antarakoSa	Y
antarantaHsTa	Y
antarapatita	Y
antaraprekzin	N
antaratas	Y
antaravAsaka	N
antardivAkIrtya	N
antareza	Y
antargaRa	Y
antargalagata	N
antarhiti	N
antarikzAsana	N
antarikzanAman	N
antariti	Y
antarjalOGa	N
antarjana	N
antarmadAvasTa	N
antarmandira	Y
antarmarman	N
antarmoda	Y
antarmuKa	Y
antarmuKam	N
antarniKAta	N
antarnihita	N
antarniveSana	Y
antarvAvat	Y
antarvacana	N
antarvartinI	N
antarvftti	N
antaryAga	N
antaryAma	N
antaryajana	N
antaryakza	N
antatvAzwrI	N
antena	N
antideva	N
antikAt	N
antitara	Y
antu	N
antyArDa	Y
antyamaRqana	N
anuBAvya	N
anuBAzita	Y
anuBa	N
anuBava	Y
anuBavam	Y
anuBayAtman	N
anuBayAtmatA	N
anuBaya	N
anuGawana	N
anuSAsin	Y
anuSAsti	N
anuSaMsa	N
anuSaMsaSaMsana	N
anuSayAkzepa	N
anuSayin	Y
anuSikzA	Y
anuSizwa	N
anuSloka	N
anuSrotavya	Y
anuSru	N
anuSuSrUzA	N
anubimba	N
anubimbana	Y
anubimbita	Y
anuboDa	Y
anucaraRa	N
anucaraRacarita	N
anuccalat	N
anudDAna	N
anudGAta	N
anudapAna	N
anudarSa	N
anudgfhRat	N
anudravaRa	Y
anudvAra	Y
anudvAta	N
anudvIpa	N
anudvejayat	N
anugA	N
anugAna	N
anugAnaSas	N
anugApana	Y
anugIta	Y
anugaRqikA	N
anugantI	N
anugara	N
anugeya	N
anugoptf	N
anugrahItf	N
anugrahaRa	Y
anuharaRa	Y
anuhf	N
anuhoma	N
anujAsutA	N
anujYAkzepa	N
anujYApana	Y
anujYApya	Y
anukA	N
anukAra	Y
anukaRWI	N
anukacCam	N
anukalam	N
anukampya	Y
anukanaKalam	N
anukarzaRa	Y
anukroSAkzepa	N
anukroSin	N
anuktasidDi	N
anulamba	N
anulepin	N
anulomapratiloma	Y
anulomaya	N
anulomikI	N
anumAlinItIram	N
anumArg	N
anumArgAgata	N
anumArga	Y
anumAtf	N
anumantavya	N
anumatavajra	Y
anumft	N
anumodin	Y
anumroka	N
anunadi	Y
anuniDAnam	N
anuninIzA	Y
anupADirAmaRIya	N
anupAdAna	N
anupAde	Y
anupAkruzwa	Y
anupAlya	N
anupAtta	N
anupAwa	N
anupAya	Y
anupUraRa	Y
anupUrvANgulitA	N
anupUrvadaMzwratA	N
anupUrvagAtratA	N
anupUrveRa	N
anupaDmAta	Y
anupacarita	Y
anupadezwavya	N
anupagatajara	N
anupagfhIta	N
anupahatakarRendriyatA	N
anupahita	N
anupakiYca	N
anupalIQa	Y
anupalipta	N
anupanAha	Y
anupanata	Y
anuparAga	N
anuparigrah	N
anuparimfj	N
anupariplu	N
anuparisic	N
anuparivArita	N
anuparoDa	N
anuparoDatas	N
anuparvata	Y
anupastIrRaSAyin	N
anupayat	N
anupeta	Y
anupeya	N
anupeyamAna	N
anupiRqam	Y
anupopta	N
anupradAtf	N
anuprahftaBAjana	N
anuprahftya	N
anuprahita	N
anuprapattavya	N
anuprasarpaka	Y
anuprasarpin	N
anuprasfptin	N
anupravap	N
anupravartana	N
anupravartita	N
anupravftti	N
anupraviS	N
anupravraj	N
anupravrajana	Y
anuprazwf	N
anuprezaRa	N
anupriya	Y
anusaMDAnIya	Y
anusaMDi	N
anusaMjYapti	N
anusaMsf	N
anusaMtAna	N
anusaMvarR	N
anusaMvfjin	N
anusakTam	N
anusaraRa	Y
anusarga	Y
anusarpaRa	N
anusartavya	N
anusartf	N
anusftavatsA	Y
anusmfti	N
anuspandyam	N
anusrotasa	N
anustanita	Y
anusvan	N
anutApANka	N
anutApaka	Y
anutarza	Y
anutizWAsu	N
anutoda	N
anutpAda	N
anutpUta	Y
anutpattikaDarmakzAnti	N
anutsfzwa	Y
anutsikta	N
anutta	Y
anuttaraMga	Y
anuttarapUjA	N
anuttuRqita	N
anuvAda	N
anuvAdinI	N
anuvAsaram	N
anuvaMSaSloka	N
anuvanAntam	Y
anuvapram	Y
anuvartitA	N
anuvartya	N
anuvas	N
anuvftti	N
anuviDa	N
anuviDeya	N
anuvilok	N
anuvizRu	N
anuvyAhfta	Y
anuvyApin	Y
anuyam	N
anuyiyAsu	Y
anuyogadvAra	N
anuyoktavya	N
anuzWAnika	N
anuza	N
anuzakti	N
anuzwra	N
anuzwuB	Y
anuzwupsampad	N
anvADi	N
anvAKyAyaka	N
anvAhiRq	N
anvAkarzaka	N
anvApadIna	N
anvAsTAna	N
anvAsTAya	N
anvAsecana	N
anvAvft	N
anvAvftam	N
anvIkzaka	N
anvaByavacAram	Y
anvaByavacar	N
anvaNgam	N
anvagjyezWa	Y
anvagram	N
anvaksTAnin	N
anvakzaram	Y
anvat	N
anvavalamba	N
anvavekzaRa	N
anvavekzin	N
anvayAgata	N
anvezwf	N
anvicCA	Y
anyAdfSa	Y
anyApadeSa	Y
anyArTa	N
anyArTatva	N
anyArTavat	N
anyAya	Y
anyAyamati	N
anyAyasamAsa	N
anyAyatas	Y
anyAyavftti	N
anyAyin	Y
anyUnANga	N
anyUnArTavAdin	N
anyUnAtiriktANga	Y
anyaBAva	N
anyaSAKAsTa	N
anyaSaNkita	N
anyaSfNga	Y
anyaTABiDAna	N
anyaTASIlika	Y
anyaTAdarSana	N
anyaTAjAtIyaka	N
anyaTAkaraRa	Y
anyaTAkfti	N
anyaTAsamBAvin	N
anyabanDu	Y
anyacCAyAyoni	N
anyajanatA	Y
anyakAra	N
anyaloha	N
anyalokya	N
anyamAnasa	N
anyamAtfka	N
anyapadArTapraDAna	N
anyaparigraha	N
anyarAzwriya	Y
anyat	N
anyatIrTika	Y
anyataHsitibAhu	N
anyataHsitiranDra	N
anyatarAnyatara	Y
anyatara	N
anyataratoyukta	N
anyatkAma	N
anyatoGAtin	N
anyatodvAra	N
anyatojyotis	N
anyatomuKa	N
anyatpArSva	Y
anyatrakaraRa	Y
anyatsTAnagata	N
anyayajYa	Y
anyedyuzka	N
anyokti	Y
anyoktiSataka	N
anyoktikaRWABaraRa	N
anyoktiparicCeda	N
anyonyAnurAga	N
anyonyApatitatyAgin	Y
anyonyaBAva	N
anyonyaDarmin	N
anyonyadarSana	N
anyonyagata	N
anyonyakftya	Y
anyonyamiTuna	Y
anyonyasparDA	N
anyonyasparDin	N
anyonyopamA	N
anyopatApin	N
apANgaviSAlanetra	N
apARi	Y
apARigrahaRa	N
apARitva	N
apASrayaRa	N
apASrayavat	N
apASrayin	N
apAWa	Y
apAYcAlya	Y
apAdya	Y
apAlu	N
apAnIya	Y
apAnika	N
apAnunutsu	Y
apApAya	Y
apApad	Y
apArTaya	N
apAra	Y
apArapAra	N
apArijAta	Y
apAtrIBU	N
apAtravarzaRa	N
apAtravarzin	N
apAtta	N
apAyasaMvartanIya	Y
apUpaSAlA	N
apUpaka	N
apUpikA	N
apUra	Y
apUraRa	Y
apUrva	Y
apUrvadarSana	N
apUrvakaraRa	N
apUrvapada	N
apUrvavAda	N
apUrvin	Y
apaBAzaRa	Y
apaBAzitavE	Y
apaGAwilA	N
apaGfRa	N
apaKyAti	N
apaNka	Y
apaNkatA	N
apaSAlIna	Y
apaSAlInatA	N
apaSIla	Y
apaSUla	N
apaSabda	N
apaSabdita	Y
apaSastra	N
apaSrama	Y
apaSruti	N
apaSubanDayAjin	N
apaSuzka	N
apaTadAyin	Y
apaTahara	N
apaYcama	N
apaYcayajYa	N
apacAyaka	Y
apacamAna	N
apacamAnaka	Y
apacana	N
apacetas	Y
apacikIrzu	Y
apadAlaka	N
apadAnta	Y
apadAntasTa	N
apadUzaRa	Y
apadarpa	Y
apadfzwi	Y
apadibadDa	Y
apadma	N
apagatakAlaka	Y
apagfhya	Y
apagrAma	N
apahAra	N
apahAravarman	N
apahArya	Y
apaharaRa	Y
apaharza	N
apahasita	Y
apahastaka	Y
apahelana	N
apahf	N
apahft	Y
apahita	N
apahnavana	Y
apahrepaRa	N
apahvara	Y
apaji	N
apajihIrzA	N
apajvara	N
apakaRwaka	Y
apakartana	Y
apakarzin	N
apakazAyatva	N
apakft	Y
apakftya	Y
apakoSa	N
apakrAmam	Y
apakrAnta	Y
apakrAntameDa	N
apakramamaRqala	N
apakzapAtin	Y
apalakzmaRa	Y
apamArin	N
apamaNgala	N
apamaSiYjinI	N
apamada	Y
apamala	N
apamfga	N
apamfzwi	Y
apamud	Y
apanAma	N
apanTadAyin	N
apanayin	N
apaneya	Y
apaniDi	N
apanidra	Y
apaninIzA	Y
apaninIzu	N
apanizAduka	Y
apanodaka	Y
apanyAyya	N
apanyAyyatva	N
apapIqA	N
apapa	N
apapayas	Y
apaprasara	Y
aparA	N
aparABava	Y
aparADavat	N
aparANmuKam	N
aparASA	N
aparAjayin	N
aparAjitagaRa	Y
aparAktva	Y
aparAmfzwa	Y
aparApAta	Y
aparArDya	Y
aparAvApa	Y
aparAvapizWa	Y
aparAvftta	N
aparAvfttaBAgaDeya	Y
aparAvftti	Y
aparAvfttivartin	N
aparAyaRa	Y
aparIkzyakArin	N
aparItta	Y
aparItya	Y
apara	N
aparaSuvfkRa	N
aparaSvas	N
aparadIkzin	Y
aparaganDikA	N
aparagodAni	N
apararAtri	Y
aparasparasamBUta	N
aparatas	N
aparavallaBa	N
aparavedanIya	N
aparayoga	N
apariBAzita	Y
apariBakza	N
apariBogam	N
apariSrita	N
aparibADa	N
aparicalita	Y
aparihIRakAlam	Y
aparihIyamARa	Y
aparihita	Y
aparijAta	N
aparijIrRa	Y
aparilupta	N
aparimitakftvas	Y
aparimlAnalalAwatA	N
aparisTAna	N
aparisaMKyAna	N
aparisaMKyeya	N
aparitta	Y
aparityajya	N
aparkyapfzWa	N
aparoDya	Y
aparujA	N
aparuz	N
aparuzakeSatA	N
aparvaRi	N
aparvata	Y
aparyARa	Y
aparyAgata	N
aparyezita	Y
aparyupya	N
aparyuzita	N
apasAritA	N
apasarpya	Y
apasavya	N
apaskamBa	N
apasmAra	N
apasmaya	N
apaspaSa	Y
apastana	Y
apasvara	Y
apatAna	Y
apataMsana	Y
apatanIya	Y
apatanaDarmin	N
apatanaDarmitva	N
apatanta	Y
apataram	Y
apatitAnyonyatyAgin	N
apatita	N
apaturIya	Y
apatuzAra	N
apatuzAratA	N
apatyanATa	N
apatyasneha	N
apavAda	Y
apavAtA	Y
apavaMSa	N
apavaktra	N
apavarRa	N
apavarga	Y
apavargamArga	N
apavarjana	N
apavarjitatElapUra	N
apavartikA	N
apavartya	N
apavatsa	N
apavfktatva	N
apavftta	N
apavfttaBAva	Y
apavidyA	Y
apavij	N
apavipad	Y
apavitraqAkinI	N
apavyAKyA	N
apavyAhAra	Y
apavyApAra	N
apavyavasTa	Y
apawIkA	N
apayARya	Y
apayAtavya	Y
apayAtavyanaya	N
apayasya	N
apekzaRa	N
apetaprARa	N
apetaprajanana	N
apfTagDarmin	N
apfTagjita	N
apfTagvivekya	N
apfTaktvin	N
api	Y
apiSAcaDIta	N
apidrazwf	N
apinadDAkza	Y
apisomapITa	Y
apliNga	N
apotsfj	N
appUrvam	N
aprAstAvika	Y
aprAtirUpya	N
apraGnatI	Y
apraRihita	N
apraSama	Y
apracCAya	Y
apracCanna	N
apragADa	Y
apraguRa	Y
aprahfzwaka	N
aprajana	N
aprajanatva	N
aprakASat	N
aprakfta	N
aprapaSya	N
aprasanna	Y
apratIBA	N
apratiBawa	Y
apratihataraSmirAgapraBa	N
apratikfzwa	N
apratilomayat	N
apratimalla	Y
apratisADya	Y
apratisaMKyA	Y
aprativARi	Y
aprattadevata	Y
apratyutTAyuka	Y
apravartin	N
apravftta	Y
apravftti	Y
aprayujyamAna	Y
apriyAKyAyin	N
apsumat	N
aptUrya	N
aptur	Y
apuYja	N
apunarABAva	Y
apunarBAvin	N
apuruzABivIta	N
apuruzAparADa	Y
apuruza	Y
aputrya	N
apuvAya	N
apuza	N
apuzkala	Y
apuzwArTa	N
apuzwArTatva	N
apva	N
aqara	N
aquva	N
arAgadveza	N
arAgadvezatas	N
arAgadvezin	Y
arAkzasa	N
arAlahasta	N
arAlakeSI	N
arAntaragatA	N
arAqa	Y
arAwakI	N
arBaka	N
arDAntarEkavAcaka	N
arDAsi	Y
arDAvizwa	N
arDaPAlaka	Y
arDaPAlakamata	N
arDadaRqa	N
arDadevatA	N
arDadvicaturaska	N
arDahara	Y
arDahastaka	N
arDakapiSa	N
arDamAnava	N
arDamAnuza	N
arDamAyUrI	N
arDamakuwa	N
arDamuRqa	Y
arDanAkula	N
arDanizpanna	Y
arDarUpa	N
arDarUpatA	N
arDarcasya	N
arDaspfzwa	N
arDasuptaka	N
arDavESasa	Y
arDaya	N
arDezwakA	N
arDocCizwa	Y
arDopA	N
arGyaSIla	N
arGyadAna	N
arIRa	Y
arRavaSakkarI	N
arRikA	N
arTABipatti	Y
arTADinATa	Y
arTAkzipta	N
arTAnarTa	N
arTAntarya	N
arTApaya	N
arTApekza	N
arTaSleza	N
arTacaryA	Y
arTadAyAda	N
arTadarSin	N
arTadarpaRa	N
arTadyotanikA	N
arTagati	Y
arTakAmya	N
arTakArin	Y
arTakaTA	N
arTakartf	N
arTalAGava	Y
arTalola	Y
arTalopa	Y
arTanASaka	Y
arTapAWa	Y
arTapUrvaka	N
arTapUrvakatva	N
arTapaYcaka	Y
arTapadavI	Y
arTapara	Y
arTapunarukta	N
arTarUpa	N
arTaracana	Y
arTasADana	N
arTasaMdeha	N
arTasamAhartf	N
arTasamBava	N
arTasama	Y
arTavAda	N
arTavaSa	N
arTaviSezaRa	N
arTavyavahAra	N
arTayogya	N
arTega	N
arToddyotanikA	N
arTuzya	N
arUQamUlatva	N
arUpAvacara	N
arUpa	N
arUpaloka	N
arUparAga	N
araDra	Y
araMgama	N
araRAvihArin	Y
araRi	Y
araRyanitya	N
araRyopanizad	N
araSana	Y
arajanIkfta	Y
arajaska	Y
arajovittA	Y
arakta	Y
araktatAmra	N
araqa	N
arbuda	Y
arbudaDA	N
arbudamAhAtmya	N
arbudodAsarpiRI	N
arcArha	N
arcArhaka	N
arcAviqambanA	N
arcas	N
arcicayizu	Y
arepa	Y
arhaRIya	Y
arhaRIyatama	N
arhaka	N
arhasAna	N
ariSAsin	N
arizwaka	Y
arizwanemi	N
arizwaroga	Y
arjin	Y
arkAtmajA	N
arka	N
arkabanDu	N
arkadugDa	Y
arkanetra	Y
arkezwa	N
armakapAla	N
aromaSa	Y
arpaRamImAMsA	N
arpiSa	N
arpima	N
arpiza	N
aruHsrARa	N
aruRa	Y
aruRadatI	Y
arula	N
arunDatIdarSananyAya	N
arvAksrotas	N
aryaka	N
aryamanandana	Y
asADAraRopamA	N
asADu	Y
asAhacarya	N
asAlatiprakASa	N
asAra	N
asIma	Y
asPuwaBAzaRa	N
asTAna	Y
asTiBaNga	N
asTiKAda	N
asTiSeza	N
asTiSezatA	N
asTiSudDi	N
asTicit	Y
