pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
AcAryacampU	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryacampU	13957	7-317-a	absent	N	Y	N	{#AcAryacampU#}¦ 2.
AcAryamaNgala	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryamaNgala	13959	7-317-a	absent	N	Y	N	{{Lbody=13959}}
AcAryamahiman	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryamahiman	13959	7-317-a	absent	N	Y	N	{{Lbody=13959}}
AcAryaprArTanA	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryaprArTanA	13959	7-317-a	absent	N	Y	N	{{Lbody=13959}}
AcAryaprapatti	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryaprapatti	13959	7-317-a	absent	N	Y	N	{#AcAryaprapatti#}, {#AcAryaprArTanA#}, {#AcAryamaNgala#} und {#AcAryamahiman#}¦ 2.
AcAryasaptati	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryasaptati	13961	7-317-b	absent	N	Y	N	{{Lbody=13961}}
AcCowanikA	4063	3-255-c	absent	N	Y	N	{#AcCowanikA#}¦ f. in {#naKAcCo˚#}.
AcCowanikA	13967	7-317-b	absent	N	Y	N	{#AcCowanikA#}¦ 3.
AcandrArkagraha	5380	4-296-a	absent	N	Y	N	{#AcandrArkagraha#}¦ Adj. HARIV. 11080 fehlerhaft für {#acandrA˚#}.
AcandrArkagraha	13947	7-317-a	absent	N	Y	N	{#AcandrArkagraha#}¦ 4.
AcandrArkakzitisamakAlam	2585	2-293-b	absent	N	Y	N	{#AcandrArkakzitisamakAlam#}¦ Adv. {%so lange Mond, Sonne und Erde bestehen werden%} J. A. S. Beng. 47,406,43.
AcandrArkakzitisamakAlam	13946	7-317-a	absent	N	Y	N	{{Lbody=13946}}
AdaSakaRWabanDam	1527	1-297-a	absent	N	Y	N	{#AdaSakaRWabanDam#}¦ Adv. {%bis zur Gefangennahme%} Rāvaṇaʼs BĀLAR. 183,5.
AdaSakaRWabanDam	14070	7-317-d	absent	N	Y	N	{#AdaSakaRWabanDam#}¦ 1.
AdarSAvekzaRa	14069	7-317-d	absent	N	Y	N	{#AdarSAvekzaRa#}¦ n. {%das in den Spiegel Sehen%} ĀPAST. GṚHY. 12,11.
AdarSamuKa	14068	7-317-d	absent	Y	Y	N	{#*AdarSamuKa#}¦ m. N. pr. eines Schlangendämons MAHĀVY. 167.
AdeSanAprAtihArya	14097	7-318-a	absent	Y	Y	N	{#*AdeSanAprAtihArya#}¦ n. Bez. {%einer der Wunderkräfte eines%} Buddha MAHĀVY. 16.
AdevayAnam	4078	3-255-c	absent	N	Y	N	{#AdevayAnam#}¦ Adv. {%bis zum Götterweg%} HARIV. 6806.
AdevayAnam	14095	7-318-a	absent	N	Y	N	{#AdevayAnam#}¦ 3.
Adftatva	6785	5-249-a	absent	N	Y	N	{#*Adftatva#}¦ n. {%das Geehrtsein, Berühmtheit%} ŚĀŚVATA 190.
Adftatva	14093	7-318-a	absent	N	Y	N	{#Adftatva#}¦ 5.
Adicakrin	1529	1-297-a	absent	N	Y	N	{#Adicakrin#}¦ Adj. {%der zuerst den Discus führte%}. Viṣṇu-Kṛṣṇa AGNI-P. 31,10.
Adicakrin	14076	7-317-d	absent	N	Y	N	{#Adicakrin#}¦ 1.
