pwk_L	pwk_pc	slp1	iast	tier	rank	mw_fuzzy	evidence
211671	7-302-c	apamatsara	apamatsara	nearform0.80		ApAtamAtra	
211673	7-302-c	apamArjanaka	apamārjanaka	NO-MATCH	A		A:apamada;A:apamud
211678	7-302-c	apayoDarava	apayodharava	NO-MATCH	A		A:apayAtavya
211679	7-302-c	aparakarman	aparakarman	nearform0.87		apUrvakarman	
211681	7-302-d	aparakArya	aparakārya	nearform0.95		aparakAya	
211682	7-302-d	aparakriyA	aparakriyā	nearform0.84		arTakriyA	
211685	7-302-d	aparaviDi	aparavidhi	NO-MATCH	A		A:apararAtri;A:aparAktva
211687	7-302-d	aparAgata	aparāgata	nearform0.95		aparyAgata	
211689	7-302-d	aparAjaya	aparājaya	nearform0.89		aparakAya	
211692	7-302-d	aparAtaMsa	aparātaṃsa	nearform0.80		aprasraMsa	
211693	7-302-d	aparAditya	aparāditya	nearform0.80		aparivAdya	
211695	7-302-d	aparADavant	aparādhavant	nearform0.95		aparADavat	
211703	7-302-d	aparAvantya	aparāvantya	NO-MATCH	A		A:aparArDya;A:aparAvapizWa
211708	7-302-d	aparikzIRa	aparikṣīṇa	nearform0.90		aparIkzita	
211709	7-302-d	aparikzIRaSakti	aparikṣīṇaśakti	NO-MATCH	C		
211710	7-302-d	aparigamya	aparigamya	nearform0.90		aparigaRya	
211711	7-302-d	aparigfhIta	aparigṛhīta	NO-MATCH	B		B:aparigraha
211715	7-302-d	aparicCedakartar	aparicchedakartar	NO-MATCH	A		A:aparicalita
211716	7-302-d	aparicCedya	aparicchedya	nearform0.95		aparicCeda	
211717	7-302-d	aparicyuta	aparicyuta	nearform0.84		apracyuta	
211719	7-302-d	aparijYAna	aparijñāna	nearform0.90		aparijyAni	
211722	7-303-a	apariRAyaka	apariṇāyaka	NO-MATCH	B		B:apariRAmin
211723	7-303-a	aparitarkita	aparitarkita	NO-MATCH	C		
211724	7-303-a	aparitApa	aparitāpa	nearform0.94		AprItapA	
211725	7-303-a	aparituzwa	aparituṣṭa	NO-MATCH	C		
211726	7-303-a	aparituzyant	aparituṣyant	NO-MATCH	B		B:aparitoza
211728	7-303-a	aparityakta	aparityakta	nearform0.82		aparityajya	
211729	7-303-a	aparityAjya	aparityājya	nearform1.00		aparityajya	
211730	7-303-a	aparinirmita	aparinirmita	NO-MATCH	C		
211731	7-303-a	aparinizWita	apariniṣṭhita	NO-MATCH	C		
211732	7-303-a	aparinizpatti	apariniṣpatti	nearform0.88		alpanizpatti	
211733	7-303-a	apariBakzita	aparibhakṣita	nearform0.96		apariBAzita	
211734	7-303-a	apariBavanIya	aparibhavanīya	nearform0.81		aparivartanIya	
211736	7-303-a	apariBAzya	aparibhāṣya	nearform0.86		apariBAzita	
211737	7-303-a	apariBukta	aparibhukta	NO-MATCH	C		
211738	7-303-a	apariBUtAjYa	aparibhūtājña	NO-MATCH	B		B:apariBraSyamAna
211742	7-303-a	aparimitadakziRa	aparimitadakṣiṇa	NO-MATCH	A		A:aparimitakftvas
211743	7-303-a	aparirakzaRa	aparirakṣaṇa	NO-MATCH	B		B:aparivargam
211746	7-303-a	aparivezwita	apariveṣṭita	NO-MATCH	B		B:aparivfta
211747	7-303-a	aparivyakta	aparivyakta	NO-MATCH	C		
211748	7-303-a	aparivraQiman	aparivraḍhiman	NO-MATCH	C		
211749	7-303-a	apariSrama	apariśrama	nearform0.90		aparikrama	
211750	7-303-a	apariSrAnta	apariśrānta	nearform0.86		apariSrita	
211751	7-303-a	apariziYcant	apariṣiñcant	NO-MATCH	C		
211752	7-303-a	aparizvakta	apariṣvakta	nearform0.86		aparizkfta	
211753	7-303-a	aparisaMsTita	aparisaṃsthita	NO-MATCH	B		B:aparihARa
211763	7-303-a	aparezukAmaSamI	apareṣukāmaśamī	NO-MATCH	B		B:aparedyus
211764	7-303-a	aparokzAnuBUti	aparokṣānubhūti	NO-MATCH	B		B:aparoDuka
211767	7-303-a	aparopatApin	aparopatāpin	NO-MATCH	A		A:aparoDya;B:apartu
211771	7-303-b	aparyudasta	aparyudasta	NO-MATCH	A		B:aparyAsita;A:aparyezita
211778	7-303-b	apalakzaRa	apalakṣaṇa	nearform0.95		apalakzmaRa	
211779	7-303-b	apalakzaRa	apalakṣaṇa	nearform0.95		apalakzmaRa	
211782	7-303-b	apalAyana	apalāyana	nearform0.89		anAlayana	
211783	7-303-b	apalAyin	apalāyin	nearform0.88		apalApin	
211787	7-303-b	apavidDi	apaviddhi	stem			
211792	7-303-b	apaSabdanirAkaraRa	apaśabdanirākaraṇa	NO-MATCH	A		A:apavyAhAra;A:apaSabdita
211797	7-303-b	apaSyant	apaśyant	nearform0.93		apaSyat	
211799	7-303-b	apasadas	apasadas	stem			
211802	7-303-b	apasubrahmaRya	apasubrahmaṇya	NO-MATCH	B		B:apasAraRa
211803	7-303-b	apaskanda	apaskanda	nearform0.89		avaskanda	
211817	7-303-c	apAkartos	apākartos	NO-MATCH	A		A:apahvara;B:apAkfti
211819	7-303-c	apAkesTa	apākestha	nearform1.00		ApAkesTa	
211823	7-303-c	apAwita	apāṭita	nearform0.86		Arawita	
211826	7-303-c	apARigrahaRA	apāṇigrahaṇā	stem			
211827	7-303-c	apAtrI	apātrī	stem			
211828	7-303-c	apATeya	apātheya	nearform0.86		Apageya	
211835	7-303-c	apApaka	apāpaka	nearform0.86		ApAnaka	
211837	7-303-c	apApadarSin	apāpadarśin	NO-MATCH	A		A:apApad
211838	7-303-c	apAparogin	apāparogin	NO-MATCH	A		A:apApAya
211841	7-303-c	apAmArgI	apāmārgī	stem			
211847	7-303-c	apArayant	apārayant	nearform0.94		apArayat	
211848	7-303-c	apArAyaRIya	apārāyaṇīya	nearform0.86		ASrayaRIya	
211850	7-303-d	apArTay	apārthay	stem			
211851	7-303-d	apArTI	apārthī	stem			
211853	7-303-d	apAvaraRa	apāvaraṇa	nearform1.00		apavaraRa	
211855	7-303-d	apAsa	apāsa	stem			
211857	7-303-d	apiNgAkza	apiṅgākṣa	nearform0.84		ApiNgalaka	
211861	7-303-d	apinvamAna	apinvamāna	NO-MATCH	A		A:apinadDAkza
211862	7-303-d	apippalAda	apippalāda	NO-MATCH	C		
211863	7-303-d	apiSasas	apiśasas	NO-MATCH	C		
211864	7-303-d	apiSAca	apiśāca	nearform0.86		ApiSala	
211866	7-303-d	apisoma	apisoma	nearform0.86		arisoma	
211870	7-303-d	apIqayant	apīḍayant	nearform0.94		apIqayat	
211873	7-303-d	apuRyaSIla	apuṇyaśīla	NO-MATCH	B		B:apuRyakft
211874	7-303-d	aputryapaSavya	aputryapaśavya	NO-MATCH	A		A:apunarABAva
211876	7-303-d	apunarnivartin	apunarnivartin	NO-MATCH	A		A:apunarABAva
211877	7-303-d	apunarnivftti	apunarnivṛtti	nearform0.88		apunarAvftti	
211879	7-303-d	apunarmAra	apunarmāra	NO-MATCH	B		B:apunarBava
211880	7-303-d	apunarmfta	apunarmṛta	nearform0.84		antarmfta	
211881	7-303-d	apuraskfta	apuraskṛta	nearform0.84		aprasakta	
211887	7-303-d	apuzpita	apuṣpita	nearform0.80		ayupita	
211888	7-303-d	apUtaBft	apūtabhṛt	NO-MATCH	B		B:apUpa
211893	7-304-a	apUrya	apūrya	nearform1.00		ApUrya	
211895	7-304-a	apUrvamaRi	apūrvamaṇi	NO-MATCH	A		A:apUrva;A:apUrvin
211897	7-304-a	apfTagDarmacaraRa	apṛthagdharmacaraṇa	NO-MATCH	A		A:apUrvin
211898	7-304-a	apfTagBUta	apṛthagbhūta	NO-MATCH	C		
211899	7-304-a	apfTAtmaja	apṛthātmaja	NO-MATCH	C		
211900	7-304-a	apfzWa	apṛṣṭha	nearform0.83		apazWa	
211903	7-304-a	apelava	apelava	nearform0.92		aplava	
211907	7-304-a	apOrava	apaurava	nearform0.86		aparava	
211909	7-304-a	apOrRamAsa	apaurṇamāsa	NO-MATCH	B		B:apOruzeya;B:apOzkalya
211911	7-304-a	aptumant	aptumant	nearform0.93		aptumat	
211913	7-304-a	appakavi	appakavi	NO-MATCH	B		B:apnaHsTa
211914	7-304-a	aprakampya	aprakampya	nearform0.95		aprakampa	
211915	7-304-a	aprakarza	aprakarṣa	nearform0.94		apakarza	
211919	7-304-a	aprakftisTa	aprakṛtistha	NO-MATCH	B		B:aprakASin
211920	7-304-a	aprakzAla	aprakṣāla	nearform0.89		aparakAla	
211921	7-304-a	apragalBatA	apragalbhatā	NO-MATCH	A		A:apragADa
211923	7-304-a	apragIta	apragīta	nearform0.88		apraRIta	
211927	7-304-a	apracaraRIya	apracaraṇīya	nearform0.87		apaharaRIya	
211928	7-304-a	apracAra	apracāra	nearform0.93		apacAra	
211931	7-304-a	apracCAdayant	apracchādayant	NO-MATCH	B		B:apracodita
211932	7-304-b	apracCAdita	apracchādita	nearform0.87		aparicCAdita	
211935	7-304-b	aprajAyant	aprajāyant	nearform0.80		aparAjayin	
211937	7-304-b	aprajYAna	aprajñāna	nearform0.94		apajYAna	
211938	7-304-b	aprajYAyamAna	aprajñāyamāna	nearform0.85		aprayujyamAna	
211939	7-304-b	apraRata	apraṇata	nearform0.93		aprARat	
211940	7-304-b	apraRaya	apraṇaya	nearform0.82		apAraRIya	
211941	7-304-b	apraRayin	apraṇayin	nearform0.84		aparicayin	
211942	7-304-b	apraRAmita	apraṇāmita	nearform0.84		aparimita	
211944	7-304-b	apratapta	apratapta	nearform0.94		apratApa	
211945	7-304-b	apratApin	apratāpin	nearform0.82		apratApa	
211947	7-304-b	apratikarmakriyA	apratikarmakriyā	NO-MATCH	B		B:aprati
211948	7-304-b	apratikarza	apratikarṣa	nearform0.95		apratikara	
211949	7-304-b	apratikArya	apratikārya	nearform0.95		apratikara	
211950	7-304-b	apratikurvant	apratikurvant	nearform0.80		apratikarman	
211951	7-304-b	apratikUlakft	apratikūlakṛt	NO-MATCH	C		
211952	7-304-b	apratikriya	apratikriya	nearform0.86		apratikara	
211953	7-304-b	apratikriyamARa	apratikriyamāṇa	NO-MATCH	C		
211954	7-304-b	apratikruDyant	apratikrudhyant	NO-MATCH	C		
211955	7-304-b	apratikrUra	apratikrūra	nearform0.86		apratikara	
211956	7-304-b	apratikroSant	apratikrośant	nearform0.80		apratikarman	
211957	7-304-b	apratigaja	apratigaja	NO-MATCH	C		
211958	7-304-b	apratigata	apratigata	nearform0.90		apratihata	
211959	7-304-b	apratigfhIta	apratigṛhīta	nearform0.87		apratigfhya	
211960	7-304-b	apratiGAta	apratighāta	nearform0.80		apratihAra	
211961	7-304-b	apratijagDa	apratijagdha	NO-MATCH	C		
211962	7-304-b	apratidruh	apratidruh	NO-MATCH	C		
211963	7-304-b	apratinandant	apratinandant	NO-MATCH	C		
211964	7-304-b	apratinandita	apratinandita	NO-MATCH	B		B:apratinoda
211967	7-304-b	apratipudgala	apratipudgala	NO-MATCH	B		B:apratipatti
211968	7-304-b	apratipUjita	apratipūjita	NO-MATCH	B		B:apratibanDa
211970	7-304-b	apratiboDana	apratibodhana	nearform0.88		apratiboDavat	
211971	7-304-b	apratiboDavant	apratibodhavant	nearform0.96		apratiboDavat	
211974	7-304-c	apratiBAna	apratibhāna	nearform0.90		apratimAna	
211977	7-304-c	apratirudDa	apratiruddha	nearform0.82		apratizidDa	
211978	7-304-c	apratiroDana	apratirodhana	nearform0.80		apratiboDavat	
211979	7-304-c	apratilInA	apratilīnā	nearform0.80		apratimAna	
211980	7-304-c	apratilomayant	apratilomayant	nearform0.96		apratilomayat	
211981	7-304-c	aprativartana	aprativartana	nearform0.85		anupravartana	
211983	7-304-c	aprativArita	aprativārita	nearform0.80		anuparivArita	
211984	7-304-c	aprativiDAna	apratividhāna	nearform0.80		apratidvandva	
211985	7-304-c	apratividDa	apratividdha	nearform0.91		apratizidDa	
211986	7-304-c	aprativindamAna	aprativindamāna	nearform0.80		apratipadyamAna	
211987	7-304-c	aprativirata	aprativirata	nearform0.87		aprativIrya	
211988	7-304-c	apratiSaNkamAna	apratiśaṅkamāna	NO-MATCH	C		
211989	7-304-c	apratiSaraRa	apratiśaraṇa	NO-MATCH	B		B:apratiSAsana
211991	7-304-c	apratiSuzkAgra	apratiśuṣkāgra	NO-MATCH	B		B:apratiSAsana
211992	7-304-c	apratiSrabDa	apratiśrabdha	nearform0.92		apratistabDa	
211993	7-304-c	apratiSraya	apratiśraya	nearform0.82		apratiSasta	
211995	7-304-c	apratizeDita	apratiṣedhita	NO-MATCH	B		B:apratizikta;B:apratizWA
211999	7-304-c	apratisaMhfta	apratisaṃhṛta	nearform0.80		apratiSaMsat	
212002	7-304-c	apratisama	apratisama	nearform0.86		apratiSasta	
212003	7-304-c	apratisara	apratisara	nearform0.90		apratikara	
212005	7-304-c	apratihfta	apratihṛta	nearform0.90		apratihata	
212006	7-304-c	apratIkArya	apratīkārya	nearform0.95		apratIkAra	
212008	7-304-c	apratIGa	apratīgha	nearform1.00		apratiGa	
212009	7-304-c	apratIGAta	apratīghāta	nearform0.84		apratItta	
212010	7-304-c	apratIGAtin	apratīghātin	nearform0.87		apratIGAtitA	
212011	7-304-c	apratIhAram	apratīhāram	NO-MATCH	B		B:apratta
212015	7-304-d	apratyaBimfzwa	apratyabhimṛṣṭa	NO-MATCH	B		B:apratyakza
212016	7-304-d	apratyutTAyika	apratyutthāyika	nearform0.93		apratyutTAyuka	
212017	7-304-d	apratyutTAyin	apratyutthāyin	nearform0.81		apratyutTAyuka	
212019	7-304-d	apratyudAvartya	apratyudāvartya	NO-MATCH	A		A:apratyutTAyuka
212020	7-304-d	apratyUha	apratyūha	NO-MATCH	C		
212021	7-304-d	apratrAsa	apratrāsa	nearform0.89		apatrasta	
212023	7-304-d	apraduzwa	apraduṣṭa	NO-MATCH	B		B:apradadi;B:apraDAna
212025	7-304-d	aprapaYca	aprapañca	nearform0.84		arDapaYcan	
212026	7-304-d	aprapadyant	aprapadyant	nearform0.86		aprapadana	
212027	7-304-d	aprapIqana	aprapīḍana	nearform0.84		avapIqana	
212028	7-304-d	aprapUjita	aprapūjita	nearform0.84		aparAjita	
212029	7-304-d	aprabudDa	aprabuddha	nearform0.82		arbudaDA	
212030	7-304-d	apraBinna	aprabhinna	nearform0.84		apariBinna	
212033	7-304-d	apramattavant	apramattavant	nearform0.96		apramattavat	
212036	7-304-d	apramoza	apramoṣa	nearform0.88		apramoda	
212037	7-304-d	aprayacCant	aprayacchant	nearform0.86		aprayucCat	
212038	7-304-d	aprayAnt	aprayānt	nearform0.88		aprayata	
212042	7-304-d	aprayogin	aprayogin	nearform0.84		anupayogin	
212043	7-304-d	aprayojya	aprayojya	nearform0.84		aprayojaka	
212044	7-304-d	apralaya	apralaya	nearform0.94		apravlaya	
212045	7-304-d	apravaRa	apravaṇa	nearform1.00		ApravaRa	
212046	7-304-d	apravadant	apravadant	nearform0.95		apravadat	
212047	7-304-d	apravilApita	apravilāpita	NO-MATCH	C		
212048	7-304-d	apravizwa	apraviṣṭa	nearform0.84		aparivizwa	
212051	7-304-d	apravedita	apravedita	nearform0.80		anirvedita	
212056	7-305-a	aprastava	aprastava	nearform0.94		aprasava	
212059	7-305-a	aprahAvarI	aprahāvarī	nearform0.84		aprahAvan	
212063	7-305-a	aprAptakAya	aprāptakāya	nearform0.91		aprAptakAla	
212064	7-305-a	aprAptaprakASakatva	aprāptaprakāśakatva	NO-MATCH	C		
212065	7-305-a	aprAptarajasI	aprāptarajasī	NO-MATCH	C		
212066	7-305-a	aprAptavant	aprāptavant	nearform0.87		aparyAptavat	
212069	7-305-a	aprAptazoqaSa	aprāptaṣoḍaśa	NO-MATCH	B		B:aprAptavyavahAra;B:aprApti
212072	7-305-a	aprArTanIyA	aprārthanīyā	NO-MATCH	B		B:aprAyu
212073	7-305-a	aprAveSya	aprāveśya	nearform0.82		AryaveSa	
212074	7-305-a	aprAsuka	aprāsuka	NO-MATCH	A		A:aprAstAvika
212076	7-305-a	apriyakft	apriyakṛt	nearform0.82		aprakfta	
212077	7-305-a	apriyaMkara	apriyaṃkara	nearform0.95		apriyakara	
212078	7-305-a	aprIta	aprīta	stem			
212079	7-305-a	aprItikft	aprītikṛt	NO-MATCH	C		
212080	7-305-a	aprItamanas	aprītamanas	NO-MATCH	C		
212081	7-305-a	aprekzyamARa	aprekṣyamāṇa	nearform0.83		anapekzamARa	
212082	7-305-a	aplavaga	aplavaga	NO-MATCH	C		
212083	7-305-a	aploza	aploṣa	NO-MATCH	B		B:apvA
212085	7-305-a	apSuzka	apśuṣka	nearform0.93		apaSuzka	
212086	7-305-a	apsarasa	apsarasa	nearform1.00		Apsarasa	
212087	7-305-a	apsarAy	apsarāy	stem			
212090	7-305-a	apsAnIya	apsānīya	nearform0.93		apAnIya	
212093	7-305-b	apsumant	apsumant	nearform0.93		apsumat	
212095	7-305-b	aPalavant	aphalavant	nearform0.82		aPalatva	
212096	7-305-b	aPalIkfta	aphalīkṛta	NO-MATCH	C		
212097	7-305-b	aPUtkArya	aphūtkārya	NO-MATCH	A		A:aPenila
212100	7-305-b	abanDudAyAda	abandhudāyāda	NO-MATCH	A		A:abadDa;A:abanDura
212106	7-305-b	abahupAda	abahupāda	NO-MATCH	A		A:abalIyastva
212107	7-305-b	abahuBAzin	abahubhāṣin	NO-MATCH	C		
212108	7-305-b	abahumAna	abahumāna	NO-MATCH	C		
212109	7-305-b	abahuvyaktinizWa	abahuvyaktiniṣṭha	NO-MATCH	B		B:abahvakzara
212111	7-305-b	abADamAna	abādhamāna	nearform0.84		abuDyamAna	
212114	7-305-b	abAleya	abāleya	nearform0.92		Abalya	
212115	7-305-b	abiBrat	abibhrat	nearform0.86		aBirati	
212116	7-305-b	abilavant	abilavant	nearform0.82		abalavat	
212120	7-305-b	abudDaDarma	abuddhadharma	NO-MATCH	B		B:abudDa
212121	7-305-b	abfMhita	abṛṃhita	NO-MATCH	B		B:aboDa
212124	7-305-b	abjaka	abjaka	nearform0.92		abIjaka	
212129	7-305-b	abBogIna	abbhogīna	NO-MATCH	A		A:abDimaTana
212130	7-305-b	abrajas	abrajas	nearform0.92		arajas	
212137	7-305-c	aBakzaRIya	abhakṣaṇīya	nearform0.80		aByezaRIya	
212138	7-305-c	aBakzyaBakzyaprakaraRa	abhakṣyabhakṣyaprakaraṇa	NO-MATCH	B		B:aBaga
212145	7-305-c	aBayanandin	abhayanandin	nearform0.86		aBayAnanda	
212146	7-305-c	aBayapradAnasAra	abhayapradānasāra	NO-MATCH	A		A:aBavani
212149	7-305-c	aBavyaSeKara	abhavyaśekhara	NO-MATCH	A		A:aBavya
212150	7-305-c	aBasmIkaraRa	abhasmīkaraṇa	NO-MATCH	B		B:aBAga
212152	7-305-c	aBAgahArin	abhāgahārin	nearform0.86		aByavahArin	
212154	7-305-c	aBAnupatana	abhānupatana	nearform0.82		aByutpatana	
212155	7-305-c	aBAra	abhāra	nearform1.00		ABara	
212156	7-305-c	aBAryApitfka	abhāryāpitṛka	NO-MATCH	C		
212157	7-305-c	aBAvaka	abhāvaka	NO-MATCH	C		
212158	7-305-c	aBAvagranTavyAKyA	abhāvagranthavyākhyā	NO-MATCH	B		B:aBAvanA
212160	7-305-c	aBAvavikalpa	abhāvavikalpa	NO-MATCH	B		B:aBAvanA
212161	7-305-c	aBAvita	abhāvita	nearform0.86		ABAzita	
212162	7-305-c	aBAskara	abhāskara	nearform0.88		AyaskAra	
212172	7-305-c	aBigamanIya	abhigamanīya	nearform0.91		aDigamanIya	
212176	7-305-d	aBigrahItar	abhigrahītar	nearform0.86		aBigrahItf	
212177	7-305-d	aBigrAsa	abhigrāsa	nearform0.94		aBigrasta	
212184	7-305-d	aBijanitos	abhijanitos	nearform0.84		aBimantos	
212186	7-305-d	aBijY	abhijñ	stem			
212188	7-305-d	aBijvalana	abhijvalana	nearform0.80		avajvalana	
212193	7-305-d	aBitvamAna	abhitvamāna	nearform0.84		aBivimAna	
212194	7-305-d	aBid	abhid	stem			
212198	7-305-d	aBidravaRa	abhidravaṇa	nearform0.90		aBiSravaRa	
212200	7-305-d	aBiDarzayitavya	abhidharṣayitavya	NO-MATCH	A		B:aBiDarma;A:aBiDyAlu
212202	7-305-d	aBinati	abhinati	stem			
212203	7-305-d	aBinamana	abhinamana	nearform0.89		aBigamana	
212204	7-305-d	aBinamitA	abhinamitā	nearform0.84		aBinirmita	
212205	7-305-d	aBinayadarpaRa	abhinayadarpaṇa	NO-MATCH	C		
212206	7-305-d	aBinayana	abhinayana	nearform0.82		aBinyAsa	
212207	7-305-d	aBinavakAverImAhAtmya	abhinavakāverīmāhātmya	NO-MATCH	A		A:aBinAmaDeya
212213	7-306-a	aBinirhAra	abhinirhāra	NO-MATCH	A		A:aBinimroka;A:aBinivizwaka
212216	7-306-a	aBinizpannatva	abhiniṣpannatva	NO-MATCH	B		B:aBiniveSin
212217	7-306-a	aBinnanimittopAdAna	abhinnanimittopādāna	NO-MATCH	B		B:aBinnAtman
212219	7-306-a	aBipatAka	abhipatāka	nearform0.89		aBiGAtaka	
212221	7-306-a	aBipattimant	abhipattimant	nearform0.96		aBipattimat	
212224	7-306-a	aBipAraga	abhipāraga	nearform0.89		aBipragAh	
212225	7-306-a	aBipAlaka	abhipālaka	nearform0.89		aBipAlana	
212230	7-306-a	aBipratAraRa	abhipratāraṇa	nearform0.92		ABipratAriRa	
212231	7-306-a	aBipratigara	abhipratigara	NO-MATCH	A		A:aBipravrajana
212233	7-306-a	aBiprasArin	abhiprasārin	nearform0.91		aBipratArin	
212239	7-306-a	aBiBartsana	abhibhartsana	nearform0.82		avaBartsana	
212245	7-306-a	aBimanAy	abhimanāy	stem			
212246	7-306-b	aBimant	abhimant	stem			
212248	7-306-b	aBimanyuka	abhimanyuka	nearform0.95		aBimAnuka	
212257	7-306-b	aBimuKIkfti	abhimukhīkṛti	NO-MATCH	B		B:aBimuKI
212258	7-306-b	aBimfSe	abhimṛśe	stem			
212265	7-306-b	aBirADana	abhirādhana	nearform0.84		aBivarDana	
212266	7-306-b	aBirADya	abhirādhya	nearform0.88		aBirAdDa	
212268	7-306-b	aBirAmIya	abhirāmīya	nearform0.82		aBirAmam	
212269	7-306-b	aBiruqgatA	abhiruḍgatā	NO-MATCH	C		
212270	7-306-b	aBirodDar	abhiroddhar	nearform0.82		aBirAdDa	
212271	7-306-b	aBiroDana	abhirodhana	nearform0.84		aBivarDana	
212273	7-306-b	aBilapanatA	abhilapanatā	NO-MATCH	B		B:aBilakzaRa;B:aBilazaRa
212284	7-306-c	aBivAsin	abhivāsin	nearform1.00		aBivASin	
212287	7-306-c	aBivivAsa	abhivivāsa	nearform0.94		aBivivas	
212288	7-306-c	aBivyaktI	abhivyaktī	stem			
212289	7-306-c	aBivyAharaRIya	abhivyāharaṇīya	NO-MATCH	A		A:aBivyAhAra
212292	7-306-c	aBivyuzwi	abhivyuṣṭi	nearform0.82		aBivyukz	
212295	7-306-c	aBiSAstar	abhiśāstar	nearform0.94		aBiSasta	
212301	7-306-c	aBiziYcana	abhiṣiñcana	nearform0.84		aBizecana	
212302	7-306-c	aBizecanI	abhiṣecanī	stem			
212303	7-306-c	aBizeRay	abhiṣeṇay	stem			
212305	7-306-c	aBisaMvAdin	abhisaṃvādin	nearform0.91		avisaMvAdin	
212306	7-306-c	aBisaMkalpa	abhisaṃkalpa	nearform0.82		aBisaMkzepa	
212307	7-306-c	aBisaMkzepikam	abhisaṃkṣepikam	NO-MATCH	C		
212308	7-306-c	aBisaMGarza	abhisaṃgharṣa	NO-MATCH	B		B:aBisamaya
212310	7-306-c	aBisamAhAram	abhisamāhāram	nearform0.87		aBisaMsAram	
212311	7-306-c	aBisamitAvin	abhisamitāvin	NO-MATCH	C		
212312	7-306-c	aBisamUhana	abhisamūhana	NO-MATCH	B		B:aBisara
212320	7-306-c	aBihiMmana	abhihiṃmana	nearform0.90		aBihiMsana	
212324	7-306-d	aBItacArin	abhītacārin	NO-MATCH	A		A:aBIga
212325	7-306-d	aBItistava	abhītistava	NO-MATCH	B		B:aBIruka
212328	7-306-d	aBISumant	abhīśumant	NO-MATCH	B		B:aBIruRa;B:aBIzah
212332	7-306-d	aBuNkzita	abhuṅkṣita	nearform0.89		aByukzita	
212335	7-306-d	aBUmida	abhūmida	nearform0.86		aBUmija	
212336	7-306-d	aBUmizWa	abhūmiṣṭha	nearform0.88		aBUyizWa	
212339	7-306-d	aBettar	abhettar	NO-MATCH	B		B:aBftaka
212340	7-306-d	aBedaKaRqana	abhedakhaṇḍana	NO-MATCH	C		
212341	7-306-d	aBedajYa	abhedajña	NO-MATCH	A		A:aBedya
212343	7-306-d	aBedyaparivAra	abhedyaparivāra	NO-MATCH	A		A:aBedya
212344	7-306-d	aBedyaratracUqa	abhedyaratracūḍa	NO-MATCH	C		
212345	7-306-d	aBedyASaya	abhedyāśaya	NO-MATCH	A		A:aBEzajya
212347	7-306-d	aBoktar	abhoktar	NO-MATCH	A		A:aBEzajya;B:aBojya
212355	7-306-d	aByavacAruka	abhyavacāruka	NO-MATCH	A		B:aByavakarzaRa;A:aByavahAra
212359	7-306-d	aByavetya	abhyavetya	nearform0.82		avyaveta	
212361	7-306-d	aByAgAra	abhyāgāra	stem			
212363	7-306-d	aByAcara	abhyācara	stem			
212366	7-307-a	aByAdAhya	abhyādāhya	nearform0.89		aByAdAvya	
212376	7-307-a	aByudgatA	abhyudgatā	stem			
212382	7-307-a	aByupadeSa	abhyupadeśa	NO-MATCH	A		B:aByupagama;A:aByupapatti
212386	7-307-a	aByupEtos	abhyupaitos	NO-MATCH	B		B:aByupAya
212387	7-307-a	aByuzRa	abhyuṣṇa	nearform0.92		aByuza	
212388	7-307-a	aBraMSin	abhraṃśin	nearform0.82		aBiSaMsin	
212396	7-307-a	aBrAy	abhrāy	stem			
212397	7-307-a	amaNgalika	amaṅgalika	nearform0.80		aBimaNgala	
212399	7-307-a	amajjana	amajjana	NO-MATCH	B		B:amajjaka;B:amati
212406	7-307-b	amaDyaMdinasAci	amadhyaṃdinasāci	NO-MATCH	B		B:amadana
212407	7-307-b	amanasikAra	amanasikāra	NO-MATCH	C		
212408	7-307-b	amanasvin	amanasvin	NO-MATCH	B		B:amanAk
212412	7-307-b	amanorama	amanorama	NO-MATCH	B		B:amanuzyanizevita
212413	7-307-b	amantar	amantar	nearform0.92		Amantr	
212416	7-307-b	amantravarjam	amantravarjam	NO-MATCH	B		B:amantrajYa
212417	7-307-b	amandahfdaya	amandahṛdaya	NO-MATCH	A		A:amamri
212420	7-307-b	amarakoSapaYcikA	amarakośapañcikā	NO-MATCH	A		B:amara;A:amaragiri
212423	7-307-b	amaraDunI	amaradhunī	NO-MATCH	A		A:amaradruma;B:amaraparvata
212429	7-307-b	amaraviveka	amaraviveka	NO-MATCH	A		A:amaravaDU
212430	7-307-b	amaraSeza	amaraśeṣa	nearform0.82		arDaSeza	
212432	7-307-b	amaruka	amaruka	NO-MATCH	B		B:amarastrI
212433	7-307-b	amareSvarakalpa	amareśvarakalpa	NO-MATCH	B		B:amartyatA
212437	7-307-b	amasvarI	amasvarī	nearform0.80		amAvAsI	
212438	7-307-b	amahAyajYayAjin	amahāyajñayājin	NO-MATCH	B		B:amA
212442	7-307-b	amAtfjYa	amātṛjña	nearform0.80		AtmajYa	
212443	7-307-b	amAtrA	amātrā	stem			
212447	7-307-b	amAnt	amānt	stem			
212449	7-307-c	amAyAvin	amāyāvin	nearform1.00		AmayAvin	
212450	7-307-c	amAyu	amāyu	stem			
212454	7-307-c	amilant	amilant	NO-MATCH	A		A:amitrakarzin;B:amiSraRa
212457	7-307-c	amI	amī	stem			
212459	7-307-c	amImAMsita	amīmāṃsita	NO-MATCH	A		A:amImAMsaka;B:amukta
212462	7-307-c	amuYcamAna	amuñcamāna	NO-MATCH	B		B:amuktahastatA
