form_slp1	flag	heritage_stems	kosha_lemmas	heritage_category	kosha_sources	disagreement_class
candena	disagree	canda	cand	nominal	vidyut	stem-granularity
candrI	disagree	candra	candrin	iiv-compound	dcs	genuine-or-ambiguous
candrapraBA	disagree	candrapraBa	candrapraBA	nominal	dcs	genuine-or-ambiguous
candrapraBAyAm	disagree	candrapraBa	candrapraBA	nominal	dcs	genuine-or-ambiguous
candrapraBAyAs	disagree	candrapraBa	candrapraBA	nominal	dcs	genuine-or-ambiguous
candrapraBayA	disagree	candrapraBa	candrapraBA	nominal	dcs	genuine-or-ambiguous
candrasenA	disagree	candrasena	candrasenA	nominal	dcs	genuine-or-ambiguous
candrasene	disagree	candrasena	candrasenA	nominal	dcs	genuine-or-ambiguous
candravatI	disagree	candravat	candravatI	iic-compound|nominal	dcs	stem-granularity
candravatyA	disagree	candravat	candravatI	nominal	dcs	stem-granularity
capewA	disagree	capewa	capewA	nominal	vidyut	genuine-or-ambiguous
capewayA	disagree	capewa	capewA	nominal	dcs	genuine-or-ambiguous
caraRI	disagree	caraRa	caraRi	iiv-compound	dcs	genuine-or-ambiguous
caraRIyAn	disagree	caraRIya	car	participle	dcs	stem-granularity
caraRIyena	disagree	caraRIya	car	participle	dcs	stem-granularity
carakI	disagree	caraka	carakI	iiv-compound	dcs	genuine-or-ambiguous
caramARAn	disagree	caramARa	car	participle	dcs	stem-granularity
caramARAs	disagree	caramARa	car	participle	dcs	stem-granularity
caramARO	disagree	caramARa	car	participle	dcs	stem-granularity
caramARas	disagree	caramARa	car	participle	dcs	stem-granularity
caramARasya	disagree	caramARa	car	participle	dcs	stem-granularity
caran	disagree	carat	car	participle	dcs	stem-granularity
carantI	disagree	carat	car	participle	dcs	stem-granularity
carantIm	disagree	carat	car	participle	dcs	stem-granularity
carantO	disagree	carat	car	participle	dcs	stem-granularity
carantam	disagree	carat	car	participle	dcs	stem-granularity
carantas	disagree	carat	car	participle	dcs	stem-granularity
carantyA	disagree	carat	car	participle	dcs	stem-granularity
carat	disagree	carat	car	participle	dcs	stem-granularity
caratA	disagree	carat	car	participle	dcs	stem-granularity
caratsu	disagree	carat	car	participle	dcs	stem-granularity
carcayet	disagree	carc	carcay	finite-verb	dcs	stem-granularity
carcayizyate	disagree	carc|carcayizyat	carcay	finite-verb|participle	dcs	stem-granularity
carcikA	disagree	carcaka	carcikA	nominal	dcs	genuine-or-ambiguous
carcitA	disagree	carcita	carcay	participle	dcs	genuine-or-ambiguous
carcitAm	disagree	carcita	carcay	participle	dcs	genuine-or-ambiguous
carcitAni	disagree	carcita	carcay	participle	dcs	genuine-or-ambiguous
carcitO	disagree	carcita	carcay	participle	dcs	genuine-or-ambiguous
carcitam	disagree	carcita	carcay	participle	dcs	genuine-or-ambiguous
carcyate	disagree	carc	carcay	finite-verb	dcs	stem-granularity
cari	disagree	cara	cari	iic-compound|nominal	dcs	genuine-or-ambiguous
caritavAn	disagree	caritavat	car	participle	dcs	stem-granularity
caritavatA	disagree	caritavat	car	participle	dcs	stem-granularity
caritavyA	disagree	caritavya	car	participle	dcs	stem-granularity
caritavyam	disagree	caritavya	car	participle	dcs	stem-granularity
caritrAt	disagree	caritra	car	nominal	vidyut	stem-granularity
carizyan	disagree	carizyat	car	participle	dcs	stem-granularity
carizyantam	disagree	carizyat	car	participle	dcs	stem-granularity
carizyatsu	disagree	carizyat	car	participle	dcs	stem-granularity
carmaRvatI	disagree	carmaRvat	carmaRvatI	iic-compound|nominal	dcs	stem-granularity
carmam	disagree	carman	carma	nominal	dcs	stem-granularity
carme	disagree	carman	carma	nominal	dcs	stem-granularity
carmeRa	disagree	carman	carma	nominal	dcs	stem-granularity
carpawI	disagree	carpawa	carpawin	iiv-compound	dcs	genuine-or-ambiguous
cartayan	disagree	cartayat	carti	participle	vidyut	genuine-or-ambiguous
carvaRA	disagree	carvaRa	carvaRA	nominal	dcs	genuine-or-ambiguous
carvamARA	disagree	carvamARa	carv	participle	dcs	stem-granularity
carvayet	disagree	carv	carvay	finite-verb	dcs	stem-granularity
caryARAm	disagree	caryA|carya	car	nominal|participle	dcs	stem-granularity
caryamARam	disagree	caryamARa	car	participle	dcs	stem-granularity
catantam	disagree	catat	cat	participle	dcs	stem-granularity
cattA	disagree	catta	cat	participle	dcs	stem-granularity
cattAya	disagree	catta	cat	participle	dcs	stem-granularity
caturTyO	disagree	caturTa	caturTI	nominal	dcs	genuine-or-ambiguous
caturdaSI	disagree	caturdaSa	caturdaSI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
caturdaSIm	disagree	caturdaSa	caturdaSI	nominal	dcs	genuine-or-ambiguous
caturdaSIzu	disagree	caturdaSa	caturdaSI	nominal	dcs	genuine-or-ambiguous
caturdaSyA	disagree	caturdaSa	caturdaSI	nominal	dcs	genuine-or-ambiguous
caturdaSyAm	disagree	caturdaSa	caturdaSI	nominal	dcs	genuine-or-ambiguous
caturikA	disagree	caturaka	caturikA	nominal	dcs	genuine-or-ambiguous
catuzpAdam	disagree	catuzpad	catuzpAd|catuzpAda	nominal	dcs	genuine-or-ambiguous
catuzpAdas	disagree	catuzpad	catuzpAd	nominal	dcs	genuine-or-ambiguous
catuzpAt	disagree	catuzpad	catuzpAd	nominal	dcs	genuine-or-ambiguous
catuzpAtsu	disagree	catuzpad	catuzpAd	nominal	dcs	genuine-or-ambiguous
catuzpadA	disagree	catuzpad	catuzpadA|catuzpada	nominal	dcs	stem-granularity
cavikA	disagree	cavika	cavikA	nominal	dcs	genuine-or-ambiguous
cavyA	disagree	cavI|cavya	cavyA	nominal	dcs	genuine-or-ambiguous
cawa	disagree	caw	cawa	finite-verb	dcs	stem-granularity
cawikA	disagree	cawaka	cawikA	nominal	dcs	genuine-or-ambiguous
cawulA	disagree	cawula	cawulA	nominal	dcs	genuine-or-ambiguous
cekite	disagree	cit	cekit	finite-verb	dcs	genuine-or-ambiguous
celivAn	disagree	celivas	cal	participle	dcs	genuine-or-ambiguous
ceta	disagree	cat|cit	cetas	finite-verb	dcs	genuine-or-ambiguous
cetakI	disagree	cetaka	cetakI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
cetanAsu	disagree	cetana	cetanA	nominal	dcs	genuine-or-ambiguous
cetanIyA	disagree	cetanIya	cetanIyA	participle	dcs	genuine-or-ambiguous
cetanayA	disagree	cetana	cetanA	nominal	dcs	genuine-or-ambiguous
cetantI	disagree	cetat	cit	participle	dcs	genuine-or-ambiguous
cetantIm	disagree	cetat	cetantI	participle	dcs	genuine-or-ambiguous
cetat	disagree	cetat	cit	participle	vidyut	genuine-or-ambiguous
cetate	disagree	cetat	cit	participle	dcs	genuine-or-ambiguous
cetavyA	disagree	cetavya	ci	participle	dcs	genuine-or-ambiguous
cetavyam	disagree	cetavya	ci	participle	dcs	genuine-or-ambiguous
cetayAmi	disagree	cit	cetay	finite-verb	dcs	genuine-or-ambiguous
cetayAni	disagree	cetaya|cit	cetay	finite-verb|nominal	dcs	stem-granularity
cetayaDvam	disagree	cit	cetay	finite-verb	dcs	genuine-or-ambiguous
cetayamAnA	disagree	cetayamAna	cetay	participle	dcs	stem-granularity
cetayamAnAnAm	disagree	cetayamAna	cetay	participle	dcs	stem-granularity
cetayan	disagree	cetayat	cetay	participle	dcs	stem-granularity
cetayantI	disagree	cetayat	cetay	participle	dcs	stem-granularity
cetayanti	disagree	cetayat|cit	cetay	finite-verb|participle	dcs	stem-granularity
cetayasva	disagree	cit	cetay	finite-verb	dcs	genuine-or-ambiguous
cetayate	disagree	cetayat|cit	cetay	finite-verb|participle	dcs	stem-granularity
cetayati	disagree	cetayat|cit	cetay	finite-verb|participle	dcs	stem-granularity
cetaye	disagree	cetaya|cit	cetay	finite-verb|nominal	dcs	stem-granularity
cetayeTAm	disagree	cit	cetay	finite-verb	dcs	genuine-or-ambiguous
cetayitA	disagree	cit	cetayitf	finite-verb	dcs	genuine-or-ambiguous
cetayitvA	disagree	cit	cetay	verbal-indecl	dcs	genuine-or-ambiguous
cetitas	disagree	cetita	cetay	participle	dcs	genuine-or-ambiguous
cetitavAn	disagree	cetitavat	cetay	participle	dcs	genuine-or-ambiguous
cetyA	disagree	cetya	cetyA	participle	dcs	genuine-or-ambiguous
cetya	disagree	cit	cetay	verbal-indecl	dcs	genuine-or-ambiguous
cetyate	disagree	cit	cetay	finite-verb	dcs	genuine-or-ambiguous
cetyete	disagree	cit	cetay	finite-verb	dcs	genuine-or-ambiguous
cetyezu	disagree	cetya	cetay	participle	dcs	genuine-or-ambiguous
cewI	disagree	cewa	cewI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
cewInAm	disagree	cewa	cewI	nominal	dcs	genuine-or-ambiguous
cewi	disagree	cewa	cewI	iic-compound|nominal	dcs	genuine-or-ambiguous
cewyA	disagree	cewa	cewI	nominal	dcs	genuine-or-ambiguous
ceyam	disagree	ceya	ci	participle	vidyut	genuine-or-ambiguous
cezwA	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwAm	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwAn	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwAnAm	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwAsu	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwAyAm	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwAyE	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwO	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwam	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwamAnAm	disagree	cezwamAna	cezw	participle	dcs	stem-granularity
cezwamAnAnAm	disagree	cezwamAna	cezw	participle	vidyut	stem-granularity
cezwamAnam	disagree	cezwamAna	cezw	participle	vidyut	stem-granularity
cezwamAnas	disagree	cezwamAna	cezw	participle	dcs	stem-granularity
cezwan	disagree	cezwat	cezw	participle	dcs	stem-granularity
cezwantam	disagree	cezwat	cezw	participle	dcs	stem-granularity
cezwasya	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwatA	disagree	cezwat	cezwatA	participle	dcs	stem-granularity
cezwatsu	disagree	cezwat	cezw	participle	dcs	stem-granularity
cezwayA	disagree	cezwa	cezwA	nominal	dcs	genuine-or-ambiguous
cezwayan	disagree	cezwayat	cezway	participle	dcs	stem-granularity
cezwayante	disagree	cezw	cezway	finite-verb	dcs	stem-granularity
cezwayanti	disagree	cezw|cezwayat	cezway	finite-verb|participle	dcs	stem-granularity
cezwayate	disagree	cezw|cezwayat	cezway	finite-verb|participle	dcs	stem-granularity
cezwayati	disagree	cezw|cezwayat	cezway	finite-verb|participle	dcs	stem-granularity
cezwayet	disagree	cezw	cezway	finite-verb	dcs	stem-granularity
cezwitAm	disagree	cezwita	cezw	participle	dcs	stem-granularity
cezwitO	disagree	cezwita	cezw	participle	dcs	stem-granularity
cezwitavAn	disagree	cezwitavat	cezw	participle	dcs	stem-granularity
cezyamARA	disagree	cezyamARa	ci	participle	dcs	genuine-or-ambiguous
cezyan	disagree	cezyat	ci	participle	dcs	genuine-or-ambiguous
cezyatsu	disagree	cezyat	ci	participle	dcs	genuine-or-ambiguous
cicarizati	disagree	car|cicarizat	cicar	finite-verb|participle	dcs	stem-granularity
cikIrzAm	disagree	cikIrz|cikIrzA	cikIrza	nominal	vidyut	stem-granularity
cikIrzAma	disagree	kf	cikIrz	finite-verb	dcs	genuine-or-ambiguous
cikIrzAmi	disagree	kf	cikIrz	finite-verb	dcs	genuine-or-ambiguous
cikIrzAt	disagree	cikIrzA	cikIrz	nominal	dcs	stem-granularity
cikIrzamARAs	disagree	cikIrzamARa	cikIrz	participle	dcs	stem-granularity
cikIrzamARas	disagree	cikIrzamARa	cikIrz	participle	dcs	stem-granularity
cikIrzan	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzantI	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzantO	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzantam	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzantas	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzante	disagree	kf	cikIrz	finite-verb	dcs	genuine-or-ambiguous
cikIrzanti	disagree	cikIrzat|kf	cikIrz	finite-verb|participle	dcs	stem-granularity
cikIrzasi	disagree	kf	cikIrz	finite-verb	dcs	genuine-or-ambiguous
cikIrzat	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzatA	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzatAm	disagree	cikIrzat|kf	cikIrz	finite-verb|participle	dcs	stem-granularity
cikIrzatI	disagree	cikIrzat	cikIrz	participle	dcs	stem-granularity
cikIrzati	disagree	cikIrzat|kf	cikIrz	finite-verb|participle	dcs	stem-granularity
cikIrzet	disagree	kf	cikIrz	finite-verb	dcs	genuine-or-ambiguous
cikIrzeta	disagree	kf	cikIrz	finite-verb	dcs	genuine-or-ambiguous
cikIrzeya	disagree	kf	cikIrza	finite-verb	vidyut	genuine-or-ambiguous
cikIrzitA	disagree	cikIrzita|kf	cikIrz	finite-verb|participle	dcs	stem-granularity
cikIrzitAm	disagree	cikIrzita	cikIrzi	participle	vidyut	stem-granularity
cikIrzu	disagree	cikIrzu	cikIrza	iic-compound|nominal	vidyut	genuine-or-ambiguous
cikIzate	disagree	cikIzat	cikIz	participle	dcs	stem-granularity
cikitsAma	disagree	cit	cikitsa	finite-verb	vidyut	genuine-or-ambiguous
cikitsAmi	disagree	cit	cikits	finite-verb	dcs	genuine-or-ambiguous
cikitsa	disagree	cit	cikitsa	finite-verb	vidyut	genuine-or-ambiguous
cikitsan	disagree	cikitsat	cikits	participle	dcs	stem-granularity
cikitsantI	disagree	cikitsat	cikits	participle	dcs	stem-granularity
cikitsanti	disagree	cikitsat|cit	cikits	finite-verb|participle	dcs	stem-granularity
cikitsat	disagree	cikitsat	cikitsa	participle	vidyut	stem-granularity
cikitsata	disagree	cit	cikits	finite-verb	dcs	genuine-or-ambiguous
cikitsatam	disagree	cit	cikits	finite-verb	dcs	genuine-or-ambiguous
cikitsati	disagree	cikitsat|cit	cikits	finite-verb|participle	dcs	stem-granularity
cikitsatu	disagree	cit	cikits	finite-verb	dcs	genuine-or-ambiguous
cikitset	disagree	cit	cikits	finite-verb	dcs	genuine-or-ambiguous
cikitseta	disagree	cit	cikits	finite-verb	dcs	genuine-or-ambiguous
cikitsitum	disagree	cit	cikits	verbal-indecl	dcs	genuine-or-ambiguous
cikitsyAnAm	disagree	cikitsya	cikits	participle	dcs	stem-granularity
cikitsya	disagree	cit	cikits	verbal-indecl	dcs	genuine-or-ambiguous
cikitsyam	disagree	cikitsya	cikits	participle	dcs	stem-granularity
cikitsyena	disagree	cikitsya	cikits	participle	dcs	stem-granularity
cikitsyezu	disagree	cikitsya	cikits	participle	dcs	stem-granularity
cikituzA	disagree	cikitvas	cit	participle	dcs	genuine-or-ambiguous
cikituzI	disagree	cikitvas	cit	participle	dcs	genuine-or-ambiguous
cikituze	disagree	cikitvas	cit	participle	dcs	genuine-or-ambiguous
cikitvAn	disagree	cikitvas	cit	participle	dcs	genuine-or-ambiguous
cikitvat	disagree	cikitvas	kit	participle	vidyut	genuine-or-ambiguous
cikyAnAya	disagree	cikyAna	ci	participle	dcs	genuine-or-ambiguous
cikyAnam	disagree	cikyAna	ci	participle	dcs	genuine-or-ambiguous
cikyAnas	disagree	cikyAna	ci	participle	dcs	genuine-or-ambiguous
cillI	disagree	cilla|cilli	cillI	iiv-compound|nominal	dcs	genuine-or-ambiguous
cintanIyA	disagree	cintanIya	cintay	participle	dcs	genuine-or-ambiguous
cintanIyAni	disagree	cintanIya	cintay	participle	dcs	genuine-or-ambiguous
cintanIyO	disagree	cintanIya	cintay	participle	dcs	genuine-or-ambiguous
cintanIyam	disagree	cintanIya	cintay	participle	dcs	genuine-or-ambiguous
cintayAmi	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayAnA	disagree	cintayAna	cintay	participle	dcs	stem-granularity
cintayAnam	disagree	cintayAna	cintay	participle	dcs	stem-granularity
cintayAnasya	disagree	cintayAna	cintay	participle	dcs	stem-granularity
cintaya	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayaDvam	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayaTa	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayan	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayantI	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayantIm	disagree	cintayat	cint	participle	vidyut	stem-granularity
cintayantO	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayantam	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayantas	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayanti	disagree	cint|cintayat	cintay	finite-verb|participle	dcs	stem-granularity
cintayantu	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayantyA	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayase	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayasi	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayasva	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayatA	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintayatAm	disagree	cint|cintayat	cintay	finite-verb|participle	dcs	stem-granularity
cintayata	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayatas	disagree	cint|cintayat	cintay	finite-verb|participle	dcs	stem-granularity
cintayate	disagree	cint|cintayat	cintay	finite-verb|participle	dcs	stem-granularity
cintayati	disagree	cint|cintayat	cintay	finite-verb|participle	dcs	stem-granularity
cintayatsu	disagree	cintayat	cintay	participle	dcs	stem-granularity
cintaye	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayet	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayeyam	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayitavyA	disagree	cintayitavya	cintay	participle	dcs	stem-granularity
cintayitum	disagree	cint	cintay	verbal-indecl	dcs	stem-granularity
cintayitvA	disagree	cint	cintay	verbal-indecl	dcs	stem-granularity
cintayizyAmi	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayizyasi	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintayizyati	disagree	cint|cintayizyat	cintay	finite-verb|participle	dcs	stem-granularity
cinti	disagree	cit	cinti	nominal	dcs	genuine-or-ambiguous
cintitA	disagree	cintita	cintay	participle	dcs	genuine-or-ambiguous
cintitAm	disagree	cintita	cintay	participle	dcs	genuine-or-ambiguous
cintitAn	disagree	cintita	cintay	participle	dcs	genuine-or-ambiguous
cintitAni	disagree	cintita	cintay	participle	dcs	genuine-or-ambiguous
cintitavAn	disagree	cintitavat	cintay	participle	dcs	genuine-or-ambiguous
cintyA	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cintyAnAm	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cintyAni	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cintyAya	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cintya	disagree	cint	cintay	verbal-indecl	dcs	stem-granularity
cintyam	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cintyamAnam	disagree	cintyamAna	cintay	participle	dcs	genuine-or-ambiguous
cintyamAnasya	disagree	cintyamAna	cint	participle	vidyut	stem-granularity
cintyamAne	disagree	cintyamAna	cint	participle	vidyut	stem-granularity
cintyante	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintyas	disagree	cintya	cint	participle	vidyut	stem-granularity
cintyase	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintyasya	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cintyatAm	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintyate	disagree	cint	cintay	finite-verb	dcs	stem-granularity
cintye	disagree	cint|cintya	cintay	finite-verb|participle	dcs	stem-granularity
cintyena	disagree	cintya	cintay	participle	dcs	genuine-or-ambiguous
cinvAnas	disagree	cinvAna	ci	participle	dcs	genuine-or-ambiguous
cinvAnena	disagree	cinvAna	ci	participle	dcs	genuine-or-ambiguous
cinvan	disagree	cinvat	ci	participle	dcs	genuine-or-ambiguous
cinvat	disagree	cinvat	ci	participle	vidyut	genuine-or-ambiguous
cinvatA	disagree	cinvat	ci	participle	dcs	genuine-or-ambiguous
cinvatI	disagree	cinvat	ci	participle	dcs	genuine-or-ambiguous
cirAn	disagree	cira	cirAt	nominal	dcs	genuine-or-ambiguous
cirAyasi	disagree	cira	cirAy	finite-verb	dcs	genuine-or-ambiguous
cirAyate	disagree	cirAyat	cirAy	participle	dcs	stem-granularity
cirI	disagree	cira	cirin	iiv-compound	dcs	genuine-or-ambiguous
citAn	disagree	cita	ci	participle	dcs	genuine-or-ambiguous
citAyAm	disagree	cita	citA	participle	dcs	genuine-or-ambiguous
citas	disagree	cit|cita	ci	nominal|participle	dcs	genuine-or-ambiguous
citasya	disagree	cita	ci	participle	dcs	genuine-or-ambiguous
citavAn	disagree	citavat	ci	participle	dcs	genuine-or-ambiguous
citena	disagree	cita	ci	participle	dcs	genuine-or-ambiguous
citezu	disagree	cita	ci	participle	dcs	genuine-or-ambiguous
citrAyAm	disagree	citra	citrA	nominal	dcs	genuine-or-ambiguous
citrAyE	disagree	citra	citrA	nominal	dcs	genuine-or-ambiguous
citrIyamARA	disagree	citrIyamARa	citrIy	participle	dcs	stem-granularity
citrIyamARAn	disagree	citrIyamARa	citrIy	participle	dcs	stem-granularity
citrIyamARas	disagree	citrIyamARa	citrIy	participle	dcs	stem-granularity
citrIyamARena	disagree	citrIyamARa	citrIy	participle	dcs	stem-granularity
citrIyate	disagree	citra	citrIy	finite-verb	dcs	genuine-or-ambiguous
citrakAya	disagree	citraka	citrakAya	nominal	dcs	genuine-or-ambiguous
citrasenA	disagree	citrasena	citrasenA	nominal	dcs	genuine-or-ambiguous
citriRI	disagree	citrin	citriRI	iic-compound|nominal	dcs	genuine-or-ambiguous
citriRIzu	disagree	citrin	citri	nominal	vidyut	stem-granularity
cittas	disagree	citta	cit	participle	vidyut	stem-granularity
cittiBis	disagree	citti	cit	nominal	vidyut	stem-granularity
cityA	disagree	citi|citya	ci|cityA	nominal|participle	dcs	genuine-or-ambiguous
cityam	disagree	citya	ci	participle	dcs	genuine-or-ambiguous
cityasya	disagree	citya	ci	participle	dcs	genuine-or-ambiguous
citye	disagree	cit|citya	ci	finite-verb|participle	dcs	genuine-or-ambiguous
cityena	disagree	citya	ci	participle	dcs	genuine-or-ambiguous
codanAm	disagree	codanA	codana	nominal	dcs	genuine-or-ambiguous
codanAsu	disagree	codanA	codana	nominal	dcs	genuine-or-ambiguous
codanAyAm	disagree	codanA	codana	nominal	dcs	genuine-or-ambiguous
codanayA	disagree	codanA	codana	nominal	dcs	genuine-or-ambiguous
codayA	disagree	coda	codi	nominal	vidyut	genuine-or-ambiguous
codayAmi	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codaya	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayan	disagree	codayat	coday	participle	dcs	stem-granularity
codayantI	disagree	codayat	codi	participle	vidyut	genuine-or-ambiguous
codayanti	disagree	codayat|cud	coday	finite-verb|participle	dcs	stem-granularity
codayasi	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayasva	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayat	disagree	codayat	coday	participle	dcs	stem-granularity
codayatI	disagree	codayat	coday	participle	dcs	stem-granularity
codayata	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayatam	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayate	disagree	codayat|cud	coday	finite-verb|participle	dcs	stem-granularity
codayati	disagree	codayat|cud	coday	finite-verb|participle	dcs	stem-granularity
codaye	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayet	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayitvA	disagree	cud	coday	verbal-indecl	dcs	genuine-or-ambiguous
codayizyAmi	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codayizyati	disagree	codayizyat|cud	coday	finite-verb|participle	dcs	stem-granularity
coditA	disagree	codita	coday|coditf	participle	dcs	genuine-or-ambiguous
coditAm	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditAn	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditAs	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditAt	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditO	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditam	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditas	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditasya	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditavAn	disagree	coditavat	coday	participle	dcs	genuine-or-ambiguous
codite	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
coditena	disagree	codita	coday	participle	dcs	genuine-or-ambiguous
codya	disagree	cud	coday|codya	verbal-indecl	dcs	genuine-or-ambiguous
codyamAnA	disagree	codyamAna	coday	participle	dcs	genuine-or-ambiguous
codyamAnAnAm	disagree	codyamAna	coday	participle	dcs	genuine-or-ambiguous
codyamAnAni	disagree	codyamAna	coday	participle	dcs	genuine-or-ambiguous
codyamAnam	disagree	codyamAna	coday	participle	dcs	genuine-or-ambiguous
codyamAnas	disagree	codyamAna	coday	participle	dcs	genuine-or-ambiguous
codyamAnena	disagree	codyamAna	coday	participle	dcs	genuine-or-ambiguous
codyante	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codyatAm	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
codyate	disagree	cud	coday	finite-verb	dcs	genuine-or-ambiguous
colI	disagree	cola	colI	iiv-compound	dcs	genuine-or-ambiguous
corayate	disagree	corayat	coray	participle	dcs	stem-granularity
corayet	disagree	cur	coray	finite-verb	dcs	genuine-or-ambiguous
corayitvA	disagree	cur	coray	verbal-indecl	dcs	genuine-or-ambiguous
cozyARAm	disagree	cozya	cUz	participle	dcs	genuine-or-ambiguous
cozyARi	disagree	cozya	cUz	participle	dcs	genuine-or-ambiguous
cozyam	disagree	cozya	cUz	participle	dcs	genuine-or-ambiguous
cozyeRa	disagree	cozya	cUz	participle	dcs	genuine-or-ambiguous
culukI	disagree	culuka	culukI|culukin	iiv-compound	dcs	genuine-or-ambiguous
cumban	disagree	cumbat	cumb	participle	dcs	stem-granularity
cumbantI	disagree	cumbat	cumb	participle	dcs	stem-granularity
cumbat	disagree	cumbat	cumb	participle	dcs	stem-granularity
cumbinI	disagree	cumbin	cumbinI	nominal	dcs	stem-granularity
cumbitAni	disagree	cumbita	cumb	participle	dcs	stem-granularity
cumbitam	disagree	cumbita	cumb	participle	dcs	stem-granularity
cumbite	disagree	cumbita	cumb	participle	dcs	stem-granularity
cyAvaya	disagree	cyu	cyAvay	finite-verb	dcs	genuine-or-ambiguous
cyAvayaTa	disagree	cyu	cyAvay	finite-verb	dcs	genuine-or-ambiguous
cyAvayan	disagree	cyAvayat	cyAvi	participle	vidyut	genuine-or-ambiguous
cyAvayante	disagree	cyu	cyAvay	finite-verb	dcs	genuine-or-ambiguous
cyAvayanti	disagree	cyAvayat|cyu	cyAvay	finite-verb|participle	dcs	stem-granularity
cyAvayantu	disagree	cyu	cyAvay	finite-verb	dcs	genuine-or-ambiguous
cyAvayasi	disagree	cyu	cyAvay	finite-verb	dcs	genuine-or-ambiguous
