pwkvn_k1	pc	mw_L	mw_pc	in_mw_sup
aSvatTa	1-295-c	20113	115,3	main
aSvatTaSAKA	7-313-c	20115	1318,1	sup
aSvavAhyAlI	5-248-a	20011	1318,1	sup
aSvavAra	1-295-c	20006	115,2	main
aSvavfndin	3-254-c	20014	1318,1	sup
aSvorasa	5-248-a	20088	115,3	main
aTa	2-288-a	3531	17,3	main
aTarI	7-385-a	3543	1310,1	sup
aYSera	1-284-a	1908	1309,2	main
aYcana	7-385-a	2257	11,1	main
aYj	3-247-b	2267	11,1	main
aYjalipuwa	3-247-c	2327	11,2	main
aYjana	5-241-a	2281	11,1	main
aYjanaka	4-291-b	2290	11,1	main
abADA	4-294-a	10973	60,1	main
abAnDava	4-294-a	10979	60,1	main
abAnDavakfta	1-292-a	10947	60,1	main
abDimaTana	5-244-b	11074	1315,1	sup
abIBatsA	4-294-a	10990	60,1	main
abIja	2-290-c	10988	60,1	main
abadDa	1-292-a	10928	1314,3	sup
abahirvAsas	4-294-a	10966	60,1	main
abahvakzara	4-294-a	10968	60,1	main
abalAgni	5-244-b	10957	1314,3	sup
abalIyastva	4-293-c	10959	1314,3	sup
abala	7-385-d	10955	60,1	sup
abaliman	2-290-c	10958	1314,3	sup
abalizWa	1-292-a	10960	60,1	main
abanDura	4-293-c	10945	1314,3	sup
abdaBU	6-295-b	11050	1315,1	sup
abdaparyaya	7-385-d	11049	1315,1	sup
abdurga	2-290-c	11058	60,2	main
abja	1-292-b	11026	60,2	main
abjaBU	1-292-b	11034	60,2	main
abjayoni	1-292-b	11036	60,2	main
abliNga	3-252-c	11082	60,2	main
aboDa	4-294-a	11014	60,2	main
abrAhmaRa	1-292-b	11098	60,3	main
abrAhmaRya	7-305-c	11099	60,3	main
abrahmacarya	2-290-c	11084	60,2	main
abrahmavarcasin	1-292-b	11094	1315,1	sup
abrahmavid	2-290-c	11095	60,3	main
abudDa	4-294-a	10992	60,1	main
ac	2-286-b	1768	8,3	sup
acAkrika	2-286-b	1806	1309,2	sup
acApalya	1-283-c	1785	8,3	main
acCUrI	2-286-c	1908	9,2	main
acCaBalla	1-284-a	1865	9,1	main
acCandaska	1-284-a	1866	1309,2	sup
acCawASabda	7-292-a	1866	1309,2	sup
acCera	1-284-a	1908	1309,2	sup
acCetya	3-247-b	1891	9,1	main
acCinna	1-284-a	1902	9,2	main
acCinnapattra	5-241-a	1903	9,2	main
acCuptA	2-286-c	1907	9,2	main
acaRqa	1-283-c	1778	8,3	main
acaRqamarIci	1-283-c	1779	1309,2	sup
acakravarta	2-286-b	1771	1309,2	sup
acala	1-283-c	1795	8,3	main
acalapura	2-286-b	1801	8,3	main
acara	2-286-b	1786	1309,2	sup
acaraRa	1-283-c	1786	1309,2	sup
acarama	3-247-b	1788	8,3	main
acaramavayas	2-286-b	72374	1309,2	sup
acarita	5-241-a	1788	1309,2	sup
acetana	1-283-c	1848	9,1	main
acintya	1-283-c	1829	9,1	main
acirABA	1-283-c	1845	9,1	main
acirAMSu	1-283-c	1844	9,1	main
acira	2-286-b	1833	9,1	main
acirarocis	5-241-a	1843	9,1	main
aciroQA	5-241-a	1845	1309,2	sup
acit	1-283-c	1811	8,3	main
acittamanas	1-283-c	1818	8,3	main
acittapAjas	1-283-c	1817	8,3	main
acyuta	1-284-a	1909	9,2	main
ad	3-248-b	3581	17,3	main
adABya	3-248-b	3677	18,2	main
adAhuka	1-285-c	3685	18,2	main
adAnIya	5-241-c	3667	1310,1	sup
adAnava	7-385-b	3675	1310,1	sup
adAnya	7-295-b	3668	18,2	main
adAsa	5-241-c	3684	18,2	main
adButadarpaRa	2-288-a	3805	1310,1	sup
adEteya	3-248-c	3784	1310,1	sup
adIna	1-285-c	3704	18,2	main
adUra	1-285-c	3730	18,3	main
adaBra	2-288-a	3630	18,1	main
adaRqa	2-288-a	3600	18,1	sup
adaRqana	2-288-a	3600	1310,1	sup
adaRqavAsika	1-285-c	89693	467,1	main
adabDaDIti	7-295-a	3624	18,1	main
adagDa	1-285-c	3598	18,1	main
adakziRIya	1-285-c	3596	18,1	main
adanIya	4-291-c	3587	17,3	main
adarSa	1-285-c	3644	18,1	main
adarSana	1-285-c	3646	18,1	main
adarSanapaTa	7-295-a	3647	1310,1	sup
adaridra	1-285-c	3642	1310,1	sup
adasIya	1-285-c	3659	18,2	main
adattAdAna	7-295-a	3610	1310,1	sup
adattAdAyika	7-295-a	3610	1310,1	sup
adattAdAyin	7-385-b	3610	1310,1	main
adeSika	2-288-a	3782	1310,1	sup
adeSya	3-248-c	3784	19,1	main
adevamAtfka	1-286-a	3770	18,3	main
adfQa	2-288-a	3736	18,3	main
adfzwakarman	3-248-c	3749	18,3	main
adfzwi	1-285-c	3764	18,3	main
adivA	2-288-a	3700	1310,1	sup
adivASin	1-285-c	3700	1310,1	sup
adivAsvApin	1-285-c	3700	1310,1	sup
adoza	1-286-a	3786	1310,1	sup
adrava	1-286-a	3854	19,2	main
adreSya	3-248-c	3911	19,2	main
adripati	1-286-a	3881	19,2	main
adroGa	3-248-c	3905	19,2	main
adroGam	7-295-c	3905	19,2	main
aduHKa	2-288-a	3710	18,2	main
adurvftta	3-248-c	3719	18,3	main
advAdaSAha	7-295-c	3922	1310,1	sup
advEDa	3-248-c	3950	19,3	main
advEta	7-295-c	3943	19,3	main
advEtin	7-295-c	3947	1310,2	sup
advIpa	2-288-a	3929	1310,2	sup
advayavAda	1-286-a	3916	1310,1	sup
advitIya	3-248-c	3928	19,3	main
advivarza	1-286-a	3928	1310,2	sup
adyAgreRa	7-295-c	3838	1310,1	sup
adyayajYa	3-248-c	3834	1310,1	sup
adyotaka	1-286-a	3856	1310,1	sup
adyut	5-241-c	3852	19,2	main
agADa	1-283-a	837	4,3	main
agAlita	2-285-c	844	1308,3	sup
agAra	1-283-a	842	1308,3	sup
agAradAhin	7-290-c	843	4,3	main
agArastUpa	7-290-c	843	1308,3	sup
agaRitapratiyAta	1-282-c	782	4,2	main
agadaMkAra	1-283-a	794	4,2	main
agadaveda	1-283-a	795	4,2	main
agadita	2-285-c	797	1308,3	sup
agaja	7-384-1c	772	4,2	main
agamya	2-285-c	805	4,3	main
agamyagA	1-283-a	806	4,3	main
agamyarUpa	3-247-a	807	1308,3	sup
aganDa	3-247-a	798	4,2	main
aganDasevin	1-283-a	798	1308,3	sup
aganDi	3-247-a	798	1308,3	sup
agarBa	1-283-a	817	1308,3	sup
agartaskandya	2-285-c	817	4,3	main
agastI	5-240-c	825	4,3	main
agastIya	5-240-c	826	4,3	main
agasti	1-283-a	824	4,3	main
agastyaSAsta	7-290-c	830	1308,3	sup
agatAsu	7-384-1c	785	1308,3	sup
agati	1-283-a	787	4,2	main
agfhIta	1-283-a	873	1309,1	sup
agfha	1-283-a	872	5,1	main
agfhya	2-285-c	873	1309,1	sup
agneyAnI	3-247-a	1189	1309,1	sup
agni	5-240-c	897	5,1	sup
agniGawa	2-286-a	923	5,1	main
agniKadA	2-286-a	914	5,1	main
agniSOcavastra	2-286-a	1088	1309,1	sup
agniSakawI	5-240-c	1072	1309,1	sup
agniSakti	6-293-a	1072	1309,1	sup
agniSiKa	1-283-b	1084	5,3	main
agnicayana	2-286-a	924	5,1	main
agnidEvata	6-293-a	974	5,2	main
agnidagDa	2-286-a	957	5,2	main
agnigodAna	7-290-d	921	1309,1	sup
agnihotra	1-283-b	1139	6,1	main
agnihotraprAyaRa	4-291-a	1141	1309,1	sup
agnihotrin	1-283-b	1150	6,1	main
agnihuta	1-283-b	1135	6,1	main
agnihvara	1-283-b	1152	6,1	main
agnija	1-283-a	933	5,1	main
agnijihva	5-240-c	937	5,1	main
agnijvAla	1-283-a	941	5,2	main
agnijyezWa	3-247-a	939	1309,1	sup
agnika	1-283-a	1188	6,2	main
agnikaRa	3-247-a	898	5,1	main
agnimadana	4-291-a	1018	1309,1	sup
agnimaya	1-283-a	1023	5,2	main
agnimuKa	1-283-a	1030	5,3	main
agninetra	3-247-a	981	5,2	main
agninyakta	3-247-a	981	1309,1	sup
agnipada	2-286-a	983	5,2	main
agnipakva	2-286-a	982	5,2	main
agnipatana	3-247-a	982	1309,1	sup
agnipraRayana	3-247-a	993	1309,1	sup
agniputra	7-290-d	989	1309,1	sup
agnirUpa	1-283-a	1041	5,3	main
agniraja	1-283-a	1035	5,3	main
agnisAkzika	6-293-a	1122	6,1	main
agnisaMcaya	3-247-a	1113	6,1	main
agnisparSa	1-283-b	1131	1309,1	sup
agnituRqa	3-247-a	948	1309,1	sup
agnivarcas	5-240-c	1047	5,3	main
agnivetAla	1-283-b	1066	5,3	main
agnizWa	1-283-b	1103	5,3	main
agnizwoma	1-283-b	1094	5,3	main
agnizwut	1-283-b	1092	5,3	main
agnyADeya	1-283-b	1175	6,1	main
agnyADeyadevatA	1-283-b	1176	6,1	main
agnyagAra	1-283-b	1168	6,1	main
agnyarcis	1-283-b	1172	6,1	main
agnyupasTAna	4-291-a	1183	6,2	main
agnyutpAta	1-283-b	1180	6,1	main
ago	1-283-a	850	4,3	main
agocara	2-286-a	877	5,1	main
agoruDa	7-290-d	881	5,1	main
agrAgra	6-293-a	1286	1309,1	sup
agrAnta	1-283-b	1289	1309,1	sup
agra	1-283-b	1207	1309,1	sup
agraBAga	5-240-c	1253	6,2	main
agraBUmi	3-247-a	1258	6,2	main
agraBojya	4-291-a	1258	1309,1	sup
agraBuj	6-293-a	1255	6,2	main
agraRI	3-247-a	1231	6,2	main
agraSiKa	6-293-a	1270	1309,1	sup
agragaRanA	1-283-b	1216	1309,1	sup
agragrAsikA	1-283-b	1219	6,2	main
agraha	5-240-c	1336	6,3	sup
agrahaRa	1-283-b	1336	1309,1	sup
agrasArA	1-283-b	1275	6,2	main
agrasUcI	1-283-b	1276	6,2	main
agrasaMKyA	6-293-a	1270	1309,1	sup
agrasta	2-286-a	1339	1309,1	sup
agratalasaMcAra	1-283-b	1232	1309,1	sup
agrayAna	3-247-a	1262	1309,1	sup
agredaDizu	2-286-a	1318	6,3	main
agredaDus	1-283-b	1318	6,3	main
agregU	2-286-a	1315	6,3	main
agresara	5-240-c	1326	6,3	main
agrimavatI	1-283-b	1303	1309,1	sup
aguRa	2-285-c	854	4,3	main
aguRaSIla	2-285-c	860	4,3	main
aguRin	2-285-c	860	1308,3	sup
aguru	1-283-a	866	5,1	main
ahArya	5-248-b	21770	124,3	main
ahI	5-248-b	21932	125,3	main
ahIna	2-293-a	21939	125,3	main
ahaHsaMsTA	4-295-c	21746	124,3	main
ahaMGAta	5-248-b	21660	1318,3	sup
ahaMjuz	3-255-b	21703	124,2	main
ahaScara	1-296-b	21790	125,1	main
ahakam	5-248-b	21709	124,3	main
ahala	3-255-b	21776	124,3	main
ahalyAsaMkrandana	2-293-a	21782	1318,3	sup
ahamindra	7-316-a	21662	1318,3	sup
ahan	7-316-a	21652	124,2	main
ahantva	1-296-b	21650	124,2	main
aharAdi	5-248-b	21720	1318,3	sup
ahardala	2-293-a	21727	124,3	main
aharpati	1-296-b	21735	124,3	main
ahastriyAma	2-293-a	21793	125,1	main
ahelin	1-296-c	21976	1318,3	sup
aheqamAna	6-297-c	21965	1318,3	sup
ahetuka	1-296-c	21971	125,3	main
ahetuvAda	7-316-b	21969	1318,3	sup
ahetuvAdin	7-316-b	21969	1318,3	sup
ahiMsaka	7-316-a	21894	125,2	main
ahiPena	5-248-b	21846	125,1	main
ahiSuzmasatvan	5-248-b	21873	125,2	main
ahidanta	5-248-b	21829	125,1	main
ahidviz	7-316-a	21835	125,1	main
ahikaYcuka	3-255-b	21811	1318,3	sup
ahimadIDiti	6-297-c	21924	125,3	main
ahimamayUKa	5-248-b	21925	125,3	main
ahimarocis	5-248-b	21927	1318,3	sup
ahimaruci	3-255-b	21927	125,3	main
ahina	7-316-a	21919	1318,3	sup
ahipati	5-248-b	21841	125,1	main
ahiraRyava	7-316-b	21930	1318,3	sup
ahirbuDnyas	1-296-c	21883	125,2	main
ahita	3-255-b	21913	125,2	main
ahividviz	7-386-c	21871	1318,3	sup
ahnavAyya	5-248-b	21993	126,1	main
aho	7-316-b	21980	126,1	main
ahrIka	7-316-b	22004	126,1	main
ahrasta	1-296-c	22004	1318,3	sup
aj	6-293-a	1927	9,2	main
ajA	7-290-b	2101	10,1	main
ajASva	5-241-a	2021	9,3	main
ajAgalastana	7-292-b	2009	9,3	main
ajAtAri	3-247-b	2113	10,1	main
ajAtaSatru	7-292-b	2111	10,1	main
ajAti	2-286-c	2113	1309,2	sup
ajAvi	3-247-b	2018	9,3	main
ajAyamAna	2-286-c	2120	10,2	main
ajIrRa	1-284-a	2179	10,2	main
ajIrRi	1-284-a	2180	10,2	main
ajItapunarvaRya	3-247-b	2173	10,2	main
ajIvani	5-241-a	2187	10,2	main
ajU	5-241-a	2194	1309,3	sup
ajYAta	7-292-c	2214	10,3	main
ajagAva	1-284-a	2048	9,3	main
ajagati	5-241-a	1950	1309,2	sup
ajakzIra	1-284-a	1950	9,2	main
ajaloman	7-385-a	1994	1309,2	sup
ajamIQa	7-292-b	1979	9,3	main
ajana	3-247-b	2063	10,1	main
ajanani	5-241-a	2066	10,1	main
ajanman	2-286-c	2070	1309,2	sup
ajanya	2-286-c	2069	10,1	main
ajarAmara	2-286-c	2088	10,1	main
ajaraka	1-284-a	2089	10,1	main
ajaras	2-286-c	2092	10,1	main
ajihma	1-284-a	2164	10,2	main
ajihva	2-286-c	2169	10,2	main
ajinaratna	1-284-a	2146	1309,3	sup
ajira	6-293-a	2154	1309,3	sup
ajoza	5-241-a	2199	10,3	main
ajugupsita	2-286-c	2189	10,2	main
ajyAni	3-247-b	2244	10,3	main
akAlakzepam	2-285-a	49408	278,2	main
akAmasaMjYapana	4-290-c	237	1308,1	sup
akAmin	2-285-a	239	2,1	main
akAraRa	1-282-b	242	2,1	main
akArzRya	6-292-a	251	2,1	main
akAtara	2-285-a	231	2,1	main
akAvaNka	1-282-b	267	1308,1	sup
akOSala	1-282-b	374	2,3	main
akUja	2-285-b	309	1308,1	sup
akUjana	1-282-b	309	1308,1	sup
akUrmapfzat	7-289-c	320	1308,2	sup
aka	5-240-b	137	1,3	main
akaRWa	1-282-a	149	1,3	main
akali	5-240-b	203	1308,1	sup
akalita	1-282-a	203	1308,1	sup
akalmAza	1-282-a	214	2,1	sup
akalmaza	5-240-b	213	1308,1	sup
akalpa	2-285-a	210	2,1	main
akalyARa	3-246-c	219	2,1	main
akalya	1-282-a	216	2,1	sup
akampita	1-282-a	163	1,3	main
akampya	1-282-a	164	1,3	main
akarRIya	7-289-a	179	1308,1	sup
akarRa	7-289-a	178	1,3	main
akarRaDAra	2-285-a	181	1,3	main
akara	7-384-1a	167	1,3	main
akaraRa	6-292-a	169	1,3	main
akasyavid	1-282-a	224	1308,1	sup
akatTana	1-282-a	150	1,3	main
akava	7-289-b	220	2,1	main
akavi	6-292-a	223	2,1	main
aketana	2-285-b	365	2,3	main
akfSalakzmI	2-285-b	355	2,3	main
akfcCrin	2-285-b	323	2,2	main
akfmiparisfpta	2-285-b	352	1308,2	sup
akfpa	1-282-b	351	2,3	main
akfpaRa	2-285-b	352	2,3	main
akfta	1-282-b	328	2,2	main
akftaSmaSAna	1-282-b	337	1308,2	sup
akftacUqa	7-384-1b	330	1308,2	sup
akftakftya	1-282-b	330	1308,2	main
akfzwa	1-282-b	361	2,3	sup
akiMcid	1-282-b	268	1308,1	sup
akilina	2-285-a	275	1308,1	sup
akkA	1-282-b	376	2,3	sup
akleSa	1-282-b	422	3,1	main
akledya	5-240-b	415	3,1	main
aklizwa	1-282-b	418	3,1	main
akopa	2-285-b	370	2,3	main
akopana	1-282-b	371	2,3	main
akrIta	1-282-b	404	1308,2	sup
akrUra	1-282-b	406	1308,2	sup
akrama	1-282-b	391	2,3	main
akramaSas	1-282-b	391	1308,2	sup
akramoQA	3-246-c	391	1308,2	sup
akriya	2-285-b	401	3,1	main
akroDa	1-282-b	408	1308,2	sup
akti	5-240-b	380	1308,2	sup
akuRWa	1-282-b	281	2,2	main
akuRWaDizRya	1-282-b	282	2,2	main
akuRWita	1-282-b	283	2,2	main
akuSala	7-384-1a	305	1308,1	sup
akuha	2-285-b	308	2,2	main
akulIna	2-285-b	302	2,2	main
akula	2-285-b	300	1308,1	sup
akulaka	2-285-b	300	1308,1	sup
akumBa	7-289-c	297	1308,1	sup
akupya	2-285-a	296	1308,1	sup
akutas	2-285-a	284	2,2	main
akutomftyu	2-285-a	288	1308,1	sup
akuzWipfzat	1-282-b	305	1308,1	sup
akz	7-384-1b	423	1308,2	sup
akzAnta	1-282-c	624	1308,3	sup
akzAra	3-246-c	626	3,3	main
akzAralavaRASin	2-285-c	631	3,3	main
akzAralavaRa	2-285-c	630	3,3	main
akzAramadyamAMsAda	2-285-c	632	3,3	main
akzAvalI	1-282-c	515	3,2	main
akzIba	1-282-c	693	4,1	main
akzOhiRI	3-247-a	721	4,1	main
akzRayAkfta	1-282-c	725	4,1	main
akza	1-282-b	660	3,3	sup
akzaBAra	1-282-c	445	3,1	main
akzaDUrta	3-246-c	483	3,1	main
akzaDarma	3-246-c	482	1308,2	sup
akzaSIla	1-282-c	506	1308,2	sup
akzaSabda	4-290-c	445	1308,2	sup
akzaSikzA	3-246-c	506	1308,2	sup
akzadAya	1-282-b	473	3,1	main
akzadevin	3-246-c	475	3,1	main
akzadvAra	1-282-b	438	3,1	main
akzaglaha	2-285-b	468	3,1	main
akzahfdaya	6-293-a	511	3,2	main
akzakitava	2-285-b	465	3,1	main
akzamA	3-246-c	555	1308,2	sup
akzama	2-285-b	554	1308,2	sup
akzamada	4-290-c	492	3,2	main
akzamatA	2-285-b	556	3,2	main
akzamin	2-285-b	556	1308,2	sup
akzapAtana	3-246-c	489	3,2	main
akzaparAjaya	6-293-a	486	3,1	main
akzapari	6-293-a	487	3,2	main
akzarAkzara	2-285-c	618	3,3	main
akzara	1-282-c	592	1308,2	sup
akzaraSas	1-282-c	614	3,3	main
akzaraSikzA	1-282-c	614	1308,2	sup
akzaracyutaka	2-285-c	598	3,3	main
akzarakara	2-285-c	593	3,3	main
akzaranyAsa	3-246-c	606	3,3	main
akzarasaDAtu	7-290-b	617	1308,3	sup
akzaresTA	1-282-c	620	3,3	main
akzarya	1-282-c	623	3,3	main
akzasUtra	1-282-c	509	3,2	main
akzasUtravalayin	2-285-c	509	1308,2	sup
akzasaNgam	1-282-c	446	3,1	main
akzatAmaya	1-282-b	549	1308,2	sup
akzata	6-292-a	549	1308,2	sup
akzavApa	2-285-c	503	3,2	main
akzavatI	6-293-a	502	3,2	main
akzavftta	3-246-c	506	3,2	main
akzaya	1-282-c	559	3,2	main
akzayavawa	1-282-c	570	1308,2	sup
akzayya	1-282-c	574	3,2	main
akzetra	3-247-a	709	4,1	main
akzetrajYa	1-282-c	710	4,1	main
akzibanDa	1-282-c	649	1308,3	sup
akzikUwa	3-246-c	637	3,3	main
akzinikARam	1-282-c	644	3,3	main
akzit	1-282-c	676	4,1	main
akzitavya	7-384-1c	423	1308,2	sup
akzoBya	1-282-c	720	4,1	main
akzoDuka	1-282-c	706	4,1	main
akzu	1-282-c	694	4,1	main
akzuRRatA	3-247-a	701	4,1	main
alAGava	5-245-c	16676	1316,3	sup
alAka	1-294-b	16676	94,3	main
alAtacakra	7-310-a	16679	1316,3	sup
alIka	1-294-b	16764	95,1	main
alIkavAdaSIla	1-294-b	16766	1316,3	sup
alUkza	5-246-a	16786	95,2	main
alUna	7-386-b	16788	1316,3	sup
alaBamAna	5-245-c	16591	94,2	main
alaBya	5-245-c	16592	1316,3	sup
alaGu	1-294-b	16560	94,1	main
alaMBUzRu	7-386-b	16638	94,2	main
alaMDana	5-245-c	16631	94,2	main
alaMkAra	2-291-c	16606	1316,3	sup
alaMkAraBARqa	7-386-b	16607	1316,3	sup
alaMkAraratnAkara	1-294-b	16607	1316,3	sup
alaMkarmIRa	2-291-c	16605	94,2	main
alaMtarAm	7-310-a	16630	94,2	main
alaNGanIya	1-294-b	16569	94,1	main
alaNGanIyatA	5-245-c	16571	94,1	main
alabDagADa	7-310-a	16586	1316,3	sup
alabDapada	3-254-a	16588	1316,3	sup
alajja	1-294-b	16580	94,1	main
alakzaRa	3-254-a	16539	94,1	main
alakzaRaka	7-309-d	16539	1316,3	sup
alakzita	5-245-c	16541	94,1	main
alakzmI	5-245-c	16550	94,1	main
alakzman	2-291-c	16543	1316,3	sup
alamArya	6-295-c	16596	1316,3	sup
alamarTavacas	1-294-b	16595	1316,3	sup
alasAlA	7-310-a	16675	94,3	main
alatikA	4-295-b	16583	1316,3	sup
alavaRa	7-310-a	16659	94,3	main
alepa	5-246-a	16789	1316,3	sup
aliNga	5-245-c	16742	95,1	main
aliNgin	5-245-c	16743	95,1	main
alika	2-291-c	16736	95,1	main
alimaka	5-245-c	16756	95,1	main
alimbaka	5-245-c	16758	95,1	main
alimpaka	5-245-c	16757	95,1	main
alindaka	5-245-c	16748	95,1	main
aloha	3-254-a	16821	95,2	main
alokyatA	3-254-a	16799	95,2	main
alpAbADa	2-292-a	16908	1316,3	main
alpAtaNka	2-291-c	16908	1316,3	sup
alpAtyaya	7-310-b	16909	95,3	main
alpIBAva	2-292-a	16919	1316,3	sup
alpaPala	3-254-a	16865	1316,3	sup
alpacCada	7-386-b	16836	1316,3	sup
alpakAya	2-291-c	16830	1316,3	sup
alpanidAna	3-254-a	16848	1316,3	sup
alpeSAKya	7-310-b	16925	96,1	main
aluYca	5-246-a	16777	1316,3	sup
amA	5-244-c	14030	81,2	main
amAMsASana	3-253-a	14045	81,2	main
amAMsa	1-293-a	14043	81,2	main
amAnava	3-253-a	14055	81,2	main
amAnuza	7-307-b	14060	81,2	main
amAnuzya	4-294-c	13832	80,2	main
amAputra	7-386-a	14013	1315,3	sup
amApya	3-253-a	14038	1315,3	sup
amAtsarya	4-294-c	14053	81,2	main
amAza	1-293-a	14079	81,3	main
amBaHSyAmAka	1-293-b	14574	84,1	main
amBas	6-295-c	14571	84,1	main
amBastas	5-244-c	14571	1316,1	sup
amBfRa	5-244-c	14602	84,1	main
amBojabanDu	1-293-b	14585	1316,1	sup
amBojavadanA	3-253-b	14586	1316,1	sup
amImAMsaka	7-307-c	14139	1315,3	sup
amRas	5-244-c	14388	1315,3	sup
amUlya	4-294-c	14193	82,2	main
amUrta	4-294-c	14180	82,1	main
amaRiva	4-294-c	13777	80,1	main
amadana	4-294-c	13797	80,1	main
amajjaka	4-294-c	13776	80,1	main
amalAnvaya	7-386-a	13993	1315,3	sup
amalapakzavihaMgama	6-295-b	13988	1315,3	sup
amalapatatrin	5-244-c	13989	81,1	main
amamri	7-307-b	13860	1315,3	sup
amanAk	1-293-a	13818	80,2	main
amanIBAva	1-293-a	13811	80,2	main
amantra	4-294-c	13838	80,2	main
amantrajYa	4-294-c	13839	80,2	main
amanuzyanizevita	2-291-a	13823	80,2	main
amara	5-244-c	13871	80,2	main
amaradruma	5-244-c	13893	1315,3	sup
amaragiri	1-293-a	13882	1315,3	sup
amaramAlA	3-253-a	13909	80,3	main
amaraparvata	1-293-a	13898	80,3	main
amarapura	1-293-a	13900	80,3	main
amararAja	2-291-a	13912	80,3	main
amarastrI	1-293-a	13922	80,3	main
amaravaDU	1-293-a	13916	1315,3	sup
amartyatA	3-253-a	13949	80,3	main
amati	5-244-c	13788	80,1	main
amatipUrvaka	4-294-c	13785	80,1	main
amatra	5-244-c	13789	80,1	main
amatsara	1-293-a	13791	80,1	main
amatsarin	1-293-a	13793	80,1	main
amba	3-253-b	14391	83,2	main
ambarIza	2-291-b	14433	83,2	main
ambara	7-307-d	14406	83,2	main
ambarapuzpa	3-253-b	14413	83,2	main
ambikA	1-293-b	14471	83,3	main
ambikAsuta	6-295-b	14474	83,3	main
ambuDikAminI	4-294-c	14512	83,3	main
ambujAsanA	1-293-b	14503	1315,3	sup
ambujIvin	3-253-b	14503	1315,3	sup
ambujanman	1-293-b	14499	83,3	main
ambujinI	1-293-b	14558	1316,1	sup
ambumaya	5-244-c	14529	1316,1	sup
ambunATa	3-253-b	14514	83,3	main
ambupadDati	5-244-c	14522	83,3	main
ameni	7-307-d	14335	1315,3	sup
amfnmaya	1-293-b	14308	82,3	main
amftApiDAna	1-293-b	14277	82,3	main
amftAsaNga	1-293-b	14285	82,3	main
amfta	1-293-b	14198	82,2	main
amftaBuj	3-253-a	14237	82,2	main
amftacit	1-293-b	14206	1315,3	sup
amftadyuti	1-293-b	14215	82,2	main
amftarasa	5-244-c	14247	82,2	main
amftavarzin	1-293-b	14255	82,3	main
amftopastaraRa	1-293-b	14303	82,3	main
amftpAtrapa	1-293-b	14307	82,3	main
amiSraRa	4-294-c	14134	81,3	main
amiSrita	3-253-a	14136	81,3	main
amiTuna	1-293-a	14126	1315,3	sup
amiTyA	7-386-a	14126	81,3	main
amiti	1-293-a	14102	81,3	main
amitrakarzin	1-293-a	14103	1315,3	sup
amlAna	1-293-b	14657	84,2	main
amlAni	5-244-c	14658	84,2	main
amlAyin	4-294-c	14661	84,2	main
amlI	3-253-b	14609	84,1	main
amnas	5-244-c	14389	83,1	main
amoGa	1-293-b	14357	83,1	sup
amoGabala	6-295-b	14375	83,1	main
amoGadfS	3-253-b	14371	83,1	main
amotaka	3-253-b	14386	83,1	main
amotaputraka	7-307-d	14386	83,1	main
amudra	4-294-c	14175	1315,3	sup
amukta	1-293-b	14166	82,1	main
amuktahastatA	3-253-a	14168	82,1	main
anABoga	1-288-b	5567	1311,2	sup
anAQya	3-249-c	5483	27,3	main
anASIrka	3-250-a	5688	29,1	main
anASa	1-288-b	5677	29,1	main
anASramin	5-242-c	5692	29,1	main
anASvAsika	7-298-d	5703	1311,2	sup
anATa	3-249-c	5507	27,3	main
anATasaBA	1-288-a	5510	27,3	main
anAbADa	1-288-b	5565	28,2	main
anAcAra	2-289-a	5474	27,3	main
anAcCfRRa	2-289-a	5477	27,3	main
anAcIrRa	7-385-b	5476	1311,2	sup
anAdInava	3-250-a	5531	28,1	main
anAdi	1-288-a	5520	1311,2	sup
anAdimaDyAnta	1-288-b	5524	28,1	main
anAdiniDana	1-288-a	5522	28,1	main
anAdyanta	3-250-a	5527	28,1	main
anAgAmin	3-249-c	5460	27,3	main
anAgama	1-288-a	5454	27,3	main
anAgata	5-242-c	5441	27,3	main
anAgati	1-288-a	5450	27,3	main
anAhArya	3-250-a	5740	29,1	main
anAhanasya	1-288-b	5731	162,2	main
anAhita	7-385-b	5740	1311,2	sup
anAkranda	1-288-a	5431	128,1	main
anAkula	2-288-c	5430	27,2	main
anAkzArita	2-288-c	5434	27,2	main
anAla	5-242-c	5645	1311,2	sup
anAlamba	1-288-b	5648	28,3	main
anAlocita	5-242-c	5657	28,3	main
anAmiza	1-288-b	5587	28,2	main
anAntarIyaka	7-298-b	5550	1311,2	sup
anApatti	7-298-b	5551	1311,2	sup
anAprIta	7-298-c	5561	1311,2	sup
anAroka	3-250-a	5621	1311,2	sup
anAsAdita	2-289-a	5711	29,1	main
anAsTa	7-298-d	5713	1311,2	sup
anAsmAka	1-288-b	5720	29,1	main
anAtmajYa	3-249-c	5494	27,3	main
anAtmanIna	3-249-c	5499	27,3	main
anAtmatA	7-298-b	5494	1311,2	sup
anAtmya	1-288-a	5501	27,3	main
anAtura	3-249-c	5489	27,3	main
anAvfta	1-288-b	5669	1311,2	sup
anAvidDa	6-294-c	5661	1311,2	sup
anAyata	4-292-a	5594	28,2	main
anDIkaraRa	7-301-d	8440	1313,1	sup
anDa	4-292-c	8416	44,3	main
anDaMkaraRa	1-290-c	8424	44,3	main
anDakAla	2-289-c	8420	1313,1	sup
anDakAntaka	7-385-c	8454	1313,1	sup
anDakAra	6-295-a	8417	44,3	main
anDakArin	4-292-c	8420	1313,1	sup
anDaka	5-243-b	8450	45,1	main
