hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form
atyugraganDA	atyugragandhā	pw	2316	1-027-b	0	97	0		0		0	0		0	0
avApitaDAnya	avāpitadhānya	pw	10863	1-128-a	0	105	0		0		0	0		0	0
avEvartacakra	avaivartacakra	pw	213279	7-312-c	1	99	1	651	0		1	1	sch	0	0
avaRa	avaṇa	pw	10321	1-121-b	0	63	0		0	avara:1.000	0	0		0	0
avaSyAyabindu	avaśyāyabindu	pw	10703	1-126-a	0	88	0		0		0	0		0	0
avaSyavizaya	avaśyaviṣaya	pw	10699	1-126-a	0	65	0		0		0	0		0	0
avadAhezwakApaTa	avadāheṣṭakāpatha	pw	10378.2	1-122-a	0	23	0		0		4	4	shs;vcp;wil;yat	0	0
avadAlaka	avadālaka	pw	10376	1-122-a	0	69	0		0		0	0		0	0
avadAtakara	avadātakara	pw	10363	1-122-a	0	66	0		0		0	0		0	0
avadAya	avadāya	pw	10372	1-122-a	0	70	0		0	aSvadAya:0.933	1	1	pwg	0	0
avadravya	avadravya	pw	206509	5-246-a	1	109	0		0		1	1	sch	0	0
avagAda	avagāda	pw	10244	1-120-c	0	77	0		0	avagaDa:1.000	6	5	bur;mw72;pwg;shs;wil;yat	0	0
avagAhe	avagāhe	pw	10249	1-120-c	0	112	0		1	avagAh:0.923	2	2	bur;pwg	0	0
avagAhitavya	avagāhitavya	pw	10247	1-120-c	0	102	0		0		0	0		0	0
avagUlikA	avagūlikā	pw	10255	1-120-c	0	60	0		0		0	0		0	0
avaga	avaga	pw	212928	7-310-c	1	105	1	246.	1	avagA:1.000	2	2	bhs;sch	0	0
avagaRanA	avagaṇanā	pw	206497	5-246-a	1	108	0		1	avagaRana:1.000	1	1	sch	0	0
avagalBAy	avagalbhāy	pw	10242.1	1-120-c	0	23	0		0		0	0		0	0
avaha	avaha	pw	10786	1-127-a	0	60	0		1	Avaha:1.000	4	4	ap;ap90;ieg;vcp	0	0
avakASaka	avakāśaka	pw	10193	1-120-a	0	69	0		0	avAkSAKa:0.941	0	0		0	0
avakalpanA	avakalpanā	pw	212919	7-310-b	1	104	1	245	0	avakalana:0.947	2	2	bhs;sch	0	0
avakalpitin	avakalpitin	pw	10189	1-120-a	0	69	0		0		1	1	pwg	0	0
avalattikA	avalattikā	pw	10631	1-125-a	0	59	0		0		2	2	pwg;vcp	0	0
avalinda	avalinda	pw	10637	1-125-b	0	53	0		0	avalIna:0.933	1	1	pwg	0	0
avamUrDa	avamūrdha	pw	212996	7-310-d	1	113	1	154	0		2	2	bhs;sch	0	0
avanaha	avanaha	pw	212973	7-310-d	1	93	1	261,90	1	avanAha:1.000	1	1	sch	0	0
avantyaka	avantyaka	pw	10473	1-123-a	0	101	0		0	avantaka:0.941	0	0		0	0
avaracAmara	avaracāmara	pw	213006	7-311-a	1	115	1	154	0		1	1	sch	0	0
avaragodAnIya	avaragodānīya	pw	213005	7-311-a	1	92	1	154	0		2	2	bhs;sch	0	0
avarahasa	avarahasa	pw	10574	1-124-b	0	57	0		0		4	4	ap;ap90;pwg;vcp	0	0
avaravarRaka	avaravarṇaka	pw	10569.1	1-124-b	0	23	0		0		4	4	pwg;shs;wil;yat	0	0
avarikA	avarikā	pw	10579	1-124-b	0	50	0		0	AvarikA:1.000	1	1	pwg	0	0
avarohadru	avarohadru	pw	10604	1-124-c	0	91	0		0		0	0		0	0
avary	avary	pw	10623	1-125-a	0	62	0		1		1	1	pwg	0	0
avasAdinI	avasādinī	pw	10735	1-126-b	0	83	0		0		0	0		0	0
avasakTi	avasakthi	pw	10715	1-126-a	0	219	0		0	Avasati:0.933	0	0		0	0
avaskandIya	avaskandīya	pw	10756	1-126-c	0	105	0		0		0	0		0	0
avasnAna	avasnāna	pw	206535	5-246-b	1	114	0		0	avasAna:0.933	1	1	sch	0	0
avasyandI	avasyandī	pw	10782	1-127-a	0	127	0		1	avasyand:0.941	0	0		0	0
avatUlay	avatūlay	pw	10349	1-121-c	0	58	0		1	avatUlaya:0.941	1	1	pwg	0	0
avayasa	avayasa	pw	10552	1-124-a	0	79	0		0	avayAsa:1.000	1	1	pwg	0	0
avazwamBanatA	avaṣṭambhanatā	pw	213050	7-311-b	1	146	1	192	0		1	1	sch	0	0
avegagamana	avegagamana	pw	11283	1-132-c	0	82	0		0		0	0		0	0
avfzalIka	avṛṣalīka	pw	11271	1-132-c	0	103	0		0		0	0		0	0
avfzala	avṛṣala	pw	11269	1-132-c	0	84	0		0		0	0		0	0
avfzalaka	avṛṣalaka	pw	11270	1-132-c	0	64	0		0		1	1	pwg	0	0
aviBUti	avibhūti	pw	11082	1-130-b	0	67	0		0	AvirBUti:0.933	0	0		0	0
avidDakarRa	aviddhakarṇa	pw	10999	1-129-b	0	84	0		1	AvidDakarRa:1.000	1	1	sch	0	0
avijYapti	avijñapti	pw	213144	7-311-d	1	136	1	101	0		1	1	sch	0	0
avilAlita	avilālita	pw	11131	1-131-a	0	62	0		0		0	0		0	0
avimuktaka	avimuktaka	pw	11095	1-130-c	0	256	0		0		0	0		0	0
avinivartanIya	avinivartanīya	pw	213174	7-312-a	1	120	1	24	0		2	2	bhs;sch	0	0
avipariRAmavartin	avipariṇāmavartin	pw	213179	7-312-a	1	148	1	245,881	0		1	1	sch	0	0
avirajas	avirajas	pw	213205	7-312-b	1	116	1	251	0		2	2	bhs;sch	0	0
avityajYa	avityajña	pw	10983	1-129-b	0	68	0		0	avityaja:0.941	0	0		0	0
avivfkza	avivṛkṣa	pw	11153	1-131-b	0	88	0		0		0	0		0	0
avrIqa	avrīḍa	pw	11444	1-134-c	0	64	0		0		1	1	pwg	0	0
avyAda	avyāda	pw	11404	1-134-b	0	79	0		0	AvyADa:1.000	0	0		0	0
avyaRqa	avyaṇḍa	pw	11340	1-133-b	0	241	0		1	avyaRqA:1.000	0	0		0	0
avyantIkfta	avyantīkṛta	pw	213291	7-312-d	1	116	1	245,637	0		1	1	sch	0	0
awAy	aṭāy	pw	1487	1-018-b	0	63	0		1		2	2	gst;pwg	0	0
awaja	aṭaja	pw	1477	1-018-b	0	73	0		0		0	0		0	0
awwAy	aṭṭāy	pw	1505	1-018-c	0	33	0		1		2	2	gst;pwg	0	0
ayAcitavallI	ayācitavallī	pw	8788	1-102-c	0	86	0		0		0	0		0	0
ayAvas	ayāvas	pw	8810	1-103-a	0	87	0		1	ayavas:1.000	0	0		0	0
ayaHSalmalIvana	ayaḥśalmalīvana	pw	212549	7-308-a	1	112	1	215	0		1	1	sch	0	0
ayavana	ayavana	pw	206386	5-244-c	1	132	0		0	Ayavana:1.000	1	1	sch	0	0
ayocCizwa	ayocchiṣṭa	pw	8873	1-103-c	0	74	0		0		1	0	mw72	0	0
ayonitva	ayonitva	pw	208420	6-295-c	1	113	0		0		1	1	sch	0	0
ayugalaparRa	ayugalaparṇa	pw	206390	5-244-c	1	110	0		0		1	1	sch	0	0
ayukparRa	ayukparṇa	pw	206389	5-244-c	1	116	0		0		1	1	sch	0	0
azawprajYa	aṣaṭprajña	pw	12007	1-141-a	0	71	0		0		0	0		0	0
azwAdaSavivAdAnuSAsana	aṣṭādaśavivādānuśāsana	pw	12128	1-142-b	0	118	0		0		0	0		0	0
azwAracakravant	aṣṭāracakravant	pw	12146	1-142-c	0	81	0		0	azwAracakravat:0.966	1	1	pwg	0	0
azwahAyanI	aṣṭahāyanī	pw	12100	1-142-a	0	72	0		0		0	0		0	0
azwakika	aṣṭakika	pw	206663	5-248-a	1	91	0		0		5	5	ap;ap90;pwg;sch;vcp	0	0
azwalohaka	aṣṭalohaka	pw	12078	1-142-a	0	73	0		0		5	5	pwg;shs;vcp;wil;yat	0	0
azwamakaBUmi	aṣṭamakabhūmi	pw	213453	7-313-d	1	129	1	150	0		1	1	sch	0	0
bADyOga	bādhyauga	pw	76675.1	4-220-c	0	23	0		0	bADyoga:1.000	0	0		0	0
bAhugartaka	bāhugartaka	pw	76894.1	4-223-c	0	23	0		0		0	0		0	0
bAhusaMBava	bāhusaṃbhava	pw	76958	4-224-b	0	66	0		0	bAhusamBava:1.000	2	2	lrv;pwg	0	0
bAlaja	bālaja	pw	130150.1	7-195-c	0	24	0		0	balaja:1.000	3	3	ap;lrv;pwg	0	0
bAlhaka	bālhaka	pw	76840	4-222-c	0	126	0		0	bAlAhaka:0.933	4	3	lrv;mw72;pwg;vcp	0	0
bIjaruhA	bījaruhā	pw	77174	4-227-a	0	72	0		1	bIjaruha:1.000	0	0		0	0
badaraPalI	badaraphalī	pw	75655	4-205-b	0	106	0		0	badaraPallI:0.952	3	3	pwg;skd;vcp	0	0
bahay	bahay	pw	76163	4-214-a	0	75	0		1		1	1	pwg	0	0
bahudalakaRiSa	bahudalakaṇiśa	pw	76330	4-216-a	0	97	0		0	bahudalakaniSa:0.929	0	0		0	0
bahumArga	bahumārga	pw	76433	4-217-b	0	111	0		1		4	4	shs;vcp;wil;yat	0	0
bahupAdikA	bahupādikā	pw	76379	4-216-c	0	209	0		0		0	0		0	0
bahusaMpuwa	bahusaṃpuṭa	pw	76542	4-218-c	0	78	0		0	bahusampuwa:1.000	1	1	pwg	0	0
bahusravA	bahusravā	pw	76560	4-219-a	0	73	0		0	bahusava:0.941	2	2	skd;vcp	0	0
baladevasvasar	baladevasvasar	pw	75966	4-211-b	0	85	0		0		0	0		0	0
balasa	balasa	pw	76009	4-212-a	0	64	0		0	balAsa:1.000	1	1	pwg	0	0
balhIka	balhīka	pw	76139	4-213-c	0	52	0		0	bAlhIka:1.000	3	2	lrv;mw72;pwg	0	0
baliSI	baliśī	pw	207911.1	5-261-b	1	24	0		1		2	2	ap;skd	0	0
baliSi	baliśi	pw	207911	5-261-b	1	99	0		1		1	1	sch	0	0
barbaraka	barbaraka	pw	75873	4-209-c	0	165	0		0	bArbaraka:1.000	2	1	mw72;pwg	0	0
barbarila	barbarila	pw	75877	4-209-c	0	56	0		0		1	1	pwg	0	0
barhavant	barhavant	pw	75902	4-210-b	0	54	0		0	barhavat:0.941	1	1	pwg	0	0
barhiRavAhan	barhiṇavāhan	pw	75914	4-210-b	0	74	0		0	barhiRavAhana:0.960	0	0		0	0
barhirjyotas	barhirjyotas	pw	75920	4-210-c	0	72	0		0		0	0		0	0
bfMhayitar	bṛṃhayitar	pw	220036	7-364-a	1	98	1	126,88	0		2	2	bhs;sch	0	0
biWa	biṭha	pw	76990	4-224-c	0	49	0		0		2	1	mw72;vcp	0	0
binducita	binducita	pw	77015	4-225-b	0	106	0		0	binducitra:0.947	1	1	pwg	0	0
bizAkAra	biṣākāra	pw	77140.1	4-226-c	0	23	0		0	Bizaktara:0.941	0	0		0	0
boDipakzanirdeSa	bodhipakṣanirdeśa	pw	220050	7-364-b	1	120	1	65,57	0		2	2	bhs;sch	0	0
brADnAyana	brādhnāyana	pw	78213	4-240-c	0	174	0		0	brADnAyanya:0.952	2	1	mw72;pwg	0	0
brahmasaMbanDa	brahmasaṃbandha	pw	78103	4-239-b	0	61	0		0	brahmasambanDa:1.000	1	1	pwg	0	0
brahmopanetar	brahmopanetar	pw	78211	4-240-c	0	94	0		0		0	0		0	0
budDika	buddhika	pw	77280	4-228-b	0	74	0		0		2	2	bhs;pwg	0	0
cAKAyitar	cākhāyitar	pw	39498	2-221-b	0	75	0		0		1	1	pwg	0	0
cAmarajju	cāmarajju	pw	207241	5-254-b	1	133	0		0		1	1	sch	0	0
cApodara	cāpodara	pw	217276	7-341-b	1	163	1	223,133	0		2	2	bhs;sch	0	0
cArakARqa	cārakāṇḍa	pw	39668	2-223-c	0	103	0		0	caraKaRqa:1.000	4	4	pwg;shs;wil;yat	0	0
cArumanta	cārumanta	pw	217287	7-341-b	1	102	1	180,10	0	carmAnta:0.941	2	2	bhs;sch	0	0
cAturdvIpaka	cāturdvīpaka	pw	217260	7-341-a	1	113	1	154,1	0		2	2	bhs;sch	0	0
cAya	cāya	pw	39658	2-223-b	0	48	0		1	CAya:1.000	5	5	pwg;shs;skd;vcp;wil	0	0
cEnyaBawwa	cainyabhaṭṭa	pw	40703	2-238-a	0	72	0		0		1	1	pwg	0	0
cEtanaka	caitanaka	pw	217372	7-342-a	1	150	1	260,10	0	cetanakA:1.000	2	2	bhs;sch	0	0
cEtradaRqika	caitradaṇḍika	pw	217373	7-342-a	1	113	1	186,65	0		2	2	bhs;sch	0	0
cIRakarkawikA	cīṇakarkaṭikā	pw	40335	2-233-a	0	83	0		0	cInakarkawikA:0.923	0	0		0	0
