fem_slp1	fem_iast	masc_slp1	masc_iast	ending
sarojinI	sarojinī	sarojin	sarojin	ī
sarvArTAnusADinI	sarvārthānusādhinī	sarvArTAnusADin	sarvārthānusādhin	ī
satyavAdinI	satyavādinī	satyavAdin	satyavādin	ī
siMhavAhinI	siṃhavāhinī	siMhavAhin	siṃhavāhin	ī
sidDayoginI	siddhayoginī	sidDayogin	siddhayogin	ī
sinDuvAsinI	sindhuvāsinī	sinDuvAsin	sindhuvāsin	ī
sominI	sominī	somin	somin	ī
stamBinI	stambhinī	stamBin	stambhin	ī
suganDinI	sugandhinī	suganDin	sugandhin	ī
sukeSinI	sukeśinī	sukeSin	sukeśin	ī
sumAlinI	sumālinī	sumAlin	sumālin	ī
suvAsinI	suvāsinī	suvAsin	suvāsin	ī
svAminI	svāminī	svAmin	svāmin	ī
syandinI	syandinī	syandin	syandin	ī
tApinI	tāpinī	tApin	tāpin	ī
tElapAyinI	tailapāyinī	tElapAyin	tailapāyin	ī
tElinI	tailinī	tElin	tailin	ī
tapasvinI	tapasvinī	tapasvin	tapasvin	ī
tejasvinI	tejasvinī	tejasvin	tejasvin	ī
triSUlinI	triśūlinī	triSUlin	triśūlin	ī
tuNginI	tuṅginī	tuNgin	tuṅgin	ī
udvAhinI	udvāhinī	udvAhin	udvāhin	ī
unmAdinI	unmādinī	unmAdin	unmādin	ī
upaniveSinI	upaniveśinī	upaniveSin	upaniveśin	ī
utpalinI	utpalinī	utpalin	utpalin	ī
utsaNginI	utsaṅginī	utsaNgin	utsaṅgin	ī
vARinI	vāṇinī	vARin	vāṇin	ī
vAYCinI	vāñchinī	vAYCin	vāñchin	ī
vAdinI	vādinī	vAdin	vādin	ī
vAhinI	vāhinī	vAhin	vāhin	ī
vAjinI	vājinī	vAjin	vājin	ī
vAlinI	vālinī	vAlin	vālin	ī
vAminI	vāminī	vAmin	vāmin	ī
vAsinI	vāsinī	vAsin	vāsin	ī
vaSinI	vaśinī	vaSin	vaśin	ī
vanamAlinI	vanamālinī	vanamAlin	vanamālin	ī
varDinI	vardhinī	varDin	vardhin	ī
varUTinI	varūthinī	varUTin	varūthin	ī
veDinI	vedhinī	veDin	vedhin	ī
veRinI	veṇinī	veRin	veṇin	ī
vedinI	vedinī	vedin	vedin	ī
vegavAhinI	vegavāhinī	vegavAhin	vegavāhin	ī
veginI	veginī	vegin	vegin	ī
viDvaMsinI	vidhvaṃsinī	viDvaMsin	vidhvaṃsin	ī
viSoDinI	viśodhinī	viSoDin	viśodhin	ī
vikASinI	vikāśinī	vikASin	vikāśin	ī
vilAsinI	vilāsinī	vilAsin	vilāsin	ī
vinDyavAsinI	vindhyavāsinī	vinDyavAsin	vindhyavāsin	ī
viroDinI	virodhinī	viroDin	virodhin	ī
viyoginI	viyoginī	viyogin	viyogin	ī
vizApavAdinI	viṣāpavādinī	vizApavAdin	viṣāpavādin	ī
vizanASinI	viṣanāśinī	vizanASin	viṣanāśin	ī
vratinI	vratinī	vratin	vratin	ī
yaSasvinI	yaśasvinī	yaSasvin	yaśasvin	ī
yaminI	yaminī	yamin	yamin	ī
yatinI	yatinī	yatin	yatin	ī
yoginI	yoginī	yogin	yogin	ī
