slp1	iast	n_dicts	dicts	gender	fem_fold
KarvawaH	kharvaṭaḥ	1	AP	-	
Karvawam	kharvaṭam	1	AP	-	
Karvujam	kharvujam	1	AP	-	
KarvvurA	kharvvurā	1	SKD	-	
KasKasaH	khaskhasaḥ	2	AP SKD	-	
KasabIja	khasabīja	2	MW PWK	n	
Kasatila	khasatila	4	MW PWG PWK VCP	m	
KasinDuH	khasindhuḥ	1	AP	-	
KatamAla	khatamāla	5	BUR MW PWG PWK VCP	m	
Katayati	khatayati	1	BHS	-	
Katilaka	khatilaka	3	MW PWG PWK	m	
KavAspaH	khavāspaḥ	1	SKD	-	
KawvANgI	khaṭvāṅgī	2	MW SKD	f	
KawvANga	khaṭvāṅga	8	CAE CCS INM MD MW PWG PWK VCP	fmn	
KawwANga	khaṭṭāṅga	4	INM MW PWG PWK	-	
KawwASaH	khaṭṭāśaḥ	2	AP SKD	-	
KawwAsaH	khaṭṭāsaḥ	1	SKD	-	
KawwakaH	khaṭṭakaḥ	1	AP	-	
KawwanaH	khaṭṭanaḥ	2	AP SKD	-	
KawwikaH	khaṭṭikaḥ	2	AP SKD	-	
KeKIlaka	khekhīlaka	1	VCP	-	
KeKIraka	khekhīraka	4	BUR MW PWG PWK	m	
KecaratA	khecaratā	3	MW PWG PWK	fn	
Kedatati	khedatati	1	PWK	f	
Kedavant	khedavant	1	PWK	-	
Kegamana	khegamana	5	BUR MW PWG PWK VCP	m	
Kelagati	khelagati	4	AP MW PWK SCH	fmn	
Kelanaka	khelanaka	4	CAE CCS MW PWK	mn	
KeqitAla	kheḍitāla	3	MW PWG PWK	m	
KewaboDa	kheṭabodha	2	MW PWK	m	
KewitAla	kheṭitāla	4	BUR MW PWG PWK	m	
KewitAna	kheṭitāna	1	VCP	-	
KiNKiraH	khiṅkhiraḥ	2	AP SKD	-	
KiccAccI	khiccāccī	1	AP	-	
KikKimin	khikkhimin	2	MW PWG	fmn	
KilIBUta	khilībhūta	1	MW	fmn	
KilIkAra	khilīkāra	2	PWG PWK	m	
KilIkfta	khilīkṛta	1	MW	fmn	
KilapAWa	khilapāṭha	1	MW	m	
Kilapasa	khilapasa	1	PWG	-	
KilarUpa	khilarūpa	1	PWK	f	
KoNgAhaH	khoṅgāhaḥ	1	AP	-	
KoNkAhaH	khoṅkāhaḥ	1	SKD	-	
KolmukaH	kholmukaḥ	2	AP SKD	-	
KonamuKa	khonamukha	2	MW PWK	m	
Kosayati	khosayati	1	BHS	-	
Kozadaha	khoṣadaha	2	PWG PWK	-	
Kozaqaha	khoṣaḍaha	1	MW	-	
KuNgAhaH	khuṅgāhaḥ	2	AP SKD	-	
KujjAkaH	khujjākaḥ	1	SKD	-	
KullakaH	khullakaḥ	1	SKD	-	
KullamaH	khullamaḥ	2	AP SKD	-	
KumBARqa	khumbhāṇḍa	1	BUR	-	
KunamuKa	khunamukha	1	MW	-	
Kunamuza	khunamuṣa	3	MD PWG PWK	-	
KuqavAta	khuḍavāta	2	MW PWK	fmn	
KurAGAta	khurāghāta	1	MW	m	
KurASAna	khurāśāna	1	SCH	-	
KurAlaka	khurālaka	5	BUR MW PWG PWK VCP	m	
KurAlika	khurālika	5	BUR MW PWG PWK VCP	m	
KurAsARa	khurāsāṇa	3	MW PWG PWK	f	
KurAsAna	khurāsāna	4	MW PWG PWK VCP	-	
KuraKurA	khurakhurā	1	PWK	-	
KuraKura	khurakhura	3	BHS MW PWK	fm	
KuraRasa	khuraṇasa	4	AP MW PWK VCP	fmn	
KurapraH	khurapraḥ	2	AP SKD	-	
KuruKura	khurukhura	1	BHS	-	
KurulikA	khurulikā	1	SCH	-	
KuttIrya	khuttīrya	1	PWG	m	
KyApanam	khyāpanam	1	AP	-	
KyAtavya	khyātavya	2	AP MW	fmn	
KyAtiGna	khyātighna	1	MW	fmn	
KyAtimat	khyātimat	1	MW	fmn	
NarikelI	ṅarikelī	1	AP	-	
OKyeyaka	aukhyeyaka	3	MW PWG PWK	fmn	
OSInaraH	auśīnaraḥ	1	AP	-	
OSanasAH	auśanasāḥ	1	AP	-	
OSanasam	auśanasam	1	AP	-	
OSanasya	auśanasya	2	MW PWK	fmn	
OdArikam	audārikam	1	AP	-	
OdAryatA	audāryatā	2	MW PWK	f	
OdAryyaM	audāryyaṃ	1	SKD	-	
OdAsInya	audāsīnya	7	CAE CCS MD MW PWG PWK VCP	n	
OdBettra	audbhettra	2	CAE MW	n	
OdBidyam	audbhidyam	1	AP	-	
OdBijjaM	audbhijjaṃ	1	SKD	-	
OdBijjam	audbhijjam	1	AP	-	
OdBittra	audbhittra	1	PWK	-	
OdDArika	auddhārika	8	AP CAE CCS MD MW PWG PWK VCP	fmn	
OdDAwima	auddhāṭima	1	SCH	-	
OdDatyaM	auddhatyaṃ	1	SKD	-	
OdDatyam	auddhatyam	1	AP	-	
OdaBfjji	audabhṛjji	4	MW PWG PWK VCP	m	
OdaNkIya	audaṅkīya	2	MW PWK	m	
OdaSudDi	audaśuddhi	2	MW PWK	m	
OdaSvita	audaśvita	6	AP BUR MW PWG PWK VCP	fmn	
OdaYcana	audañcana	5	AP MW PWG PWK VCP	fmn	
OdaYcavi	audañcavi	3	MW PWG VCP	m	
OdabudDi	audabuddhi	2	MW PWK	m	
OdaguRya	audaguṇya	1	PWG	-	
Odamajji	audamajji	2	MW PWK	m	
OdambarI	audambarī	1	MW	f	
OdameGyA	audameghyā	2	MW PWK	f	
OdanikaH	audanikaḥ	2	AP SKD	-	
Odanvata	audanvata	3	CAE MW PWK	fmn	
Odanyava	audanyava	4	CAE MW PWG PWK	m	
Odarciza	audarciṣa	4	MD MW PWK SCH	fmn	
OdarikaH	audarikaḥ	1	SKD	-	
Odaryaka	audaryaka	1	BHS	n	
OdasTAna	audasthāna	5	AP MW PWG PWK VCP	fmn	
Odavraja	audavraja	2	MW PWK	f	
Odavraji	audavraji	3	MW PWG PWK	m	
OdayakAH	audayakāḥ	1	AP	-	
Odbilyam	audbilyam	1	AP	-	
OddAlaka	auddālaka	5	INM MW PWG PWK VCP	n	
OddAlaki	auddālaki	8	CAE INM MW PWG PWK SCH VCP VEI	m	
OddAyana	auddāyana	1	SCH	-	
OddeSika	auddeśika	5	AP MW PWG PWK SCH	fmn	
OdgAtram	audgātram	1	AP	-	
OdrAyaRa	audrāyaṇa	1	MW	m	
OdumbarA	audumbarā	1	BHS	-	
OdumbarI	audumbarī	2	AP MW	f	
Odumbara	audumbara	9	AP CAE CCS INM MD MW PWG PWK VCP	fmn	
Odumbari	audumbari	4	MW PWG PWK SCH	m	
OdvAhika	audvāhika	9	AP BUR CAE CCS MD MW PWG PWK VCP	fmn	
Ograseni	augraseni	3	MW PWG PWK	m	
OjasikaH	aujasikaḥ	1	AP	-	
OjjAgari	aujjāgari	1	MW	-	
OjjihAni	aujjihāni	4	MW PWG PWK VCP	m	
Ojjvalya	aujjvalya	6	CAE CCS MD MW PWG PWK	n	
OkTikyam	aukthikyam	1	AP	-	
Olandaka	aulandaka	2	PWG PWK	-	
OlbaRyam	aulbaṇyam	1	AP	-	
OmBeyaka	aumbheyaka	3	MW PWG PWK	fmn	
OnmuKyam	aunmukhyam	1	AP	-	
Onnatyam	aunnatyam	1	AP	-	
Onnetram	aunnetram	1	AP	-	
Onnidrya	aunnidrya	2	MW SCH	n	
OpAnahya	aupānahya	5	AP MW PWG PWK VCP	fmn	
OpAsanaH	aupāsanaḥ	1	AP	-	
OpaDeyam	aupadheyam	1	AP	-	
OpaDikaH	aupadhikaḥ	1	AP	-	
OpaSiviH	aupaśiviḥ	1	AP	-	
OpagAtra	aupagātra	2	MW PWK	n	
OpagavaH	aupagavaḥ	1	SKD	-	
OpagaviH	aupagaviḥ	1	AP	-	
OpakAryA	aupakāryā	3	AP MW PWG	f	
OpakArya	aupakārya	5	CAE MW PWG PWK SCH	fn	
OpaniDya	aupanidhya	1	AP	-	
Opapatti	aupapatti	1	BHS	-	
Opapatya	aupapatya	3	MW PWG PWK	n	
Oparizwa	aupariṣṭa	5	AP MW PWG PWK VCP	fmn	
OpasIrya	aupasīrya	3	MW PWG PWK	fmn	
OpasTAna	aupasthāna	5	AP MW PWG PWK VCP	f	
OpasTika	aupasthika	4	AP MW PWG PWK	f	
OpasTyaM	aupasthyaṃ	1	SKD	-	
OpasTyam	aupasthyam	1	AP	-	
OpasadaH	aupasadaḥ	1	AP	-	
OpavAhya	aupavāhya	8	AP CAE MD MW PWG PWK SCH VCP	fmn	
OpavAsya	aupavāsya	3	MW PWG VCP	n	
OpavasTa	aupavastha	2	MW PWK	n	
Opavasta	aupavasta	5	BUR MD MW PWG PWK	n	
OpayikaH	aupayikaḥ	2	AP SKD	-	
Opayikam	aupayikam	1	AP	-	
OqulomiH	auḍulomiḥ	1	AP	-	
OqulomyA	auḍulomyā	2	PWG PWK	f	
Oqumbara	auḍumbara	6	AP BUR MW PWG PWK VCP	-	
OqupikaH	auḍupikaḥ	1	AP	-	
OrRAvata	aurṇāvata	2	PWG PWK	m	
OrRAyava	aurṇāyava	3	MW PWG PWK	n	
OrRanABa	aurṇanābha	3	MW PWG PWK	m	
OrRavABa	aurṇavābha	5	GRA MW PWG PWK VEI	m	
OraBraka	aurabhraka	7	BHS BUR MW PWG PWK SCH VCP	mn	
OraBrika	aurabhrika	8	AP BHS CAE MW PWG PWK SCH VCP	fmn	
OrasikAH	aurasikāḥ	1	INM	-	
OrdAyanI	aurdāyanī	3	MW PWG PWK	f	
Orjityam	aurjityam	1	AP	-	
Ormileya	aurmileya	3	MW PWG PWK	m	
Orukzaya	aurukṣaya	3	MW PWG PWK	n	
OrvAnala	aurvānala	3	CAE MW PWK	m	
OrvaSeya	aurvaśeya	8	BUR CAE CCS MD MW PWG PWK VCP	m	
OtTAnika	autthānika	4	MW PWG PWK SCH	fmn	
OtkaRWya	autkaṇṭhya	7	CAE CCS MD MW PWG PWK VCP	n	
Otkarzya	autkarṣya	4	MW PWG PWK VCP	n	
OtpAtika	autpātika	9	AP BHS CAE CCS MD MW PWG PWK VCP	fmn	
Otputika	autputika	3	PWG PWK VCP	-	
Otpuwika	autpuṭika	5	AP MW PWG PWK VCP	fmn	
OtsAyana	autsāyana	4	MW PWG PWK VCP	m	
OtsukyaM	autsukyaṃ	1	SKD	-	
Otsukyam	autsukyam	1	AP	-	
Ottameya	auttameya	3	MW PWG PWK	m	
Ottamika	auttamika	4	AP MW PWG PWK	fmn	
OttarAha	auttarāha	5	AP MW PWG PWK VCP	fmn	
Ottareya	auttareya	4	MW PWG PWK VCP	m	
OveRakam	auveṇakam	1	AP	-	
OzaDIkar	auṣadhīkar	1	PWG	-	
OzadaSvi	auṣadaśvi	5	INM MW PWG PWK VCP	m	
OzarakaM	auṣarakaṃ	1	SKD	-	
Ozarakam	auṣarakam	1	AP	-	
OzwAyaRa	auṣṭāyaṇa	1	VCP	-	
OzwrAkzi	auṣṭrākṣi	4	MW PWG PWK VEI	m	
OzwrakaM	auṣṭrakaṃ	1	SKD	-	
Ozwrakam	auṣṭrakam	1	AP	-	
OzwrikaH	auṣṭrikaḥ	1	AP	-	
PARayAmi	phāṇayāmi	1	BUR	-	
PARwakaH	phāṇṭakaḥ	1	AP	-	
PAlAhata	phālāhata	3	AP MW PWK	fmn	
PAlaKelA	phālakhelā	4	AP MW PWG PWK	fm	
PAladatI	phāladatī	3	MW PWG PWK	f	
PAlayAmi	phālayāmi	1	BUR	-	
PAlgunaH	phālgunaḥ	2	AP SKD	-	
PAlgunya	phālgunya	3	MW PWG PWK	m	
PUtkArya	phūtkārya	1	PWK	-	
PaRABara	phaṇābhara	4	MW PWG PWK VCP	m	
PaRADara	phaṇādhara	4	MW PWG PWK VCP	m	
PaRAkara	phaṇākara	4	MW PWG PWK VCP	m	
PaRAvant	phaṇāvant	3	CAE PWG PWK	m	
PaRAwopa	phaṇāṭopa	1	MW	-	
PaRIndra	phaṇīndra	8	CAE CCS INM MD MW PWG PWK VCP	m	
PaRaDara	phaṇadhara	6	CAE CCS MW PWG PWK VCP	m	
PaRagiri	phaṇagiri	1	PWG	-	
PaRakara	phaṇakara	4	MW PWG PWK VCP	m	
PaRamaRi	phaṇamaṇi	1	MW	m	
PaRavant	phaṇavant	4	CAE CCS PWG PWK	m	
PaRayAmi	phaṇayāmi	1	BUR	-	
PaRiKela	phaṇikhela	4	MW PWG PWK VCP	m	
PaRiPeRa	phaṇipheṇa	3	MW PWG PWK	m	
PaRiPena	phaṇiphena	1	VCP	-	
PaRikAra	phaṇikāra	4	MW PWG PWK VCP	m	
PaRikAwa	phaṇikāṭa	1	PWG	-	
PaRilatA	phaṇilatā	4	AP MW PWG PWK	f	
PaRimuKa	phaṇimukha	4	MW PWG PWK VCP	n	
PaRipASa	phaṇipāśa	1	SCH	-	
PaRipati	phaṇipati	5	CAE CCS MW PWK SCH	m	
PalABoga	phalābhoga	1	MW	m	
PalAPala	phalāphala	1	BHS	n	
PalASana	phalāśana	4	MW PWG PWK SCH	m	
PalAdana	phalādana	4	MW PWG PWK VCP	m	
PalAgama	phalāgama	6	CAE CCS MD MW PWG PWK	m	
PalAhAra	phalāhāra	4	CAE MW PWG PWK	m	
PalAmlaH	phalāmlaḥ	2	AP SKD	-	
PalAmlaM	phalāmlaṃ	1	SKD	-	
PalAmlam	phalāmlam	1	AP	-	
PalAntaH	phalāntaḥ	2	AP SKD	-	
PalApeta	phalāpeta	2	AP MW	fmn	
PalArAma	phalārāma	3	MW PWG PWK	m	
PalArTin	phalārthin	5	CAE CCS MD MW PWK	fmn	
PalAsava	phalāsava	3	MW PWG PWK	m	
PalIkAra	phalīkāra	4	MW PWG PWK VCP	m	
PalIkfta	phalīkṛta	2	AP MW	fmn	
PalaBAga	phalabhāga	4	CAE MW PWG PWK	m	
PalaBUmi	phalabhūmi	5	CAE MW PWG PWK VCP	f	
PalaBUti	phalabhūti	3	MW PWG PWK	m	
PalaBoga	phalabhoga	2	MW VCP	m	
PalaDarA	phaladharā	1	BHS	-	
PalaGfta	phalaghṛta	4	MW PWG PWK VCP	n	
PalaKelA	phalakhelā	3	AP MW PWK	fm	
PalaKela	phalakhela	1	PWG	-	
PalaSAka	phalaśāka	1	VCP	-	
PalaSAlI	phalaśālī	1	SKD	-	
PaladAtf	phaladātṛ	2	AP MW	fmn	
PalahAni	phalahāni	1	MW	f	
PalahArI	phalahārī	6	AP MW PWG PWK SKD VCP	f	
PalahIna	phalahīna	3	AP MW PWK	fmn	
Palahaka	phalahaka	6	CAE CCS MD MW PWG PWK	m	
Palahetu	phalahetu	3	AP CAE MW	fmn	
PalakAla	phalakāla	1	MW	m	
PalakAma	phalakāma	4	AP MW PWK VCP	m	
PalakoSa	phalakośa	5	CAE CCS MW PWG PWK	m	
Palakoza	phalakoṣa	1	VCP	-	
PalamUla	phalamūla	1	MW	n	
Palamaya	phalamaya	2	MW PWK	-	
PalapAkI	phalapākī	1	SKD	-	
PalapAka	phalapāka	6	CAE CCS MW PWG PWK VCP	fm	
PalapUra	phalapūra	4	MW PWG PWK VCP	mn	
Palapura	phalapura	4	MW PWG PWK VCP	n	
PalarASi	phalarāśi	2	MW PWK	m	
Palasaka	phalasaka	1	BHS	mn	
Palavant	phalavant	4	CAE CCS PWG PWK	fn	
PalavatI	phalavatī	3	AP MW VEI	f	
Palayoga	phalayoga	6	CAE CCS MW PWG PWK VCP	m	
PalendrA	phalendrā	2	MW PWK	f	
Palendra	phalendra	2	PWG VCP	m	
PalepAkA	phalepākā	2	MW PWK	-	
PalepAka	phalepāka	3	MW PWG PWK	-	
PalepAku	phalepāku	2	MW PWK	-	
PaleruhA	phaleruhā	5	MW PWG PWK SKD VCP	f	
Paletara	phaletara	2	MD PWK	fn	
PalgunaH	phalgunaḥ	2	AP SKD	-	
Palgutva	phalgutva	2	MW PWG	n	
PalguvAk	phalguvāk	1	AP	-	
Pallakin	phallakin	5	BUR MW PWG PWK VCP	m	
Palodaka	phalodaka	4	INM MW PWG PWK	m	
Palodaya	phalodaya	6	CAE CCS MW PWG PWK VCP	m	
Palopeta	phalopeta	2	AP MW	fmn	
ParParAy	pharpharāy	2	PWG PWK	-	
Parasaka	pharasaka	1	BHS	-	
Parendra	pharendra	3	MW PWG PWK	m	
ParuRqaH	pharuṇḍaḥ	1	AP	-	
Paruvaka	pharuvaka	5	BUR MW PWG PWK VCP	n	
Patepura	phatepura	3	MW PWG PWK	n	
PatkArin	phatkārin	6	AP BUR MW PWG PWK VCP	m	
PawAwopa	phaṭāṭopa	2	MW PWK	m	
PazAjiga	phaṣājiga	2	MW PWG	mn	
PazAjima	phaṣājima	2	MW PWG	-	
PeRAgram	pheṇāgram	1	AP	-	
PeRAhAra	pheṇāhāra	1	AP	-	
PeRagirI	pheṇagirī	1	PWK	-	
PeYcakaH	pheñcakaḥ	1	AP	-	
PenAGAta	phenāghāta	1	SCH	-	
PenASani	phenāśani	3	MW PWG PWK	m	
PenAgraM	phenāgraṃ	1	SKD	-	
PenAhAra	phenāhāra	4	MD MW PWG PWK	fmn	
Penagiri	phenagiri	3	MW PWG PWK	m	
PenavAhI	phenavāhī	1	SKD	-	
Penavant	phenavant	4	CAE CCS PWG PWK	-	
Penopama	phenopama	1	MW	fmn	
PeraRqaH	pheraṇḍaḥ	2	AP SKD	-	
PeruRqin	pheruṇḍin	1	SCH	-	
PetkAraH	phetkāraḥ	1	AP	-	
PetkArin	phetkārin	5	CAE CCS MW PWG PWK	fmn	
PewkAraH	pheṭkāraḥ	1	AP	-	
PiNgakaH	phiṅgakaḥ	2	AP SKD	-	
PiraNgaH	phiraṅgaḥ	2	AP SKD	-	
PiraNgin	phiraṅgin	3	AP MW PWK	fm	
PiwsUtra	phiṭsūtra	5	CAE CCS MD MW PWK	n	
PuPukAra	phuphukāra	1	BHS	-	
PuliNgaH	phuliṅgaḥ	1	AP	-	
Pullanam	phullanam	1	AP	-	
Pullavat	phullavat	1	MW	fmn	
PuluPulu	phuluphulu	1	BHS	-	
PupPusaH	phupphusaḥ	2	AP SKD	-	
PupPusam	phupphusam	1	AP	-	
PutkAraH	phutkāraḥ	2	AP SKD	f	
PutkArya	phutkārya	2	MW PWG	fmn	
PutkaraH	phutkaraḥ	1	SKD	-	
Putkftam	phutkṛtam	1	AP	-	
PutkftiH	phutkṛtiḥ	2	AP SKD	-	
PuwAwopa	phuṭāṭopa	2	MW PWK	m	
Puwwakam	phuṭṭakam	1	AP	-	
QAlayati	ḍhālayati	1	BHS	n	
QOkanaka	ḍhaukanaka	1	SCH	-	
QOkanikA	ḍhaukanikā	1	SCH	-	
Qakkanam	ḍhakkanam	1	AP	-	
QuRQanam	ḍhuṇḍhanam	1	AP	-	
SAKABeda	śākhābheda	3	CAE CCS MW	m	
SAKASiPA	śākhāśiphā	6	AP MW PWG PWK SKD VCP	f	
SAKAbAhu	śākhābāhu	3	CAE CCS MW	m	
SAKAmaya	śākhāmaya	4	CAE CCS MW PWK	f	
SAKAmfga	śākhāmṛga	6	CAE CCS MW PWG PWK VCP	mn	
SAKAnala	śākhānala	1	SCH	-	
SAKApaSu	śākhāpaśu	3	MW PWG PWK	mn	
SAKApurI	śākhāpurī	1	MW	-	
SAKApura	śākhāpura	3	MW PWG PWK	fn	
SAKAvAta	śākhāvāta	3	MW PWG PWK	m	
SAKowaka	śākhoṭaka	2	MW PWK	-	
SAMBavya	śāṃbhavya	1	PWK	m	
SAMSapaH	śāṃśapaḥ	1	SKD	-	
SAMvatya	śāṃvatya	4	MD MW PWG PWK	m	
SANKikaH	śāṅkhikaḥ	2	AP SKD	-	
SANguzWA	śāṅguṣṭhā	5	BUR MW PWK SKD VCP	f	
SANkaraH	śāṅkaraḥ	2	AP SKD	-	
SANkaraM	śāṅkaraṃ	1	SKD	-	
SANkariH	śāṅkariḥ	2	AP SKD	-	
SANkavya	śāṅkavya	3	MW PWG PWK	m	
SAParika	śāpharika	4	BUR MW PWG PWK	m	
SARASman	śāṇāśman	2	MW PWK	-	
SARAjIva	śāṇājīva	4	MW PWG PWK VCP	m	
SARapAda	śāṇapāda	3	MW PWG PWK	m	
SARavAsa	śāṇavāsa	3	MW PWG PWK	m	
SARopala	śāṇopala	4	CAE CCS MW PWK	m	
SARqikya	śāṇḍikya	3	MW PWG PWK	fmn	
SARqilya	śāṇḍilya	10	BUR CAE CCS INM MD MW PWG PWK VCP VEI	fmn	
SASaMsmi	śāśaṃsmi	1	BUR	-	
SASadAna	śāśadāna	1	MW	-	
SASnaTye	śāśnathye	1	BUR	-	
SASvasmi	śāśvasmi	1	BUR	-	
SASvataH	śāśvataḥ	2	AP SKD	-	
SASvataM	śāśvataṃ	1	SKD	-	
SASvatam	śāśvatam	1	AP	-	
SAWAyana	śāṭhāyana	3	MW PWG PWK	m	
SAWyavat	śāṭhyavat	1	MW	fmn	
SAbalIya	śābalīya	3	MW PWG PWK	fmn	
SAbalyam	śābalyam	1	AP	-	
SAbaraka	śābaraka	2	MW PWK	m	
SAbarikA	śābarikā	6	AP CAE CCS MD MW PWK	f	
SAbdatva	śābdatva	3	MW PWG PWK	n	
SAbdikaH	śābdikaḥ	2	AP SKD	-	
SAdayAmi	śādayāmi	1	BUR	-	
SAdvalaH	śādvalaḥ	2	AP SKD	-	
SAdvalam	śādvalam	1	AP	-	
SAdvalin	śādvalin	4	CAE MW PWG PWK	fmn	
SAkAKyaH	śākākhyaḥ	2	AP SKD	-	
SAkAKyaM	śākākhyaṃ	1	SKD	-	
SAkAKyam	śākākhyam	1	AP	-	
SAkANgaM	śākāṅgaṃ	1	SKD	-	
SAkANgam	śākāṅgam	1	AP	-	
SAkASana	śākāśana	3	MD MW PWK	fmn	
SAkAhAra	śākāhāra	2	MW PWK	fmn	
SAkAlAbu	śākālābu	4	MW PWG PWK VCP	m	
SAkAmlaM	śākāmlaṃ	1	SKD	-	
SAkAmlam	śākāmlam	1	AP	-	
SAkArikA	śākārikā	1	MW	-	
SAkArikI	śākārikī	2	PWG PWK	f	
SAkAsana	śākāsana	2	MW PWK	-	
SAkAyana	śākāyana	3	MW PWG PWK	m	
SAkaBava	śākabhava	3	MW PWG PWK	mn	
SAkadAsa	śākadāsa	3	MW PWG PWK	m	
SAkahAra	śākahāra	2	MW PWK	-	
SAkakAla	śākakāla	4	CAE CCS MW PWK	m	
SAkalaka	śākalaka	3	MW PWG PWK	f	
SAkalika	śākalika	6	AP BUR MW PWG PWK VCP	f	
SAkalyaH	śākalyaḥ	1	AP	-	
SAkamfza	śākamṛṣa	3	MW PWK SCH	m	
SAkanikA	śākanikā	2	PWG PWK	f	
SAkapURi	śākapūṇi	7	CAE CCS MD MW PWG PWK VEI	m	
SAkapUta	śākapūta	2	PWG PWK	n	
SAkapaRa	śākapaṇa	1	MW	m	
SAkapota	śākapota	3	MW PWG PWK	m	
SAkarAja	śākarāja	3	MW PWG VCP	m	
SAkarasI	śākarasī	1	PWK	-	
SAkarasa	śākarasa	3	MW PWG PWK	m	
SAkataru	śākataru	5	BUR MW PWG PWK VCP	m	
SAkavAwa	śākavāṭa	6	CAE CCS MD MW PWG PWK	fm	
SAkavIra	śākavīra	5	BUR MW PWG PWK VCP	m	
SAkavfza	śākavṛṣa	1	MW	-	
SAkawIna	śākaṭīna	4	MW PWG PWK VCP	fmn	
SAkawikA	śākaṭikā	1	SCH	-	
SAkawika	śākaṭika	6	AP MD MW PWG PWK VCP	fmn	
SAkayAmi	śākayāmi	1	BUR	-	
SAkendra	śākendra	2	MW PWK	fmn	
SAkinikA	śākinikā	3	MW PWG PWK	f	
SAkiyAnI	śākiyānī	1	BHS	-	
SAkkaraH	śākkaraḥ	2	AP SKD	-	
SAkowaka	śākoṭaka	2	MW PWK	-	
SAkradiS	śākradiś	1	AP	-	
SAktIkaH	śāktīkaḥ	2	AP SKD	-	
SAktatva	śāktatva	1	PWG	n	
SAkteyaH	śākteyaḥ	1	AP	-	
SAktikaH	śāktikaḥ	1	AP	-	
SAktreya	śāktreya	3	INM MW PWK	-	
SAkulika	śākulika	5	AP BUR MW PWG PWK	fmn	
SAkuneya	śākuneya	4	MD MW PWG PWK	fmn	
SAkunika	śākunika	6	BUR CAE MW PWG PWK VCP	fmn	
SAkvaraH	śākvaraḥ	1	AP	-	
SAkvarya	śākvarya	3	MW PWG PWK	n	
SAkyaSrI	śākyaśrī	3	MW PWG PWK	m	
SAlATala	śālāthala	3	MW PWG PWK	m	
SAlAYciH	śālāñciḥ	1	SKD	-	
SAlAdvAr	śālādvār	2	MW PWK	fn	
SAlAjira	śālājira	5	MW PWG PWK SCH VCP	m	
SAlAkeya	śālākeya	3	MW PWG PWK	m	
SAlAkyaH	śālākyaḥ	1	AP	-	
SAlAkyam	śālākyam	1	AP	-	
SAlAluka	śālāluka	3	MW PWG PWK	fmn	
SAlAmfga	śālāmṛga	4	MW PWG PWK VCP	m	
SAlAmuKa	śālāmukha	3	MW PWG PWK	mn	
SAlApati	śālāpati	5	CAE CCS MW PWG PWK	m	
SAlAvant	śālāvant	2	PWG PWK	fm	
SAlAvatI	śālāvatī	1	MW	f	
SAlAvata	śālāvata	3	MW PWG PWK	fm	
SAlAvfka	śālāvṛka	6	CAE MW PWG PWK SCH VCP	m	
SAlInIkf	śālīnīkṛ	1	MW	-	
SAlInatA	śālīnatā	5	AP CAE MW PWG PWK	fn	
SAlUkeya	śālūkeya	3	MW PWG PWK	m	
SAlUkikA	śālūkikā	3	MW PWG PWK	f	
SAlUkinI	śālūkinī	4	INM MW PWG PWK	f	
SAlUraka	śālūraka	3	MW PWG PWK	m	
SAlaNkiH	śālaṅkiḥ	2	AP SKD	m	
SAlamaya	śālamaya	3	MW PWG PWK	f	
SAlanaka	śālanaka	1	SCH	-	
SAlapota	śālapota	3	CAE CCS MW	m	
SAlarAja	śālarāja	1	BHS	-	
SAlarasa	śālarasa	3	MW PWG PWK	m	
SAlasAra	śālasāra	4	MW PWG PWK VCP	m	
SAlavAha	śālavāha	2	MW PWK	m	
SAlavana	śālavana	2	MW PWK	n	
SAliSUka	śāliśūka	3	MW PWG PWK	mn	
SAliYcaH	śāliñcaḥ	1	SKD	-	
SAligopI	śāligopī	3	AP MW PWK	f	
SAligopa	śāligopa	2	CAE PWG	fm	
SAlijAla	śālijāla	1	MW	n	
SAlikUwa	śālikūṭa	1	MW	n	
SAlikaRa	śālikaṇa	3	CAE MW PWK	m	
SAlinATa	śālinātha	3	MW PWG PWK	m	
SAlivAha	śālivāha	3	MW PWG PWK	m	
SAliveya	śāliveya	1	BUR	-	
SAlmalaH	śālmalaḥ	2	AP SKD	-	
SAlmaliH	śālmaliḥ	2	AP SKD	-	
SAlmalin	śālmalin	4	AP MW PWG PWK	fm	mf(ī)
SAlmalyA	śālmalyā	3	MW PWG PWK	f	
SAlvaRaH	śālvaṇaḥ	1	SKD	-	
SAlvaRam	śālvaṇam	1	AP	-	
SAlvahan	śālvahan	1	VCP	-	
SAlyanna	śālyanna	5	CAE CCS MD MW PWK	mn	
SAmAyana	śāmāyana	3	MW PWG PWK	m	
SAmBavaH	śāmbhavaḥ	2	AP SKD	-	
SAmBavaM	śāmbhavaṃ	1	SKD	-	
SAmBavam	śāmbhavam	1	AP	-	
SAmBavya	śāmbhavya	1	MW	m	
SAmIvatI	śāmīvatī	1	MW	f	
SAmIvata	śāmīvata	3	MW PWG PWK	fm	
SAmbUkaH	śāmbūkaḥ	2	AP SKD	-	
SAmbaram	śāmbaram	1	AP	-	
SAmbavya	śāmbavya	2	MW PWK	mn	
SAmbukaH	śāmbukaḥ	2	AP SKD	-	
SAmitraM	śāmitraṃ	1	SKD	-	
SAmitram	śāmitram	1	AP	-	
SAmupAla	śāmupāla	3	MW PWG PWK	m	
SAnapAda	śānapāda	1	MW	m	
SAntaSrI	śāntaśrī	4	BHS MW PWG PWK	m	
