hint	n_shared_dicts	fem_slp1	fem_iast	fem_gloss_MW	masc_slp1	masc_iast	masc_gloss_MW	ending
likely-distinct	2	prozWikA	proṣṭhikā	Cyprinus Sophore	prozWika	proṣṭhika	N. of a man g. SivAdi	ā
likely-distinct	2	qamBA	ḍambhā	N. of a weapon	qamBa	ḍambha	N. of a man	ā
likely-distinct	2	rAQA	rāḍhā	beauty, splendour	rAQa	rāḍha	belonging to the district of Rāḍhā	ā
likely-distinct	2	rudrasenA	rudrasenā	R˚'s army	rudrasena	rudrasena	N. of a warrior	ā
likely-distinct	2	sUkarikA	sūkarikā	a kind of bird	sUkarika	sūkarika	or n. a kind of plant	ā
likely-distinct	2	saccArA	saccārā	(not in MW)	saccAra	saccāra	a good spy	ā
likely-distinct	2	sarpAsyA	sarpāsyā	N. of a Yoginī	sarpAsya	sarpāsya	‘sn˚-faced’, N. of a Rākṣasa	ā
likely-distinct	2	sirA	sirā	a stream, water	sira	sira	= 1. Sira, the root of Piper Longum	ā
likely-distinct	2	tanvI	tanvī	a slender or delicate woman	tanvin	tanvin	‘possessed of a body’, N. of a son of Manu Tāmasa	ī
likely-distinct	2	triSaNkukA	triśaṅkukā	See ˚Nku.	triSaNkuka	triśaṅkuka	a wag-tail	ā
likely-distinct	2	utplavA	utplavā	a boat	utplava	utplava	a jump, leap, bound	ā
likely-distinct	2	uttarikA	uttarikā	N. of a river	uttarika	uttarika	(not in MW)	ā
likely-distinct	2	vAlUkA	vālūkā	= vAlukA, sand	vAlUka	vālūka	a kind of poison	ā
likely-distinct	2	vArtikA	vārtikā	id.	vArtika	vārtika	a kind of bird	ā
likely-distinct	2	vaqA	vaḍā	a small lump, globule, round mass or cake	vaqa	vaḍa	(not in MW)	ā
likely-distinct	2	varI	varī	Asparagus Racemosus	varin	varin	‘rich in gifts (?)’, N. of a divine being enumerated among the Viśve Devāḥ	ī
likely-distinct	2	vatsamitrA	vatsamitrā	N. of a celestial virgin (Dik-kumārī	vatsamitra	vatsamitra	N. of a certain Gobhila	ā
likely-distinct	2	vigarhA	vigarhā	blame, censure	vigarha	vigarha	g. puzkarAdi.	ā
likely-distinct	1	ABA	ābhā	25229145,1ABAA-BA11 1. A-√ BA P. -BAti (Impv. 2. sg. A/-BAhi	ABa	ābha	ifc. like, resembling, appearing	ā
likely-distinct	1	AtmasamBavA	ātmasambhavā	a daughter	AtmasamBava	ātmasambhava	a son	ā
likely-distinct	1	BAnumatI	bhānumatī	N. of a daughter of Aṅgiras	BAnumatin	bhānumatin	N. of a man	ī
likely-distinct	1	BAradvAjI	bhāradvājī	a female descendant of Bharad-vāja (with rAtri N. of the author of	BAradvAjin	bhāradvājin	N. of a school	ī
likely-distinct	1	BallikA	bhallikā	Semecarpus Anacardium	Ballika	bhallika	N. of a man	ā
likely-distinct	1	BavAtmajA	bhavātmajā	N. of the goddess Manasā	BavAtmaja	bhavātmaja	‘Bhava's i.e. Śiva's son’, N. of Gaṇeśa or Kārttikeya	ā
likely-distinct	1	BillI	bhillī	a Bhilla woman	Billin	bhillin	Symplocos Racemosa	ī
likely-distinct	1	CagalAntrI	chagalāntrī	= ˚trikA	CagalAntrin	chagalāntrin	‘having goats in the bowels’, a wolf	ī
likely-distinct	1	CagalI	chagalī	id.	Cagalin	chagalin	N. of a teacher (pupil of Kalāpin	ī
likely-distinct	1	CattrikA	chattrikā	a parasol, 323 and 1446	Cattrika	chattrika	= ˚ttra-Dara, g. purohitAdi.	ā
likely-distinct	1	DAkA	dhākā		DAka	dhāka	an ox	ā
likely-distinct	1	DAnI	dhānī	= n. (cf. aNgAra-, gopAla-, rAja-	DAnin	dhānin	Careya Arborea or Salvadora Persica	ī
likely-distinct	1	DItikA	dhītikā	(not in MW)	DItika	dhītika	N. of a Buddh. patriarchal saint.	ā
likely-distinct	1	DattUrakA	dhattūrakā		DattUraka	dhattūraka		ā
likely-distinct	1	KaNKaRA	khaṅkhaṇā	the tinkling sound (of a bell	KaNKaRa	khaṅkhaṇa	= KaM-kara	ā
likely-distinct	1	KurI	khurī	g. bahv-Adi (not in	Kurin	khurin	an animal with hoofs	ī
likely-distinct	1	PaRijJakA	phaṇijjhakā	a species of basil with small leaves (commonly called rAma-dUti	PaRijJaka	phaṇijjhaka	141693.1716,2PaRijJakaPaRijJaka1 {{Lbody=141693}}	ā
likely-distinct	1	SArNgikA	śārṅgikā	the female of that bird.	SArNgika	śārṅgika	= SArNgaka	ā
likely-distinct	1	SAwyAyanI	śāṭyāyanī	N. of an Upaniṣad	SAwyAyanin	śāṭyāyanin	the followers of Śāṭyāyana (N. of a Śākhā of the Yajur-veda	ī
likely-distinct	1	SItapallavA	śītapallavā	another plant (= BUmi-jambu	SItapallava	śītapallava	Ardisia Solanacea	ā
likely-distinct	1	SOnakI	śaunakī	a wk. of Ś˚s (cf. laGu- and vfdDaSOnakI).	SOnakin	śaunakin	the pupils or followers of Śaunaka	ī
likely-distinct	1	SaNKikA	śaṅkhikā	Andropogon Aciculatus	SaNKika	śaṅkhika	N. of a man	ā
likely-distinct	1	SakulI	śakulī	See below.	Sakulin	śakulin	a fish	ī
likely-distinct	1	SiKaRqikA	śikhaṇḍikā	a tuft or lock of hair on the crown of the head	SiKaRqika	śikhaṇḍika	a cock	ā
likely-distinct	1	SrIgaReSA	śrīgaṇeśā	N. of Rādhā	SrIgaReSa	śrīgaṇeśa	the divine Gaṇeśa	ā
likely-distinct	1	SrIkArI	śrīkārī		SrIkArin	śrīkārin	‘causing increase’, a kind of antelope (= kuraNga; the flesh of it is considered highly nu	ī
likely-distinct	1	SrotA	śrotā	(not in MW)	Srota	śrota	2238381103,1SrotaSrota1 Srota See srota.	ā
likely-distinct	1	SuRqikA	śuṇḍikā	the uvula (in the throat	SuRqika	śuṇḍika	or n. (prob.) a tavern, dram-shop	ā
likely-distinct	1	SuklopalA	śuklopalā	id.	Suklopala	śuklopala	a white stone	ā
likely-distinct	1	SunA	śunā	a ploughshare (see SunA-vat and SunA-sIra	Suna	śuna	‘the Auspicious one’, N. of Vāyu	ā
likely-distinct	1	SvaGnI	śvaghnī	2242141105,1SvaGnISva—GnI3 Sva—GnI See under -han.	SvaGnin	śvaghnin	2241871104,3SvaGninSvaGnin1 SvaGnin See p. 1105, col. 2.	ī
