lemma_slp1	root_slp1	how
anvAhiRq	hiRq	suffix
anvAhve	ve	suffix
anvAkf	kf	suffix
anvAkram	kram	suffix
anvAlaB	laB	suffix
anvAlocay	locay	suffix
anvAnI	nI	suffix
anvAnu	nu	suffix
anvAp	Ap	suffix
anvApyE	anvApyE	unresolved
anvAraB	raB	suffix
anvAramBay	ramBay	suffix
anvAropay	ropay	suffix
anvAruh	ruh	suffix
anvAs	vAs	suffix
anvAsAday	anvAsAday	self
anvAsTA	sTA	suffix
anvAtaYc	taYc	suffix
anvAtan	tan	suffix
anvAtirecay	recay	suffix
anvAvah	vah	suffix
anvAvap	vap	suffix
anvAvartay	vartay	suffix
anvAvft	vft	suffix
anvAviS	viS	suffix
anvAvid	vid	suffix
anvAyAtay	yAtay	suffix
anvAyat	yat	suffix
anvI	anvI	self
anvIkz	Ikz	suffix
anvIkzay	anvIkzay	self
anvaBiDAv	anvaBiDAv	self
anvaBizic	anvaBizic	unresolved
anvaByavacar	car	suffix
anvaByave	ve	suffix
anvaDiruh	ruh	suffix
anvaDisTA	sTA	suffix
anvaDyas	yas	suffix
anvaS	vaS	suffix
anvaYj	aYj	suffix
anvah	vah	suffix
anvapAn	anvapAn	self
anvapakram	kram	suffix
anvarc	arc	suffix
anvarj	anvarj	unresolved
anvas	vas	suffix
anvatI	anvatI	unresolved
anvatisic	sic	suffix
anvatyAvartay	vartay	suffix
anvav	av	suffix
anvavAn	anvavAn	unresolved
anvavAs	vAs	suffix
anvavaDA	DA	suffix
anvavacUrRay	cUrRay	suffix
anvavacar	car	suffix
anvavagA	gA	suffix
anvavahan	han	suffix
anvavahf	hf	suffix
anvavakIray	kIray	suffix
anvavakf	kf	suffix
anvavakram	kram	suffix
anvavalup	lup	suffix
anvavamfS	mfS	suffix
anvavanI	nI	suffix
anvavapA	pA	suffix
anvavaplu	plu	suffix
anvavarj	avarj	suffix
anvavaruh	ruh	suffix
anvavasA	sA	suffix
anvavasTA	sTA	suffix
anvavasfj	sfj	suffix
anvavasfp	sfp	suffix
anvavasrAvay	srAvay	suffix
anvavasru	sru	suffix
anvavatf	tf	suffix
anvavayaj	anvavayaj	self
anvave	ve	suffix
anvavekz	anvavekz	unresolved
anvavekzay	anvavekzay	unresolved
anve	ve	suffix
anvezay	vezay	suffix
anvfD	vfD	suffix
anvi	anvi	unresolved
anvinD	inD	suffix
anviz	viz	suffix
anyaTAkf	kf	suffix
anyaTay	anyaTay	self
anyatkf	kf	suffix
apADA	DA	suffix
apASri	Sri	suffix
apAdA	dA	suffix
apAdah	dah	suffix
apAhA	hA	suffix
apAhan	han	suffix
apAhf	hf	suffix
apAj	apAj	unresolved
apAkf	kf	suffix
apAkfz	kfz	suffix
apAkram	kram	suffix
apAmArjay	mArjay	suffix
apAn	apAn	unresolved
apAnI	nI	suffix
apAnud	nud	suffix
apAs	As	suffix
apAsTA	sTA	suffix
apAsf	sf	suffix
apAtI	apAtI	unresolved
apAvagam	gam	suffix
apAvartay	vartay	suffix
apAvezway	vezway	suffix
apAvf	vf	suffix
apAvfj	vfj	suffix
apAvft	vft	suffix
apI	pI	suffix
apUpIy	apUpIy	self
apaBAz	BAz	suffix
apaBU	BU	suffix
apaBaj	Baj	suffix
apaBf	Bf	suffix
apaBid	Bid	suffix
apaBraMS	BraMS	suffix
apaDA	DA	suffix
apaDAray	DAray	suffix
apaDAv	DAv	suffix
apaDU	DU	suffix
apaDam	Dam	suffix
apaDfz	Dfz	suffix
apaDvaMs	DvaMs	suffix
apaDvaMsay	apaDvaMsay	self
apaDyA	DyA	suffix
apaGAway	GAway	suffix
apaGrA	GrA	suffix
apaGrApay	GrApay	suffix
apaRyIBU	BU	suffix
apaRyIjan	jan	suffix
apaSAtay	apaSAtay	self
apaSiz	Siz	suffix
apaSri	Sri	suffix
apaSuz	Suz	suffix
apabAD	bAD	suffix
apabADay	bADay	suffix
apabrU	brU	suffix
apacAy	cAy	suffix
apacCAday	CAday	suffix
apacCid	Cid	suffix
apacar	car	suffix
apacetay	cetay	suffix
apaci	ci	suffix
apacikits	cikits	suffix
apacikramiz	apacikramiz	self
apacit	cit	suffix
apacyu	cyu	suffix
apadA	apadA	self
apadah	dah	suffix
apadas	das	suffix
apadf	df	suffix
apadiS	diS	suffix
apadrA	drA	suffix
apadru	dru	suffix
apaduz	duz	suffix
apagA	gA	suffix
apagam	gam	suffix
apagamay	gamay	suffix
apagrah	grah	suffix
apaguh	guh	suffix
apagur	gur	suffix
apahA	hA	suffix
apahAray	hAray	suffix
apahAsay	hAsay	suffix
apahan	han	suffix
apahas	has	suffix
apahastay	apahastay	self
apahf	hf	suffix
apahfz	hfz	suffix
apahi	hi	suffix
apahnu	hnu	suffix
apahu	hu	suffix
apajYA	jYA	suffix
apajaNGan	jaNGan	suffix
apajargur	jargur	suffix
apaji	ji	suffix
apajigIz	jigIz	suffix
apajval	apajval	self
apakIrtay	kIrtay	suffix
apakarzay	karzay	suffix
apakaz	kaz	suffix
apakf	kf	suffix
apakft	kft	suffix
apakfz	kfz	suffix
apakrI	krI	suffix
apakram	kram	suffix
apakramay	kramay	suffix
apakruS	kruS	suffix
apakzA	kzA	suffix
apakzi	kzi	suffix
apakzip	kzip	suffix
apalApay	lApay	suffix
apalI	lI	suffix
apalap	lap	suffix
apaliK	liK	suffix
apalup	lup	suffix
apamA	mA	suffix
apamAnay	mAnay	suffix
apamantray	mantray	suffix
apamfS	apamfS	self
apamfd	mfd	suffix
apamfj	mfj	suffix
apami	mi	suffix
apanASay	nASay	suffix
apanI	nI	suffix
apanaS	naS	suffix
apanah	nah	suffix
apanam	nam	suffix
apanft	nft	suffix
apaniDA	DA	suffix
apanihnu	hnu	suffix
apanilI	lI	suffix
apanoday	noday	suffix
apanu	nu	suffix
apanud	nud	suffix
apapaS	paS	suffix
apapad	pad	suffix
apaparAji	ji	suffix
apapare	apapare	unresolved
apaparyAvft	vft	suffix
apapf	pf	suffix
apaplAvay	apaplAvay	self
apaplu	plu	suffix
apapoTay	poTay	suffix
apapragA	gA	suffix
apaprasU	sU	suffix
apapravas	vas	suffix
apapre	apapre	unresolved
apapru	pru	suffix
apapruT	pruT	suffix
aparAD	rAD	suffix
aparADay	rADay	suffix
aparIBU	aparIBU	self
aparaYj	raYj	suffix
aparaYjay	raYjay	suffix
aparokzay	aparokzay	self
aparuD	ruD	suffix
aparuruts	ruruts	suffix
apasAday	sAday	suffix
apasAray	sAray	suffix
apasPur	sPur	suffix
apasTA	sTA	suffix
apasU	sU	suffix
apasaMhf	hf	suffix
apasaMnah	nah	suffix
apasaMvas	vas	suffix
apasac	sac	suffix
apasarpay	sarpay	suffix
apasavyaMkf	kf	suffix
apasf	sf	suffix
apasfp	sfp	suffix
apasiD	siD	suffix
apasmf	smf	suffix
apaspf	spf	suffix
apasrAvay	srAvay	suffix
apastamB	apastamB	self
apasy	apasy	self
apatakz	takz	suffix
apatarpay	tarpay	suffix
apatfp	tfp	suffix
apatrap	trap	suffix
apatras	tras	suffix
apavA	vA	suffix
apavAday	vAday	suffix
apavAhay	vAhay	suffix
apavAray	vAray	suffix
apavAtay	apavAtay	self
apavI	vI	suffix
apavaD	vaD	suffix
apavad	vad	suffix
apavah	vah	suffix
apavap	vap	suffix
apavarjay	varjay	suffix
apavartay	vartay	suffix
apavas	vas	suffix
apave	ve	suffix
apaveSay	veSay	suffix
apaven	ven	suffix
apavezway	vezway	suffix
apavf	vf	suffix
apavfj	vfj	suffix
apavft	vft	suffix
apavic	vic	suffix
apavid	vid	suffix
apavitray	apavitray	self
apavraj	vraj	suffix
apavyAdA	dA	suffix
apavyAhf	hf	suffix
apavyaD	vyaD	suffix
apavye	vye	suffix
apayA	yA	suffix
apayApay	yApay	suffix
apayaj	yaj	suffix
apayam	yam	suffix
apayu	yu	suffix
apayuj	yuj	suffix
ape	ape	unresolved
apej	ej	suffix
apekz	apekz	unresolved
apekzay	apekzay	unresolved
aperay	aperay	self
apez	apez	unresolved
apiBU	BU	suffix
apiDA	DA	suffix
apiDApay	DApay	suffix
apiDAv	DAv	suffix
apiDam	Dam	suffix
apiGas	Gas	suffix
apiSf	Sf	suffix
apibanD	banD	suffix
apidah	dah	suffix
apido	do	suffix
apigA	gA	suffix
apigam	gam	suffix
apigrah	grah	suffix
apihA	hA	suffix
apihan	han	suffix
apihnu	hnu	suffix
apihve	ve	suffix
apikf	kf	suffix
apikft	kft	suffix
apikzA	kzA	suffix
apikzApay	kzApay	suffix
apimfz	mfz	suffix
apinI	nI	suffix
apinah	nah	suffix
apiniDA	DA	suffix
apipA	pA	suffix
apipATay	apipATay	self
apipAday	pAday	suffix
apipAtay	pAtay	suffix
apipad	pad	suffix
apipfc	pfc	suffix
apiruh	ruh	suffix
apisf	sf	suffix
apisfj	sfj	suffix
apisic	sic	suffix
apivAtay	vAtay	suffix
apivah	vah	suffix
apivap	vap	suffix
apivartay	vartay	suffix
apivat	vat	suffix
apive	apive	self
apivf	vf	suffix
apivfj	vfj	suffix
apivraSc	vraSc	suffix
apivye	vye	suffix
apiyA	yA	suffix
apiyAcay	yAcay	suffix
apizWA	apizWA	unresolved
apocCad	Cad	suffix
apodDf	Df	suffix
apodUh	Uh	suffix
apodi	apodi	unresolved
apoh	apoh	unresolved
apohay	apohay	self
apojjigAMs	jigAMs	suffix
apomB	apomB	unresolved
apotkfz	kfz	suffix
apotkram	apotkram	self
apotsfj	sfj	suffix
apsarAy	apsarAy	self
apunarBU	BU	suffix
apuvAy	apuvAy	self
apyAday	Aday	suffix
apyAhf	hf	suffix
apyUh	yUh	suffix
apyad	ad	suffix
apyarjay	arjay	suffix
apyas	yas	suffix
apyatyfj	fj	suffix
apye	apye	self
apyfj	fj	suffix
aq	aq	self
aqq	aqq	self
arAtIy	arAtIy	self
arAtiy	arAtiy	self
arDay	arDay	self
arT	arT	self
arTApay	arTApay	self
arTay	arTay	self
arTisAtkf	kf	suffix
arUkf	kf	suffix
araMgam	gam	suffix
araMkf	kf	suffix
arahAy	arahAy	self
arajAy	arajAy	self
arary	arary	self
arc	arc	self
arcay	arcay	self
ardIy	ardIy	self
arday	arday	self
argalay	argalay	self
arh	arh	self
arhay	arhay	self
arjay	arjay	self
arkay	arkay	self
arpay	arpay	self
aruRAy	aruRAy	self
aruRay	aruRay	self
as	as	self
asTirIBU	BU	suffix
asUy	asUy	self
asatkf	kf	suffix
astaMgamay	gamay	suffix
astrAy	astrAy	self
asulaBIBU	BU	suffix
at	at	self
atI	atI	unresolved
atIz	Iz	suffix
atiBA	BA	suffix
atiBAvay	BAvay	suffix
atiBU	BU	suffix
atiBUz	BUz	suffix
atiBUzay	BUzay	suffix
atiBf	Bf	suffix
atiDA	DA	suffix
atiDAv	DAv	suffix
atiDvaMs	DvaMs	suffix
atiDyE	atiDyE	unresolved
atiGrA	GrA	suffix
atiKan	Kan	suffix
atiKyA	KyA	suffix
atiSA	SA	suffix
atiSI	SI	suffix
atiSIlay	SIlay	suffix
atiSaMs	SaMs	suffix
atiSaNk	SaNk	suffix
atiSiSayiz	SiSayiz	suffix
atiSiz	Siz	suffix
atiSliz	Sliz	suffix
atiSoBay	SoBay	suffix
atiSuB	SuB	suffix
atibAD	bAD	suffix
atibrU	brU	suffix
aticar	car	suffix
aticezw	cezw	suffix
aticft	cft	suffix
aticiray	ciray	suffix
aticitrIy	citrIy	suffix
atidA	dA	suffix
atidAS	dAS	suffix
atidaG	daG	suffix
atidah	dah	suffix
atidarpay	darpay	suffix
atidfp	dfp	suffix
atidiS	diS	suffix
atidiv	atidiv	unresolved
atidru	dru	suffix
atigA	gA	suffix
atigAh	gAh	suffix
atigam	gam	suffix
atigarj	garj	suffix
atigrah	grah	suffix
atigur	gur	suffix
atihA	hA	suffix
atihan	han	suffix
atihastay	atihastay	self
atihf	hf	suffix
atihfz	hfz	suffix
atihvA	hvA	suffix
atijIv	jIv	suffix
atiji	atiji	self
atijiGAMs	jiGAMs	suffix
atikAlay	kAlay	suffix
atikUrd	kUrd	suffix
atikf	atikf	self
atikfz	kfz	suffix
atikopay	kopay	suffix
atikrAmay	krAmay	suffix
atikram	kram	suffix
atikramay	kramay	suffix
atikruS	kruS	suffix
atikup	kup	suffix
atikzAray	atikzAray	self
atikzar	kzar	suffix
atikzip	kzip	suffix
atilAlay	lAlay	suffix
atilaNG	laNG	suffix
atilaNGay	laNGay	suffix
atilolay	lolay	suffix
atimad	mad	suffix
atiman	man	suffix
atimeday	meday	suffix
atimuc	muc	suffix
atinAmay	nAmay	suffix
atinI	nI	suffix
atinam	nam	suffix
atined	ned	suffix
atinenIy	nenIy	suffix
atiniHSvas	Svas	suffix
atinizwan	an	suffix
atinu	nu	suffix
atinud	nud	suffix
atipAday	pAday	suffix
atipAray	pAray	suffix
atipAtay	pAtay	suffix
atipAvay	atipAvay	self
atipAyay	pAyay	suffix
atipIqay	pIqay	suffix
atipU	pU	suffix
atipaS	paS	suffix
atipad	pad	suffix
atipari	ri	suffix
atipat	pat	suffix
atipavay	pavay	suffix
atipf	pf	suffix
atiplu	plu	suffix
atipraC	atipraC	unresolved
atipraRI	atipraRI	unresolved
atipraRaS	aS	suffix
atipraRud	atipraRud	unresolved
atipraSaMs	SaMs	suffix
atipraSarDay	SarDay	suffix
atipraSru	Sru	suffix
atipracit	cit	suffix
atipracyu	cyu	suffix
atipradA	dA	suffix
atiprahA	hA	suffix
atiprajval	jval	suffix
atiprapAday	pAday	suffix
atiprapad	pad	suffix
atiprasTA	sTA	suffix
atiprasad	sad	suffix
atiprasf	sf	suffix
atiprasru	sru	suffix
atipratam	tam	suffix
atipravA	vA	suffix
atipravah	vah	suffix
atiprave	ve	suffix
atipravf	atipravf	self
atipravfD	vfD	suffix
atipravft	vft	suffix
atiprayam	yam	suffix
atiprayuj	yuj	suffix
atipreray	atipreray	unresolved
atiprez	atiprez	unresolved
atipru	pru	suffix
atip￞	atip￞	unresolved
atirAj	rAj	suffix
atirAjay	atirAjay	self
atirecay	recay	suffix
atiric	ric	suffix
atirocay	rocay	suffix
atiropay	ropay	suffix
atiruc	ruc	suffix
atiruh	ruh	suffix
atisA	sA	suffix
atisAray	sAray	suffix
atisaMDA	DA	suffix
atisaMruD	ruD	suffix
atisaMvfD	vfD	suffix
atisad	atisad	self
atisarpay	sarpay	suffix
atisev	sev	suffix
atisf	sf	suffix
atisfj	sfj	suffix
atisfp	sfp	suffix
atisisfps	atisisfps	self
atisnehay	snehay	suffix
atisnih	snih	suffix
atisraMs	sraMs	suffix
atisru	sru	suffix
atisvar	svar	suffix
atitApay	tApay	suffix
atitap	tap	suffix
atitarpay	titarpay	suffix
atitarzay	tarzay	suffix
atitfd	titfd	suffix
atitfp	tfp	suffix
atitfz	tfz	suffix
atitizWiGiz	tizWiGiz	suffix
atitvar	tvar	suffix
atitvaray	atitvaray	self
atitviz	tviz	suffix
atit￞	atit￞	unresolved
ativA	vA	suffix
ativAcay	ativAcay	self
ativAhay	vAhay	suffix
ativAlay	ativAlay	self
ativAsay	vAsay	suffix
ativac	vac	suffix
ativad	vad	suffix
ativah	vah	suffix
ativalgay	valgay	suffix
ativam	vam	suffix
ativartay	vartay	suffix
ativfD	vfD	suffix
ativfh	vfh	suffix
ativft	vft	suffix
ativfz	vfz	suffix
ativiDA	DA	suffix
ativiSramB	SramB	suffix
ativiSramBay	SramBay	suffix
ativiSvas	Svas	suffix
ativilaNGay	laNGay	suffix
ativiloqay	loqay	suffix
ativip	vip	suffix
ativirAj	rAj	suffix
ativirecay	recay	suffix
ativitsay	ativitsay	self
ativivartay	vartay	suffix
ativivft	vft	suffix
ativraj	vraj	suffix
ativyaD	vyaD	suffix
atiyA	yA	suffix
atiyaj	yaj	suffix
atiyantray	yantray	suffix
atiyojay	yojay	suffix
atizWA	atizWA	unresolved
atizaYj	aYj	suffix
atizkand	and	suffix
atizwu	atizwu	unresolved
atyADA	DA	suffix
atyADAv	atyADAv	self
atyADam	Dam	suffix
atyAKyA	KyA	suffix
atyASay	ASay	suffix
atyASrAvay	SrAvay	suffix
atyAdf	df	suffix
atyAhf	hf	suffix
atyAhvA	hvA	suffix
atyAkf	atyAkf	self
atyAkram	kram	suffix
atyAnI	atyAnI	self
atyAsAday	sAday	suffix
atyAsad	sad	suffix
atyAsf	sf	suffix
atyAvap	atyAvap	self
atyAyA	yA	suffix
atyAyam	yam	suffix
atyAyat	yat	suffix
atyUh	yUh	suffix
atyaBisf	sf	suffix
atyaS	aS	suffix
atyah	ah	suffix
atyanusAray	sAray	suffix
atyanusf	sf	suffix
atyanuvac	vac	suffix
atyarh	arh	suffix
atyarjay	arjay	suffix
atyas	yas	suffix
atyatikram	kram	suffix
atyatiric	ric	suffix
atyavasfj	sfj	suffix
atye	atye	self
atyfj	fj	suffix
atyudDA	DA	suffix
atyudgam	gam	suffix
atyudgrah	grah	suffix
atyudric	ric	suffix
atyudvft	vft	suffix
atyujJA	atyujJA	unresolved
atyukz	ukz	suffix
atyunnamay	namay	suffix
atyupaDA	atyupaDA	self
atyupayaj	yaj	suffix
atyupayuj	yuj	suffix
atyutkram	kram	suffix
av	av	self
avACid	Cid	suffix
avAci	ci	suffix
avAd	avAd	unresolved
avAgam	gam	suffix
avAj	avAj	unresolved
avAkf	kf	suffix
avAkzip	kzip	suffix
avAn	avAn	unresolved
avAp	Ap	suffix
avApoh	avApoh	unresolved
avAropay	ropay	suffix
avAs	vAs	suffix
avAsic	sic	suffix
avAvad	avAvad	self
avaBA	BA	suffix
avaBAs	BAs	suffix
avaBAsay	BAsay	suffix
avaBAvay	BAvay	suffix
avaBAz	BAz	suffix
avaBU	BU	suffix
avaBaYj	BaYj	suffix
avaBartsay	Bartsay	suffix
avaBf	Bf	suffix
avaBid	Bid	suffix
avaBuj	Buj	suffix
avaDA	DA	suffix
avaDApay	DApay	suffix
avaDAray	DAray	suffix
avaDAv	DAv	suffix
avaDI	DI	suffix
avaDIray	avaDIray	self
avaDU	DU	suffix
avaDUnay	DUnay	suffix
avaDUpay	DUpay	suffix
avaDam	Dam	suffix
avaDamay	Damay	suffix
avaDf	Df	suffix
avaDfz	Dfz	suffix
avaDvaMs	DvaMs	suffix
avaDyA	DyA	suffix
avaGAtay	GAtay	suffix
avaGUrR	GUrR	suffix
avaGarzay	Garzay	suffix
avaGaw	Gaw	suffix
avaGawway	Gawway	suffix
avaGfz	Gfz	suffix
avaGozay	Gozay	suffix
avaGrA	GrA	suffix
avaGrApay	GrApay	suffix
avaGuz	Guz	suffix
avaKaRqay	KaRqay	suffix
avaKan	Kan	suffix
avaKyA	KyA	suffix
avaKyApay	KyApay	suffix
avaSAs	SAs	suffix
avaSAtay	SAtay	suffix
avaSI	SI	suffix
avaSam	Sam	suffix
avaSap	Sap	suffix
avaSarDay	SarDay	suffix
avaScut	Scut	suffix
avaSezay	aSezay	suffix
avaSf	Sf	suffix
avaSiz	Siz	suffix
avaSozay	Sozay	suffix
avaSuz	Suz	suffix
avaSvit	Svit	suffix
avabAD	bAD	suffix
avabanD	banD	suffix
avaboDay	boDay	suffix
avabuD	buD	suffix
avacAkaS	cAkaS	suffix
avacAlay	cAlay	suffix
avacAray	cAray	suffix
avacCA	CA	suffix
avacCAday	CAday	suffix
avacCad	Cad	suffix
avacCeday	Ceday	suffix
avacCid	Cid	suffix
avacUrRay	cUrRay	suffix
avacakz	cakz	suffix
avacar	car	suffix
avacarv	carv	suffix
avacezw	cezw	suffix
avacft	cft	suffix
avaci	ci	suffix
avacintay	cintay	suffix
avadA	dA	suffix
avadAray	dAray	suffix
avadIp	dIp	suffix
avadIpay	dIpay	suffix
avadah	dah	suffix
avadal	dal	suffix
avadeSay	deSay	suffix
avadf	df	suffix
avadfS	dfS	suffix
avadiS	diS	suffix
avadih	dih	suffix
avado	do	suffix
avadohay	dohay	suffix
avadrA	avadrA	self
avadru	dru	suffix
avaduh	duh	suffix
avadyotay	dyotay	suffix
avadyut	dyut	suffix
avagA	gA	suffix
avagAQIBU	BU	suffix
avagAh	gAh	suffix
avagAhay	gAhay	suffix
avagUhay	gUhay	suffix
avagaRay	gaRay	suffix
avagal	gal	suffix
avagalB	galB	suffix
avagam	gam	suffix
avagamay	gamay	suffix
avaganDay	ganDay	suffix
avagarj	garj	suffix
avagf	gf	suffix
avaglA	glA	suffix
avagrAhay	grAhay	suffix
avagrah	grah	suffix
avagras	gras	suffix
avaguRWay	guRWay	suffix
avaguh	guh	suffix
avagur	gur	suffix
avahA	hA	suffix
avahAray	hAray	suffix
avahan	han	suffix
avahas	has	suffix
avahf	hf	suffix
avahrAsay	hrAsay	suffix
avahu	hu	suffix
avahvAray	hvAray	suffix
avahve	ve	suffix
avajAray	jAray	suffix
avajYA	jYA	suffix
avajan	jan	suffix
avajfmB	jfmB	suffix
avaji	ji	suffix
avajvAlay	jvAlay	suffix
avajyotay	jyotay	suffix
avakANkz	kANkz	suffix
avakAS	kAS	suffix
avakASay	kASay	suffix
avakSA	kSA	suffix
avakUj	kUj	suffix
avakUlay	kUlay	suffix
avakalpay	kalpay	suffix
avakampay	avakampay	self
avakarRay	avakarRay	self
avakarSay	karSay	suffix
avakartay	kartay	suffix
avakarzay	karzay	suffix
avakf	kf	suffix
avakfS	kfS	suffix
avakft	kft	suffix
avakfz	kfz	suffix
avaklid	klid	suffix
avakrAmay	krAmay	suffix
avakrI	krI	suffix
avakrIq	krIq	suffix
avakram	kram	suffix
avakramay	kramay	suffix
avakrand	krand	suffix
avakuRWay	kuRWay	suffix
avakutsay	kutsay	suffix
avakuw	kuw	suffix
avakuwway	kuwway	suffix
avakuz	kuz	suffix
avakzA	kzA	suffix
avakzAray	kzAray	suffix
avakzi	kzi	suffix
avakzip	kzip	suffix
avakzu	kzu	suffix
avakzud	kzud	suffix
avakﾱp	kﾱp	suffix
avalI	lI	suffix
avalaNG	laNG	suffix
avalag	lag	suffix
avalamb	lamb	suffix
avalambIBU	BU	suffix
avalambay	lambay	suffix
avalehay	lehay	suffix
avalelih	lelih	suffix
avalepay	lepay	suffix
avaliK	liK	suffix
avalih	lih	suffix
avalip	lip	suffix
avalok	lok	suffix
avalokay	lokay	suffix
avalopay	lopay	suffix
avaloqay	loqay	suffix
avaluYc	luYc	suffix
avalup	lup	suffix
avamA	mA	suffix
avamAnay	mAnay	suffix
avamImAMs	avamImAMs	self
avamUrC	mUrC	suffix
avamUtr	avamUtr	unresolved
avamaT	maT	suffix
avamajj	majj	suffix
avaman	man	suffix
avamarSay	marSay	suffix
avamarday	marday	suffix
avamarzay	marzay	suffix
avamfS	mfS	suffix
avamfd	mfd	suffix
avamfj	mfj	suffix
avamih	mih	suffix
avamuc	muc	suffix
avamuh	avamuh	self
avamuz	muz	suffix
avanAday	nAday	suffix
avanAmay	nAmay	suffix
avanI	nI	suffix
avanaS	naS	suffix
avanah	nah	suffix
avanakz	nakz	suffix
avanam	nam	suffix
avanamay	namay	suffix
avanard	nard	suffix
avanejay	nejay	suffix
avanenij	nenij	suffix
avaniDA	DA	suffix
avanij	nij	suffix
avaninI	nI	suffix
avanizWIv	zWIv	suffix
avanu	nu	suffix
avanud	nud	suffix
avapAday	pAday	suffix
avapAtay	pAtay	suffix
avapAway	pAway	suffix
avapIqay	pIqay	suffix
avapU	pU	suffix
avapUray	pUray	suffix
avapaS	paS	suffix
avapad	pad	suffix
avapat	pat	suffix
avapfc	pfc	suffix
avapiz	piz	suffix
avaplAvay	avaplAvay	self
avaplu	plu	suffix
avapoTay	poTay	suffix
avapracCid	Cid	suffix
avapradIpay	dIpay	suffix
avarAD	rAD	suffix
avaram	ram	suffix
avariP	riP	suffix
avarj	avarj	self
avaroDay	roDay	suffix
avarohay	avarohay	self
avaropay	ropay	suffix
avaruD	ruD	suffix
avaruc	ruc	suffix
avarud	rud	suffix
avaruh	ruh	suffix
avaruj	ruj	suffix
avaruruts	ruruts	suffix
avary	avary	self
avasA	sA	suffix
avasAday	sAday	suffix
avasAray	sAray	suffix
avasAyay	sAyay	suffix
avasPUrj	sPUrj	suffix
avasPur	sPur	suffix
avasTA	sTA	suffix
avasTApay	sTApay	suffix
avasaYj	saYj	suffix
avasaYjay	saYjay	suffix
avasad	sad	suffix
avasajjay	sajjay	suffix
avasecay	secay	suffix
avasev	sev	suffix
avasf	avasf	self
avasfj	sfj	suffix
avasfp	sfp	suffix
avasiD	siD	suffix
avasic	sic	suffix
avaskand	skand	suffix
avasmi	smi	suffix
avasnA	snA	suffix
avasnApay	snApay	suffix
avaspf	spf	suffix
avasrAvay	srAvay	suffix
avasraMs	sraMs	suffix
avasru	sru	suffix
avastf	stf	suffix
avasu	su	suffix
avasvan	svan	suffix
avasvap	svap	suffix
avasyand	syand	suffix
avatApay	tApay	suffix
avatAqay	tAqay	suffix
avatAray	tAray	suffix
avataMs	taMs	suffix
avataMsIkf	kf	suffix
avatakz	takz	suffix
avatan	tan	suffix
avatap	tap	suffix
avataray	taray	suffix
avatarpay	avatarpay	self
avatf	tf	suffix
avatfd	tfd	suffix
avatitIrz	titIrz	suffix
avatsar	tsar	suffix
avatulay	tulay	suffix
avavA	vA	suffix
avavad	vad	suffix
avavarjay	varjay	suffix
avavfD	avavfD	self
avavfj	vfj	suffix
avavfz	vfz	suffix
avavip	avavip	self
avavisraMs	sraMs	suffix
avavisraMsay	sraMsay	suffix
avavraSc	vraSc	suffix
avavyaD	vyaD	suffix
avavye	vye	suffix
avayA	yA	suffix
avayAtay	avayAtay	self
avayaj	yaj	suffix
avayu	yu	suffix
avazwamB	avazwamB	unresolved
ave	ve	suffix
avekz	avekz	unresolved
avekzay	avekzay	unresolved
avelay	avelay	unresolved
avez	avez	unresolved
aviSezay	aviSezay	self
avizy	avizy	self
avoh	avoh	unresolved
avokz	avokz	unresolved
avyaktIBU	BU	suffix
avyaktay	avyaktay	self
avyayIBU	BU	suffix
aw	aw	self
awAy	awAy	self
aww	aww	self
awwAy	awwAy	self
awway	awway	self
bAD	bAD	self
bADay	bADay	self
bARAy	bARAy	self
bAlAy	bAlAy	self
bAzpAy	bAzpAy	self
bIBats	bIBats	self
bIjIkf	kf	suffix
bUm	bUm	self
baDirIkf	kf	suffix
baDiray	baDiray	self
baMh	baMh	self
baMhay	baMhay	self
badDay	badDay	self
badbaD	badbaD	self
bahizkf	kf	suffix
bahulIBU	BU	suffix
bahulIkf	kf	suffix
balIkf	kf	suffix
balIy	balIy	self
baladIBU	baladIBU	self
balay	balay	self
balbal	balbal	self
banD	banD	self
banDay	banDay	self
bandIkf	bandIkf	self
barbfh	barbfh	self
barhay	barhay	self
beBid	beBid	self
bfMh	bfMh	self
bfMhay	bfMhay	self
biBaRiz	biBaRiz	self
biBakzay	biBakzay	self
biBits	biBits	self
bibADiz	bibADiz	self
boBav	boBav	self
boDay	boDay	self
bobuD	bobuD	self
brAhmIkf	kf	suffix
brAhmaRIBU	BU	suffix
brU	brU	self
brahmaRy	brahmaRy	self
brahmasAtkf	kf	suffix
bruq	bruq	self
buBUrz	buBUrz	self
buBUz	buBUz	self
buBukz	buBukz	self
buButs	buButs	self
buD	buD	self
cAcal	cAcal	self
cAkaS	cAkaS	self
cAlay	cAlay	self
cAmay	cAmay	self
cAray	cAray	self
cAtay	cAtay	self
cAway	cAway	self
cAy	cAy	self
cOrIBU	BU	suffix
cUrRIBU	BU	suffix
cUrRIkf	kf	suffix
cUrRIy	cUrRIy	self
cUrRay	cUrRay	self
cUz	cUz	self
cUzay	cUzay	self
caNkram	caNkram	self
caNkzam	caNkzam	self
caYc	caYc	self
caYcUry	caYcUry	self
cagG	cagG	self
cagGay	cagGay	self
cak	cak	self
cakAs	cakAs	self
cakAsay	cakAsay	self
cakrIkf	kf	suffix
cakz	cakz	self
cakzay	cakzay	self
cal	cal	self
calay	calay	self
cam	cam	self
