form_slp1	lemma_slp1	pos	n_entries
AviDyat	AvyaD	noun	3
AvidAm	Avid	noun	7
AvidAna	Avid	noun	2
AvirfjIka	AvirfjIka	noun	2
Avit	Avid	noun	14
AvivAs	AvivAsa	noun	21
AvivAsa	AvivAsa	noun	30
AvivAsanta	AvivAsi	verb	3
AvivAsata	AvivAsa	verb	7
AvivAse	AvivAsa	noun	180
AvizwatvAt	Avizwatva	noun	2
Avizwita	Avizwita	noun	2
Avizwya	Avizwya	noun	2
Avrajeyam	Avraj	verb	1
Avyaktika	Avyaktika	noun	2
Awaka	Awi	noun	4
AyA	AyA	noun	22
AyAcamAnA	AyAc	noun	4
AyAcantIm	AyAc	noun	2
AyAgaBUtam	AyAgaBUta	noun	3
AyAna	AyA	noun	4
AyAsaka	AyAsi	noun	4
AyAtayanta	AyAti	verb	1
AyAtyAm	AyA	noun	4
Ayadvasu	Ayadvasu	noun	3
AyajantAm	Ayaj	verb	1
Ayajim	Ayaji	noun	2
AyajizWa	AyajizWa	noun	2
Ayajyu	Ayajyu	noun	3
Ayana	Ayi	noun	4
AyantI	AyAmi	noun	12
Ayaste	Ayas	noun	13
