form_slp1	primary_lemma	primary_upos	primary_n	alt_lemma	alt_upos	alt_n
aSlIla	aSlIla	ADJ	8	aSlIla	NOUN	4
aSnaH	aSna	ADJ	3	aSan	NOUN	1
aSokAH	aSoka	NOUN	7	aSoka	ADJ	5
aSokAn	aSoka	NOUN	5	aSoka	ADJ	2
aSokaH	aSoka	NOUN	24	aSoka	ADJ	4
aSraddaDat	aSraddaDat	ADJ	1	SradDA	VERB	1
aSreyas	aSreyas	ADJ	2	aSreyas	NOUN	1
aSuBAni	aSuBa	ADJ	35	aSuBa	NOUN	1
aSuBa	aSuBa	ADJ	114	aSuBa	NOUN	14
aSuBaH	aSuBa	ADJ	6	aSuBa	NOUN	1
aSuBaM	aSuBa	ADJ	45	aSuBa	NOUN	5
aSuBam	aSuBa	ADJ	167	aSuBa	NOUN	14
aSuBasya	aSuBa	ADJ	9	aSuBa	NOUN	4
aSvI	aSvin	ADJ	6	aSvin	NOUN	3
aSvyA	aSvya	ADJ	5	aSvya	NOUN	1
aSvyaH	aSvya	ADJ	2	aSvya	NOUN	1
aSvyam	aSvya	NOUN	15	aSvya	ADJ	5
aSvyasya	aSvya	NOUN	2	aSvya	ADJ	1
aTa	aTa	ADV	21139	aTa	NOUN	1
aTarvaRa	aTarvan	NOUN	4	aTarvaRa	NOUN	2
aYjas	aYjas	NOUN	9	aYjas	ADV	4
aYjayaH	aYji	NOUN	3	aYji	ADJ	2
aYji	aYji	NOUN	4	aYji	ADJ	1
aYjiBiH	aYji	NOUN	7	aYji	ADJ	3
abIja	abIja	ADJ	3	abIja	NOUN	1
abalA	abalA	NOUN	33	abala	ADJ	11
abalAH	abala	ADJ	18	abalA	NOUN	8
abalAnAm	abala	ADJ	1	abalA	NOUN	1
abala	abala	ADJ	14	abala	NOUN	8
abalam	abala	NOUN	20	abala	ADJ	8
abale	abala	NOUN	7	abala	ADJ	6
abalena	abala	ADJ	2	abala	NOUN	1
abjA	abja	NOUN	2	abja	ADJ	1
abja	abja	NOUN	102	abja	ADJ	1
abruvan	brU	VERB	562	abruvat	ADJ	8
abudDi	abudDi	ADJ	18	abudDi	NOUN	9
acCA	acCA	ADP	173	acCa	ADJ	4
acCAn	Cand	VERB	2	acCa	ADJ	1
acCa	acCa	ADJ	92	acCA	ADP	71
acalA	acala	ADJ	22	acala	NOUN	7
acalAH	acala	NOUN	42	acala	ADJ	1
acalAm	acala	ADJ	7	acala	NOUN	1
acalAn	acala	NOUN	9	acala	ADJ	6
acala	acala	NOUN	150	acala	ADJ	22
acalaH	acala	NOUN	93	acala	ADJ	38
acalaM	acala	ADJ	19	acala	NOUN	7
acalam	acala	NOUN	59	acala	ADJ	42
acale	acala	NOUN	28	acala	ADJ	5
acara	acara	ADJ	2	car	VERB	1
acaram	acara	ADJ	7	car	VERB	1
acetanA	acetana	ADJ	9	acetanA	NOUN	2
acintayan	acintayat	ADJ	13	cintay	VERB	7
acintyAya	acintya	ADJ	2	acintya	NOUN	1
acintya	acintya	ADJ	82	acintya	NOUN	1
acintyam	acintya	ADJ	34	acintya	NOUN	1
acirAd	acirAt	ADV	22	acira	ADJ	8
acirAt	acirAt	ADV	84	acira	ADJ	27
acireRa	acireRa	ADV	59	acira	ADJ	52
acit	acit	NOUN	19	acit	ADJ	1
acyutAH	acyuta	ADJ	5	acyuta	NOUN	2
acyuta	acyuta	NOUN	99	acyuta	ADJ	42
acyutaH	acyuta	NOUN	70	acyuta	ADJ	36
acyutaM	acyuta	ADJ	9	acyuta	NOUN	6
acyutam	acyuta	ADJ	62	acyuta	NOUN	61
acyutasya	acyuta	NOUN	9	acyuta	ADJ	1
adABya	adABya	ADJ	6	adABya	NOUN	2
adAByaH	adABya	ADJ	16	adABya	NOUN	3
adAByam	adABya	ADJ	21	adABya	NOUN	1
adAByasya	adABya	ADJ	1	adABya	NOUN	1
adAma	ad	VERB	2	dA	VERB	2
adBiH	ap	NOUN	381	ad	ADJ	9
adButAni	adButa	ADJ	21	adButa	NOUN	17
adButa	adButa	ADJ	251	adButa	NOUN	45
adButaM	adButa	ADJ	44	adButa	NOUN	14
adButam	adButa	ADJ	305	adButa	NOUN	168
adByaH	ap	NOUN	84	ad	ADJ	1
adUrAt	adUra	ADJ	9	adUra	NOUN	2
adUrataH	adUra	ADJ	9	adUra	NOUN	4
adUre	adUra	NOUN	9	adUra	ADJ	3
adaH	adas	PRON	155	ad	ADJ	52
adadad	adadat	ADJ	3	dA	VERB	3
adadat	dA	VERB	16	adadat	ADJ	1
adarSana	adarSana	NOUN	19	adarSana	ADJ	2
adarSanam	adarSana	NOUN	88	adarSana	ADJ	1
adarSayan	adarSayat	ADJ	6	darSay	VERB	6
adevIH	adeva	ADJ	6	dIv	VERB	1
adeva	adeva	NOUN	3	adeva	ADJ	1
adevaH	adeva	ADJ	1	adeva	NOUN	1
adevasya	adeva	ADJ	1	adeva	NOUN	1
adevo	adeva	NOUN	2	adeva	ADJ	1
adfSyatAm	adfSyatA	NOUN	1	dfS	VERB	1
adfzwa	adfzwa	ADJ	141	adfzwa	NOUN	28
adfzwam	adfzwa	ADJ	20	adfzwa	NOUN	9
adfzwasya	adfzwa	ADJ	4	adfzwa	NOUN	1
adfzwe	adfzwa	ADJ	5	adfzwa	NOUN	3
aditi	aditi	NOUN	14	aditi	ADJ	2
adizwa	diS	VERB	2	adizwa	ADJ	1
ado	adas	PRON	70	ad	NOUN	2
adoza	adoza	NOUN	6	adoza	ADJ	5
adruhaH	adruh	ADJ	13	druh	VERB	1
adyA	adya	ADV	88	ad	VERB	1
adyAt	ad	VERB	84	adya	NOUN	2
adya	adya	ADV	3188	ad	VERB	1
adyam	ad	VERB	5	adya	NOUN	3
agADe	agADa	ADJ	35	agADa	NOUN	1
agada	agada	NOUN	20	agada	ADJ	1
agadaM	agada	NOUN	16	agada	ADJ	5
agadam	agada	NOUN	11	agada	ADJ	4
agadasya	agada	ADJ	2	agada	NOUN	1
agado	agada	ADJ	21	agada	NOUN	6
agama	agama	NOUN	4	agama	ADJ	1
agamaH	gam	VERB	3	agama	NOUN	1
agamam	gam	VERB	22	agama	ADJ	3
agamyA	agamyA	NOUN	28	agamya	ADJ	6
agata	gam	VERB	8	agata	ADJ	1
agati	agati	ADJ	1	agati	NOUN	1
agnijam	agnija	ADJ	1	agnija	NOUN	1
agrA	agra	NOUN	25	agra	ADJ	4
agra	agra	NOUN	661	agra	ADJ	8
agraM	agra	NOUN	56	agra	ADJ	1
agram	agra	NOUN	496	agra	ADJ	4
agrataH	agratas	ADV	121	agra	NOUN	7
agrato	agratas	ADV	62	agra	NOUN	1
agre	agra	NOUN	1091	agre	ADV	174
agreRa	agreRa	ADV	200	agra	NOUN	150
agriyaH	agriya	ADJ	10	agriya	NOUN	1
agriyam	agriya	ADJ	2	agriya	NOUN	2
agruvaH	agru	ADJ	8	agrU	NOUN	3
agryA	agrya	ADJ	19	agryA	NOUN	1
agryAm	agrya	ADJ	23	agryA	NOUN	1
aguru	aguru	NOUN	135	aguru	ADJ	6
ahApayan	ahApayat	ADJ	3	hApay	VERB	2
ahArya	ahArya	ADJ	5	ahArya	NOUN	1
aha	aha	PART	166	aha	NOUN	99
ahaM	mad	PRON	2910	aha	NOUN	3
aham	mad	PRON	7244	aha	NOUN	803
ahan	han	VERB	81	ahar	NOUN	29
aharaH	hf	VERB	2	ahara	NOUN	1
ahata	ahata	ADJ	42	ahata	NOUN	1
ahataM	ahata	ADJ	32	han	VERB	2
ahatam	ahata	ADJ	23	han	VERB	1
ahita	ahita	ADJ	83	ahita	NOUN	2
ahitaM	ahita	ADJ	22	ahita	NOUN	2
ahitam	ahita	ADJ	60	ahita	NOUN	4
ahite	ahita	ADJ	8	ahita	NOUN	5
aho	aho	INTJ	633	ahar	NOUN	13
ahrayaH	ahri	ADJ	3	ahraya	ADJ	2
ahyaM	ahI	ADJ	2	hi	VERB	1
ajAH	aja	NOUN	10	ajA	NOUN	5
ajAmi	ajAmi	ADJ	22	ajAmi	NOUN	4
ajIrRa	ajIrRa	NOUN	92	ajIrRa	ADJ	42
ajIrRam	ajIrRa	NOUN	22	ajIrRa	ADJ	11
ajIrRe	ajIrRa	NOUN	40	ajIrRa	ADJ	15
ajYAnAn	ajYAna	NOUN	5	ajYAna	ADJ	1
ajYAnAt	ajYAna	NOUN	97	ajYAna	ADJ	1
aja	aja	NOUN	253	aja	ADJ	10
ajaH	aja	NOUN	131	aja	ADJ	15
ajaM	aja	NOUN	43	aja	ADJ	10
ajam	aja	NOUN	86	aja	ADJ	17
ajaqa	ajaqa	ADJ	2	ajaqa	NOUN	1
ajarA	ajara	ADJ	13	ajarA	NOUN	6
ajara	ajara	ADJ	78	ajara	NOUN	1
ajaraH	ajara	ADJ	26	ajara	NOUN	3
ajasram	ajasram	ADV	60	ajasra	ADJ	21
ajasya	aja	NOUN	36	aja	ADJ	3
ajaya	ajaya	NOUN	3	ji	VERB	1
ajayaH	ji	VERB	4	ajaya	NOUN	2
ajayam	ajaya	NOUN	1	ji	VERB	1
ajeya	ajeya	ADJ	4	ajeya	NOUN	1
ajeyam	ajeya	ADJ	5	ajeya	NOUN	1
ajirA	ajira	ADJ	6	ajira	NOUN	1
ajira	ajira	NOUN	12	ajira	ADJ	6
ajiram	ajira	NOUN	24	ajira	ADJ	5
ajitA	ajita	ADJ	2	ajitA	NOUN	2
ajita	ajita	ADJ	80	ajita	NOUN	29
ajitaM	ajita	ADJ	17	ajita	NOUN	1
ajitam	ajita	ADJ	10	ajita	NOUN	1
ajo	aja	NOUN	50	aja	ADJ	5
akAla	akAla	NOUN	109	akAla	ADJ	1
akAlikam	akAlikam	ADV	2	akAlika	ADJ	1
akAraRam	akAraRa	ADJ	28	akAraRa	NOUN	18
akAryARi	akArya	NOUN	12	akArya	ADJ	1
akArya	akArya	NOUN	44	akArya	ADJ	3
akAryaM	akArya	NOUN	18	akArya	ADJ	6
akAryam	akArya	NOUN	41	akArya	ADJ	8
akUpAra	akUpAra	NOUN	2	akUpAra	ADJ	1
akalmazaH	akalmaza	ADJ	8	akalmaza	NOUN	1
akaluza	akaluza	ADJ	11	akaluza	NOUN	1
akaram	kf	VERB	31	akara	ADJ	1
akarma	kf	VERB	28	akarman	NOUN	24
akarmaRaH	akarman	NOUN	9	akarman	ADJ	3
akarot	kf	VERB	502	idam	PRON	1
akasmAt	akasmAt	ADV	160	akasmAt	NOUN	1
akfta	akfta	ADJ	107	kf	VERB	29
akftam	akfta	ADJ	28	kf	VERB	1
akiYcana	akiYcana	ADJ	2	akiYcana	NOUN	2
aklizwa	aklizwa	ADJ	115	kliS	VERB	1
akrUra	akrUra	NOUN	28	akrUra	ADJ	1
akrUraH	akrUra	NOUN	37	akrUra	ADJ	1
akroDaH	akroDa	NOUN	14	akroDa	ADJ	1
aktA	aYj	VERB	8	aktA	NOUN	1
akuSala	akuSala	ADJ	15	akuSala	NOUN	1
akuSalam	akuSala	ADJ	11	akuSala	NOUN	2
akurvan	kf	VERB	74	akurvat	ADJ	6
akzA	akza	ADJ	88	akza	NOUN	5
akzAH	akza	NOUN	81	akza	ADJ	12
akzARAm	akza	NOUN	14	akza	ADJ	7
akzI	akza	ADJ	19	akzi	NOUN	7
akzaH	akza	NOUN	315	akza	ADJ	1
akzam	akza	NOUN	245	akza	ADJ	2
akzamA	akzama	ADJ	14	akzamA	NOUN	14
akzamaH	akzama	ADJ	24	kzam	VERB	1
akzan	Gas	VERB	14	akzi	NOUN	5
akzarA	akzara	NOUN	308	akzara	ADJ	12
akzarARAm	akzara	NOUN	7	akzara	ADJ	1
akzarARi	akzara	NOUN	158	akzara	ADJ	1
akzarAt	akzara	NOUN	15	akzara	ADJ	1
akzara	akzara	NOUN	195	akzara	ADJ	30
akzaraH	akzara	NOUN	67	akzara	ADJ	14
akzaraM	akzara	NOUN	43	akzara	ADJ	28
akzaram	akzara	NOUN	461	akzara	ADJ	84
akzarasya	akzara	NOUN	21	akzara	ADJ	1
akzare	akzara	NOUN	72	akzara	ADJ	6
akzareRa	akzara	NOUN	138	akzara	ADJ	1
akzata	akzata	NOUN	96	akzata	ADJ	2
akzavatyAm	akzavatI	NOUN	5	akzavat	ADJ	1
akzaya	akzaya	ADJ	65	akzaya	NOUN	1
akzayaH	akzaya	ADJ	39	akzaya	NOUN	2
akzaye	akzaya	ADJ	5	akzaya	NOUN	2
akzayya	akzayya	ADJ	28	akzayya	NOUN	2
akzayyam	akzayya	ADJ	42	akzayya	NOUN	4
akze	akza	ADJ	65	akza	NOUN	19
akzi	akzi	NOUN	443	akza	ADJ	6
akzipad	akzipat	ADV	1	kzip	VERB	1
akzitA	akzita	ADJ	6	akzitA	NOUN	1
akzitiH	akziti	NOUN	3	akziti	ADJ	2
akzitim	akziti	NOUN	10	akziti	ADJ	2
akzyAv	akzi	NOUN	2	akzI	NOUN	1
alIka	alIka	NOUN	22	alIka	ADJ	8
alIkam	alIka	ADJ	4	alIka	NOUN	4
alaM	alam	ADV	235	ala	NOUN	1
alabDa	alabDa	ADJ	35	laB	VERB	5
alakA	alakA	NOUN	8	alaka	NOUN	4
alakaM	alaka	NOUN	1	alakam	ADV	1
alakam	alaka	NOUN	9	alakam	ADV	3
alam	alam	ADV	429	ala	NOUN	1
alarzi	alar	VERB	1	alarzi	NOUN	1
alasa	alasa	ADJ	37	alasa	NOUN	5
alasaH	alasa	ADJ	23	alasa	NOUN	1
aliNgam	aliNga	ADJ	9	aliNga	NOUN	1
alpikA	alpaka	ADJ	3	alpikA	NOUN	1
am	am	NOUN	7	aM	ADV	2
amA	amA	ADV	45	amA	NOUN	6
amAd	ama	NOUN	2	amAt	ADV	1
amAnuzAn	amAnuza	ADJ	4	amAnuza	NOUN	1
amAnuzIzu	amAnuzI	NOUN	3	amAnuza	ADJ	2
amAvAsye	amAvAsyA	NOUN	6	amAvAsya	ADJ	2
amaH	ama	NOUN	14	ama	PRON	11
amalA	amala	ADJ	16	amalA	NOUN	6
amalAH	amala	ADJ	10	amala	NOUN	1
amalAn	amala	ADJ	4	amala	NOUN	1
amala	amala	ADJ	146	amala	NOUN	7
amandizuH	mad	VERB	5	mand	VERB	3
amarA	amara	ADJ	10	amara	NOUN	7
amarAH	amara	NOUN	72	amara	ADJ	5
amarAn	amara	NOUN	18	amara	ADJ	1
amara	amara	NOUN	392	amara	ADJ	45
amaraH	amara	NOUN	41	amara	ADJ	31
amaraRa	amaraRa	NOUN	2	amaraRa	ADJ	1
amaram	amara	ADJ	27	amara	NOUN	12
amartyA	amartya	ADJ	10	amartya	NOUN	1
amartyAH	amartya	ADJ	7	amartya	NOUN	1
amartyAn	amartya	ADJ	1	amartya	NOUN	1
amartya	amartya	ADJ	25	amartya	NOUN	2
amartyam	amartya	ADJ	13	amartya	NOUN	1
ame	am	VERB	2	ama	NOUN	2
ameDyAt	ameDya	NOUN	2	ameDya	ADJ	1
ameDya	ameDya	NOUN	49	ameDya	ADJ	19
ameDyam	ameDya	ADJ	31	ameDya	NOUN	11
ameDye	ameDya	ADJ	1	ameDya	NOUN	1
amftA	amftA	NOUN	150	amfta	ADJ	104
amftAH	amfta	ADJ	44	amftA	NOUN	9
amftAm	amfta	ADJ	7	amftA	NOUN	6
amftAnAm	amfta	ADJ	11	amfta	NOUN	3
amftAni	amfta	NOUN	10	amfta	ADJ	8
amftAt	amfta	NOUN	16	amfta	ADJ	2
amftAya	amfta	NOUN	27	amfta	ADJ	9
amfta	amfta	NOUN	658	amfta	ADJ	238
amftaH	amfta	ADJ	67	amfta	NOUN	9
amftaM	amfta	NOUN	248	amfta	ADJ	74
amftam	amfta	NOUN	514	amfta	ADJ	154
amftasya	amfta	NOUN	156	amfta	ADJ	31
amfte	amfta	NOUN	41	amfta	ADJ	9
amftena	amfta	NOUN	83	amfta	ADJ	13
amfto	amfta	ADJ	29	amfta	NOUN	1
amftyu	amftyu	ADJ	1	amftyu	NOUN	1
amitra	amitra	NOUN	253	amitra	ADJ	1
amitre	amitra	NOUN	4	amitra	ADJ	2
amlAna	amlAna	ADJ	16	amlAna	NOUN	4
amla	amla	ADJ	467	amla	NOUN	270
amo	ama	PRON	21	ama	NOUN	8
amoGA	amoGA	NOUN	18	amoGa	ADJ	10
amoGaM	amoGa	ADJ	23	amoGa	NOUN	1
amuyA	adas	PRON	16	amuyA	ADV	9
anADfzyaH	anADfzya	NOUN	4	anADfzya	ADJ	2
anASrita	anASrita	ADJ	4	anASrita	NOUN	3
anASritaH	anASrita	ADJ	6	anASrita	NOUN	1
anAcAra	anAcAra	ADJ	4	anAcAra	NOUN	1
anAdaraH	anAdara	NOUN	10	anAdara	ADJ	3
anAgAH	anAgas	ADJ	4	anAga	ADJ	3
anAgate	anAgata	ADJ	55	anAgata	NOUN	1
anAhAraH	anAhAra	ADJ	1	anAhAra	NOUN	1
anAhata	anAhata	ADJ	7	anAhata	NOUN	1
anAlambam	anAlamba	ADJ	2	anAlamba	NOUN	1
anAmaya	anAmaya	ADJ	7	anAmaya	NOUN	1
anAmayaM	anAmaya	NOUN	14	anAmaya	ADJ	4
anAmayam	anAmaya	ADJ	81	anAmaya	NOUN	39
anArya	anArya	ADJ	32	anArya	NOUN	1
anAyAsa	anAyAsa	NOUN	4	anAyAsa	ADJ	1
anAyati	anAyAnt	ADJ	3	anAyati	NOUN	2
anDA	anDa	ADJ	23	anDa	NOUN	1
anDa	anDa	ADJ	136	anDas	NOUN	12
anDaH	anDa	ADJ	120	anDas	NOUN	21
anDaM	anDa	ADJ	22	anDa	NOUN	1
anDaka	anDaka	NOUN	155	anDaka	ADJ	1
anDe	anDa	ADJ	34	anDa	NOUN	1
anUQA	anUQA	NOUN	2	anUQa	ADJ	1
anUcAna	anuvac	VERB	4	anUcAna	ADJ	4
anUcya	anuvac	VERB	75	anvaYc	ADJ	1
anUnA	anUna	ADJ	2	anUnA	NOUN	1
anUpAH	anUpa	NOUN	3	anUpa	ADJ	1
anUpa	anUpa	NOUN	43	anUpa	ADJ	7
anaBijYA	anaBijYa	ADJ	2	anaBijYA	NOUN	1
anaGaH	anaGa	ADJ	15	anaGa	NOUN	7
anaYjana	anaYjana	ADJ	1	anaYjana	NOUN	1
anagni	anagni	ADJ	5	anagni	NOUN	1
anajmi	aYj	VERB	4	tad	PRON	1
anamIvam	anamIva	ADJ	1	anamIva	NOUN	1
anamitram	anamitra	NOUN	3	anamitra	ADJ	2
anannam	ananna	ADJ	6	ananna	NOUN	4
anantA	anantA	NOUN	44	ananta	ADJ	19
anantAH	ananta	ADJ	16	ananta	NOUN	2
anantAm	anantA	NOUN	6	ananta	ADJ	4
ananta	ananta	ADJ	355	ananta	NOUN	61
anantaH	ananta	ADJ	35	ananta	NOUN	31
anantakam	anantaka	ADJ	28	anantaka	NOUN	1
anantam	ananta	ADJ	100	ananta	NOUN	17
anantarA	anantara	ADJ	10	anantarA	NOUN	2
anantaraH	anantara	ADJ	42	anantara	NOUN	1
anantaraM	anantaram	ADV	76	anantara	ADJ	34
anantaram	anantaram	ADV	384	anantara	ADJ	181
anantasya	ananta	NOUN	14	ananta	ADJ	10
anante	ananta	ADJ	13	ananta	NOUN	7
anarTAH	anarTa	NOUN	8	anarTa	ADJ	1
anarTAn	anarTa	NOUN	5	anarTa	ADJ	1
anarTAnAM	anarTa	NOUN	4	anarTa	ADJ	1
anarTa	anarTa	NOUN	101	anarTa	ADJ	11
anarTaH	anarTa	NOUN	32	anarTa	ADJ	2
anarTam	anarTa	NOUN	25	anarTa	ADJ	7
anarTe	anarTa	NOUN	11	anarTa	ADJ	2
anavaH	anava	ADJ	1	anu	NOUN	1
anavadyA	anavadya	ADJ	7	anavadyA	NOUN	1
anayaH	anaya	NOUN	7	nI	VERB	1
anayam	anaya	NOUN	3	nI	VERB	3
anayan	nI	VERB	30	anayat	ADJ	2
anayo	anaya	NOUN	10	idam	PRON	3
anehasA	anehas	ADJ	3	anehas	NOUN	2
anehasam	anehas	ADJ	15	anehas	NOUN	2
anenAH	anenas	NOUN	4	anenas	ADJ	3
anfcaH	anfc	ADJ	3	anfca	ADJ	2
anfju	anfju	ADJ	4	anfju	NOUN	1
anftA	anfta	ADJ	11	anfta	NOUN	4
anftAH	anfta	ADJ	8	anfta	NOUN	1
anftAni	anfta	NOUN	11	anfta	ADJ	1
anfta	anfta	NOUN	80	anfta	ADJ	23
anftaH	anfta	ADJ	5	anfta	NOUN	4
anftaM	anfta	NOUN	123	anfta	ADJ	31
anftam	anfta	NOUN	180	anfta	ADJ	34
anftasya	anfta	NOUN	14	anfta	ADJ	3
anfte	anfta	NOUN	82	anfta	ADJ	5
aniSam	aniSam	ADV	57	aniSa	ADJ	2
anidrA	anidra	ADJ	3	anidrA	NOUN	3
animitta	animitta	ADJ	14	animitta	NOUN	5
animittam	animitta	ADJ	12	animitta	NOUN	4
animittataH	animittatas	ADV	5	animitta	NOUN	3
animiza	animiza	ADJ	11	animiza	NOUN	1
animizaH	animiza	ADJ	4	animiza	NOUN	2
anirudDa	anirudDa	NOUN	18	anirudDa	ADJ	1
anizwa	anizwa	ADJ	84	anizwa	NOUN	3
anizwaM	anizwa	ADJ	16	anizwa	NOUN	1
annam	anna	NOUN	1585	Siva	ADJ	1
antA	anta	NOUN	84	antar	ADV	5
antaH	anta	NOUN	276	antar	ADV	188
antaS	antar	ADV	28	anta	NOUN	5
antakAya	antaka	NOUN	17	antaka	ADJ	6
antaka	antaka	NOUN	124	antaka	ADJ	3
antakaH	antaka	NOUN	117	antaka	ADJ	38
antakam	antaka	NOUN	82	antaka	ADJ	44
antakasya	antaka	NOUN	11	antaka	ADJ	2
antam	anta	NOUN	1075	antam	ADV	1
antarA	antarA	ADV	404	antara	ADJ	14
antarARi	antara	ADJ	48	antara	NOUN	23
antarAt	antara	NOUN	59	antara	ADJ	47
antarAyAH	antarAya	NOUN	8	antara	ADJ	1
antarBUta	antarBU	VERB	2	antarBUta	ADJ	1
antara	antara	ADJ	573	antara	NOUN	305
antaraH	antara	ADJ	42	antara	NOUN	14
antaraM	antara	NOUN	88	antara	ADJ	18
antaraNga	antaraNga	NOUN	10	antaraNga	ADJ	2
antaram	antara	ADJ	497	antara	NOUN	391
antare	antara	NOUN	723	antara	ADJ	230
antareRa	antareRa	ADV	314	antara	ADJ	99
antarita	antari	VERB	23	antarita	ADJ	2
antarmuKa	antarmuKa	ADJ	13	antarmuKa	NOUN	1
antas	antar	ADV	20	anta	NOUN	3
antata	antatas	ADV	15	anta	NOUN	1
antataH	antatas	ADV	111	anta	NOUN	29
antevAsI	antevAsin	NOUN	19	antevAsin	ADJ	2
antevAsinaH	antevAsin	NOUN	9	antevAsin	ADJ	2
anti	anti	ADV	46	antI	NOUN	1
antidevam	antideva	ADJ	1	antideva	NOUN	1
antika	antika	NOUN	30	antika	ADJ	5
antikam	antika	NOUN	243	antika	ADJ	6
antike	antika	NOUN	203	antika	ADJ	10
antya	antya	ADJ	47	antya	NOUN	1
antyaja	antyaja	ADJ	4	antyaja	NOUN	2
anu	anu	ADP	2034	anu	NOUN	11
anuBava	anuBava	NOUN	51	anuBU	VERB	2
anuSAstA	anuSAs	VERB	2	anuSAstf	ADJ	2
anuSayI	anuSayin	ADJ	6	anuSayI	NOUN	3
anuSizya	anuSiz	VERB	9	anuSAs	VERB	9
anucarA	anucara	NOUN	3	anucara	ADJ	2
anucarAH	anucara	NOUN	29	anucara	ADJ	5
anucaraH	anucara	NOUN	63	anucara	ADJ	4
anudAtta	anudAtta	NOUN	8	anudAtta	ADJ	1
anudData	anudData	ADJ	5	anudData	NOUN	1
anudDataH	anudData	ADJ	3	anudData	NOUN	1
anujIvinaH	anujIvin	NOUN	12	anujIvin	ADJ	1
anujena	anuja	NOUN	6	anuja	ADJ	2
anuloma	anuloma	ADJ	35	anuloma	NOUN	1
anumata	anuman	VERB	7	anumata	NOUN	3
anumataM	anumata	NOUN	4	anuman	VERB	3
anunaya	anunaya	NOUN	12	anunI	VERB	3
anunayena	anunaya	NOUN	3	anunaya	ADJ	1
anupada	anupada	NOUN	4	anupada	ADJ	1
anupadam	anupada	NOUN	8	anupada	ADJ	2
anupasTita	anupasTita	ADJ	1	anupasTita	NOUN	1
anurUpAByAm	anurUpa	ADJ	4	anurUpa	NOUN	2
anurUpAt	anurUpa	ADJ	9	anurUpa	NOUN	7
anurUpa	anurUpa	ADJ	40	anurUpa	NOUN	3
anurUpaH	anurUpa	ADJ	17	anurUpa	NOUN	8
anurUpaM	anurUpa	ADJ	26	anurUpa	NOUN	4
anurUpam	anurUpa	ADJ	109	anurUpa	NOUN	3
anurUpeByaH	anurUpa	NOUN	2	anurUpa	ADJ	1
anurUpeRa	anurUpa	ADJ	17	anurUpa	NOUN	3
anuttara	anuttara	ADJ	44	anuttara	NOUN	18
anuvaMSam	anuvaMSa	NOUN	3	anuvaMSa	ADJ	1
anuvartitA	anuvartitf	NOUN	1	anuvft	VERB	1
anuvraja	anuvraj	VERB	3	anuvraja	NOUN	1
anuyAtA	anuyA	VERB	6	anuyAtf	NOUN	2
anvayAt	anvaya	NOUN	29	anuyA	VERB	20
anvezi	anvi	VERB	4	anvezin	ADJ	1
anvita	anvita	ADJ	11	anvi	VERB	1
anvitam	anvita	ADJ	427	anvi	VERB	1
anyAM	anya	PRON	53	anyA	NOUN	1
anyaH	anya	PRON	881	anya	ADJ	1
anyac	anya	PRON	117	ca	CONJ	1
anyezu	anya	PRON	147	anya	ADJ	1
apA	apa	ADP	4	ap	NOUN	3
apAH	apas	NOUN	16	pA	VERB	10
apAM	ap	NOUN	423	pA	VERB	1
apAd	pA	VERB	4	apa	NOUN	1
apAg	apAYc	ADJ	13	apAk	ADV	2
apAk	apAYc	ADJ	2	apAk	ADV	1
apAlayan	pAlay	VERB	6	apAlayat	ADJ	2
apAm	ap	NOUN	315	pA	VERB	13
apAnataH	apAn	VERB	2	apAna	NOUN	1
apAra	apAra	ADJ	20	apAra	NOUN	2
apAre	apAra	ADJ	8	apAra	NOUN	2
apAt	pA	VERB	7	apa	NOUN	1
apAyAt	apayA	VERB	12	apAya	NOUN	5
apAyi	pA	VERB	5	apAyin	ADJ	2
apIqayan	pIqay	VERB	7	apIqayat	ADJ	5
apIqayat	pIqay	VERB	23	apIqayat	ADJ	1
apIta	apIta	ADJ	3	apI	VERB	1
apUjayan	pUjay	VERB	63	apUjayat	ADJ	1
apUrva	apUrva	ADJ	57	apUrva	NOUN	1
apUrvaH	apUrva	ADJ	10	apUrva	NOUN	1
apUrvam	apUrva	ADJ	34	apUrva	NOUN	1
apa	apa	ADP	607	ap	NOUN	195
apaSyad	paS	VERB	79	apaSyat	ADJ	1
apaSyam	paS	VERB	98	apaSya	ADJ	1
apaSyan	paS	VERB	177	apaSyat	ADJ	15
apaSyann	paS	VERB	10	apaSyat	ADJ	4
apaSyantyAH	apaSyat	ADJ	4	apaSyantI	NOUN	1
apaSyatAM	paS	VERB	4	apaSyat	ADJ	1
apacita	apaci	VERB	3	apacit	NOUN	1
apahAya	apahA	VERB	50	apaha	ADJ	1
apahara	apahara	ADJ	1	apahf	VERB	1
apakarzaRam	apakarzaRa	NOUN	18	apakarzaRa	ADJ	4
apakftam	apakf	VERB	25	apakfta	NOUN	1
apakfzwa	apakfz	VERB	10	apakfzwa	ADJ	4
apakfzwam	apakfz	VERB	3	apakfzwa	ADJ	2
apakfzwena	apakfz	VERB	2	apakfzwa	ADJ	2
apakrAntam	apakram	VERB	1	apakrAnta	NOUN	1
apamitya	apami	VERB	1	apamitya	NOUN	1
apamityam	apami	VERB	4	apamitya	NOUN	1
apanaya	apanaya	NOUN	8	apanI	VERB	2
aparA	apara	PRON	125	aparA	NOUN	15
aparADAH	aparADa	NOUN	7	aparAD	VERB	1
aparAH	apara	PRON	58	apara	ADJ	1
