slp1	freq_band	poly_band	arm	chrf_mw	chrf_fr	chrf_ru	chrf_multi2	chrf_multi3	token_f1_mw	token_f1_fr	token_f1_ru
reRu	mid	poly5p	A0_random_floor	21.80	14.50	0.16	21.80	21.80	0.2679	0.0235	0.0000
paYjara	mid	poly5p	A0_random_floor	19.22	13.80	0.28	19.22	19.22	0.2222	0.0000	0.0000
sImanta	mid	poly5p	A0_random_floor	1.41	0.66	0.00	1.41	1.41	0.0000	0.0000	0.0000
mahApadma	mid	poly5p	A0_random_floor	19.03	16.53	0.17	19.03	19.03	0.2487	0.0377	0.0000
sammati	mid	poly5p	A0_random_floor	8.64	9.18	0.00	9.18	9.18	0.0000	0.0000	0.0000
asu	mid	poly5p	A0_random_floor	9.20	11.71	0.00	11.71	11.71	0.1091	0.0000	0.0000
kfSAnu	mid	poly5p	A0_random_floor	4.04	3.72	0.00	4.04	4.04	0.0513	0.0000	0.0000
kaMsa	mid	poly5p	A0_random_floor	3.47	2.51	0.00	3.47	3.47	0.0451	0.0000	0.0000
itTA	mid	poly5p	A0_random_floor	9.18	14.09	0.00	14.09	14.09	0.1373	0.0000	0.0000
Urmi	mid	poly5p	A0_random_floor	3.28	3.94	0.00	3.94	3.94	0.0294	0.0000	0.0000
lopa	mid	poly5p	A0_random_floor	2.03	5.35	0.00	5.35	5.35	0.0480	0.0000	0.0000
Sibira	mid	poly5p	A0_random_floor	8.62	4.56	0.00	8.62	8.62	0.1111	0.0000	0.0000
mandira	mid	poly5p	A0_random_floor	9.37	11.09	0.00	11.09	11.09	0.0000	0.0000	0.0000
nakta	mid	poly5p	A0_random_floor	20.35	6.55	0.14	20.35	20.35	0.2308	0.0000	0.0000
mUrKa	mid	poly5p	A0_random_floor	14.18	8.13	0.00	14.18	14.18	0.0588	0.0000	0.0000
pippala	mid	poly5p	A0_random_floor	20.92	16.44	0.60	20.92	20.92	0.1481	0.0000	0.0000
DAraka	mid	poly5p	A0_random_floor	17.74	7.39	0.00	17.74	17.74	0.1724	0.0392	0.0000
Bawa	mid	poly5p	A0_random_floor	17.50	13.76	0.00	17.50	17.50	0.0635	0.0000	0.0000
padmanABa	mid	poly5p	A0_random_floor	17.59	16.17	0.00	17.59	17.59	0.1489	0.0000	0.0000
dyumat	mid	poly5p	A0_random_floor	19.36	11.96	0.00	19.36	19.36	0.2045	0.0312	0.0000
mandAra	mid	poly5p	A0_random_floor	17.85	12.82	0.18	17.85	17.85	0.1565	0.0315	0.0000
kukkura	mid	poly5p	A0_random_floor	13.66	5.26	0.00	13.66	13.66	0.3111	0.0000	0.0000
vasati	mid	poly5p	A0_random_floor	4.90	3.48	0.00	4.90	4.90	0.1562	0.0299	0.0000
jImUta	mid	poly5p	A0_random_floor	17.58	14.44	0.47	17.58	17.58	0.0899	0.0000	0.0000
vizARa	mid	poly5p	A0_random_floor	10.48	15.98	0.31	15.98	15.98	0.1026	0.0000	0.0000
malayaja	mid	poly5p	A0_random_floor	18.05	14.41	0.00	18.05	18.05	0.2581	0.0556	0.0000
Danika	mid	poly5p	A0_random_floor	17.78	9.66	0.00	17.78	17.78	0.1463	0.0377	0.0000
aBijana	mid	poly5p	A0_random_floor	10.50	9.56	0.00	10.50	10.50	0.1875	0.0667	0.0000
tiras	mid	poly5p	A0_random_floor	18.57	15.96	0.24	18.57	18.57	0.1220	0.0000	0.0000
BIru	mid	poly5p	A0_random_floor	11.44	10.89	0.00	11.44	11.44	0.2895	0.0377	0.0000
hala	mid	poly5p	A0_random_floor	2.39	4.87	0.00	4.87	4.87	0.0476	0.0000	0.0000
iriRa	mid	poly5p	A0_random_floor	20.61	13.58	0.00	20.61	20.61	0.0800	0.0000	0.0000
gozWa	mid	poly5p	A0_random_floor	17.40	16.50	0.53	17.40	17.40	0.2174	0.0000	0.0000
svarAj	mid	poly5p	A0_random_floor	17.56	14.56	0.00	17.56	17.56	0.1600	0.0312	0.0000
jambuka	mid	poly5p	A0_random_floor	18.85	5.52	0.31	18.85	18.85	0.2034	0.0000	0.0000
AyA	high	mono	A1_chat_ctx	28.51	13.65	0.00	28.51	28.51	0.4528	0.0000	0.0000
catur	high	mono	A1_chat_ctx	8.01	6.15	0.00	8.01	8.01	0.0000	0.0000	0.0000
prada	high	mono	A1_chat_ctx	42.86	6.56	0.46	42.86	42.86	0.5714	0.0000	0.0000
aTa	high	mono	A1_chat_ctx	32.86	12.95	0.00	32.86	32.86	0.4651	0.0000	0.0000
spfS	high	mono	A1_chat_ctx	8.31	3.22	0.00	8.31	8.31	0.1399	0.0123	0.0000
paW	high	mono	A1_chat_ctx	8.34	3.80	0.00	8.34	8.34	0.2268	0.0000	0.0000
nagara	high	mono	A1_chat_ctx	20.22	13.21	0.00	20.22	20.22	0.4348	0.0000	0.0000
lip	high	mono	A1_chat_ctx	17.93	7.63	0.00	17.93	17.93	0.2769	0.0000	0.0000
SuB	high	mono	A1_chat_ctx	8.98	9.05	0.00	9.05	9.05	0.1550	0.0000	0.0000
tyaj	high	mono	A1_chat_ctx	34.39	16.68	0.00	34.39	34.39	0.3582	0.0000	0.0000
azwan	high	mono	A1_chat_ctx	12.00	11.36	0.00	12.00	12.00	0.1429	0.1053	0.0000
udAhf	high	mono	A1_chat_ctx	30.96	20.01	0.00	30.96	30.96	0.4500	0.0000	0.0000
pratigrah	high	mono	A1_chat_ctx	12.88	12.83	0.00	12.88	12.88	0.2883	0.0000	0.0000
sadA	high	mono	A1_chat_ctx	41.75	7.26	0.00	41.75	41.75	0.4000	0.0000	0.0000
tvar	high	mono	A1_chat_ctx	23.51	5.53	0.00	23.51	23.51	0.3784	0.0000	0.0000
aYj	high	mono	A1_chat_ctx	25.36	9.28	0.00	25.36	25.36	0.3636	0.0000	0.0000
vraj	high	mono	A1_chat_ctx	9.73	5.50	0.00	9.73	9.73	0.1935	0.0000	0.0000
soma	high	mono	A1_chat_ctx	19.67	10.89	0.00	19.67	19.67	0.2171	0.0472	0.0000
sma	high	mono	A1_chat_ctx	14.86	10.60	0.00	14.86	14.86	0.2737	0.0000	0.0000
saMyuj	high	mono	A1_chat_ctx	11.65	9.78	0.00	11.65	11.65	0.2174	0.0000	0.0000
prapad	high	mono	A1_chat_ctx	13.89	7.14	0.00	13.89	13.89	0.2877	0.0204	0.0000
KAd	high	mono	A1_chat_ctx	10.86	2.92	0.00	10.86	10.86	0.1714	0.0000	0.0000
sItA	high	mono	A1_chat_ctx	30.73	16.28	0.37	30.73	30.73	0.4257	0.0469	0.0000
prakzip	high	mono	A1_chat_ctx	20.74	6.95	0.00	20.74	20.74	0.4167	0.0000	0.0000
avasTA	high	mono	A1_chat_ctx	10.13	12.19	0.00	12.19	12.19	0.2105	0.0000	0.0000
vIkz	high	mono	A1_chat_ctx	18.53	16.55	0.00	18.53	18.53	0.3000	0.0000	0.0000
prasad	high	mono	A1_chat_ctx	15.11	7.16	0.00	15.11	15.11	0.2692	0.0000	0.0000
Agam	high	mono	A1_chat_ctx	11.64	6.43	0.00	11.64	11.64	0.2353	0.0000	0.0000
dviviDa	high	mono	A1_chat_ctx	51.96	3.31	0.00	51.96	51.96	0.6000	0.0000	0.0000
vyAp	high	mono	A1_chat_ctx	36.85	12.55	0.00	36.85	36.85	0.4889	0.0000	0.0000
mil	high	mono	A1_chat_ctx	20.21	6.63	0.00	20.21	20.21	0.3509	0.0000	0.0000
ASin	high	mono	A1_chat_ctx	75.02	7.33	0.30	75.02	75.02	0.6667	0.0000	0.0000
sampad	high	mono	A1_chat_ctx	11.21	6.50	0.00	11.21	11.21	0.2083	0.0213	0.0000
prahfz	high	mono	A1_chat_ctx	17.75	4.93	0.00	17.75	17.75	0.3636	0.0000	0.0000
nipat	high	mono	A1_chat_ctx	12.70	11.93	0.00	12.70	12.70	0.2254	0.0000	0.0000
car	high	mono	A1_chat_ctx	13.83	3.51	0.00	13.83	13.83	0.2639	0.0000	0.0000
pre	high	mono	A1_chat_ctx	13.64	6.76	0.00	13.64	13.64	0.2903	0.0000	0.0000
BrU	high	mono	A1_chat_ctx	18.16	3.46	0.00	18.16	18.16	0.2857	0.0000	0.0000
visfj	high	mono	A1_chat_ctx	8.35	8.08	0.00	8.35	8.35	0.2090	0.0000	0.0000
roza	high	mono	A1_chat_ctx	41.50	30.31	0.00	41.50	41.50	0.4762	0.2353	0.0000
aDunA	high	mono	A1_chat_ctx	68.96	8.20	0.00	68.96	68.96	0.8000	0.0000	0.0000
prajan	high	mono	A1_chat_ctx	9.95	7.89	0.00	9.95	9.95	0.1839	0.0000	0.0000
han	high	mono	A1_chat_ctx	8.11	3.43	0.00	8.11	8.11	0.1449	0.0000	0.0000
mf	high	mono	A1_chat_ctx	10.32	4.03	0.00	10.32	10.32	0.2553	0.0000	0.0000
Ayam	high	mono	A1_chat_ctx	8.35	7.64	0.00	8.35	8.35	0.0750	0.0000	0.0000
Acar	high	mono	A1_chat_ctx	19.48	12.11	0.00	19.48	19.48	0.3056	0.0000	0.0000
upAdA	high	mono	A1_chat_ctx	11.61	7.94	0.00	11.61	11.61	0.2400	0.0000	0.0000
upapad	high	mono	A1_chat_ctx	10.80	6.36	0.00	10.80	10.80	0.2128	0.0000	0.0000
vyaT	high	mono	A1_chat_ctx	12.12	8.46	0.00	12.12	12.12	0.2424	0.0000	0.0000
yAc	high	mono	A1_chat_ctx	9.38	4.78	0.00	9.38	9.38	0.1200	0.0000	0.0000
Df	high	mono	A1_chat_ctx	16.56	6.83	0.00	16.56	16.56	0.2897	0.0000	0.0000
rakz	high	poly2_4	A1_chat_ctx	10.51	5.62	0.00	10.51	10.51	0.2430	0.0233	0.0000
janapada	high	poly2_4	A1_chat_ctx	30.20	16.92	0.00	30.20	30.20	0.2424	0.0000	0.0000
dviguRa	high	poly2_4	A1_chat_ctx	29.26	4.22	0.00	29.26	29.26	0.4000	0.0333	0.0000
dAnava	high	poly2_4	A1_chat_ctx	19.07	4.76	0.00	19.07	19.07	0.3333	0.0000	0.0000
fzi	high	poly2_4	A1_chat_ctx	17.22	6.49	0.00	17.22	17.22	0.3034	0.0397	0.0000
upadiS	high	poly2_4	A1_chat_ctx	20.03	10.10	0.00	20.03	20.03	0.2258	0.0000	0.0000
rAjya	high	poly2_4	A1_chat_ctx	27.10	4.83	0.00	27.10	27.10	0.3333	0.0202	0.0000
idam	high	poly2_4	A1_chat_ctx	3.82	3.88	0.00	3.88	3.88	0.0448	0.0000	0.0000
Ap	high	poly2_4	A1_chat_ctx	11.82	4.54	0.00	11.82	11.82	0.1782	0.0000	0.0000
yadA	high	poly2_4	A1_chat_ctx	3.10	2.21	0.00	3.10	3.10	0.0851	0.0000	0.0000
samiD	high	poly2_4	A1_chat_ctx	17.85	13.21	0.00	17.85	17.85	0.2800	0.0000	0.0000
vidyA	high	poly2_4	A1_chat_ctx	12.88	16.86	0.00	16.86	16.86	0.1333	0.0645	0.0000
aBiBU	high	poly2_4	A1_chat_ctx	28.08	13.10	0.00	28.08	28.08	0.4000	0.0000	0.0000
prasTA	high	poly2_4	A1_chat_ctx	10.06	7.03	0.00	10.06	10.06	0.1682	0.0000	0.0000
Slezman	high	poly2_4	A1_chat_ctx	43.10	17.82	0.00	43.10	43.10	0.4800	0.0500	0.0000
Uru	high	poly2_4	A1_chat_ctx	12.76	3.73	0.00	12.76	12.76	0.2222	0.0000	0.0000
saMyuga	high	poly2_4	A1_chat_ctx	34.09	15.74	0.00	34.09	34.09	0.3529	0.0000	0.0000
ftu	high	poly2_4	A1_chat_ctx	33.39	19.59	0.00	33.39	33.39	0.3460	0.0087	0.0000
yaTAvat	high	poly2_4	A1_chat_ctx	56.35	16.59	0.00	56.35	56.35	0.4444	0.0000	0.0000
stu	high	poly2_4	A1_chat_ctx	16.61	5.36	0.00	16.61	16.61	0.2804	0.0000	0.0000
kzuD	high	poly2_4	A1_chat_ctx	9.69	1.44	0.00	9.69	9.69	0.1538	0.0000	0.0000
an	high	poly2_4	A1_chat_ctx	12.11	12.01	0.00	12.11	12.11	0.1143	0.0870	0.0000
apriya	high	poly2_4	A1_chat_ctx	48.49	15.53	0.00	48.49	48.49	0.2500	0.0000	0.0000
dehin	high	poly2_4	A1_chat_ctx	42.75	12.97	0.50	42.75	42.75	0.6207	0.0556	0.0000
loBa	high	poly2_4	A1_chat_ctx	27.00	8.40	0.00	27.00	27.00	0.3077	0.0339	0.0000
dvipa	high	poly2_4	A1_chat_ctx	20.93	15.69	0.00	20.93	20.93	0.1765	0.0000	0.0000
nakzatra	high	poly2_4	A1_chat_ctx	9.05	3.10	0.00	9.05	9.05	0.1379	0.0000	0.0000
jAnu	high	poly2_4	A1_chat_ctx	9.66	4.38	0.00	9.66	9.66	0.2308	0.0909	0.0000
kAsa	high	poly2_4	A1_chat_ctx	5.99	4.03	0.00	5.99	5.99	0.0000	0.0000	0.0000
rAkzasa	high	poly2_4	A1_chat_ctx	8.47	6.33	0.00	8.47	8.47	0.2083	0.0426	0.0000
druma	high	poly2_4	A1_chat_ctx	3.11	1.95	0.00	3.11	3.11	0.1212	0.0000	0.0000
pitf	high	poly2_4	A1_chat_ctx	4.87	6.34	0.00	6.34	6.34	0.0794	0.0727	0.0000
yuD	high	poly2_4	A1_chat_ctx	5.13	2.03	0.00	5.13	5.13	0.0825	0.0000	0.0000
havis	high	poly2_4	A1_chat_ctx	29.40	21.65	0.00	29.40	29.40	0.3077	0.0556	0.0000
tfp	high	poly2_4	A1_chat_ctx	17.56	13.25	0.00	17.56	17.56	0.2439	0.0000	0.0000
vaRij	high	poly2_4	A1_chat_ctx	22.72	12.62	0.00	22.72	22.72	0.3000	0.0000	0.0000
nizad	high	poly2_4	A1_chat_ctx	15.46	9.54	0.00	15.46	15.46	0.3218	0.0000	0.0000
mahABAga	high	poly2_4	A1_chat_ctx	25.71	19.83	0.00	25.71	25.71	0.3019	0.0000	0.0000
dveza	high	poly2_4	A1_chat_ctx	34.16	21.32	0.00	34.16	34.16	0.2500	0.1702	0.0000
Avaha	high	poly2_4	A1_chat_ctx	20.34	11.21	0.29	20.34	20.34	0.1111	0.0000	0.0000
Apat	high	poly2_4	A1_chat_ctx	12.25	8.84	0.00	12.25	12.25	0.2254	0.0000	0.0000
niBa	high	poly2_4	A1_chat_ctx	18.20	15.84	0.00	18.20	18.20	0.2000	0.0000	0.0000
uB	high	poly2_4	A1_chat_ctx	1.89	6.94	0.00	6.94	6.94	0.0000	0.0000	0.0000
lih	high	poly2_4	A1_chat_ctx	12.57	7.64	0.00	12.57	12.57	0.2353	0.0667	0.0000
kAnana	high	poly2_4	A1_chat_ctx	21.49	12.63	0.00	21.49	21.49	0.2400	0.0000	0.0000
tulya	high	poly2_4	A1_chat_ctx	36.83	22.18	0.00	36.83	36.83	0.4898	0.0426	0.0000
antar	high	poly2_4	A1_chat_ctx	35.87	12.76	0.00	35.87	35.87	0.4935	0.0278	0.0000
manuzya	high	poly5p	A1_chat_ctx	17.21	13.14	0.00	17.21	17.21	0.3529	0.0571	0.0000
giri	high	poly5p	A1_chat_ctx	8.73	14.42	0.00	14.42	14.42	0.1633	0.0000	0.0000
brAhmaRa	high	poly5p	A1_chat_ctx	16.45	10.59	0.00	16.45	16.45	0.2838	0.0388	0.0000
Adya	high	poly5p	A1_chat_ctx	21.70	15.71	0.00	21.70	21.70	0.1967	0.0476	0.0000
Agneya	high	poly5p	A1_chat_ctx	27.43	15.58	0.00	27.43	27.43	0.3765	0.0600	0.0000
SarkarA	high	poly5p	A1_chat_ctx	22.48	14.42	0.00	22.48	22.48	0.2667	0.0541	0.0000
gamBIra	high	poly5p	A1_chat_ctx	16.24	18.65	0.00	18.65	18.65	0.1569	0.0615	0.0000
mahAdeva	high	poly5p	A1_chat_ctx	13.12	4.46	0.00	13.12	13.12	0.2692	0.0299	0.0000
SAsana	high	poly5p	A1_chat_ctx	15.38	11.96	0.00	15.38	15.38	0.2353	0.0811	0.0000
vipra	high	poly5p	A1_chat_ctx	11.59	7.65	0.00	11.59	11.59	0.2241	0.0734	0.0000
udyAna	high	poly5p	A1_chat_ctx	12.07	3.27	0.00	12.07	12.07	0.2143	0.0000	0.0000
miSra	high	poly5p	A1_chat_ctx	15.08	9.00	0.00	15.08	15.08	0.2632	0.0215	0.0000
prakfti	high	poly5p	A1_chat_ctx	37.50	18.03	0.00	37.50	37.50	0.4186	0.0531	0.0000
aSva	high	poly5p	A1_chat_ctx	19.65	13.91	0.00	19.65	19.65	0.4146	0.0000	0.0000
retas	high	poly5p	A1_chat_ctx	23.06	15.50	0.00	23.06	23.06	0.3380	0.0000	0.0000
ekAnta	high	poly5p	A1_chat_ctx	30.99	25.12	0.00	30.99	30.99	0.3659	0.0702	0.0000
SoDana	high	poly5p	A1_chat_ctx	20.70	28.83	0.00	28.83	28.83	0.3125	0.1379	0.0000
Akula	high	poly5p	A1_chat_ctx	26.07	9.57	0.00	26.07	26.07	0.3636	0.0000	0.0000
karza	high	poly5p	A1_chat_ctx	17.30	10.85	0.00	17.30	17.30	0.3301	0.1429	0.0000
raTa	high	poly5p	A1_chat_ctx	30.11	15.37	0.00	30.11	30.11	0.3864	0.1008	0.0000
anIka	high	poly5p	A1_chat_ctx	20.75	11.49	0.00	20.75	20.75	0.3333	0.1212	0.0000
duHKa	high	poly5p	A1_chat_ctx	17.57	10.42	0.00	17.57	17.57	0.1728	0.0000	0.0000
raTin	high	poly5p	A1_chat_ctx	25.86	15.28	0.00	25.86	25.86	0.3279	0.0909	0.0000
vastu	high	poly5p	A1_chat_ctx	14.86	17.48	0.00	17.48	17.48	0.2014	0.0625	0.0000
gocara	high	poly5p	A1_chat_ctx	12.36	4.42	0.00	12.36	12.36	0.2295	0.0138	0.0000
Brama	high	poly5p	A1_chat_ctx	28.04	21.79	0.00	28.04	28.04	0.3117	0.0513	0.0000
maya	high	poly5p	A1_chat_ctx	14.29	9.28	0.00	14.29	14.29	0.1429	0.0000	0.0000
prayatna	high	poly5p	A1_chat_ctx	13.65	15.14	0.00	15.14	15.14	0.1728	0.0909	0.0000
sAkzAt	high	poly5p	A1_chat_ctx	32.87	13.21	0.00	32.87	32.87	0.3396	0.0000	0.0000
BArgava	high	poly5p	A1_chat_ctx	17.39	14.12	0.00	17.39	17.39	0.3053	0.1304	0.0000
paScAt	high	poly5p	A1_chat_ctx	31.71	9.58	0.00	31.71	31.71	0.3333	0.0000	0.0000
BUmi	high	poly5p	A1_chat_ctx	26.94	19.26	0.00	26.94	26.94	0.2026	0.0341	0.0000
parvata	high	poly5p	A1_chat_ctx	15.73	17.23	0.00	17.23	17.23	0.2585	0.0000	0.0000
cit	high	poly5p	A1_chat_ctx	4.76	5.79	0.00	5.79	5.79	0.0429	0.0000	0.0000
muhur	high	poly5p	A1_chat_ctx	21.62	13.07	0.00	21.62	21.62	0.2373	0.0513	0.0000
namas	high	poly5p	A1_chat_ctx	32.35	9.25	0.00	32.35	32.35	0.2857	0.0315	0.0000
droRa	high	poly5p	A1_chat_ctx	17.96	4.51	0.00	17.96	17.96	0.2921	0.0132	0.0000
Sreyas	high	poly5p	A1_chat_ctx	13.02	12.58	0.00	13.02	13.02	0.2097	0.0328	0.0000
jana	high	poly5p	A1_chat_ctx	13.18	15.24	0.00	15.24	15.24	0.2095	0.0317	0.0000
pUrva	high	poly5p	A1_chat_ctx	12.78	9.96	0.00	12.78	12.78	0.1301	0.0000	0.0000
kara	high	poly5p	A1_chat_ctx	10.09	6.84	0.00	10.09	10.09	0.1075	0.0000	0.0000
kArmuka	high	poly5p	A1_chat_ctx	11.70	9.29	0.00	11.70	11.70	0.3462	0.0714	0.0000
aMSa	high	poly5p	A1_chat_ctx	16.02	9.21	0.00	16.02	16.02	0.2373	0.0920	0.0000
amBas	high	poly5p	A1_chat_ctx	15.29	12.45	0.00	15.29	15.29	0.2593	0.0000	0.0000
Pala	high	poly5p	A1_chat_ctx	10.97	18.19	0.00	18.19	18.19	0.1157	0.0556	0.0000
laGu	high	poly5p	A1_chat_ctx	15.61	12.10	0.00	15.61	15.61	0.2222	0.0217	0.0000
Suc	high	poly5p	A1_chat_ctx	10.90	6.27	0.00	10.90	10.90	0.1805	0.0217	0.0000
yA	high	poly5p	A1_chat_ctx	10.58	12.14	0.00	12.14	12.14	0.2361	0.0000	0.0000
nirvinDyA	low	mono	A1_chat_ctx	19.70	8.98	0.00	19.70	19.70	0.4000	0.0909	0.0000
anAdeya	low	mono	A1_chat_ctx	42.07	30.01	0.21	42.07	42.07	0.3636	0.0870	0.0000
milana	low	mono	A1_chat_ctx	36.00	11.26	0.00	36.00	36.00	0.2667	0.0000	0.0000
Asannatara	low	mono	A1_chat_ctx	44.59	9.28	0.00	44.59	44.59	0.4000	0.0000	0.0000
maRqalita	low	mono	A1_chat_ctx	34.08	11.64	0.00	34.08	34.08	0.2143	0.0488	0.0000
nivah	low	mono	A1_chat_ctx	19.00	6.66	0.00	19.00	19.00	0.4667	0.0000	0.0000
vratati	low	poly2_4	A1_chat_ctx	37.37	7.87	0.00	37.37	37.37	0.5714	0.0000	0.0000
saMvAhaka	low	poly2_4	A1_chat_ctx	44.62	9.43	0.00	44.62	44.62	0.6087	0.0800	0.0000
aviBinna	low	poly2_4	A1_chat_ctx	30.59	11.82	0.00	30.59	30.59	0.1538	0.0000	0.0000
pariBUti	low	poly2_4	A1_chat_ctx	65.68	29.68	0.00	65.68	65.68	0.5333	0.1250	0.0000
sUtraDAra	low	poly2_4	A1_chat_ctx	24.61	15.78	0.00	24.61	24.61	0.3188	0.0000	0.0000
rukmANgada	low	poly2_4	A1_chat_ctx	36.55	14.86	0.00	36.55	36.55	0.2051	0.0385	0.0000
vipariRAma	low	poly2_4	A1_chat_ctx	38.08	33.72	0.00	38.08	38.08	0.1290	0.0606	0.0000
BUmigfha	low	poly2_4	A1_chat_ctx	40.91	14.67	0.00	40.91	40.91	0.4348	0.0714	0.0000
kawAgni	low	poly2_4	A1_chat_ctx	24.18	12.41	0.00	24.18	24.18	0.2857	0.0000	0.0000
rAjanyaka	low	poly2_4	A1_chat_ctx	28.60	11.62	0.00	28.60	28.60	0.4444	0.0690	0.0000
alika	low	poly2_4	A1_chat_ctx	54.48	7.36	0.00	54.48	54.48	0.4444	0.0000	0.0000
SataBizaj	low	poly2_4	A1_chat_ctx	30.58	23.35	0.00	30.58	30.58	0.3061	0.0698	0.0000
buButsA	low	poly2_4	A1_chat_ctx	29.95	19.90	0.00	29.95	29.95	0.2353	0.0000	0.0000
sAratA	low	poly5p	A1_chat_ctx	18.25	5.27	0.00	18.25	18.25	0.1379	0.0000	0.0000
qimBa	low	poly5p	A1_chat_ctx	32.70	4.03	0.00	32.70	32.70	0.5185	0.0000	0.0000
atyAhita	low	poly5p	A1_chat_ctx	27.15	24.69	0.00	27.15	27.15	0.2500	0.0870	0.0000
GfRi	low	poly5p	A1_chat_ctx	21.89	17.36	0.00	21.89	21.89	0.1951	0.0000	0.0000
maYjula	low	poly5p	A1_chat_ctx	22.31	18.40	0.00	22.31	22.31	0.2000	0.0000	0.0000
kuwIra	low	poly5p	A1_chat_ctx	19.64	0.00	0.00	19.64	19.64	0.5000	0.0000	0.0000
jawADara	low	poly5p	A1_chat_ctx	17.05	9.95	0.00	17.05	17.05	0.2941	0.1111	0.0000
Aropa	low	poly5p	A1_chat_ctx	35.10	24.85	0.00	35.10	35.10	0.2909	0.0357	0.0000
AlIQa	low	poly5p	A1_chat_ctx	54.59	17.73	0.00	54.59	54.59	0.5538	0.0556	0.0000
rasita	low	poly5p	A1_chat_ctx	19.07	9.26	0.00	19.07	19.07	0.1667	0.0364	0.0000
SAsa	low	poly5p	A1_chat_ctx	21.08	18.30	0.00	21.08	21.08	0.2273	0.0000	0.0000
arAla	low	poly5p	A1_chat_ctx	8.46	7.22	0.00	8.46	8.46	0.1026	0.0000	0.0000
mAWara	low	poly5p	A1_chat_ctx	14.58	9.77	0.00	14.58	14.58	0.3704	0.0000	0.0000
upodGAta	low	poly5p	A1_chat_ctx	34.55	28.94	0.00	34.55	34.55	0.3265	0.1111	0.0000
vivasvat	low	poly5p	A1_chat_ctx	11.13	11.98	0.00	11.98	11.98	0.2293	0.0556	0.0000
gaRya	low	poly5p	A1_chat_ctx	28.09	15.99	0.00	28.09	28.09	0.3607	0.0500	0.0000
stamB	mid	mono	A1_chat_ctx	10.73	10.36	0.00	10.73	10.73	0.2034	0.0000	0.0000
aBIz	mid	mono	A1_chat_ctx	11.40	8.54	0.00	11.40	11.40	0.1250	0.0000	0.0000
paravaSa	mid	mono	A1_chat_ctx	45.48	7.97	0.00	45.48	45.48	0.4444	0.0377	0.0000
janayitf	mid	mono	A1_chat_ctx	46.74	14.59	0.00	46.74	46.74	0.2500	0.0000	0.0000
indranIla	mid	mono	A1_chat_ctx	50.07	13.23	0.00	50.07	50.07	0.4444	0.0000	0.0000
indraDanus	mid	mono	A1_chat_ctx	37.44	9.97	0.00	37.44	37.44	0.5000	0.0000	0.0000
pariSram	mid	mono	A1_chat_ctx	16.22	4.79	0.00	16.22	16.22	0.3158	0.0000	0.0000
dvitra	mid	mono	A1_chat_ctx	9.06	4.97	0.00	9.06	9.06	0.2500	0.1333	0.0000
varzavara	mid	mono	A1_chat_ctx	49.68	13.52	0.00	49.68	49.68	0.4444	0.0000	0.0000
prabAD	mid	mono	A1_chat_ctx	18.41	11.79	0.00	18.41	18.41	0.2051	0.0000	0.0000
pradfS	mid	mono	A1_chat_ctx	30.28	12.74	0.00	30.28	30.28	0.4516	0.0741	0.0000
upajIv	mid	mono	A1_chat_ctx	24.27	11.24	0.24	24.27	24.27	0.4000	0.0000	0.0000
anvezin	mid	mono	A1_chat_ctx	0.93	6.04	0.00	6.04	6.04	0.0000	0.0000	0.0000
BavAdfSa	mid	mono	A1_chat_ctx	1.81	5.19	1.16	5.19	5.19	0.0000	0.0000	0.0000
atyarTa	mid	mono	A1_chat_ctx	27.55	15.76	0.00	27.55	27.55	0.1333	0.0000	0.0000
antapAla	mid	mono	A1_chat_ctx	34.77	20.90	0.00	34.77	34.77	0.3750	0.0000	0.0000
Alap	mid	mono	A1_chat_ctx	49.75	11.31	0.00	49.75	49.75	0.5882	0.0000	0.0000
udgam	mid	mono	A1_chat_ctx	18.89	11.65	0.00	18.89	18.89	0.2903	0.0000	0.0000
paryAp	mid	mono	A1_chat_ctx	10.92	7.22	0.00	10.92	10.92	0.2456	0.0000	0.0000
paryupAs	mid	mono	A1_chat_ctx	21.75	10.96	0.00	21.75	21.75	0.3333	0.0000	0.0000
SrIKaRqa	mid	mono	A1_chat_ctx	24.36	14.10	0.00	24.36	24.36	0.0952	0.0000	0.0000
anvi	mid	mono	A1_chat_ctx	11.63	4.96	0.00	11.63	11.63	0.0513	0.0000	0.0000
SfgAla	mid	mono	A1_chat_ctx	23.28	3.67	0.00	23.28	23.28	0.5000	0.0000	0.0000
apasiD	mid	mono	A1_chat_ctx	40.63	10.03	0.00	40.63	40.63	0.4348	0.0000	0.0000
nizic	mid	mono	A1_chat_ctx	25.95	10.69	0.00	25.95	25.95	0.4118	0.0000	0.0000
SaMsin	mid	mono	A1_chat_ctx	32.60	17.33	0.00	32.60	32.60	0.0833	0.0000	0.0000
anuSAsana	mid	mono	A1_chat_ctx	60.62	26.83	0.00	60.62	60.62	0.3636	0.0645	0.0000
upaDAv	mid	mono	A1_chat_ctx	22.51	7.42	0.00	22.51	22.51	0.3077	0.0000	0.0000
upayam	mid	mono	A1_chat_ctx	15.29	9.15	0.00	15.29	15.29	0.3810	0.0000	0.0000
ezin	mid	mono	A1_chat_ctx	54.34	9.08	0.00	54.34	54.34	0.5333	0.0000	0.0000
sAhitya	mid	poly2_4	A1_chat_ctx	51.65	23.13	0.00	51.65	51.65	0.6000	0.1600	0.0000
