folder	basename	text_formats	media_formats	topic_tags	text_bytes_total
текст-канал-Алексей-Головастиков	ACADEMIA.-Андрей-Зализняк.-Читаем-«Слово-о-полку-Игореве».-2-лекция.-Канал-Культура	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	555869
текст-канал-Алексей-Головастиков	Andrei-Zaliznyak-lecture-01-Oct-2015	srt,txt	(none-in-same-folder)	other_unclassified	465579
текст-канал-Алексей-Головастиков	Andrei-Zaliznyak-lecture-01-Oct-2015-delayed	srt	(none-in-same-folder)	other_unclassified	290934
текст-канал-Алексей-Головастиков	Andrey-Zaliznyak-presents-a-book,-24-Dec-2015	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	385904
текст-канал-Алексей-Головастиков	Andrey-Zaliznyak-presents-a-book,-24-Dec-2015-ВЕРСИЯ-2	srt,txt	(none-in-same-folder)	other_unclassified	332793
текст-канал-Алексей-Головастиков	Igor-Melchuk-to-Andrey-Zaliznyak-birthday	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	48931
текст-канал-Алексей-Головастиков	aaz-sanskrit-14-15-3	ans	(none-in-same-folder)	other_unclassified	6651
текст-канал-Алексей-Головастиков	zaliznyak-answers-261012	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	109741
текст-канал-Алексей-Головастиков	А.-А.-Зализняк.-Строй-ведийского-языка.-2015-2016-гг.-Лекция-2.-19.09.2015	json,srt,tsv,txt,vtt	(none-in-same-folder)	sanskrit_vedic	1409994
текст-канал-Алексей-Головастиков	А.-А.-Зализняк.-Строй-ведийского-языка.-Лекция-1.-12.09.2015	ans,html,json,srt,txt	(none-in-same-folder)	sanskrit_vedic	897595
текст-канал-Алексей-Головастиков	А.А.-Гиппиус.-Берестяные-грамоты-как-живая-речь	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	518244
текст-канал-Алексей-Головастиков	А.А.-Гиппиус.-О-берестяных-грамотах-из-раскопок-сезона-2019-года	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	759059
текст-канал-Алексей-Головастиков	А.А.-Зализняк-в-МГУ,-07.11.2015	json,srt,tsv,txt,vtt	(none-in-same-folder)	other_unclassified	1208961
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Берестяные-грамоты-сезона-2014	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	796765
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Ещё-раз-о-жизни-слов	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	1027104
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Живые-механизмы-современного-русского-ударения	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	793359
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Как-изменяется-внешняя-сторона-слова	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	1003221
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Контуры-истории-русского-ударения	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	974735
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Коротко-об-арабском-языке	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	958199
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Новгородские-берестяные-грамоты	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	1328174
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-2010-г.,-лекция-1	srt,tsv,txt,vtt	(none-in-same-folder)	birchbark_novgorod	617736
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-2010-г.,-лекция-2	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	1368195
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-2010-г.,-лекция-2-ВЕРСИЯ-2	srt,txt	(none-in-same-folder)	birchbark_novgorod	370579
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-сезона-2008-года	json,srt,tsv,txt,vtt	(none-in-same-folder)	birchbark_novgorod	2827160
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-сезона-2012-года.-Лекция-2	json,srt,tsv,txt,vtt	(none-in-same-folder)	birchbark_novgorod	1888562
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-сезона-2014-года	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	1041621
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-сезона-2015-года	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	1402592
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-сезона-2016-года.-Лекция-1	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	817622
