fem_slp1	fem_iast	masc_slp1	masc_iast
cukrA	cukrā	cukra	cukra
cukrAmlA	cukrāmlā	cukrAmla	cukrāmla
culukA	culukā	culuka	culuka
culumpA	culumpā	culumpa	culumpa
cumbA	cumbā	cumba	cumba
dA	dā	da	da
dADikA	dādhikā	dADika	dādhika
dARqA	dāṇḍā	dARqa	dāṇḍa
dAdA	dādā	dAda	dāda
dAkzAyaRI	dākṣāyaṇī	dAkzAyaRin	dākṣāyaṇin
dAkziRA	dākṣiṇā	dAkziRa	dākṣiṇa
dAlA	dālā	dAla	dāla
dAmA	dāmā	dAma	dāma
dAnakA	dānakā	dAnaka	dānaka
dAntA	dāntā	dAnta	dānta
dArI	dārī	dArin	dārin
dArukA	dārukā	dAruka	dāruka
dEtyA	daityā	dEtya	daitya
dEtyamedajA	daityamedajā	dEtyamedaja	daityamedaja
dEvajYA	daivajñā	dEvajYa	daivajña
dEvajYavallaBA	daivajñavallabhā	dEvajYavallaBa	daivajñavallabha
dIkzaRA	dīkṣaṇā	dIkzaRa	dīkṣaṇa
dIkzaRIyA	dīkṣaṇīyā	dIkzaRIya	dīkṣaṇīya
dInA	dīnā	dIna	dīna
dIpinI	dīpinī	dIpin	dīpin
dIrGA	dīrghā	dIrGa	dīrgha
dIrGaPalA	dīrghaphalā	dIrGaPala	dīrghaphala
dIrGajihvA	dīrghajihvā	dIrGajihva	dīrghajihva
dIrGakARqA	dīrghakāṇḍā	dIrGakARqa	dīrghakāṇḍa
dIrGamUlA	dīrghamūlā	dIrGamUla	dīrghamūla
dIrGapattrA	dīrghapattrā	dIrGapattra	dīrghapattra
dIrGatuRqA	dīrghatuṇḍā	dIrGatuRqa	dīrghatuṇḍa
dIrGavfntA	dīrghavṛntā	dIrGavfnta	dīrghavṛnta
dUrA	dūrā	dUra	dūra
dUragA	dūragā	dUraga	dūraga
dUrapArA	dūrapārā	dUrapAra	dūrapāra
dUrvA	dūrvā	dUrva	dūrva
dUzI	dūṣī	dUzin	dūṣin
dUzaRA	dūṣaṇā	dUzaRa	dūṣaṇa
dUzitA	dūṣitā	dUzita	dūṣita
dUzyA	dūṣyā	dUzya	dūṣya
daDikrA	dadhikrā	daDikra	dadhikra
daDyuttarA	dadhyuttarā	daDyuttara	dadhyuttara
daMSI	daṃśī	daMSin	daṃśin
daMsanA	daṃsanā	daMsana	daṃsana
daMzwrA	daṃṣṭrā	daMzwra	daṃṣṭra
daRqA	daṇḍā	daRqa	daṇḍa
daRqakA	daṇḍakā	daRqaka	daṇḍaka
daRqikA	daṇḍikā	daRqika	daṇḍika
daSA	daśā	daSa	daśa
daSArRA	daśārṇā	daSArRa	daśārṇa
daSagrAmI	daśagrāmī	daSagrAmin	daśagrāmin
daSamI	daśamī	daSamin	daśamin
daSasyA	daśasyā	daSasya	daśasya
dadA	dadā	dada	dada
dagDA	dagdhā	dagDa	dagdha
dagDaruhA	dagdharuhā	dagDaruha	dagdharuha
dahanA	dahanā	dahana	dahana
dakzA	dakṣā	dakza	dakṣa
dakzasutA	dakṣasutā	dakzasuta	dakṣasuta
dakziRA	dakṣiṇā	dakziRa	dakṣiṇa
dakziRAdeSanA	dakṣiṇādeśanā	dakziRAdeSana	dakṣiṇādeśana
dakziRapUrvA	dakṣiṇapūrvā	dakziRapUrva	dakṣiṇapūrva
dantI	dantī	dantin	dantin
dantaPalA	dantaphalā	dantaPala	dantaphala
dantaSaWA	dantaśaṭhā	dantaSaWa	dantaśaṭha
dantabIjA	dantabījā	dantabIja	dantabīja
dantacCadA	dantacchadā	dantacCada	dantacchada
dantinI	dantinī	dantin	dantin
darI	darī	darin	darin
darSanIyA	darśanīyā	darSanIya	darśanīya
daridrI	daridrī	daridrin	daridrin
darvA	darvā	darva	darva
darvikA	darvikā	darvika	darvika
dattA	dattā	datta	datta
dattAmitrA	dattāmitrā	dattAmitra	dattāmitra
dayitA	dayitā	dayita	dayita
deSAKyA	deśākhyā	deSAKya	deśākhya
deSI	deśī	deSin	deśin
deSinI	deśinī	deSin	deśin
dehI	dehī	dehin	dehin
dehinI	dehinī	dehin	dehin
devA	devā	deva	deva
devAnandA	devānandā	devAnanda	devānanda
devArADanA	devārādhanā	devArADana	devārādhana
devArhA	devārhā	devArha	devārha
devI	devī	devin	devin
devabalA	devabalā	devabala	devabala
devadarSI	devadarśī	devadarSin	devadarśin
devadattA	devadattā	devadatta	devadatta
devagarBA	devagarbhā	devagarBa	devagarbha
devajA	devajā	devaja	devaja
devakA	devakā	devaka	devaka
devakulikA	devakulikā	devakulika	devakulika
devamAyA	devamāyā	devamAya	devamāya
devamitrA	devamitrā	devamitra	devamitra
devanA	devanā	devana	devana
devanirmitA	devanirmitā	devanirmita	devanirmita
devapraBA	devaprabhā	devapraBa	devaprabha
devapurA	devapurā	devapura	devapura
devarakzitA	devarakṣitā	devarakzita	devarakṣita
devasaBA	devasabhā	devasaBa	devasabha
devasahA	devasahā	devasaha	devasaha
devasenA	devasenā	devasena	devasena
devasfzwA	devasṛṣṭā	devasfzwa	devasṛṣṭa
devatyA	devatyā	devatya	devatya
devayA	devayā	devaya	devaya
devayajyA	devayajyā	devayajya	devayajya
devezwA	deveṣṭā	devezwa	deveṣṭa
devikA	devikā	devika	devika
dfQA	dṛḍhā	dfQa	dṛḍha
dfQakARqA	dṛḍhakāṇḍā	dfQakARqa	dṛḍhakāṇḍa
dfQakaRwakA	dṛḍhakaṇṭakā	dfQakaRwaka	dṛḍhakaṇṭaka
dfQapAdA	dṛḍhapādā	dfQapAda	dṛḍhapāda
dfQatfRA	dṛḍhatṛṇā	dfQatfRa	dṛḍhatṛṇa
dfQavalkA	dṛḍhavalkā	dfQavalka	dṛḍhavalka
dfSA	dṛśā	dfSa	dṛśa
dfSIkA	dṛśīkā	dfSIka	dṛśīka
dfSyAdfSyA	dṛśyādṛśyā	dfSyAdfSya	dṛśyādṛśya
dftA	dṛtā	dfta	dṛta
diSyA	diśyā	diSya	diśya
dikkarI	dikkarī	dikkarin	dikkarin
dikkarikA	dikkarikā	dikkarika	dikkarika
divA	divā	diva	diva
divAkarasutA	divākarasutā	divAkarasuta	divākarasuta
divAnDA	divāndhā	divAnDa	divāndha
divAsvApA	divāsvāpā	divAsvApa	divāsvāpa
divijA	divijā	divija	divija
divodBavA	divodbhavā	divodBava	divodbhava
divyA	divyā	divya	divya
divyAdivyA	divyādivyā	divyAdivya	divyādivya
divyaganDA	divyagandhā	divyaganDa	divyagandha
divyapuzpA	divyapuṣpā	divyapuzpa	divyapuṣpa
dohA	dohā	doha	doha
dolA	dolā	dola	dola
dozA	doṣā	doza	doṣa
drA	drā	dra	dra
drAkzA	drākṣā	drAkza	drākṣa
draNgA	draṅgā	draNga	draṅga
draviRodA	draviṇodā	draviRoda	draviṇoda
droRA	droṇā	droRa	droṇa
druRA	druṇā	druRa	druṇa
drumA	drumā	druma	druma
drupadA	drupadā	drupada	drupada
duGA	dughā	duGa	dugha
duHKitA	duḥkhitā	duHKita	duḥkhita
duHSIlA	duḥśīlā	duHSIla	duḥśīla
duHSalA	duḥśalā	duHSala	duḥśala
duHsahA	duḥsahā	duHsaha	duḥsaha
duHsparSA	duḥsparśā	duHsparSa	duḥsparśa
duHzamA	duḥṣamā	duHzama	duḥṣama
duScikitsA	duścikitsā	duScikitsa	duścikitsa
dugDI	dugdhī	dugDin	dugdhin
durADarzA	durādharṣā	durADarza	durādharṣa
durASA	durāśā	durASa	durāśa
durAlamBA	durālambhā	durAlamBa	durālambha
durArohA	durārohā	durAroha	durāroha
durAruhA	durāruhā	durAruha	durāruha
durBagA	durbhagā	durBaga	durbhaga
durDarA	durdharā	durDara	durdhara
durDarzA	durdharṣā	durDarza	durdharṣa
duraBigrahA	durabhigrahā	duraBigraha	durabhigraha
duravasTA	duravasthā	duravasTa	duravastha
durbalA	durbalā	durbala	durbala
durgA	durgā	durga	durga
durgaGnA	durgaghnā	durgaGna	durgaghna
durgatA	durgatā	durgata	durgata
durjayA	durjayā	durjaya	durjaya
durlaBA	durlabhā	durlaBa	durlabha
durmarA	durmarā	durmara	durmara
durmitrA	durmitrā	durmitra	durmitra
duzpraDarzA	duṣpradharṣā	duzpraDarza	duṣpradharṣa
duzpraveSA	duṣpraveśā	duzpraveSa	duṣpraveśa
duzwA	duṣṭā	duzwa	duṣṭa
dvA	dvā	dva	dva
dvAdaSI	dvādaśī	dvAdaSin	dvādaśin
dvArI	dvārī	dvArin	dvārin
dvArakA	dvārakā	dvAraka	dvāraka
dvArapAlikA	dvārapālikā	dvArapAlika	dvārapālika
dvAryA	dvāryā	dvArya	dvārya
dvIpasamBavA	dvīpasambhavā	dvIpasamBava	dvīpasambhava
dvIpinI	dvīpinī	dvIpin	dvīpin
dvIpyA	dvīpyā	dvIpya	dvīpya
dvayI	dvayī	dvayin	dvayin
dviDA	dvidhā	dviDa	dvidha
dvidalA	dvidalā	dvidala	dvidala
dviguRA	dviguṇā	dviguRa	dviguṇa
dvijA	dvijā	dvija	dvija
dvimAtrA	dvimātrā	dvimAtra	dvimātra
dvimuKA	dvimukhā	dvimuKa	dvimukha
dvipaTA	dvipathā	dvipaTa	dvipatha
dvipadA	dvipadā	dvipada	dvipada
dvipuruzA	dvipuruṣā	dvipuruza	dvipuruṣa
dvitA	dvitā	dvita	dvita
dvitIyA	dvitīyā	dvitIya	dvitīya
dvivarzA	dvivarṣā	dvivarza	dvivarṣa
dviviDA	dvividhā	dviviDa	dvividha
dvizA	dviṣā	dviza	dviṣa
dyotA	dyotā	dyota	dyota
eDA	edhā	eDa	edha
ekA	ekā	eka	eka
ekAdaSI	ekādaśī	ekAdaSin	ekādaśin
ekAdaSinI	ekādaśinī	ekAdaSin	ekādaśin
ekAzWIlA	ekāṣṭhīlā	ekAzWIla	ekāṣṭhīla
ekI	ekī	ekin	ekin
ekaDanA	ekadhanā	ekaDana	ekadhana
ekaSfNgA	ekaśṛṅgā	ekaSfNga	ekaśṛṅga
ekacakrA	ekacakrā	ekacakra	ekacakra
ekajawA	ekajaṭā	ekajawa	ekajaṭa
ekalavyA	ekalavyā	ekalavya	ekalavya
ekamUlA	ekamūlā	ekamUla	ekamūla
ekapadA	ekapadā	ekapada	ekapada
ekatA	ekatā	ekata	ekata
ekavIrA	ekavīrā	ekavIra	ekavīra
ekavaktrA	ekavaktrā	ekavaktra	ekavaktra
ekezwakA	ekeṣṭakā	ekezwaka	ekeṣṭaka
elA	elā	ela	ela
enA	enā	ena	ena
eraRqA	eraṇḍā	eraRqa	eraṇḍa
erakA	erakā	eraka	eraka
etA	etā	eta	eta
ezA	eṣā	eza	eṣa
ezaRA	eṣaṇā	ezaRa	eṣaṇa
ezaRI	eṣaṇī	ezaRin	eṣaṇin
fjuleKA	ṛjulekhā	fjuleKa	ṛjulekha
fkTA	ṛkthā	fkTa	ṛktha
fkzA	ṛkṣā	fkza	ṛkṣa
ftIyA	ṛtīyā	ftIya	ṛtīya
ftaMBarA	ṛtaṃbharā	ftaMBara	ṛtaṃbhara
ftaprajAtA	ṛtaprajātā	ftaprajAta	ṛtaprajāta
ftavyA	ṛtavyā	ftavya	ṛtavya
ftayA	ṛtayā	ftaya	ṛtaya
ftviyA	ṛtviyā	ftviya	ṛtviya
fzaBA	ṛṣabhā	fzaBa	ṛṣabha
fzikA	ṛṣikā	fzika	ṛṣika
gA	gā	ga	ga
gATA	gāthā	gATa	gātha
gATinI	gāthinī	gATin	gāthin
gAlI	gālī	gAlin	gālin
gAlinI	gālinī	gAlin	gālin
gArgA	gārgā	gArga	gārga
gArgikA	gārgikā	gArgika	gārgika
gAtrA	gātrā	gAtra	gātra
gAtraBaNgA	gātrabhaṅgā	gAtraBaNga	gātrabhaṅga
gAyatrI	gāyatrī	gAyatrin	gāyatrin
gErikA	gairikā	gErika	gairika
gItA	gītā	gIta	gīta
gItakA	gītakā	gItaka	gītaka
gOkakzyA	gaukakṣyā	gOkakzya	gaukakṣya
gOrA	gaurā	gOra	gaura
gOramuKA	gauramukhā	gOramuKa	gauramukha
gOrikA	gaurikā	gOrika	gaurika
gUQA	gūḍhā	gUQa	gūḍha
gaNgA	gaṅgā	gaNga	gaṅga
gaRA	gaṇā	gaRa	gaṇa
gaRanA	gaṇanā	gaRana	gaṇana
gaRerukA	gaṇerukā	gaReruka	gaṇeruka
gaRitA	gaṇitā	gaRita	gaṇita
gaRqA	gaṇḍā	gaRqa	gaṇḍa
gaRqakA	gaṇḍakā	gaRqaka	gaṇḍaka
gaRqamAlA	gaṇḍamālā	gaRqamAla	gaṇḍamāla
gaRqamAlI	gaṇḍamālī	gaRqamAlin	gaṇḍamālin
gaYjA	gañjā	gaYja	gañja
gadA	gadā	gada	gada
gahanA	gahanā	gahana	gahana
gahvarA	gahvarā	gahvara	gahvara
gajA	gajā	gaja	gaja
gajASanA	gajāśanā	gajASana	gajāśana
gajAhvA	gajāhvā	gajAhva	gajāhva
gajI	gajī	gajin	gajin
gajacirBiwA	gajacirbhiṭā	gajacirBiwa	gajacirbhiṭa
galA	galā	gala	gala
galdA	galdā	galda	galda
gamBIrA	gambhīrā	gamBIra	gambhīra
ganDA	gandhā	ganDa	gandha
ganDAQyA	gandhāḍhyā	ganDAQya	gandhāḍhya
ganDaPalA	gandhaphalā	ganDaPala	gandhaphala
ganDabahulA	gandhabahulā	ganDabahula	gandhabahula
ganDamAlinI	gandhamālinī	ganDamAlin	gandhamālin
ganDamUlA	gandhamūlā	ganDamUla	gandhamūla
ganDamUzikA	gandhamūṣikā	ganDamUzika	gandhamūṣika
ganDapattrA	gandhapattrā	ganDapattra	gandhapattra
ganDapuzpA	gandhapuṣpā	ganDapuzpa	gandhapuṣpa
ganDarvA	gandharvā	ganDarva	gandharva
ganDavAhA	gandhavāhā	ganDavAha	gandhavāha
ganDavahA	gandhavahā	ganDavaha	gandhavaha
ganDikA	gandhikā	ganDika	gandhika
ganDinI	gandhinī	ganDin	gandhin
ganDottamA	gandhottamā	ganDottama	gandhottama
gaqA	gaḍā	gaqa	gaḍa
garA	garā	gara	gara
garBaDAraRA	garbhadhāraṇā	garBaDAraRa	garbhadhāraṇa
garBadA	garbhadā	garBada	garbhada
garBasamBavA	garbhasambhavā	garBasamBava	garbhasambhava
garBavedanA	garbhavedanā	garBavedana	garbhavedana
garDanA	gardhanā	garDana	gardhana
gargA	gargā	garga	garga
gargarA	gargarā	gargara	gargara
garhaRA	garhaṇā	garhaRa	garhaṇa
garjA	garjā	garja	garja
gartA	gartā	garta	garta
garuqavegA	garuḍavegā	garuqavega	garuḍavega
gavIDukA	gavīdhukā	gavIDuka	gavīdhuka
gaveDukA	gavedhukā	gaveDuka	gavedhuka
gavezaRA	gaveṣaṇā	gavezaRa	gaveṣaṇa
gavyA	gavyā	gavya	gavya
gayA	gayā	gaya	gaya
gfDrARA	gṛdhrāṇā	gfDrARa	gṛdhrāṇa
gfDrapattrA	gṛdhrapattrā	gfDrapattra	gṛdhrapattra
gfDyA	gṛdhyā	gfDya	gṛdhya
gfhameDinI	gṛhamedhinī	gfhameDin	gṛhamedhin
gfhasTA	gṛhasthā	gfhasTa	gṛhastha
gfhyA	gṛhyā	gfhya	gṛhya
girA	girā	gira	gira
girISA	girīśā	girISa	girīśa
giriSA	giriśā	giriSa	giriśa
girijA	girijā	girija	girija
girikA	girikā	girika	girika
girisutA	girisutā	girisuta	girisuta
glA	glā	gla	gla
glahA	glahā	glaha	glaha
goDA	godhā	goDa	godha
goRA	goṇā	goRa	goṇa
goSAlA	gośālā	goSAla	gośāla
gocandanA	gocandanā	gocandana	gocandana
godA	godā	goda	goda
godugDA	godugdhā	godugDa	godugdha
gojikA	gojikā	gojika	gojika
gokarRA	gokarṇā	gokarRa	gokarṇa
golA	golā	gola	gola
gonAsA	gonāsā	gonAsa	gonāsa
gonandA	gonandā	gonanda	gonanda
gonasA	gonasā	gonasa	gonasa
gopA	gopā	gopa	gopa
gopaBadrA	gopabhadrā	gopaBadra	gopabhadra
gopanA	gopanā	gopana	gopana
gopikA	gopikā	gopika	gopika
gopurA	gopurā	gopura	gopura
goqumbA	goḍumbā	goqumba	goḍumba
gorakzA	gorakṣā	gorakza	gorakṣa
gosamBavA	gosambhavā	gosamBava	gosambhava
gotarA	gotarā	gotara	gotara
gotrA	gotrā	gotra	gotra
gozWA	goṣṭhā	gozWa	goṣṭha
grAhI	grāhī	grAhin	grāhin
grAhikA	grāhikā	grAhika	grāhika
grAhyA	grāhyā	grAhya	grāhya
grAmIRA	grāmīṇā	grAmIRa	grāmīṇa
grAmeyA	grāmeyā	grAmeya	grāmeya
grAmeyakA	grāmeyakā	grAmeyaka	grāmeyaka
grAmyA	grāmyā	grAmya	grāmya
grAvastotrIyA	grāvastotrīyā	grAvastotrIya	grāvastotrīya
grIvA	grīvā	grIva	grīva
grIzmA	grīṣmā	grIzma	grīṣma
graTanA	grathanā	graTana	grathana
granTanA	granthanā	granTana	granthana
granTidalA	granthidalā	granTidala	granthidala
granTilA	granthilā	granTila	granthila
granTimUlA	granthimūlā	granTimUla	granthimūla
granTiparRA	granthiparṇā	granTiparRa	granthiparṇa
guRA	guṇā	guRa	guṇa
guRI	guṇī	guRin	guṇin
guRWanA	guṇṭhanā	guRWana	guṇṭhana
guRavivecanA	guṇavivecanā	guRavivecana	guṇavivecana
guRitA	guṇitā	guRita	guṇita
guRqA	guṇḍā	guRqa	guṇḍa
guRqikA	guṇḍikā	guRqika	guṇḍika
guYjA	guñjā	guYja	guñja
gucCaPalA	gucchaphalā	gucCaPala	gucchaphala
gudA	gudā	guda	guda
gudavadanA	gudavadanā	gudavadana	gudavadana
guhA	guhā	guha	guha
gulA	gulā	gula	gula
gulikA	gulikā	gulika	gulika
gulmI	gulmī	gulmin	gulmin
gulminI	gulminī	gulmin	gulmin
gumPanA	gumphanā	gumPana	gumphana
gundrA	gundrā	gundra	gundra
guptA	guptā	gupta	gupta
guptasnehA	guptasnehā	guptasneha	guptasneha
guptikA	guptikā	guptika	guptika
guqA	guḍā	guqa	guḍa
gurupattrA	gurupattrā	gurupattra	gurupattra
hA	hā	ha	ha
hAlA	hālā	hAla	hāla
hAlAhalA	hālāhalā	hAlAhala	hālāhala
hArA	hārā	hAra	hāra
hArI	hārī	hArin	hārin
hArahUrA	hārahūrā	hArahUra	hārahūra
hArikA	hārikā	hArika	hārika
hAritA	hāritā	hArita	hārita
hAryA	hāryā	hArya	hārya
hAsA	hāsā	hAsa	hāsa
hAsinI	hāsinī	hAsin	hāsin
hEmA	haimā	hEma	haima
hEmamudrikA	haimamudrikā	hEmamudrika	haimamudrika
hInA	hīnā	hIna	hīna
hIrA	hīrā	hIra	hīra
haMsI	haṃsī	haMsin	haṃsin
haMsagamanA	haṃsagamanā	haMsagamana	haṃsagamana
haMsanAdinI	haṃsanādinī	haMsanAdin	haṃsanādin
haMsapAdA	haṃsapādā	haMsapAda	haṃsapāda
haMsapadA	haṃsapadā	haMsapada	haṃsapada
haMsinI	haṃsinī	haMsin	haṃsin
haRqA	haṇḍā	haRqa	haṇḍa
hakkA	hakkā	hakka	hakka
halA	halā	hala	hala
halI	halī	halin	halin
halahalA	halahalā	halahala	halahala
halakA	halakā	halaka	halaka
halinI	halinī	halin	halin
halipriyA	halipriyā	halipriya	halipriya
halyA	halyā	halya	halya
hambA	hambā	hamba	hamba
hanA	hanā	hana	hana
harASayA	harāśayā	harASaya	harāśaya
harI	harī	harin	harin
hariRaplutA	hariṇaplutā	hariRapluta	hariṇapluta
hariSayA	hariśayā	hariSaya	hariśaya
haridattA	haridattā	haridatta	haridatta
haridrA	haridrā	haridra	haridra
haripriyA	haripriyā	haripriya	haripriya
haritA	haritā	harita	harita
harivallaBA	harivallabhā	harivallaBa	harivallabha
harzulA	harṣulā	harzula	harṣula
hasanA	hasanā	hasana	hasana
hastA	hastā	hasta	hasta
hastaDAraRA	hastadhāraṇā	hastaDAraRa	hastadhāraṇa
hastiSuRqA	hastiśuṇḍā	hastiSuRqa	hastiśuṇḍa
hastikA	hastikā	hastika	hastika
hastinI	hastinī	hastin	hastin
hatA	hatā	hata	hata
hatyA	hatyā	hatya	hatya
havirDAnI	havirdhānī	havirDAnin	havirdhānin
havizyA	haviṣyā	havizya	haviṣya
havyA	havyā	havya	havya
hayaganDA	hayagandhā	hayaganDa	hayagandha
hayagrIvA	hayagrīvā	hayagrIva	hayagrīva
hayapriyA	hayapriyā	hayapriya	hayapriya
hemA	hemā	hema	hema
hemABA	hemābhā	hemABa	hemābha
hemANgA	hemāṅgā	hemANga	hemāṅga
hemAhvA	hemāhvā	hemAhva	hemāhva
hemadugDA	hemadugdhā	hemadugDa	hemadugdha
hemadugDI	hemadugdhī	hemadugDin	hemadugdhin
hemnA	hemnā	hemna	hemna
herukA	herukā	heruka	heruka
hezA	heṣā	heza	heṣa
hfRIyA	hṛṇīyā	hfRIya	hṛṇīya
hfdayA	hṛdayā	hfdaya	hṛdaya
hfdayeSA	hṛdayeśā	hfdayeSa	hṛdayeśa
hfdyA	hṛdyā	hfdya	hṛdya
hfdyaganDA	hṛdyagandhā	hfdyaganDa	hṛdyagandha
hiMsA	hiṃsā	hiMsa	hiṃsa
hiMsrA	hiṃsrā	hiMsra	hiṃsra
hiNgulA	hiṅgulā	hiNgula	hiṅgula
himA	himā	hima	hima
himAlayA	himālayā	himAlaya	himālaya
himaSElajA	himaśailajā	himaSElaja	himaśailaja
himabAlukA	himabālukā	himabAluka	himabāluka
himajA	himajā	himaja	himaja
himavAlukA	himavālukā	himavAluka	himavāluka
himavatsutA	himavatsutā	himavatsuta	himavatsuta
himotpannA	himotpannā	himotpanna	himotpanna
himyA	himyā	himya	himya
hiqimbA	hiḍimbā	hiqimba	hiḍimba
hirA	hirā	hira	hira
hiraRyA	hiraṇyā	hiraRya	hiraṇya
hiraRyadA	hiraṇyadā	hiraRyada	hiraṇyada
hiraRyagarBA	hiraṇyagarbhā	hiraRyagarBa	hiraṇyagarbha
hiraRyakeSI	hiraṇyakeśī	hiraRyakeSin	hiraṇyakeśin
hiraRyavarRA	hiraṇyavarṇā	hiraRyavarRa	hiraṇyavarṇa
hiraRyayA	hiraṇyayā	hiraRyaya	hiraṇyaya
hiraRyinI	hiraṇyinī	hiraRyin	hiraṇyin
hitA	hitā	hita	hita
hitAhitA	hitāhitā	hitAhita	hitāhita
hlAdinI	hlādinī	hlAdin	hlādin
hlIkA	hlīkā	hlIka	hlīka
holA	holā	hola	hola
holAkA	holākā	holAka	holāka
hominI	hominī	homin	homin
hoqA	hoḍā	hoqa	hoḍa
hotrA	hotrā	hotra	hotra
hotrI	hotrī	hotrin	hotrin
hrAdinI	hrādinī	hrAdin	hrādin
hrIkA	hrīkā	hrIka	hrīka
hradA	hradā	hrada	hrada
hradI	hradī	hradin	hradin
hradinI	hradinī	hradin	hradin
hrasvA	hrasvā	hrasva	hrasva
hrasvaPalA	hrasvaphalā	hrasvaPala	hrasvaphala
hriRIyA	hriṇīyā	hriRIya	hriṇīya
huMkArA	huṃkārā	huMkAra	huṃkāra
huRqA	huṇḍā	huRqa	huṇḍa
huqukkA	huḍukkā	huqukka	huḍukka
hutASanA	hutāśanā	hutASana	hutāśana
hvalA	hvalā	hvala	hvala
iByA	ibhyā	iBya	ibhya
iNgA	iṅgā	iNga	iṅga
ijyA	ijyā	ijya	ijya
ikzuganDA	ikṣugandhā	ikzuganDa	ikṣugandha
ikzvAlikA	ikṣvālikā	ikzvAlika	ikṣvālika
ilA	ilā	ila	ila
ilavilA	ilavilā	ilavila	ilavila
ilvalA	ilvalā	ilvala	ilvala
indIvarA	indīvarā	indIvara	indīvara
indrA	indrā	indra	indra
indrAyuDA	indrāyudhā	indrAyuDa	indrāyudha
indrajA	indrajā	indraja	indraja
indramArgA	indramārgā	indramArga	indramārga
indrapuzpA	indrapuṣpā	indrapuzpa	indrapuṣpa
indrasenA	indrasenā	indrasena	indrasena
indravajrA	indravajrā	indravajra	indravajra
induBA	indubhā	induBa	indubha
indujA	indujā	induja	induja
indukA	indukā	induka	induka
indukAntA	indukāntā	indukAnta	indukānta
induvadanA	induvadanā	induvadana	induvadana
invakA	invakā	invaka	invaka
iqA	iḍā	iqa	iḍa
iqaviqA	iḍaviḍā	iqaviqa	iḍaviḍa
irasyA	irasyā	irasya	irasya
itTA	itthā	itTa	ittha
itarA	itarā	itara	itara
itikaTA	itikathā	itikaTa	itikatha
ityA	ityā	itya	itya
izIkA	iṣīkā	izIka	iṣīka
izaRyA	iṣaṇyā	izaRya	iṣaṇya
izuDyA	iṣudhyā	izuDya	iṣudhya
izukA	iṣukā	izuka	iṣuka
izvA	iṣvā	izva	iṣva
izwA	iṣṭā	izwa	iṣṭa
jA	jā	ja	ja
jANgalI	jāṅgalī	jANgalin	jāṅgalin
jANgulA	jāṅgulā	jANgula	jāṅgula
jAgarA	jāgarā	jAgara	jāgara
jAlI	jālī	jAlin	jālin
jAlikA	jālikā	jAlika	jālika
jAlinI	jālinī	jAlin	jālin
jAnukA	jānukā	jAnuka	jānuka
jArI	jārī	jArin	jārin
jAraRA	jāraṇā	jAraRa	jāraṇa
jAragarBA	jāragarbhā	jAragarBa	jāragarbha
jAtA	jātā	jAta	jāta
jAtIPalA	jātīphalā	jAtIPala	jātīphala
jIrRA	jīrṇā	jIrRa	jīrṇa
jIvA	jīvā	jIva	jīva
jIvASA	jīvāśā	jIvASa	jīvāśa
jIvI	jīvī	jIvin	jīvin
jIvaGAtyA	jīvaghātyā	jIvaGAtya	jīvaghātya
jIvadA	jīvadā	jIvada	jīvada
jIvalA	jīvalā	jIvala	jīvala
jIvanA	jīvanā	jIvana	jīvana
jIvanIyA	jīvanīyā	jIvanIya	jīvanīya
jIvantikA	jīvantikā	jIvantika	jīvantika
jIvapuzpA	jīvapuṣpā	jIvapuzpa	jīvapuṣpa
jIviteSA	jīviteśā	jIviteSa	jīviteśa
jIvyA	jīvyā	jIvya	jīvya
jUrRI	jūrṇī	jUrRin	jūrṇin
jYA	jñā	jYa	jña
jYAnA	jñānā	jYAna	jñāna
jYAnamudrA	jñānamudrā	jYAnamudra	jñānamudra
jYatA	jñatā	jYata	jñata
jaNGA	jaṅghā	jaNGa	jaṅgha
jagannATA	jagannāthā	jagannATa	jagannātha
jahA	jahā	jaha	jaha
jahakA	jahakā	jahaka	jahaka
jahatsvArTA	jahatsvārthā	jahatsvArTa	jahatsvārtha
jajjalA	jajjalā	jajjala	jajjala
jalA	jalā	jala	jala
jalASayA	jalāśayā	jalASaya	jalāśaya
jalASrayA	jalāśrayā	jalASraya	jalāśraya
jalArdrA	jalārdrā	jalArdra	jalārdra
jalOkA	jalaukā	jalOka	jalauka
jalOkasA	jalaukasā	jalOkasa	jalaukasa
jalaDArA	jaladhārā	jalaDAra	jaladhāra
jalaMDamA	jalaṃdhamā	jalaMDama	jalaṃdhama
jalajA	jalajā	jalaja	jalaja
jalajIvinI	jalajīvinī	jalajIvin	jalajīvin
jalapriyA	jalapriyā	jalapriya	jalapriya
jalasTA	jalasthā	jalasTa	jalastha
jalavAsA	jalavāsā	jalavAsa	jalavāsa
jaleruhA	jaleruhā	jaleruha	jaleruha
jalodBUtA	jalodbhūtā	jalodBUta	jalodbhūta
jalodBavA	jalodbhavā	jalodBava	jalodbhava
jalokA	jalokā	jaloka	jaloka
jamBA	jambhā	jamBa	jambha
jamBI	jambhī	jamBin	jambhin
jamBakA	jambhakā	jamBaka	jambhaka
jamBalA	jambhalā	jamBala	jambhala
jambUkA	jambūkā	jambUka	jambūka
jambukA	jambukā	jambuka	jambuka
janA	janā	jana	jana
janaMgamA	janaṃgamā	janaMgama	janaṃgama
janaSrutA	janaśrutā	janaSruta	janaśruta
janakalpA	janakalpā	janakalpa	janakalpa
janezwA	janeṣṭā	janezwa	janeṣṭa
