slp1	iast
CinnapatrI	chinnapatrī
CinnaruhA	chinnaruhā
CinnaveSikA	chinnaveśikā
CinnodBavA	chinnodbhavā
CowI	choṭī
CowikA	choṭikā
CuCundarI	chuchundarī
CurI	churī
CurikA	churikā
DAmanI	dhāmanī
DAnA	dhānā
DAnDA	dhāndhā
DAnI	dhānī
DAnuzkA	dhānuṣkā
DArA	dhārā
DArAsnuhI	dhārāsnuhī
DArI	dhārī
DAraRA	dhāraṇā
DAraRI	dhāraṇī
DAraRIyA	dhāraṇīyā
DArayitrI	dhārayitrī
DAriRI	dhāriṇī
DArttarAzwrapadI	dhārttarāṣṭrapadī
DAtA	dhātā
DAtakI	dhātakī
DAtfpuzpI	dhātṛpuṣpī
DAtfpuzpikA	dhātṛpuṣpikā
DAtrI	dhātrī
DAtreyI	dhātreyī
DAtreyikA	dhātreyikā
DAtrikA	dhātrikā
DAtumAriRI	dhātumāriṇī
DAtupuzpI	dhātupuṣpī
DAtupuzpikA	dhātupuṣpikā
DAtuvAdI	dhātuvādī
DAtuvErI	dhātuvairī
DAvanI	dhāvanī
DAvanikA	dhāvanikā
DAwI	dhāṭī
DAyyA	dhāyyā
DI	dhī
DIdA	dhīdā
DImatI	dhīmatī
DIrA	dhīrā
DIrADIrA	dhīrādhīrā
DIrapatrI	dhīrapatrī
DIvA	dhīvā
DIvarI	dhīvarī
DUlikA	dhūlikā
DUlipuzpikA	dhūlipuṣpikā
DUmAvatI	dhūmāvatī
DUmamahizI	dhūmamahiṣī
DUmapraBA	dhūmaprabhā
DUmasI	dhūmasī
DUmikA	dhūmikā
DUmorRA	dhūmorṇā
DUmrA	dhūmrā
DUmramUlikA	dhūmramūlikā
DUmrapatrA	dhūmrapatrā
DUmravarRA	dhūmravarṇā
DUmrikA	dhūmrikā
DUmyA	dhūmyā
DUrttamAnuzA	dhūrttamānuṣā
DUrvvI	dhūrvvī
DUsarA	dhūsarā
DUsarI	dhūsarī
DUsaracCadA	dhūsaracchadā
DUsarapatrikA	dhūsarapatrikā
DamanI	dhamanī
DanASA	dhanāśā
DanI	dhanī
DanIkA	dhanīkā
DanadAkzI	dhanadākṣī
DanadAyI	dhanadāyī
DanaharI	dhanaharī
DanandadA	dhanandadā
DanapiSAcI	dhanapiśācī
DanapiSAcikA	dhanapiśācikā
DanapriyA	dhanapriyā
DanavatI	dhanavatī
DanikA	dhanikā
DanizWA	dhaniṣṭhā
DanuHSAKA	dhanuḥśākhā
DanuHSreRI	dhanuḥśreṇī
DanurDArI	dhanurdhārī
DanurguRA	dhanurguṇā
DanurlatA	dhanurlatā
DanurmAlA	dhanurmālā
DanvI	dhanvī
DanvantarigrastA	dhanvantarigrastā
DanyA	dhanyā
DarA	dharā
DaraRI	dharaṇī
DaraRIsutA	dharaṇīsutā
DarimA	dharimā
DaritrI	dharitrī
DarmmADikaraRI	dharmmādhikaraṇī
DarmmAtmA	dharmmātmā
DarmmI	dharmmī
DarmmaDvajI	dharmmadhvajī
DarmmacAriRI	dharmmacāriṇī
DarmmacintA	dharmmacintā
DarmmadravI	dharmmadravī
DarmmarAjaparIkzA	dharmmarājaparīkṣā
DarmmasaMhitA	dharmmasaṃhitā
DarmmiRI	dharmmiṇī
DarzaRI	dharṣaṇī
DarzakAriRI	dharṣakāriṇī
DarziRI	dharṣiṇī
DarzitA	dharṣitā
DavalA	dhavalā
DavalI	dhavalī
DavalamfttikA	dhavalamṛttikā
DavalapAwalI	dhavalapāṭalī
DawI	dhaṭī
DawaparIkzA	dhaṭaparīkṣā
DenA	dhenā
DenikA	dhenikā
DenukA	dhenukā
DenuzyA	dhenuṣyā
DftarAzwrI	dhṛtarāṣṭrī
DftvA	dhṛtvā
DftvarI	dhṛtvarī
DfzwA	dhṛṣṭā
DikkriyA	dhikkriyā
DizaRA	dhiṣaṇā
DmA	dhmā
DmAmA	dhmāmā
DruvA	dhruvā
DruvakA	dhruvakā
DunI	dhunī
DurA	dhurā
DuvakA	dhuvakā
DvANkzAdanI	dhvāṅkṣādanī
DvANkzI	dhvāṅkṣī
DvANkzadantI	dhvāṅkṣadantī
DvANkzajaNGA	dhvāṅkṣajaṅghā
DvANkzamAcI	dhvāṅkṣamācī
DvANkzanASinI	dhvāṅkṣanāśinī
DvANkzanAmnI	dhvāṅkṣanāmnī
DvANkzanAsA	dhvāṅkṣanāsā
DvANkzanAsikA	dhvāṅkṣanāsikā
DvANkzanaKI	dhvāṅkṣanakhī
DvANkzatuRqI	dhvāṅkṣatuṇḍī
DvANkzavallI	dhvāṅkṣavallī
DvANkzolI	dhvāṅkṣolī
DvaMsI	dhvaṃsī
DvajI	dhvajī
DvajinI	dhvajinī
DvanamodI	dhvanamodī
DvaninAlA	dhvaninālā
DyAmA	dhyāmā
EBI	aibhī
ESAnI	aiśānī
ESI	aiśī
ESvarI	aiśvarī
ESvaryyakarmmA	aiśvaryyakarmmā
EndavI	aindavī
EndrI	aindrī
ErAvatI	airāvatī
GAtipakzI	ghātipakṣī
GAwA	ghāṭā
GAwikA	ghāṭikā
GaRwAlI	ghaṇṭālī
GaRwAravA	ghaṇṭāravā
GaRwikA	ghaṇṭikā
GanA	ghanā
GanAGanA	ghanāghanā
GanajvAlA	ghanajvālā
GanavallI	ghanavallī
GanavallikA	ghanavallikā
GarGarA	ghargharā
GarGarikA	ghargharikā
GarGurGA	gharghurghā
GarmmAntakAmukI	gharmmāntakāmukī
GarmmavicarccikA	gharmmavicarccikā
GarzaRI	gharṣaṇī
GawI	ghaṭī
GawadAsI	ghaṭadāsī
GawanA	ghaṭanā
GawikA	ghaṭikā
GawwagA	ghaṭṭagā
GawwajIvA	ghaṭṭajīvā
GawwanA	ghaṭṭanā
GeYculikA	gheñculikā
GftA	ghṛtā
GftAcI	ghṛtācī
GftAcIgarBasamBavA	ghṛtācīgarbhasambhavā
GftakumArI	ghṛtakumārī
GftakumArikA	ghṛtakumārikā
GftamaRqA	ghṛtamaṇḍā
GftamaRqalikA	ghṛtamaṇḍalikā
GftelI	ghṛtelī
GfzWilA	ghṛṣṭhilā
GoRA	ghoṇā
GoRI	ghoṇī
GoRwA	ghoṇṭā
GolI	gholī
GorA	ghorā
GorarAsI	ghorarāsī
GowikA	ghoṭikā
GozA	ghoṣā
GozAtakI	ghoṣātakī
