a_slp1	a_iast	b_slp1	b_iast
kuSaRqa	kuśaṇḍa	kuzaRqa	kuṣaṇḍa
kuSala	kuśala	kuzala	kuṣala
kuSapa	kuśapa	kuzapa	kuṣapa
kuSika	kuśika	kuzika	kuṣika
kuSita	kuśita	kuzita	kuṣita
kubera	kubera	kuvera	kuvera
kudAla	kudāla	kuddAla	kuddāla
kuhaka	kuhaka	kuhakka	kuhakka
kukkura	kukkura	kukura	kukura
kukkuvAc	kukkuvāc	kukuvAc	kukuvāc
kukkuwa	kukkuṭa	kukuwa	kukuṭa
kulaka	kulaka	kulakka	kulakka
kuraba	kuraba	kurava	kurava
kuw	kuṭ	kuww	kuṭṭ
kuwIra	kuṭīra	kuwwIra	kuṭṭīra
kuwa	kuṭa	kuwwa	kuṭṭa
kuwahArikA	kuṭahārikā	kuwwahArikA	kuṭṭahārikā
kuwaka	kuṭaka	kuwwaka	kuṭṭaka
kuwita	kuṭita	kuwwita	kuṭṭita
kzAtra	kṣātra	kzAttra	kṣāttra
kzIb	kṣīb	kzIv	kṣīv
kzIba	kṣība	kzIva	kṣīva
kzIban	kṣīban	kzIvan	kṣīvan
kzIbika	kṣībika	kzIvika	kṣīvika
kzaya	kṣaya	kzayya	kṣayya
kzotf	kṣotṛ	kzottf	kṣottṛ
kzuRRa	kṣuṇṇa	kzuRa	kṣuṇa
lAba	lāba	lAva	lāva
lAbaka	lābaka	lAvaka	lāvaka
lAbu	lābu	lAvu	lāvu
lIkA	līkā	lIkkA	līkkā
laS	laś	laz	laṣ
laba	laba	lava	lava
laj	laj	lajj	lajj
lala	lala	lalla	lalla
laqquka	laḍḍuka	laquka	laḍuka
latikA	latikā	lattikA	lattikā
lawa	laṭa	lawwa	laṭṭa
libi	libi	livi	livi
luSa	luśa	luza	luṣa
mAla	māla	mAlla	mālla
mAlavI	mālavī	mAllavI	māllavī
mAya	māya	mAyya	māyya
mOSala	mauśala	mOzala	mauṣala
maS	maś	maz	maṣ
madyabIja	madyabīja	madyavIja	madyavīja
mahAmata	mahāmata	mahAmatta	mahāmatta
mahAsana	mahāsana	mahAsanna	mahāsanna
mahaka	mahaka	mahakka	mahakka
mahatA	mahatā	mahattA	mahattā
maj	maj	majj	majj
mak	mak	makk	makk
makkula	makkula	makula	makula
mal	mal	mall	mall
malA	malā	mallA	mallā
malAri	malāri	mallAri	mallāri
mala	mala	malla	malla
malaga	malaga	mallaga	mallaga
malaja	malaja	mallaja	mallaja
malakUwa	malakūṭa	mallakUwa	mallakūṭa
malaka	malaka	mallaka	mallaka
mali	mali	malli	malli
malika	malika	mallika	mallika
malinI	malinī	mallinI	mallinī
mama	mama	mamma	mamma
mamaka	mamaka	mammaka	mammaka
marSa	marśa	marza	marṣa
marb	marb	marv	marv
maruta	maruta	marutta	marutta
mata	mata	matta	matta
mawa	maṭa	mawwa	maṭṭa
mawaka	maṭaka	mawwaka	maṭṭaka
meSI	meśī	mezI	meṣī
meSikA	meśikā	mezikA	meṣikā
meb	meb	mev	mev
mfS	mṛś	mfz	mṛṣ
mfcaya	mṛcaya	mfccaya	mṛccaya
mftAlaka	mṛtālaka	mfttAlaka	mṛttālaka
miS	miś	miz	miṣ
miSi	miśi	mizi	miṣi
milA	milā	millA	millā
muSala	muśala	muzala	muṣala
muda	muda	mudda	mudda
mukuwa	mukuṭa	mukuwwa	mukuṭṭa
muwa	muṭa	muwwa	muṭṭa
nAgaBawa	nāgabhaṭa	nAgaBawwa	nāgabhaṭṭa
nES	naiś	nEz	naiṣ
nESa	naiśa	nEza	naiṣa
nEmiSIya	naimiśīya	nEmizIya	naimiṣīya
nEmiSa	naimiśa	nEmiza	naimiṣa
nEyAyika	naiyāyika	nEyyAyika	naiyyāyika
nEyagroDa	naiyagrodha	nEyyagroDa	naiyyagrodha
nEyamika	naiyamika	nEyyamika	naiyyamika
nIlapawa	nīlapaṭa	nIlapawwa	nīlapaṭṭa
nIta	nīta	nItta	nītta
nak	nak	nakk	nakk
nala	nala	nalla	nalla
namEya	namaiya	nammEya	nammaiya
nawa	naṭa	nawwa	naṭṭa
nawaka	naṭaka	nawwaka	naṭṭaka
nawanArAyaRa	naṭanārāyaṇa	nawwanArAyaRa	naṭṭanārāyaṇa
niS	niś	niz	niṣ
niSAda	niśāda	nizAda	niṣāda
niSAdatva	niśādatva	nizAdatva	niṣādatva
niSaWa	niśaṭha	nizaWa	niṣaṭha
niScita	niścita	niScitta	niścitta
niSita	niśita	nizita	niṣita
niSo	niśo	nizo	niṣo
nibarhaRa	nibarhaṇa	nivarhaRa	nivarhaṇa
nibfh	nibṛh	nivfh	nivṛh
nibiqa	nibiḍa	niviqa	niviḍa
nikASa	nikāśa	nikAza	nikāṣa
nikAya	nikāya	nikAyya	nikāyya
nikfta	nikṛta	nikftta	nikṛtta
nimita	nimita	nimitta	nimitta
nirISa	nirīśa	nirIza	nirīṣa
nirbARa	nirbāṇa	nirvARa	nirvāṇa
nirbIja	nirbīja	nirvIja	nirvīja
nirmaj	nirmaj	nirmajj	nirmajj
nirvfta	nirvṛta	nirvftta	nirvṛtta
nirvfti	nirvṛti	nirvftti	nirvṛtti
niveSya	niveśya	nivezya	niveṣya
nivfta	nivṛta	nivftta	nivṛtta
nivfti	nivṛti	nivftti	nivṛtti
niwala	niṭala	niwwala	niṭṭala
nizah	niṣah	nizzah	niṣṣah
niziD	niṣidh	nizziD	niṣṣidh
nizkASa	niṣkāśa	nizkAza	niṣkāṣa
nizkoSa	niṣkośa	nizkoza	niṣkoṣa
nizpiS	niṣpiś	nizpiz	niṣpiṣ
nuta	nuta	nutta	nutta
nuti	nuti	nutti	nutti
nyAya	nyāya	nyAyya	nyāyya
nyAyatva	nyāyatva	nyAyyatva	nyāyyatva
nyarRRa	nyarṇṇa	nyarRa	nyarṇa
pASI	pāśī	pAzI	pāṣī
pASaka	pāśaka	pAzaka	pāṣaka
pAScAttya	pāścāttya	pAScAtya	pāścātya
pAlaka	pālaka	pAlakka	pālakka
pAlaka	pālaka	pAllaka	pāllaka
pAnAgAra	pānāgāra	pAnnAgAra	pānnāgāra
pAya	pāya	pAyya	pāyya
pEllya	paillya	pElya	pailya
pIbas	pības	pIvas	pīvas
pOtika	pautika	pOttika	pauttika
pUrRabanDura	pūrṇabandhura	pUrRavanDura	pūrṇavandhura
pUrvacitI	pūrvacitī	pUrvacittI	pūrvacittī
pUrvavfta	pūrvavṛta	pUrvavftta	pūrvavṛtta
paRAya	paṇāya	paRAyya	paṇāyya
paS	paś	paz	paṣ
paYcabanDura	pañcabandhura	paYcavanDura	pañcavandhura
pacanI	pacanī	paccanI	paccanī
pacanikA	pacanikā	paccanikA	paccanikā
pal	pal	pall	pall
palISa	palīśa	pallISa	pallīśa
pala	pala	palla	palla
palava	palava	pallava	pallava
panAya	panāya	panAyya	panāyya
paqbISa	paḍbīśa	paqvISa	paḍvīśa
paqbISaSaNku	paḍbīśaśaṅku	paqvISaSaNku	paḍvīśaśaṅku
parIS	parīś	parIz	parīṣ
parIta	parīta	parItta	parītta
parIti	parīti	parItti	parītti
parb	parb	parv	parv
pariGaw	parighaṭ	pariGaww	parighaṭṭ
pariSanna	pariśanna	parizanna	pariṣanna
paribarha	paribarha	parivarha	parivarha
paribfMh	paribṛṃh	parivfMh	parivṛṃh
paribfQa	paribṛḍha	parivfQa	parivṛḍha
parikfS	parikṛś	parikfz	parikṛṣ
parikfta	parikṛta	parikftta	parikṛtta
parikzIba	parikṣība	parikzIva	parikṣīva
parimarSa	parimarśa	parimarza	parimarṣa
parimfS	parimṛś	parimfz	parimṛṣ
pariveSa	pariveśa	pariveza	pariveṣa
parivfta	parivṛta	parivftta	parivṛtta
parivfti	parivṛti	parivftti	parivṛtti
pariviS	pariviś	pariviz	pariviṣ
paruSSas	paruśśas	paruSas	paruśas
patana	patana	pattana	pattana
pati	pati	patti	patti
pawI	paṭī	pawwI	paṭṭī
pawa	paṭa	pawwa	paṭṭa
pawaka	paṭaka	pawwaka	paṭṭaka
pawi	paṭi	pawwi	paṭṭi
pawikA	paṭikā	pawwikA	paṭṭikā
pawolikA	paṭolikā	pawwolikA	paṭṭolikā
peSI	peśī	pezI	peṣī
peSa	peśa	peza	peṣa
peSi	peśi	pezi	peṣi
peb	peb	pev	pev
piMS	piṃś	piMz	piṃṣ
piS	piś	piz	piṣ
pika	pika	pikka	pikka
pittakoSa	pittakośa	pittakoza	pittakoṣa
piwaka	piṭaka	piwwaka	piṭṭaka
plab	plab	plav	plav
potabaRij	potabaṇij	potavaRij	potavaṇij
powala	poṭala	powwala	poṭṭala
powalaka	poṭalaka	powwalaka	poṭṭalaka
prAbAlika	prābālika	prAvAlika	prāvālika
prAjYamAnin	prājñamānin	prAjYammAnin	prājñammānin
prAkfta	prākṛta	prAkkfta	prākkṛta
prEyameDa	praiyamedha	prEyyameDa	praiyyamedha
praGawaka	praghaṭaka	praGawwaka	praghaṭṭaka
praRuta	praṇuta	praRutta	praṇutta
prabAla	prabāla	pravAla	pravāla
prabAlaka	prabālaka	pravAlaka	pravālaka
prabAlika	prabālika	pravAlika	pravālika
prabaBra	prababhra	pravaBra	pravabhra
prabahlikA	prabahlikā	pravahlikA	pravahlikā
prabarham	prabarham	pravarham	pravarham
pracCana	pracchana	pracCanna	pracchanna
praji	praji	prajji	prajji
prakzIbita	prakṣībita	prakzIvita	prakṣīvita
pramata	pramata	pramatta	pramatta
pramfS	pramṛś	pramfz	pramṛṣ
pratIta	pratīta	pratItta	pratītta
prati	prati	pratti	pratti
pratibARi	pratibāṇi	prativARi	prativāṇi
pratibimba	pratibimba	prativimba	prativimba
pratizkaSa	pratiṣkaśa	pratizkaza	pratiṣkaṣa
pratyAya	pratyāya	pratyAyya	pratyāyya
pratyavamarSa	pratyavamarśa	pratyavamarza	pratyavamarṣa
pratyavamarSavat	pratyavamarśavat	pratyavamarzavat	pratyavamarṣavat
pratyavamfS	pratyavamṛś	pratyavamfz	pratyavamṛṣ
pravetf	pravetṛ	pravettf	pravettṛ
pravfta	pravṛta	pravftta	pravṛtta
pravilasena	pravilasena	pravillasena	pravillasena
prayata	prayata	prayatta	prayatta
pukkaSa	pukkaśa	pukkaza	pukkaṣa
pula	pula	pulla	pulla
purumAya	purumāya	purumAyya	purumāyya
puw	puṭ	puww	puṭṭ
qalaka	ḍalaka	qallaka	ḍallaka
qalana	ḍalana	qallana	ḍallana
rAjAna	rājāna	rAjAnna	rājānna
rAjabIjin	rājabījin	rAjavIjin	rājavījin
rAjabandin	rājabandin	rAjavandin	rājavandin
rAmabARa	rāmabāṇa	rAmavARa	rāmavāṇa
rada	rada	radda	radda
rajobala	rajobala	rajovala	rajovala
raka	raka	rakka	rakka
raktabIja	raktabīja	raktavIja	raktavīja
raktabIjakA	raktabījakā	raktavIjakA	raktavījakā
raktabindu	raktabindu	raktavindu	raktavindu
reb	reb	rev	rev
riS	riś	riz	riṣ
riSa	riśa	riza	riṣa
riSya	riśya	rizya	riṣya
ruMS	ruṃś	ruMz	ruṃṣ
ruS	ruś	ruz	ruṣ
ruSaNgu	ruśaṅgu	ruzaNgu	ruṣaṅgu
ruSad	ruśad	ruzad	ruṣad
ruSadgu	ruśadgu	ruzadgu	ruṣadgu
ruSadraTa	ruśadratha	ruzadraTa	ruṣadratha
ruSat	ruśat	ruzat	ruṣat
sAMGawika	sāṃghaṭika	sAMGawwika	sāṃghaṭṭika
sAbarRika	sābarṇika	sAvarRika	sāvarṇika
sAhAya	sāhāya	sAhAyya	sāhāyya
sAhAyaka	sāhāyaka	sAhAyyaka	sāhāyyaka
sAttvika	sāttvika	sAtvika	sātvika
sAya	sāya	sAyya	sāyya
sObalya	saubalya	sOvalya	sauvalya
sOhfdaya	sauhṛdaya	sOhfdayya	sauhṛdayya
sPiw	sphiṭ	sPiww	sphiṭṭ
sPuw	sphuṭ	sPuww	sphuṭṭ
sTUlapawa	sthūlapaṭa	sTUlapawwa	sthūlapaṭṭa
sUta	sūta	sUtta	sūtta
saMGaw	saṃghaṭ	saMGaww	saṃghaṭṭ
saMGawa	saṃghaṭa	saMGawwa	saṃghaṭṭa
saMGawana	saṃghaṭana	saMGawwana	saṃghaṭṭana
saMGawita	saṃghaṭita	saMGawwita	saṃghaṭṭita
saMveSa	saṃveśa	saMveza	saṃveṣa
saMvfta	saṃvṛta	saMvftta	saṃvṛtta
saMvfti	saṃvṛti	saMvftti	saṃvṛtti
saMviS	saṃviś	saMviz	saṃviṣ
saMyata	saṃyata	saMyatta	saṃyatta
sabala	sabala	savala	savala
sabalatA	sabalatā	savalatA	savalatā
saccit	saccit	sacit	sacit
sadyaHkfta	sadyaḥkṛta	sadyaHkftta	sadyaḥkṛtta
saj	saj	sajj	sajj
sajala	sajala	sajjala	sajjala
sajana	sajana	sajjana	sajjana
salloka	salloka	saloka	saloka
samA	samā	sammA	sammā
samAna	samāna	sammAna	sammāna
samAnana	samānana	sammAnana	sammānana
samApana	samāpana	samApanna	samāpanna
samAsana	samāsana	samAsanna	samāsanna
samAtf	samātṛ	sammAtf	sammātṛ
samAvfta	samāvṛta	samAvftta	samāvṛtta
samAyata	samāyata	samAyatta	samāyatta
samUQa	samūḍha	sammUQa	sammūḍha
samad	samad	sammad	sammad
samada	samada	sammada	sammada
samahas	samahas	sammahas	sammahas
saman	saman	samman	samman
samanas	samanas	sammanas	sammanas
samatA	samatā	sammatA	sammatā
samaya	samaya	sammaya	sammaya
sambfh	sambṛh	samvfh	samvṛh
sameta	sameta	sammeta	sammeta
samfta	samṛta	sammfta	sammṛta
sami	sami	sammi	sammi
samiSra	samiśra	sammiSra	sammiśra
samita	samita	sammita	sammita
samitam	samitam	sammitam	sammitam
samiti	samiti	sammiti	sammiti
sammata	sammata	sammatta	sammatta
sammoha	sammoha	samoha	samoha
sammuKa	sammukha	samuKa	samukha
sammuc	sammuc	samuc	samuc
sammud	sammud	samud	samud
sammuz	sammuṣ	samuz	samuṣ
samparivfta	samparivṛta	samparivftta	samparivṛtta
samprati	samprati	sampratti	sampratti
samuccita	samuccita	samucita	samucita
samudbfh	samudbṛh	samudvfh	samudvṛh
sanAman	sanāman	sannAman	sannāman
sana	sana	sanna	sanna
sanaka	sanaka	sannaka	sannaka
sani	sani	sanni	sanni
sanimat	sanimat	sannimat	sannimat
saqa	saḍa	saqqa	saḍḍa
sarb	sarb	sarv	sarv
sata	sata	satta	satta
satarka	satarka	sattarka	sattarka
sati	sati	satti	satti
satra	satra	sattra	sattra
saveSa	saveśa	saveza	saveṣa
saw	saṭ	saww	saṭṭ
sawa	saṭa	sawwa	saṭṭa
sbF	sbṝ	svF	svṝ
sela	sela	sella	sella
senAbindu	senābindu	senAvindu	senāvindu
sfka	sṛka	sfkka	sṛkka
siMhamala	siṃhamala	siMhamalla	siṃhamalla
skandaBawa	skandabhaṭa	skandaBawwa	skandabhaṭṭa
sparS	sparś	sparz	sparṣ
stabaka	stabaka	stavaka	stavaka
suBawa	subhaṭa	suBawwa	subhaṭṭa
suGawita	sughaṭita	suGawwita	sughaṭṭita
suKaSayA	sukhaśayā	suKaSayyA	sukhaśayyā
suSIma	suśīma	suzIma	suṣīma
suSamI	suśamī	suzamI	suṣamī
suSama	suśama	suzama	suṣama
suSavI	suśavī	suzavI	suṣavī
subAla	subāla	suvAla	suvāla
subAlaDi	subāladhi	suvAlaDi	suvāladhi
susaMvfta	susaṃvṛta	susaMvftta	susaṃvṛtta
susaMvfti	susaṃvṛti	susaMvftti	susaṃvṛtti
susaMyata	susaṃyata	susaMyatta	susaṃyatta
suveSa	suveśa	suveza	suveṣa
suvita	suvita	suvitta	suvitta
suw	suṭ	suww	suṭṭ
svana	svana	svanna	svanna
svavfti	svavṛti	svavftti	svavṛtti
ta	ta	tta	tta
tala	tala	talla	talla
talikA	talikā	tallikA	tallikā
taruSa	taruśa	taruza	taruṣa
tfRRa	tṛṇṇa	tfRa	tṛṇa
ti	ti	tti	tti
til	til	till	till
timiSa	timiśa	timiza	timiṣa
tiryaga	tiryaga	tiryagga	tiryagga
titiri	titiri	tittiri	tittiri
toSa	tośa	toza	toṣa
totalA	totalā	tottalA	tottalā
trasadasyu	trasadasyu	trasaddasyu	trasaddasyu
trimala	trimala	trimalla	trimalla
trivftA	trivṛtā	trivfttA	trivṛttā
tuS	tuś	tuz	tuṣ
tubara	tubara	tuvara	tuvara
tuka	tuka	tukka	tukka
tuna	tuna	tunna	tunna
tuq	tuḍ	tuqq	tuḍḍ
uSIra	uśīra	uzIra	uṣīra
uSat	uśat	uzat	uṣat
uSatI	uśatī	uzatI	uṣatī
uSija	uśija	uzija	uṣija
uccita	uccita	ucita	ucita
udAna	udāna	uddAna	uddāna
udAsa	udāsa	uddAsa	uddāsa
udAsin	udāsin	uddAsin	uddāsin
udAya	udāya	uddAya	uddāya
udGaw	udghaṭ	udGaww	udghaṭṭ
udGawita	udghaṭita	udGawwita	udghaṭṭita
udIkzA	udīkṣā	uddIkzA	uddīkṣā
udIpa	udīpa	uddIpa	uddīpa
udIrRa	udīrṇa	uddIrRa	uddīrṇa
udaRqapAla	udaṇḍapāla	uddaRqapAla	uddaṇḍapāla
udabindu	udabindu	udavindu	udavindu
udakabindu	udakabindu	udakavindu	udakavindu
udala	udala	uddala	uddala
udbAzpa	udbāṣpa	udvAzpa	udvāṣpa
udbfMhaRa	udbṛṃhaṇa	udvfMhaRa	udvṛṃhaṇa
uddita	uddita	udita	udita
uddrAva	uddrāva	udrAva	udrāva
udduz	udduṣ	uduz	uduṣ
udvelita	udvelita	udvellita	udvellita
ula	ula	ulla	ulla
ulba	ulba	ulva	ulva
ulbaRA	ulbaṇā	ulvaRA	ulvaṇā
ulbaRa	ulbaṇa	ulvaRa	ulvaṇa
upAvfta	upāvṛta	upAvftta	upāvṛtta
upabarha	upabarha	upavarha	upavarha
upabfMhaRa	upabṛṃhaṇa	upavfMhaRa	upavṛṃhaṇa
upabfMhin	upabṛṃhin	upavfMhin	upavṛṃhin
upabindu	upabindu	upavindu	upavindu
upablaya	upablaya	upavlaya	upavlaya
upapati	upapati	upapatti	upapatti
upaveSa	upaveśa	upaveza	upaveṣa
upaviS	upaviś	upaviz	upaviṣ
upota	upota	upotta	upotta
urubilvA	urubilvā	uruvilvA	uruvilvā
uta	uta	utta	utta
utaNka	utaṅka	uttaNka	uttaṅka
utaNkameGa	utaṅkamegha	uttaNkameGa	uttaṅkamegha
utaTya	utathya	uttaTya	uttathya
vAgBawa	vāgbhaṭa	vAgBawwa	vāgbhaṭṭa
vAgguRa	vāgguṇa	vAguRa	vāguṇa
vAgguli	vāgguli	vAguli	vāguli
vAqaba	vāḍaba	vAqava	vāḍava
vArSa	vārśa	vArza	vārṣa
vArabARa	vārabāṇa	vAravARa	vāravāṇa
vArbawa	vārbaṭa	vArvawa	vārvaṭa
vAribAlaka	vāribālaka	vArivAlaka	vārivālaka
vArtAka	vārtāka	vArttAka	vārttāka
vArtikA	vārtikā	vArttikA	vārttikā
vArtika	vārtika	vArttika	vārttika
vAvala	vāvala	vAvalla	vāvalla
vAwaka	vāṭaka	vAwwaka	vāṭṭaka
vAya	vāya	vAyya	vāyya
vESadya	vaiśadya	vEzadya	vaiṣadya
vEcittya	vaicittya	vEcitya	vaicitya
vEmatAyana	vaimatāyana	vEmattAyana	vaimattāyana
vEmatAyanaka	vaimatāyanaka	vEmattAyanaka	vaimattāyanaka
vEyAvfttya	vaiyāvṛttya	vEyAvftya	vaiyāvṛtya
vEyAvfttyakara	vaiyāvṛttyakara	vEyAvftyakara	vaiyāvṛtyakara
vIta	vīta	vItta	vītta
vaS	vaś	vaz	vaṣ
vadaka	vadaka	vaddaka	vaddaka
vajrabIjaka	vajrabījaka	vajravIjaka	vajravījaka
vajrabaDa	vajrabadha	vajravaDa	vajravadha
vak	vak	vakk	vakk
vakkula	vakkula	vakula	vakula
vaktrapawa	vaktrapaṭa	vaktrapawwa	vaktrapaṭṭa
val	val	vall	vall
valI	valī	vallI	vallī
vala	vala	valla	valla
valaka	valaka	vallaka	vallaka
valana	valana	vallana	vallana
vali	vali	valli	valli
valimat	valimat	vallimat	vallimat
vanA	vanā	vannA	vannā
vanabAhyaka	vanabāhyaka	vanavAhyaka	vanavāhyaka
vanabIja	vanabīja	vanavIja	vanavīja
vanabarhiRa	vanabarhiṇa	vanavarhiRa	vanavarhiṇa
vanabiqAla	vanabiḍāla	vanaviqAla	vanaviḍāla
vapa	vapa	vappa	vappa
vaqaba	vaḍaba	vaqava	vaḍava
varSman	varśman	varzman	varṣman
varmakaSA	varmakaśā	varmakazA	varmakaṣā
vaw	vaṭ	vaww	vaṭṭ
vawa	vaṭa	vawwa	vaṭṭa
vawaka	vaṭaka	vawwaka	vaṭṭaka
vaya	vaya	vayya	vayya
veRA	veṇā	veRRA	veṇṇā
veSa	veśa	veza	veṣa
veSaDara	veśadhara	vezaDara	veṣadhara
veSadAna	veśadāna	vezadAna	veṣadāna
veSavat	veśavat	vezavat	veṣavat
veSin	veśin	vezin	veṣin
veSya	veśya	vezya	veṣya
vedabAhya	vedabāhya	vedavAhya	vedavāhya
vel	vel	vell	vell
vela	vela	vella	vella
velaja	velaja	vellaja	vellaja
velikA	velikā	vellikA	vellikā
venA	venā	vennA	vennā
vfS	vṛś	vfz	vṛṣ
vfSA	vṛśā	vfzA	vṛṣā
vfSI	vṛśī	vfzI	vṛṣī
vfSa	vṛśa	vfza	vṛṣa
vfkA	vṛkā	vfkkA	vṛkkā
vfka	vṛka	vfkka	vṛkka
vfta	vṛta	vftta	vṛtta
vfti	vṛti	vftti	vṛtti
vftiBaNga	vṛtibhaṅga	vfttiBaNga	vṛttibhaṅga
vftivallaBa	vṛtivallabha	vfttivallaBa	vṛttivallabha
viGaw	vighaṭ	viGaww	vighaṭṭ
viGawana	vighaṭana	viGawwana	vighaṭṭana
viGawita	vighaṭita	viGawwita	vighaṭṭita
viS	viś	viz	viṣ
viSAya	viśāya	vizAya	viṣāya
viSAyin	viśāyin	vizAyin	viṣāyin
viSa	viśa	viza	viṣa
viSada	viśada	vizada	viṣada
viSala	viśala	vizala	viṣala
viSaya	viśaya	vizaya	viṣaya
viSayavat	viśayavat	vizayavat	viṣayavat
viSayin	viśayin	vizayin	viṣayin
viSayitva	viśayitva	vizayitva	viṣayitva
viSita	viśita	vizita	viṣita
viSva	viśva	vizva	viṣva
viSvaYc	viśvañc	vizvaYc	viṣvañc
viSvadryaYc	viśvadryañc	vizvadryaYc	viṣvadryañc
viSvagaSva	viśvagaśva	vizvagaSva	viṣvagaśva
viSvaggati	viśvaggati	vizvaggati	viṣvaggati
viSvagjyotis	viśvagjyotis	vizvagjyotis	viṣvagjyotis
viSvaksena	viśvaksena	vizvaksena	viṣvaksena
viSya	viśya	vizya	viṣya
vibala	vibala	vivala	vivala
vibboka	vibboka	vivvoka	vivvoka
vibfh	vibṛh	vivfh	vivṛh
vicita	vicita	vicitta	vicitta
viciti	viciti	vicitti	vicitti
vidAya	vidāya	vidAyya	vidāyya
vijala	vijala	vijjala	vijjala
vijjula	vijjula	vijula	vijula
vikASin	vikāśin	vikAzin	vikāṣin
vika	vika	vikka	vikka
vikartf	vikartṛ	vikarttf	vikarttṛ
vikfS	vikṛś	vikfz	vikṛṣ
vikraya	vikraya	vikrayya	vikrayya
vila	vila	villa	villa
vimarSa	vimarśa	vimarza	vimarṣa
vimarSin	vimarśin	vimarzin	vimarṣin
vimata	vimata	vimatta	vimatta
vimfS	vimṛś	vimfz	vimṛṣ
vinA	vinā	vinnA	vinnā
vinikfta	vinikṛta	vinikftta	vinikṛtta
vipracita	vipracita	vipracitta	vipracitta
viqa	viḍa	viqqa	viḍḍa
vitfRRa	vitṛṇṇa	vitfRa	vitṛṇa
viti	viti	vitti	vitti
vivftA	vivṛtā	vivfttA	vivṛttā
vivftAkza	vivṛtākṣa	vivfttAkza	vivṛttākṣa
vivftAsya	vivṛtāsya	vivfttAsya	vivṛttāsya
vivfta	vivṛta	vivftta	vivṛtta
vivfti	vivṛti	vivftti	vivṛtti
vizuvaddina	viṣuvaddina	vizuvadina	viṣuvadina
vyAbADa	vyābādha	vyAvADa	vyāvādha
vyAlabala	vyālabala	vyAlavala	vyālavala
vyAmarSa	vyāmarśa	vyAmarza	vyāmarṣa
vyApana	vyāpana	vyApanna	vyāpanna
vyAvfta	vyāvṛta	vyAvftta	vyāvṛtta
vyAvfti	vyāvṛti	vyAvftti	vyāvṛtti
vyaqa	vyaḍa	vyaqqa	vyaḍḍa
vyarRRa	vyarṇṇa	vyarRa	vyarṇa
vyuta	vyuta	vyutta	vyutta
wiwiBaka	ṭiṭibhaka	wiwwiBaka	ṭiṭṭibhaka
yaTAsanam	yathāsanam	yaTAsannam	yathāsannam
yata	yata	yatta	yatta
yavAna	yavāna	yavAnna	yavānna
zaw	ṣaṭ	zaww	ṣaṭṭ
