a_slp1	a_iast	b_slp1	b_iast
kaSA	kaśā	kazA	kaṣā
kaSa	kaśa	kaza	kaṣa
kaSerukA	kaśerukā	kazerukA	kaṣerukā
kaba	kaba	kava	kava
kadanaM	kadanaṃ	kadannaM	kadannaṃ
kaka	kaka	kakka	kakka
kala	kala	kalla	kalla
kalaH	kalaḥ	kallaH	kallaḥ
kaqa	kaḍa	kaqqa	kaḍḍa
karabAlikA	karabālikā	karavAlikA	karavālikā
karbbUraH	karbbūraḥ	karvvUraH	karvvūraḥ
karbba	karbba	karvva	karvva
karbburaH	karbburaḥ	karvvuraH	karvvuraḥ
kfSa	kṛśa	kfza	kṛṣa
kftaM	kṛtaṃ	kfttaM	kṛttaṃ
kftiH	kṛtiḥ	kfttiH	kṛttiḥ
koSAtakI	kośātakī	kozAtakI	koṣātakī
koSAtakaH	kośātakaḥ	kozAtakaH	koṣātakaḥ
koSI	kośī	kozI	koṣī
koSaH	kośaḥ	kozaH	koṣaḥ
koSaPalA	kośaphalā	kozaPalA	koṣaphalā
koSaPalaM	kośaphalaṃ	kozaPalaM	koṣaphalaṃ
koSakAraH	kośakāraḥ	kozakAraH	koṣakāraḥ
kowaH	koṭaḥ	kowwaH	koṭṭaḥ
kowavI	koṭavī	kowwavI	koṭṭavī
kuSIdaM	kuśīdaṃ	kuzIdaM	kuṣīdaṃ
kuSa	kuśa	kuza	kuṣa
kuberaH	kuberaḥ	kuveraH	kuveraḥ
kudAlaH	kudālaḥ	kuddAlaH	kuddālaḥ
kukkuraH	kukkuraḥ	kukuraH	kukuraḥ
kukkuwaH	kukkuṭaḥ	kukuwaH	kukuṭaḥ
kulakaH	kulakaḥ	kulakkaH	kulakkaḥ
kuwIraH	kuṭīraḥ	kuwwIraH	kuṭṭīraḥ
kuwa	kuṭa	kuwwa	kuṭṭa
kzIba	kṣība	kzIva	kṣīva
kzIbaH	kṣībaḥ	kzIvaH	kṣīvaḥ
lAbaH	lābaḥ	lAvaH	lāvaḥ
lAbakaH	lābakaḥ	lAvakaH	lāvakaḥ
laSa	laśa	laza	laṣa
lawaH	laṭaḥ	lawwaH	laṭṭaḥ
libiH	libiḥ	liviH	liviḥ
libiNkaraH	libiṅkaraḥ	liviNkaraH	liviṅkaraḥ
libikaraH	libikaraḥ	livikaraH	livikaraḥ
mAlaH	mālaḥ	mAllaH	māllaḥ
maSa	maśa	maza	maṣa
maka	maka	makka	makka
malA	malā	mallA	mallā
mala	mala	malla	malla
malaH	malaḥ	mallaH	mallaḥ
malajaM	malajaṃ	mallajaM	mallajaṃ
marbba	marbba	marvva	marvva
marutaH	marutaḥ	maruttaH	maruttaḥ
mataH	mataḥ	mattaH	mattaḥ
mfSa	mṛśa	mfza	mṛṣa
mftAlakaM	mṛtālakaṃ	mfttAlakaM	mṛttālakaṃ
miSa	miśa	miza	miṣa
miSiH	miśiḥ	miziH	miṣiḥ
mitraM	mitraṃ	mittraM	mittraṃ
muSalikA	muśalikā	muzalikA	muṣalikā
niSAdaH	niśādaḥ	nizAdaH	niṣādaḥ
nikAyaH	nikāyaḥ	nikAyyaH	nikāyyaḥ
nirISaM	nirīśaṃ	nirIzaM	nirīṣaṃ
nirvftiH	nirvṛtiḥ	nirvfttiH	nirvṛttiḥ
olaH	olaḥ	ollaH	ollaḥ
pASakaH	pāśakaḥ	pAzakaH	pāṣakaḥ
pAtraM	pātraṃ	pAttraM	pāttraṃ
pOtraH	pautraḥ	pOttraH	pauttraḥ
pUrbbaH	pūrbbaḥ	pUrvvaH	pūrvvaḥ
paSa	paśa	paza	paṣa
pala	pala	palla	palla
palaH	palaḥ	pallaH	pallaḥ
palavaH	palavaḥ	pallavaH	pallavaḥ
parbba	parbba	parvva	parvva
pariveSaH	pariveśaḥ	parivezaH	pariveṣaḥ
patanaM	patanaṃ	pattanaM	pattanaṃ
