k1	hom	lemma_iast	total_occ	cooccur	collocates
aga	1	aga	23	25	naga:2|indra:2|kṣitibhṛt:1|ātman:1|oja:1|yajñapuruṣa:1|vasu:1|śaitya:1|abhiṣeka:1|agra:1|akṣa:1|rājan:1
aga	2	aga	23	25	naga:2|indra:2|kṣitibhṛt:1|ātman:1|oja:1|yajñapuruṣa:1|vasu:1|śaitya:1|abhiṣeka:1|agra:1|akṣa:1|rājan:1
agaja		agaja	3	3	vivara:1|kaca:1|kāma:1
agata		agata	16	26	gata:9|gam:2|gamana:2|avani:1|iṣu:1|pradhāna:1|bhāra:1|saṁdhi:1|abhimāna:1|uddhṛ:1|ceṣṭā:1|ārabh:1
agatika		agatika	5	5	daṇḍa:1|vid:1|gati:1|anāgatika:1|vara:1
agada	1	agada	150	224	viṣa:15|ghna:7|madhu:7|pā:6|mantra:6|bhū:4|piśāca:4|yātay:4|kṛ:3|bhiṣaj:3|kṣaudra:3|mukhya:3
agada	2	agada	150	224	viṣa:15|ghna:7|madhu:7|pā:6|mantra:6|bhū:4|piśāca:4|yātay:4|kṛ:3|bhiṣaj:3|kṣaudra:3|mukhya:3
agadaMkAra		agadaṁkāra	10	10	cikitsaka:1|yoga:1|saṁsad:1|rogahārin:1|kriyā:1|vidhi:1|bhiṣaj:1|loka:1|kumāra:1|kṛpā:1
agama		agama	20	21	jaṅgama:2|agni:1|manmatha:1|vaśa:1|tridhāman:1|tīrtha:1|bhūbhartṛ:1|kāmaga:1|visṛj:1|viṣṭambh:1|laya:1|saṁjñā:1
agamya		agamya	98	122	rūpa:8|yogin:4|mānuṣa:4|manas:3|brahman:3|strī:3|gamana:2|vyākhyā:2|asāra:2|kalpa:2|cakṣus:2|vacas:1
agamyAgamanIya		agamyāgamanīya	1	1	madra:1
agaru		agaru	65	102	candana:13|kṛṣṇa:9|karpūra:5|kastūrī:4|udbhava:4|kesara:3|mukhya:2|dhūpa:2|kuṅkuma:2|lavaṁga:2|nābhi:2|lohanāman:1
agarhita		agarhita	16	18	karman:2|as:2|kṣamā:1|sneha:1|saṁyuj:1|jyeṣṭha:1|śilpa:1|akutsita:1|mahat:1|artha:1|doṣa:1|yaśas:1
agavyUti		agavyūti	1	1	lips:1
agasti		agasti	24	32	pattra:6|phala:2|pātra:2|mitrāvaruṇa:2|śīghrapuṣpa:1|kṣetra:1|caturvidha:1|munidruma:1|lāṅgalī:1|brahmiṣṭha:1|śveta:1|parama:1
agastya		agastya	257	410	āśrama:13|mahat:12|bhagavat:10|rājan:9|ṛṣi:8|mahātman:8|rakta:6|rasa:6|muni:6|pattra:6|bhrātṛ:5|rāma:4
agastyasaMhitA		agastyasaṁhitā	1	1	mitrāvaruṇa:1
agastyodaya		agastyodaya	1	1	śrī:1
agADa		agādha	107	145	buddhi:6|mahat:5|vipula:4|jala:3|avyakta:3|bodha:3|salila:3|aplava:3|nau:3|dvīpa:3|ambhas:3|payas:2
agAra		agāra	82	141	agni:10|anagārikā:10|dāhin:6|saptan:6|śraddhā:6|rājan:5|deśa:4|śūnya:3|bhaikṣa:3|madhya:3|uttara:3|śrotriya:3
agira		agira	2	2	jīra:1|go:1
agu		agu	4	4	uktha:1|oka:1|sadhri:1|ari:1
aguRa		aguṇa	76	93	guṇavat:5|vid:4|pravac:3|ādi:2|vikṛ:2|dravya:2|saṁyoga:2|triguṇa:2|doṣa:2|āśraya:2|anāsaṅga:2|maya:1
aguru		aguru	170	301	candana:43|kuṅkuma:10|kṛṣṇa:9|dhūpa:6|karpūra:6|guggulu:6|tagara:5|kastūrī:4|kālānusāryā:4|arka:4|sarala:4|guru:3
agUQaganDa		agūḍhagandha	4	5	jaraṇa:2|bhāva:1|visragandhika:1|as:1
ago		ago	1	1	ḍittha:1
agotA		agotā	2	2	māra:1|iṣu:1
agoruDa		agorudha	1	2	gaviṣ:2
agohya		agohya	11	11	pūṣan:1|gaviṣ:1|tva:1|agni:1|āsu:1|ṛbhu:1|gṛha:1|div:1|pracch:1|satrājit:1|ātithya:1
agnAyI		agnāyī	7	11	aśvinī:3|svāhā:2|indrāṇī:2|gam:1|ilā:1|priyā:1|soma:1
agnAvizRu		agnāviṣṇu	5	6	mahi:2|puroḍāś:1|maghavan:1|kﾱpti:1|viṣṇu:1
agni		agni	3394	13265	indra:263|deva:239|agni:152|vāyu:133|manda:130|mṛdu:102|soma:82|sūrya:77|tejas:72|bhū:69|śikhā:65|pac:63
