slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
anAdeSa		1	1	1	9	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anAgneya		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
anApad		1	1	9	23	1	7	0.3043	0	0	0	R0_grounding_not_computed
anISvara	1	1	1	4	43	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anUru		2	1	8	5	1	2	0.4000	0	0	0	R0_grounding_not_computed
ananyagatika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
anaparADa		1	1	3	7	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anaquha		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
anavAya		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anavasa		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anekArTaDvanimaYjarI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
anfkzara		1	1	5	8	1	1	0.1250	0	0	0	R0_grounding_not_computed
aniSitasarga		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
anivftti		1	1	1	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
annaganDi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
antI		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
antaHSElaja		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
antakadruh		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
antaki		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
antarIkzajala		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
antarmAtfkA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
antarvigAhana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
antarya		1	0	0	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
antavat		1	1	2	50	2	3	0.0600	0	0	0	R0_grounding_not_computed
anuSiKa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
anukUla		5	5	30	154	4	9	0.0584	0	0	0	R0_grounding_not_computed
anukta		1	1	2	131	3	15	0.1145	0	0	0	R0_grounding_not_computed
anumititva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
anuttarayoga		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
anuviDAyin		1	1	3	17	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anuzWu		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
anvAdeSa		1	1	10	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
anvavekzaRa		1	1	1	13	0	0	0.0000	0	0	0	R2_no_wordsem_tag
anyonyatA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
apAYjas		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
apAtyaya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
apaDvasta		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
apaTin		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
apabarhis		1	1	5		0	0		0	0	0	R1_lemma_absent_from_dcs
apacCAya		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
apadI		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
apajAta		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
apakfti		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
apamftyu		1	1	12	14	1	5	0.3571	0	0	0	R0_grounding_not_computed
aparRa		2	2	5	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
aparihvfta		1	1	4	5	2	2	0.4000	0	0	0	R0_grounding_not_computed
apas	1	1	1	14	99	5	13	0.1313	0	0	0	R0_grounding_not_computed
apralambam		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
apsujit		1	1	2	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
arDapAda		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
arRoda		2	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
arTabanDa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
arTavargIya		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
araRyAni		2	2	10	5	1	1	0.2000	0	0	0	R0_grounding_not_computed
araTa		1	1	3	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
arantuka		1	1	4	4	0	0	0.0000	0	0	0	R2_no_wordsem_tag
arc	1	4	4	174	358	9	22	0.0615	0	0	0	R0_grounding_not_computed
arh		6	6	143	2205	8	160	0.0726	0	0	0	R0_grounding_not_computed
arkaSiras		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
asAlatiprakASa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
asuMBara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
asurasA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
asvana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
asyavAmIya		1	1	4	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
atasi		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
atidatta		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
atigarvita		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
atikrama		7	7	27	68	2	3	0.0441	0	0	0	R0_grounding_not_computed
atikramaRIya		3	3	5		0	0		0	0	0	R1_lemma_absent_from_dcs
atimodA		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
atitIrTa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
atitamAm		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ativikawa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
ativisArin		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
atrapa		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
atyaya		8	8	47	193	4	13	0.0674	0	0	0	R0_grounding_not_computed
avAntarAm		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
avAsin		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
avAtala		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
avaDvasta		4	3	8		0	0		0	0	0	R1_lemma_absent_from_dcs
avaSeza		1	1	27	179	1	31	0.1732	0	0	0	R0_grounding_not_computed
avahAra		6	6	21	37	2	7	0.1892	0	0	0	R0_grounding_not_computed
avajaya		1	1	3	9	0	0	0.0000	0	0	0	R2_no_wordsem_tag
avakrakzin		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
avalehikA		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
avalokita		3	2	5	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
avalopya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
avaneya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
avasiti		1	1	2	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
avekAcArya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
avekzitavya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
avyayavant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
avyfdDi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
awarUza		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
ayaskAnta		1	1	5	61	3	22	0.3607	0	0	0	R0_grounding_not_computed
azwrAvin		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
bAReSvara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bAhuBAzya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bAhubADa		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
bAhutA		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
bAhyatA		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
bAlaja		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
bAlakapriya		3	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
bAlakfzRa		2	2	18	0	0	0		0	0	0	R2_no_wordsem_tag
bAlaputraka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bElvAyana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bEndavi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
baBruka		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
badDamuzwi		2	2	3		0	0		0	0	0	R1_lemma_absent_from_dcs
bahiryoga		2	2	4	0	0	0		0	0	0	R2_no_wordsem_tag
bahizpariDi		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
bahrAmaKAna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bahuDana		1	1	1	0	1	1		0	0	0	R0_grounding_not_computed
bahuganDadA		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
bahukulIna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bahupatnIkatA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
bahurUpa		13	13	51	25	2	8	0.3200	0	1	1	R3_tagged_but_unaligned
balaprasU		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
balay		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
banDitra		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
banDumant		4	4	17	20	1	1	0.0500	0	0	0	R0_grounding_not_computed
banDuvaYcaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bfhadaBiDAnacintAmaRi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bfhadatri		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bfhadbIja		2	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
bfhaddurga		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bfhannAradIya		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
bilvapattrikA		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
bisavartman		1	1	4	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
brAhmOdanika		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
brAhmaRavant	2	1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
brahmOdana		1	1	20	14	0	0	0.0000	0	0	0	R2_no_wordsem_tag
brahmaparizadya		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
brahmarAta		1	1	4	4	0	0	0.0000	0	0	0	R2_no_wordsem_tag
brahmasatI		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
brahmayazwi		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
brahmayuga		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bubura		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
bukkAra		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
cApin		2	2	3	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
cArmIya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
cEnyaBawwa		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
cEtya	2	3	3	47	142	3	15	0.1056	0	0	0	R0_grounding_not_computed
cIri		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
cIrita		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
cUrRaSas		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
cUrRaka		4	4	7	79	1	39	0.4937	0	0	0	R0_grounding_not_computed
caNga		3	2	17		0	0		0	0	0	R1_lemma_absent_from_dcs
caRqAlatA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
cakrAvarta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
camaravAla		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
candraBUti		1	1	2	3	1	3	1.0000	0	0	0	R0_grounding_not_computed
candratApana		1	1	3	0	0	0		0	0	0	R2_no_wordsem_tag
candravallarI		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
candravindu		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
capya		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
caraRapatana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
carmAnta		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
carmamaya		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
carmamna		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
caturASramya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
caturhotraka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
caturmuKarasa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
caturnetar		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
caturviDa		1	1	15	392	2	91	0.2321	0	0	0	R0_grounding_not_computed
catvar		1	1	28		0	0		0	0	0	R1_lemma_absent_from_dcs
cawatkfti		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
cezwa		7	7	42	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
ciNgawa		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
cidAnandAy		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
cirIwI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ciratikta		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
citrASva		1	1	1	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
citraBAnu		8	8	45	39	3	9	0.2308	0	0	0	R0_grounding_not_computed
citramfga		1	1	3	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
copana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
culla		1	1	5	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
cyUta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dADikra		1	1	5	0	0	0		0	0	0	R2_no_wordsem_tag
dASameya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dAlaka		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
dAnIya		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
dAnapati		3	3	14	21	2	6	0.2857	0	0	0	R0_grounding_not_computed
dArukAvana		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dArvikA		2	2	2	3	1	2	0.6667	0	0	0	R0_grounding_not_computed
dEpa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dEtya	1	1	1	14	1126	1	72	0.0639	0	0	0	R0_grounding_not_computed
dEvajana		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dEvapara		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
dIDiti	2	1	1	26	47	1	3	0.0638	0	0	0	R0_grounding_not_computed
dIpapuzpa		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
dIrGaGAwika		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dIrGaSUkaka		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
dIrGacCada		2	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dIrGamuKa		3	3	3	4	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dIrGarAva		2	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dIrGasattra		2	2	11	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dOrvacasya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dUrakta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
daMSaBIru		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
daRqana		2	2	8	9	1	1	0.1111	0	0	0	R0_grounding_not_computed
daRqapoRa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
daSama	2	1	1	3	256	1	37	0.1445	0	0	0	R0_grounding_not_computed
dakz		2	2	16	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dakzavfD		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dakziRApaTa		2	2	18	29	1	5	0.1724	0	0	0	R0_grounding_not_computed
dalanirmoka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dalin		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dama	2	5	4	49	479	9	24	0.0501	0	0	0	R0_grounding_not_computed
dantaPala		3	2	5	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dantaSoDanI		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dantakumAra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dantapuppuwa		1	1	4	2	1	1	0.5000	0	0	0	R0_grounding_not_computed
dantidanta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
darB	2	1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
darBAvatI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
deSawa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dehaDi		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
devADipa		2	2	2	2	1	1	0.5000	0	0	0	R0_grounding_not_computed
devArha		2	1	2	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
devAri		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
devaBUmi		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
devaSatru	1	1	1	3	3	2	3	1.0000	0	0	0	R0_grounding_not_computed
devaSilpa		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
devakardama		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
devalANgulikA		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
devasunda		1	1	1	2	1	1	0.5000	0	0	0	R0_grounding_not_computed
devatrA		1	1	18	32	0	0	0.0000	0	0	0	R2_no_wordsem_tag
devavIti		2	2	12		0	0		0	0	0	R1_lemma_absent_from_dcs
devavarman		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
devayaj		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
devayaji		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
dfQanABa		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dfgjyA		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
dfzwanazwa		1	1	10		0	0		0	0	0	R1_lemma_absent_from_dcs
diSAgaja		1	1	7	11	1	5	0.4545	0	0	0	R0_grounding_not_computed
dir		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
divasaBartar		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
doha		2	2	36	50	2	3	0.0600	0	0	0	R0_grounding_not_computed
dohala		2	2	8		0	0		0	0	0	R1_lemma_absent_from_dcs
dos		2	2	27	113	1	7	0.0619	0	0	0	R0_grounding_not_computed
dozAmanya		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
dozala		1	1	5	18	2	3	0.1667	0	0	0	R0_grounding_not_computed
drAK		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
drUGaRa		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
droRaduGA		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
druR		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
druh	2	2	2	34	120	10	13	0.1083	0	0	0	R0_grounding_not_computed
drumakiMnarapraBa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
duHsADin		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
duHsaciva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dugDapAzARa		1	1	2	4	1	2	0.5000	0	0	0	R0_grounding_not_computed
durAmnAya		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
durArADya		1	1	14	7	0	0	0.0000	0	0	0	R2_no_wordsem_tag
durgaSEla		1	1	1	2	1	1	0.5000	0	0	0	R0_grounding_not_computed
durmAtsarya		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
durmantrita		1	1	6	28	0	0	0.0000	0	0	0	R2_no_wordsem_tag
durnaya		1	1	22	24	0	0	0.0000	0	0	0	R2_no_wordsem_tag
durvidvaMs		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
durvyavasTApaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
duzkft		1	1	14	18	1	2	0.1111	0	0	0	R0_grounding_not_computed
duzparihantu		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
duzprasAha		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dvaMdvacara		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
dvayAtmaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
dviKaRqikA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
dvidevata		2	2	5		0	0		0	0	0	R1_lemma_absent_from_dcs
dvisaptatitama		1	1	6	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
dviveda		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
ekAkzara	1	1	1	1	18	1	5	0.2778	0	0	0	R0_grounding_not_computed
ekIBAvin		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ekaBAva	1	1	1	4	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ekaDA		1	1	23	57	2	7	0.1228	0	0	0	R0_grounding_not_computed
ekapAwalA		1	1	2	7	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ekavIra		3	3	12	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ekaviDa		1	1	3	20	1	1	0.0500	0	0	0	R0_grounding_not_computed
ekaviMSavant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ekazazwi		1	1	3	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
eru		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
ezavIra		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
f		5	3	6	40	1	36	0.9000	0	0	0	R0_grounding_not_computed
fjurohita		1	1	1	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
ftebarhizka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
fterakzas		1	0	0	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
fzicodana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
fzikft		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gARqavya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gATaka		1	1	4	0	0	0		0	0	0	R2_no_wordsem_tag
gATikA		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
gAnDapiNgaleya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gAnDarvika		1	1	2	17	1	1	0.0588	0	0	0	R0_grounding_not_computed
gArutmatapatrikA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gAveDuka		1	1	8	0	0	0		0	0	0	R2_no_wordsem_tag
gOqorvISakulapraSasti		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gOrIlalita		1	1	2	0	1	1		0	0	0	R0_grounding_not_computed
gOrila		2	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gUrDay		1	1	2	0	1	1		0	0	0	R0_grounding_not_computed
gaRacCandas		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
gaRqAnta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gaRya		2	2	9	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ganDamAlya		2	1	8		0	0		0	0	0	R1_lemma_absent_from_dcs
ganDamArjAra		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
ganDamUzikA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ganDarasANgaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
ganDarva		12	12	194	1460	5	190	0.1301	0	1	1	R3_tagged_but_unaligned
ganDavant		8	8	39		0	0		0	0	0	R1_lemma_absent_from_dcs
ganDayuti		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gaqalavaRa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gaqqArikA		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
garBakzaya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
garBatA		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
garalAy		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
garalin		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gardaBikA		1	1	3	0	1	1		0	0	0	R0_grounding_not_computed
gartAruh		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
gavAyuta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gaveSakA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gir	1	1	0	0	859	12	56	0.0652	0	0	0	R0_grounding_not_computed
giriRadI		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
giriSfNga		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
girija		8	8	35	30	4	19	0.6333	0	0	0	R0_grounding_not_computed
girijvara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
girisravA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
goSAla		3	3	12		0	0		0	0	0	R1_lemma_absent_from_dcs
gokfta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
golattikA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gonAsa		4	4	6	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
goparvata		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gopatva		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
gopyaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
gosTAna		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
gosaMBavA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
govindadeva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
goyUti		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
grAmaGozin		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
grahanemi		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
granTinikA		1	0	0	0	0	0		0	0	0	R2_no_wordsem_tag
guNgu		2	2	3	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
guRakeSI		1	1	2	9	0	0	0.0000	0	0	0	R2_no_wordsem_tag
guRaprakASadIDitimATurI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
guRatA		2	2	2	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
guRqAlA		1	1	3	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
guh	2	1	1	1	441	5	32	0.0726	0	0	0	R0_grounding_not_computed
guhyakAlI		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
gup	2	1	1	3	453	7	28	0.0618	0	0	0	R0_grounding_not_computed
gur		1	1	41	18	0	0	0.0000	0	0	0	R2_no_wordsem_tag
gurukAra		1	1	1	2	2	2	1.0000	0	0	0	R0_grounding_not_computed
gurustava		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hANgara		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
