pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
BṚH	651	0.0880	DCS-LACKS					? [Cologne Addition]
ED. CALC	645	0.0872	DCS-LACKS					
KIR	644	0.0871	DCS-HAS-UNMAPPED	Kirātārjunīya	18439	yes		KIRĀTĀRJUNĪYA, ed. Calc. (GILD. Bibl. 139).
MED. N	638	0.0863	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
COLEBR. MISC. ESS. I,	627	0.0848	DCS-LACKS					? [Cologne Addition]
BHAR	625	0.0845	DCS-LACKS					BHARATA, ein Autor über Schauspielkunst, verschieden vom Scholiasten zum AK. (dieser nach Anführungen im ŚKDR.).
MED. T	623	0.0842	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
ŚĀRṄG. SAṂH	611	0.0826	DCS-LACKS					SAM̃HITĀ des ŚĀRṄGADHARA. Bombai 1853. Citirt nach Kāṇḍa, Adhyāya und der Reihenfolge der in der Ausgabe angenom menen P
CARAKA	583	0.0788	DCS-LACKS					? [Cologne Addition]
VIŚVA	575	0.0778	DCS-LACKS					? [Cologne Addition]
VET	575	0.0778	DCS-HAS-UNMAPPED	Vetālapañcaviṃśatikā	814	no		VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).
TS. PRĀT	557	0.0753	DCS-LACKS					? [Cologne Addition]
ŚATR	557	0.0753	DCS-LACKS					ŚATRUM̃JAYAMĀHĀTMYA, nach den von A. WEBER herausgegebe- nen Fragmenten in den Abhandlungen für die Kunde des Morgen- la
PRATĀPAR	553	0.0748	DCS-LACKS					VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀSTRAM. Lith. zu Pūnā, Śāka 1771.
ŚVETĀŚV. UP	538	0.0728	DCS-HAS-UNMAPPED	Śvetāśvataropaniṣad	2147	yes		ŚVETĀŚVATAROPANIṢAD in der Bibliotheca indica.
MĀLATĪM	538	0.0728	DCS-LACKS					? [Cologne Addition]
MED. K	531	0.0718	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
VEDĀNTAS. (ALLAH.) NO	520	0.0703	DCS-LACKS					VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279).
UṆ	506	0.0684	DCS-LACKS					? [Cologne Addition]
AMAR	502	0.0679	DCS-HAS-UNMAPPED	Amaruśataka	3221	yes		AMARUŚATAKA nach der Calc. Ausg. (GILD. Bibl. 162).
MAITRYUP	500	0.0676	DCS-LACKS					? [Cologne Addition]
TĀRAN	490	0.0663	DCS-LACKS					? [Cologne Addition]
BHĀVAPR	489	0.0661	DCS-HAS-UNMAPPED	Bhāvaprakāśa	13064	no		BHĀVAPRAKĀŚA, ein medic. Wörterbuch; nach Anführungen im ŚKDR.
LIA. I,	481	0.0650	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
ARJ	471	0.0637	DCS-LACKS					ARJUNASAMĀGAMA, ed. BOPP (GILD. Bibl. 106).
WEBER, JYOT	464	0.0627	DCS-LACKS					WEBER, Ueber den Vedakalender, Namens Jyoti- ṣam. Berlin, 1862.
YOGAŚ	458	0.0619	DCS-LACKS					? [Cologne Addition]
HIḌ	453	0.0613	DCS-LACKS					HIḌIMBAVADHA in BOPP'S Ardschuna's Reise zu Indra's Himmel, nebst anderen Episoden des Maha-Bharata. Berlin 1824.
DAŚAR	453	0.0613	DCS-LACKS					The Daśa-Rūpa, or Hindu Canons of Dramaturgy by Dhanan- jaya. Ed. by Fitz-Edward HALL. Calcutta, 1861.
KAṬHOP	445	0.0602	DCS-HAS-UNMAPPED	Kaṭhopaniṣad	2129	yes		KAṬHOPANIṢAD in der Bibliotheca indica.
VET. IN LA. (III)	444	0.0600	DCS-HAS-UNMAPPED	Vetālapañcaviṃśatikā	814	no		VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).
LALIT	443	0.0599	DCS-LACKS					RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Développement des yeux, traduit etc. par PH. ÉD. FOUCAUX. Deuxième partie--Traduc-
PRAVARĀDHY	440	0.0595	DCS-LACKS					PRAVARĀDHYĀYA.
TAITT. ĀR	430	0.0581	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYĀRAṆYAKA.
UTTARAR	428	0.0579	DCS-LACKS					? [Cologne Addition]
ŚIV	410	0.0554	DCS-LACKS					ŚIVANĀMASAHASRA, handschriftlich im Asiatischen Museum der Kais. Ak. der Wissenschaften.
DAŚ	403	0.0545	DCS-LACKS					DAŚARATHA'S Tod in BÖHTLINGK'S Chrestomathie (GILD. Bibl. 49).
VĀLAKH	403	0.0545	DCS-LACKS					VĀLAKHILYA, die zwischen ṚV. 8, 48 und 49 eingeschobe- nen Lieder.
KUSUM	399	0.0540	DCS-LACKS					? [Cologne Addition]
BHĀṢĀP	395	0.0534	DCS-LACKS					BHĀṢĀPARICCHEDA nach der Ausgabe von RÖER in der Bibliotheca indica.
COLEBR. ALG	392	0.0530	DCS-LACKS					? [Cologne Addition]
CAURAP	391	0.0529	DCS-HAS-UNMAPPED	Caurapañcaśikā	1183	yes		CAURAPAÑCĀŚIKĀ, ed. BOHLEN (GILD. Bibl. 156).
PAÑCAT. III,	390	0.0527	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
KĀVYĀD	388	0.0525	DCS-LACKS					? [Cologne Addition]
NAIṢ	387	0.0523	DCS-LACKS					NAIṢADHACARITA, ed. Calc. (GILD. Bibl. 143).
WEBER, KṚṢṆAJ	384	0.0519	DCS-LACKS					? [Cologne Addition]
DRAUP	380	0.0514	DCS-LACKS					DRAUPADĪPRAMĀTHA, ed. BOPP (GILD. Bibl. 106).
KĀŚ	373	0.0504	DCS-HAS-UNMAPPED	Kāśikāvṛtti	2875	no		KĀŚIKĀVṚTTI; s. die Einleitung zu BÖHTLINGK'S Ausgabe des PĀṆINI, S. LIII.
TAITT. UP	371	0.0502	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYOPANIṢAD ? [Cologne Addition]
PAÑCAT. II,	368	0.0498	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
PAÑCAT. ED. ORN	367	0.0496	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
PAT	366	0.0495	DCS-LACKS					PATAÑJALI, als Verfasser des MAHĀBHĀṢYA; nach Excerpten in BÖHTLINGK'S Ausgabe des PĀṆINI.
VIŚV	365	0.0494	DCS-LACKS					VIŚVĀMITRA'S Kampf in BÖHTLINGK'S Chrestomathie.
