pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
SUŚR. —	2	0.0003	DCS-HAS-UNMAPPED	Suśrutasaṃhitā	146721	no		SUŚRUTA, ed. Calc. (GILD. Bibl. 367); citirt nach Band, Seite und Zeile. Den Titel der HESSLER'schen Uebersetzung s. bei
ROS	2	0.0003	DCS-LACKS					
HIOUEN-THSANG III,	2	0.0003	DCS-LACKS					Histoire de la vie de HIOUEN-THSANG et de ses voya- ges dans l'Inde, traduite du Chinois par STANISLAS YULIEN. Paris 185
RĀJA	2	0.0003	DCS-LACKS					? [Cologne Addition]
AINSL	2	0.0003	DCS-LACKS					AINSLIE ? [Cologne Addition]
J	2	0.0003	DCS-LACKS					? [Cologne Addition]
HARIR	2	0.0003	DCS-LACKS					? [Cologne Addition]
COLEBR. MISC. ESS. VII,	2	0.0003	DCS-LACKS					? [Cologne Addition]
ANEKĀRTHAKOṢA	2	0.0003	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XX. FG	2	0.0003	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
LASSENʼS PENTAP	2	0.0003	DCS-LACKS					
HIT. III	2	0.0003	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
NĀNĀRTHADHVANIMAÑJARĪ	2	0.0003	DCS-LACKS					NĀNĀRTHADHVANIMAÑJARĪ [Cologne Addition]
HARIV. LANGL. I	2	0.0003	DCS-HAS-UNMAPPED	Harivaṃśa	85975	yes		HARIVAṂŚA im 4ten Bande des MBH. Aus diesem Werke haben wir die Nomina propria mit Benutzung des Index in der LANGLOIS'-
UTTARAKĀMĀKHYĀTANTRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
KULĀRṆAVATANTRA	2	0.0003	DCS-LACKS					
KARMAVIPĀKA	2	0.0003	DCS-LACKS					? [Cologne Addition]
KRIYĀYOGASĀRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
ARUṆADATTA	2	0.0003	DCS-LACKS					? [Cologne Addition]
AK. A. A. O	2	0.0003	DCS-HAS-UNMAPPED	Amarakośa	11968	yes		AMARAKOṢA nach der Ausgabe von COLEBROOKE und LOISELEUR DESLONGCHAMPS (GILD. Bibl. 251. 253).
DĀNASĀGARA	2	0.0003	DCS-LACKS					? [Cologne Addition]
NIR. LXV	2	0.0003	DCS-LACKS					YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S herausgegeben und erklärt von RUDOLPH ROTH. Göttingen 1852.
BṚHADDEV	2	0.0003	DCS-LACKS					? [Cologne Addition]
BÖHTL. CHREST	2	0.0003	DCS-LACKS					? [Cologne Addition]
KAVIKALPATARU	2	0.0003	DCS-LACKS					? [Cologne Addition]
SIDDHĀNTAMUKTĀVALĪ	2	0.0003	DCS-LACKS					? [Cologne Addition]
KĀLIKĀ-P. EBEND	2	0.0003	DCS-HAS-UNMAPPED	Kālikāpurāṇa	4093	yes		KĀLIKĀPURĀṆA, nach Anführungen im ŚKDR.
LIA. II, ANH. I	2	0.0003	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
Z. D. D. M. G. IX, LXIV	2	0.0003	DCS-LACKS					? [Cologne Addition]
SIDDH. K. EBEND	2	0.0003	DCS-LACKS					SIDDHĀNTAKAUMUDĪ, die Calc. Ausg. in 4º (GILD. Bibl. 245).
BHĀG. P. I, LXIV	2	0.0003	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
ŚABDĀRTHAKALPAT	2	0.0003	DCS-LACKS					? [Cologne Addition]
VIKRAMĀDITYAK	2	0.0003	DCS-LACKS					? [Cologne Addition]
HIOUENTHSANG I, II,	2	0.0003	DCS-LACKS					? [Cologne Addition]
ED. COW	2	0.0003	DCS-LACKS					
LIA. II, III,	2	0.0003	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
GRHYASAM̃GR	2	0.0003	DCS-LACKS					? [Cologne Addition]
HARIV. P	2	0.0003	DCS-HAS-UNMAPPED	Harivaṃśa	85975	yes		HARIVAṂŚA im 4ten Bande des MBH. Aus diesem Werke haben wir die Nomina propria mit Benutzung des Index in der LANGLOIS'-
PAÑCAT ED. ORN. I,	2	0.0003	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
JOURN. OF THE AS. SOC. OF BENG. IV,	2	0.0003	DCS-LACKS					
PADMAN	2	0.0003	DCS-LACKS					? [Cologne Addition]
VIDAGDHAMUKHAMAṆḌANA	2	0.0003	DCS-LACKS					? [Cologne Addition]
WARREN	2	0.0003	DCS-LACKS					? [Cologne Addition]
MACK. COLL. I	2	0.0003	DCS-LACKS					MACK. Coll.? [Cologne Addition]
VARĀH. BṚH. ST	2	0.0003	DCS-LACKS					VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33]
YĀJÑ. VI	2	0.0003	DCS-HAS-UNMAPPED	Yājñavalkyasmṛti	14280	yes		YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und Deutsch herausge- geben von Dr. ADOLPH FRIEDRICH STENZLER. Berlin und London 1849
RATNAG	2	0.0003	DCS-LACKS					ĀRYAPRAJÑĀPĀRAMITĀRATNAGUṆASAM̃CAYAGĀTHĀ, handschriftlich im Asiat. Museum der Kais. Akad. d. Ww. in St. Petersburg, nac
WILSONʼS SĀṂKHYAK. S	2	0.0003	DCS-LACKS					
BERICHTE DER K. S. G. D. WW	2	0.0003	DCS-LACKS					
HIOUENTHSANG II,	2	0.0003	DCS-LACKS					? [Cologne Addition]
PŪNĀ	2	0.0003	DCS-LACKS					? [Cologne Addition]
VERZ. D. OXF. H III,	2	0.0003	DCS-LACKS					
BṚHANNANDIKEŚVARA-P	2	0.0003	DCS-LACKS					? [Cologne Addition]
KĀLANIRṆAYAK	2	0.0003	DCS-LACKS					? [Cologne Addition]
WEBER S	2	0.0003	DCS-LACKS					? [Cologne Addition]
MÜLLER, ST	2	0.0003	DCS-LACKS					
HAR	2	0.0003	DCS-LACKS					? [Cologne Addition]
VP. PREF. XXXI. FG	2	0.0003	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
JAIMINIBH	2	0.0003	DCS-HAS-UNMAPPED	Jaiminigṛhyasūtra	7109	yes		JAIMINIBHĀRATA ? [Cologne Addition]
NIRUKTA	2	0.0003	DCS-LACKS					? [Cologne Addition]
ROTH, NIR. EINL. XII	2	0.0003	DCS-LACKS					
BHĀG. P. I, XLVIII	2	0.0003	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BHĀR	2	0.0003	DCS-LACKS					? [Cologne Addition]
ŚṚṄGĀRARAS	2	0.0003	DCS-LACKS					? [Cologne Addition]
BHĀG. P. I, LXVII, N	2	0.0003	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BURGESS	2	0.0003	DCS-LACKS					? [Cologne Addition]
RĀVAṆA	2	0.0003	DCS-LACKS					? [Cologne Addition]
ŚIVASTOTRA	2	0.0003	DCS-LACKS					
MUIR, SANSKRIT TEXTS, I,	2	0.0003	DCS-LACKS					
BRAHMOPANIṢAD	2	0.0003	DCS-LACKS					? [Cologne Addition]
VEDĀNTAS.(ALLAH.) NO	2	0.0003	DCS-LACKS					
BRAHMAVAIV. P., PRAKṚTIKHAṆḌA	2	0.0003	DCS-LACKS					? [Cologne Addition]
HIT. IV	2	0.0003	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
BṚH. ĀR	2	0.0003	DCS-LACKS					? BṚHADĀRAṆYAKOPANIṢAD, nach der Ausgabe von RÖER in der Bibliotheca indica. [Cologne Addition]
KĀT	2	0.0003	DCS-LACKS					? [Cologne Addition]
VEDĀNTAPAR	2	0.0003	DCS-LACKS					? [Cologne Addition]
NĀRADAʼS PAÑCARĀTRA	2	0.0003	DCS-LACKS					
LALIT. (APPEND.)	2	0.0003	DCS-LACKS					RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Développement des yeux, traduit etc. par PH. ÉD. FOUCAUX. Deuxième partie--Traduc-
MUIR, SANSKRIT TEXTS III	2	0.0003	DCS-LACKS					
DURGOTSAVAPADDH	2	0.0003	DCS-LACKS					? [Cologne Addition]
SAMAYĀCĀRATANTRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
MAHOPAN	2	0.0003	DCS-LACKS					? [Cologne Addition]
MṚKCH	2	0.0003	DCS-LACKS					? [Cologne Addition]
BHOJAPRAB	2	0.0003	DCS-LACKS					
JOURN. OF THE AM. OR. S. VI,	2	0.0003	DCS-LACKS					
WIND. SANCARA S	2	0.0003	DCS-LACKS					FRID. H. H. WINDISCHMANNI Sancara sive de theo- logumenis Vedanticorum. Bonnae 1833. [Cologne Addition]
GORR. VII, S	2	0.0003	DCS-LACKS					GORRESIO.
MISC. ESS. I,	2	0.0003	DCS-LACKS					
RATIMAÑJARĪ	2	0.0003	DCS-LACKS					? [Cologne Addition]
KAṬHINĀVAD	2	0.0003	DCS-LACKS					? [Cologne Addition]
BHĀM	2	0.0003	DCS-LACKS					BHĀMINĪVILĀSA ? [Cologne Addition]
Z. D. D. M. G. IX, L	2	0.0003	DCS-LACKS					? [Cologne Addition]
WEBER, NAKṢATRA	2	0.0003	DCS-LACKS					
GOYĪCANDRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
OR. UND OCC. I,	2	0.0003	DCS-LACKS					
SĀDHANAMĀLĀTANTRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
SHAKESP	2	0.0003	DCS-LACKS					? [Cologne Addition]
MĪM	2	0.0003	DCS-LACKS					? [Cologne Addition]
YAJÑADATTAV	2	0.0003	DCS-LACKS					
Z. D. D. M. G. IX, VIII	2	0.0003	DCS-LACKS					? [Cologne Addition]
JOURN. AS	2	0.0003	DCS-LACKS					
DELBRÜCK	2	0.0003	DCS-LACKS					? [Cologne Addition]
DHAR. A. A. O	2	0.0003	DCS-LACKS					DHARAṆĪKOṢA, ein Wörterbuch; nach Anführungen im CKDR.
JOHAENTGEN A. A. O. S	2	0.0003	DCS-LACKS					? [Cologne Addition]
ŚRĀDDHATATTVA	2	0.0003	DCS-LACKS					? [Cologne Addition]
VĀRTT. ZU	2	0.0003	DCS-LACKS					
AV. PARIŚ. EBEND	2	0.0003	DCS-LACKS					PARIŚIṢṬA des ATHARVAVEDA.
ŚṚṄGABHERYAVADĀNA	2	0.0003	DCS-LACKS					? [Cologne Addition]
TRANS. R. A. S. II,	2	0.0003	DCS-LACKS					
ŚĀMBA-P	2	0.0003	DCS-LACKS					? [Cologne Addition]
PIṄGALA	2	0.0003	DCS-LACKS					? [Cologne Addition]
SAṂSKṢIPTAS	2	0.0003	DCS-LACKS					? [Cologne Addition]
VEDĀNTAS. NO	2	0.0003	DCS-LACKS					VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279).
NĀNĀRTHARATNAM. EBEND	2	0.0003	DCS-LACKS					? [Cologne Addition]
VERZ. D. PET. HDSCHR. NO	2	0.0003	DCS-LACKS					
GAIM	2	0.0003	DCS-LACKS					? [Cologne Addition]
ALAṂKĀRAKAUSTUBHA	2	0.0003	DCS-LACKS					? [Cologne Addition]
YĀJÑ. S. VI	2	0.0003	DCS-HAS-UNMAPPED	Yājñavalkyasmṛti	14280	yes		YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und Deutsch herausge- geben von Dr. ADOLPH FRIEDRICH STENZLER. Berlin und London 1849
ABHIDHĀNOTTAROTTARA	2	0.0003	DCS-LACKS					? [Cologne Addition]
AK. II	2	0.0003	DCS-HAS-UNMAPPED	Amarakośa	11968	yes		AMARAKOṢA nach der Ausgabe von COLEBROOKE und LOISELEUR DESLONGCHAMPS (GILD. Bibl. 251. 253).
AUFR. HALĀY. IND	2	0.0003	DCS-LACKS					? [Cologne Addition]
MĀTSYAP	2	0.0003	DCS-LACKS					? [Cologne Addition]
INDEX ZU HALĀY	2	0.0003	DCS-LACKS					
KATHĀS,	2	0.0003	DCS-LACKS					
VEDĀNTAPARIBHĀṢĀ	2	0.0003	DCS-LACKS					? [Cologne Addition]
VYAVARĀRAT	2	0.0003	DCS-LACKS					? [Cologne Addition]
HALL, VĀSAVAD. EINL. S	2	0.0003	DCS-LACKS					
R. EBEND	2	0.0003	DCS-HAS-UNMAPPED	Rāmāyaṇa	261568	no		RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL (GILD. Bibl. 84), bei den vie
UTTARARĀM	2	0.0003	DCS-LACKS					? [Cologne Addition]
LASSEN, INSTITT. LINGUAE PRACR	2	0.0003	DCS-LACKS					
VṚTTARATNĀV	2	0.0003	DCS-LACKS					? [Cologne Addition]
AV. PADAPĀṬHA PADAP	2	0.0003	DCS-HAS-UNMAPPED	Atharvaveda (Śaunaka)	71249	yes		ATHARVAVEDASAM̃HITĀ, herausg. von R. ROTH und W. D. WHITNEY. Berlin bei F. DÜMMLER. 1855. 8º. In den ersten Bogen des Wö
MAHĀBHĀṢYA S	2	0.0003	DCS-LACKS					? [Cologne Addition]
KÖPPEN I, II,	2	0.0003	DCS-LACKS					? [Cologne Addition]
GAYĀM	2	0.0003	DCS-LACKS					? [Cologne Addition]
SŪRYAS. S	2	0.0003	DCS-HAS-UNMAPPED	Sūryasiddhānta	2142	yes		SŪRYASIDDHĀNTA, nach Anführungen in HAUGHTON, A Dict. Beng. and S.
KAVIKALP	2	0.0003	DCS-LACKS					? [Cologne Addition]
Z. D. D. M. G. IX, LXXIV	2	0.0003	DCS-LACKS					? [Cologne Addition]
TS. I, S	2	0.0003	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa, eingetheilt in Praśna, Anuvāka und Kaṇḍikā. Die letzten bezeichnen nicht Satzabschnitte, so
ST. I,	2	0.0003	DCS-LACKS					STENZLER.
DĀMODARA	2	0.0003	DCS-LACKS					? [Cologne Addition]
TBR. II, S	2	0.0003	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYABRĀHMAṆA.
AṢṬĀVAKHA	2	0.0003	DCS-LACKS					? [Cologne Addition]
BHĀṬṬ	2	0.0003	DCS-LACKS					? [Cologne Addition]
ANEKĀRTHADHVANIM	2	0.0003	DCS-LACKS					? [Cologne Addition]
REINAUD	2	0.0003	DCS-LACKS					? [Cologne Addition]
MÉM. SUR LʼINDE	2	0.0003	DCS-LACKS					
VYUT	2	0.0003	DCS-LACKS					? [Cologne Addition]
MĀRK. P. S. Z	2	0.0003	DCS-LACKS					MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indica.
ZUR LIT. U. G. DES W	2	0.0003	DCS-LACKS					
LIA. II, ANH	2	0.0003	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
GANARATNAM	2	0.0003	DCS-LACKS					? [Cologne Addition]
LIA. II. N	2	0.0003	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
VṚDDHA-M	2	0.0003	DCS-LACKS					? [Cologne Addition]
MUIR, ST. I, N	2	0.0003	DCS-LACKS					MUIR, Sanskr. Texts ?
TBR. EBEND	2	0.0003	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYABRĀHMAṆA.
JOURN. OF THE AM. S	2	0.0003	DCS-LACKS					
VERZ. D. B. H. NO. H	2	0.0003	DCS-LACKS					
ŚKDR. VII, S	2	0.0003	DCS-LACKS					ŚABDAKALPADRUMA (GILD. Bibl. 371).
VIŚVASĀRAT	2	0.0003	DCS-LACKS					? [Cologne Addition]
VIŚVASĀRATANTRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
GÖTT. GEL. ANZZ	2	0.0003	DCS-LACKS					
JOURN. OF THE AS. S. OF BENG	2	0.0003	DCS-LACKS					
VEDĀNTAS. [ALLAH.] NO	2	0.0003	DCS-LACKS					VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279).
VS. S. LVI,	2	0.0003	DCS-HAS-UNMAPPED	Vājasaneyisaṃhitā (Mādhyandina)	15687	yes		VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHITĀ in the MĀDHYANDINA -- and the KĀṆVA-ŚĀKHĀ with the commentary of MAHĪDHARA, e
HIT ED. JOHNS	2	0.0003	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
WEBER A. A. O	2	0.0003	DCS-LACKS					? [Cologne Addition]
LIA. (II)	2	0.0003	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
VIŚVAGUṆĀDARŚA	2	0.0003	DCS-LACKS					? [Cologne Addition]
ED. LANGL. I,	2	0.0003	DCS-LACKS					
COLEBR. MISC. ESS. II	2	0.0003	DCS-LACKS					? [Cologne Addition]
KAUŚ. ŚR	2	0.0003	DCS-HAS-UNMAPPED	Kauśikasūtra	22833	yes		KAUŚIKA'S SŪTRA zum ATHARVAVEDA. 14 Adhyāya. Die Kaṇ- ḍikā sind durchgezählt. Hdschr.
HAṬṬAC	2	0.0003	DCS-LACKS					? [Cologne Addition]
BHAG. EINL. XVI. FGG	2	0.0003	DCS-LACKS					BHAGAVADGĪTĀ, Ausg. von SCHLEGEL (GILD. Bibl. 116).
ROTH, NIR. LI	2	0.0003	DCS-LACKS					
M. ED. CALC	2	0.0003	DCS-LACKS					MANU'S Gesetzbuch in der Ausg. von LOISELEUR DESLONGCHAMPS (GILD. Bibl. 289).
KUHN, HERABK. D. F	2	0.0003	DCS-LACKS					
SCHÜTZʼS UEBERS	2	0.0003	DCS-LACKS					
AUFRECHT A. A. O	2	0.0003	DCS-LACKS					? [Cologne Addition]
VIKRAMĀDITYAKOŚA	2	0.0003	DCS-LACKS					? [Cologne Addition]
VṚDDHAMANU	2	0.0003	DCS-LACKS					? [Cologne Addition]
HAṬṬACANDRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
CAITANYACANDRODAYA	2	0.0003	DCS-LACKS					? [Cologne Addition]
VĀGHB	2	0.0003	DCS-LACKS					? [Cologne Addition]
KŪRMACAKRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
RĀJAV. EBEND	2	0.0003	DCS-LACKS					RĀJAVALLABHA, nach Anführungen im ŚKDR.
SAMAYAPRADĪPA	2	0.0003	DCS-LACKS					? [Cologne Addition]
MĀLAMĀSAT	2	0.0003	DCS-LACKS					? [Cologne Addition]
YĀJÑ. S. VII	2	0.0003	DCS-HAS-UNMAPPED	Yājñavalkyasmṛti	14280	yes		YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und Deutsch herausge- geben von Dr. ADOLPH FRIEDRICH STENZLER. Berlin und London 1849
GĪT. S. VIII UND	2	0.0003	DCS-HAS-UNMAPPED	Gītagovinda	6020	yes		GĪTAGOVINDA, ed. LASSEN (GILD. Bibl. 168).
HARADATTA	2	0.0003	DCS-LACKS					? [Cologne Addition]
MṚCCH. EINL. V	2	0.0003	DCS-LACKS					MṚCCHAKAṬIKĀ, ed. STENZLER (GILD. Bibl. 186).
HAḌḌAC	2	0.0003	DCS-LACKS					? [Cologne Addition]
TEJOBINDŪP	2	0.0003	DCS-LACKS					? [Cologne Addition]
GOPATHA-BR	2	0.0003	DCS-LACKS					? [Cologne Addition]
KATHĀS —	2	0.0003	DCS-HAS-UNMAPPED	Kathāsaritsāgara	111298	yes		KATHĀSARITSĀGARA, ed. BROCKHAUS (GILD. Bibl. 237).
RĀMAS	2	0.0003	DCS-LACKS					? [Cologne Addition]
MADANA	2	0.0003	DCS-HAS-UNMAPPED	Madanapālanighaṇṭu	6186	no		MADANAPĀLA ? [Cologne Addition]
PATTRAKAUMUDĪ	2	0.0003	DCS-LACKS					? [Cologne Addition]
SĀṂKHYAPRAV. EINL	2	0.0003	DCS-LACKS					? [Cologne Addition]
LIT. CENTR	2	0.0003	DCS-LACKS					? [Cologne Addition]
ĀRYABHAṬA, SIDDH	2	0.0003	DCS-LACKS					? [Cologne Addition]
PANDIT I,	2	0.0003	DCS-LACKS					? [Cologne Addition]
WILSON, SEL. WORKS,	2	0.0003	DCS-LACKS					
SV. EBEND	2	0.0003	DCS-LACKS					SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt und mit Glossar versehen von THEODOR BENFEY. Leipzig 1848. 
ED. TROYER	2	0.0003	DCS-LACKS					
ROTH, Z. L. U. G. D. W	2	0.0003	DCS-LACKS					
CALCUTTA	2	0.0003	DCS-LACKS					
HṚD	2	0.0003	DCS-LACKS					? [Cologne Addition]
UPARIBH	2	0.0003	DCS-LACKS					? [Cologne Addition]
VP II,	2	0.0003	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
ṚGVIDH	2	0.0003	DCS-LACKS					? [Cologne Addition]
NIR. L	2	0.0003	DCS-LACKS					YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S herausgegeben und erklärt von RUDOLPH ROTH. Göttingen 1852.
ŚATAKĀV. S	2	0.0003	DCS-LACKS					? [Cologne Addition]
STENZLER S	2	0.0003	DCS-LACKS					? [Cologne Addition]
HOEFER, VOM INFINITIV S	2	0.0003	DCS-LACKS					
BRĀHMADHARMA	2	0.0003	DCS-LACKS					? [Cologne Addition]
LA. (I)	2	0.0003	DCS-LACKS					LASSEN'S Anthologie (GILD. Bibl. 48).
ABHINANDA	2	0.0003	DCS-LACKS					? [Cologne Addition]
NAIGEYA	2	0.0003	DCS-LACKS					? [Cologne Addition]
WILSON IN DER EINL. ZUR	2	0.0003	DCS-LACKS					? [Cologne Addition]
ŚABDAR. A. A. O	2	0.0003	DCS-LACKS					ŚABDARATNĀVALĪ, ein Wörterbuch; nach Anführungen im ŚKDR.
VIŚVA EBEND	2	0.0003	DCS-LACKS					? [Cologne Addition]
VERZ. D. OXF. H. , NO	2	0.0003	DCS-LACKS					
SV. GĀNA (TÜB. HDSCHR.)	2	0.0003	DCS-LACKS					SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt und mit Glossar versehen von THEODOR BENFEY. Leipzig 1848. 
JOURN. R. AS. S. II,	2	0.0003	DCS-LACKS					
EKĀRTHASAṂGRAHA	2	0.0003	DCS-LACKS					? [Cologne Addition]
SAṂK. K	2	0.0003	DCS-LACKS					? [Cologne Addition]
WEBER, NAX. PASSIM	2	0.0003	DCS-LACKS					
GOLĀDHY. BHUVANAK. (III)	2	0.0003	DCS-LACKS					? [Cologne Addition]
VS. APP. LVI,	2	0.0003	DCS-HAS-UNMAPPED	Vājasaneyisaṃhitā (Mādhyandina)	15687	yes		VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHITĀ in the MĀDHYANDINA -- and the KĀṆVA-ŚĀKHĀ with the commentary of MAHĪDHARA, e
VEDĀNTAS. (ALLAH.). NO	2	0.0003	DCS-LACKS					VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279).
BHAKTIRASĀMṚTASINDHU	2	0.0003	DCS-LACKS					? [Cologne Addition]
VET. IN LA. (III) AD	2	0.0003	DCS-HAS-UNMAPPED	Vetālapañcaviṃśatikā	814	no		VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).
GOLĀDHY. GRAHAṆAV	2	0.0003	DCS-LACKS					? [Cologne Addition]
SATKṚTYAMUKTĀVALĪ	2	0.0003	DCS-LACKS					? [Cologne Addition]
NYĀSA	2	0.0003	DCS-LACKS					? [Cologne Addition]
KĀVYAKALĀPA	2	0.0003	DCS-LACKS					? [Cologne Addition]
ŚVETĀŚV. UP. S	2	0.0003	DCS-HAS-UNMAPPED	Śvetāśvataropaniṣad	2147	yes		ŚVETĀŚVATAROPANIṢAD in der Bibliotheca indica.
PRAŚNĀDHY	2	0.0003	DCS-LACKS					? [Cologne Addition]
R. ED. SCHL	2	0.0003	DCS-HAS-UNMAPPED	Rāmāyaṇa	261568	no		RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL (GILD. Bibl. 84), bei den vie
GAṆITĀDHY. UDAY	2	0.0003	DCS-LACKS					? [Cologne Addition]
JĀBĀLA	2	0.0003	DCS-LACKS					? [Cologne Addition]
SIDDH. EBEND	2	0.0003	DCS-LACKS					? [Cologne Addition]
PURUṢOTTAMADEVA	2	0.0003	DCS-LACKS					? [Cologne Addition]
TBR. I,	2	0.0003	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYABRĀHMAṆA.
RĀṢṬRAPĀLAPAR	2	0.0003	DCS-LACKS					? [Cologne Addition]
KAŚĪKH	2	0.0003	DCS-LACKS					? [Cologne Addition]
IND. ST. EBEND	2	0.0003	DCS-LACKS					
VERZ. D. OXF. H. H	2	0.0003	DCS-LACKS					
P. EINL	2	0.0003	DCS-LACKS					PĀṆINI'S acht Bücher grammatischer Regeln (GILD. Bibl. 244).
TBR. III,	2	0.0003	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYABRĀHMAṆA.
GRAHĀNAY	2	0.0003	DCS-LACKS					? [Cologne Addition]
PAÑCAT. ED. BOMB. IV, S	2	0.0003	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
VERZ. D. CAMBR. HDSCHR	2	0.0003	DCS-LACKS					
VIKRAMĀDITYA	2	0.0003	DCS-LACKS					? [Cologne Addition]
GAṆIT. GRAHACCHĀYĀDH	2	0.0003	DCS-LACKS					GAṆITĀDHYĀYA? [Cologne Addition]
R. ED. GORR. BD. VII, S	2	0.0003	DCS-HAS-UNMAPPED	Rāmāyaṇa	261568	no		RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL (GILD. Bibl. 84), bei den vie
ĀRYABHAṬA	2	0.0003	DCS-LACKS					? [Cologne Addition]
DEVARĀJA D	2	0.0003	DCS-LACKS					? [Cologne Addition]
GOLĀDHY. GOLAB	2	0.0003	DCS-LACKS					? [Cologne Addition]
SŪRYAGR	2	0.0003	DCS-LACKS					? [Cologne Addition]
WEBER, UEBER DAS RĀMĀYAṆA S	2	0.0003	DCS-LACKS					
UP. S	2	0.0003	DCS-LACKS					? [Cologne Addition]
WATSON	2	0.0003	DCS-LACKS					? [Cologne Addition]
VIṢṆUDHARMOTT	2	0.0003	DCS-LACKS					? [Cologne Addition]
WEBER, RĀMAT. UP. S	2	0.0003	DCS-LACKS					? [Cologne Addition]
VIṢṆUSAHASRANĀMASTOTRA	2	0.0003	DCS-LACKS					? [Cologne Addition]
EINL. ZUM ṚV	2	0.0003	DCS-LACKS					
REVĀMĀH	2	0.0003	DCS-LACKS					? [Cologne Addition]
