root_slp1	hw_dev	in_verbs01	hindi_gloss
Sulk	शुल्क्	N	लाभ उठाना
Sulv	शुल्व्	N	देना, प्रदान करना
SumB	शुम्भ्	N	चमकना
Sun	शुन्	Y	जाना, हिलना-जुलना
SunD	शुन्ध्	N	पवित्र या विमल होना
Sur	शुर्	N	चोट पहुँचाना, मार डालना
Suz	शुष्	Y	सूखना, शुष्क होना, खुश्क होना
SvaBr	श्वभ्र्	N	जाना, हिलना-जुलना
SvaNk	श्वङ्क्	Y	जाना, हिलना-जुलना
SvaRW	श्वण्ठ्	Y	निन्दा करना
SvaW	श्वठ्	Y	निन्दा करना
SvaYc	श्वञ्च्	Y	जाना, हिलना-जुलना
Svac	श्वच्	Y	जाना, हिलना-जुलना
Svaj	श्वज्	Y	जाना, हिलना-जुलना
Sval	श्वल्	Y	दौड़ना, फुर्ती से जाना
Svalk	श्वल्क्	Y	कहना, वर्णन करना
Svall	श्वल्ल्	Y	दौड़ना
Svas	श्वस्	Y	साँस लेना, साँस निकालना, साँस खींचना
SvetIBU	श्वेतीभू	N	सफेद होना
SvetIkf	श्वेतीकृ	N	सफेद करना
Svi	श्वि	N	विकसित होना, बढ़ना , सूजना (जैसे आँख का)
Svind	श्विन्द्	Y	सफ़ेद होना
Svit	श्वित्	Y	श्वेत होना, सफ़ेद होना
SyE	श्यै	N	जाना, हिलना-जुलना
Tuq	थुड्	Y	ढकना, पर्दा डालना
Turv	थुर्व्	Y	चोट पहुँचाना, क्षति पहुँचाना
Uh	ऊह्	Y	टाँकना, अंकित करना, अवक्षेण करना
Un	ऊन्	N	घटना,घटाना
UrRu	ऊर्णु	Y	ढकना, घेरना, छिपाना
Uy	ऊय्	Y	बुनना, सीना
Uz	ऊष्	Y	रुग्ण होना, अस्वस्थ होना, बीमार होना
aBizeRayati	अभिषेणयति	N	सेना के साथ कूच करना,आक्रमण करना,सेना द्वारा शत्रु का मुकाबला करना
aBr	अभ्र्	Y	जाना,इधर उधर घूमना
aByAcakz	अभ्याचक्ष्	N	ध्यान देना
aByantarIkf	अभ्यन्तरीकृ	N	दीक्षित करना,परिचित करना
aByavapad	अभ्यवपद्	N	निरादर करना, तिरस्कार करना
aDarIkf	अधरीकृ	N	आगे बढ़ जाना, पटक देना, पराजित करना.
aDo yA	अधो या	N	डुबना
aG	अघ्	N	बुरा करना, पाप करना
aMS	अंश्	N	बांटना, वितरण करना, आपस में हिस्सा बांटना, 
aMh	अंह्	N	जाना, समीप जाना, प्रयाण करना, आरम्भ करना
aMs	अंस्	N	बांटना, वितरण करना, आपस में हिस्सा बांटना, 
aNG	अङ्घ्	Y	जाना
aNK	अङ्ख्	N	पेट के बल सरकना
aNga	अङ्ग	N	जाना, चलना
aNk	अङ्क्	Y	टेढ़ा-मेढ़ा चलना
aR	अण्	Y	शब्द करना
aS	अश्	Y	व्याप्त होना, पूरी तरह से भरना, प्रविष्ट होना
aT	अथ्	N	चोट पहुँचाना, क्षति पहुँचाना, मार डालना
aYc	अञ्च्	N	झुकाना
aYj	अञ्ज्	Y	लेपना, सानना, रंग पोतना
aYjaliM banD	अञ्जलिं बन्ध्	N	नम्र निवेदन के लिये हाथ जोड़ना
aYjaliMkf	अञ्जलिंकृ	N	हाथ जोड़कर नमस्कार करना
aYjaliMrac	अञ्जलिंरच्	N	हाथ जोड़कर नमस्कार करना
aYjalimbanD	अञ्जलिम्बन्ध्	N	हाथ जोड़कर नमस्कार करना
ac	अच्	Y	जाना, हिलना
ad	अद्	Y	खाना, निगलना
ag	अग्	N	सर्पिल गति से जाना, टेढ़े मेढ़े चलना
agniM dA	अग्निं दा	N	आग लगाना
agre yA	अग्रे या	N	आगे आगे चलना, नेतृत्व करना, मार्ग दिखाना
