headword	L	root_key	immediate_base	upasarga	derivation_type	source	depth	is_leading_word_compound	chain
tozin	30690	tuz	tuz		derived	pwg	1	False	tozin>tuz
tozya	30691	tuz	tuz		derived	pwg	1	False	tozya>tuz
tOdAdika	30703	nud	tud	vi	compound	pwg	3	True	tOdAdika>tud>vi+nud>nud
tmUta	30730	tIv	tIv		derived	pwg	1	False	tmUta>tIv
tyaktar	30732	tyaj	tyaj		derived	pwg	1	False	tyaktar>tyaj
tyaktavya	30733	tyaj	tyaj		derived	pwg	1	False	tyaktavya>tyaj
tyajas	30738	tyaj	tyaj		derived	pwg	1	False	tyajas>tyaj
tyajas	30739	tyaj	tyaj		derived	pwg	1	False	tyajas>tyaj
tyAga	30744	tyaj	tyaj		derived	pwg	1	False	tyAga>tyaj
tyAgamaya	30745	tyaj	tyAga		derived	pwg	2	False	tyAgamaya>tyAga>tyaj
tyAgitA	30746	tyaj	tyAgin		derived	pwg	2	False	tyAgitA>tyAgin>tyaj
tyAgin	30747	tyaj	tyaj		derived	pwg	1	False	tyAgin>tyaj
tyAgima	30748	tyaj	tyAga		derived	pwg	2	False	tyAgima>tyAga>tyaj
tyAjaka	30749	tyaj	tyaj		derived	pwg	1	False	tyAjaka>tyaj
tyAjya	30750	tyaj	tyaj		derived	pwg	1	False	tyAjya>tyaj
tra	30752	trA	trA		derived	pwg	1	False	tra>trA
tra	30753	trA	trA		derived	pwg	1	False	tra>trA
trada	30760	tard	tard		derived	pwg	1	False	trada>tard
trapa	30763	trap	trap		derived	pwg	1	False	trapa>trap
trapAraRqA	30765	trA	tra		compound	pwg	2	True	trapAraRqA>tra>trA
trapu	30767	trap	trap		derived	pwg	1	False	trapu>trap
trapukarkawI	30768	trap	trapu		compound	pwg	2	True	trapukarkawI>trapu>trap
trapukarRin	30769	trap	trapu		compound	pwg	2	True	trapukarRin>trapu>trap
traya	30777	trA	tra		derived	pwg	2	False	traya>tra>trA
trayayAyya	30779	trA	trA		derived	pwg	1	False	trayayAyya>trA
trayastriMSapati	30787	trA	tra		compound	pwg	2	True	trayastriMSapati>tra>trA
trayastriMSastoma	30788	trA	tra		compound	pwg	2	True	trayastriMSastoma>tra>trA
trayaHsaptati	30790	san	sa		compound	pwg	2	True	trayaHsaptati>sa>san
trayItanu	30792	tan	tanu		compound	pwg	2	True	trayItanu>tanu>tan
trayIvida	30795	vid	vida		compound	pwg	2	True	trayIvida>vida>vid
trayodaSaviDa	30801	DA	viDA	vi	compound	pwg	3	True	trayodaSaviDa>viDA>vi+DA>DA
trasa	30813	tras	tras		derived	pwg	1	False	trasa>tras
trasadasyu	30814	tras	trasa		compound	pwg	2	True	trasadasyu>trasa>tras
trasana	30815	tras	tras		derived	pwg	1	False	trasana>tras
trasara	30816	tras	tras		derived	pwg	1	False	trasara>tras
trasareRu	30817	tras	trasa		compound	pwg	2	True	trasareRu>trasa>tras
trasura	30819	tras	tras		derived	pwg	1	False	trasura>tras
trasnu	30820	tras	tras		derived	pwg	1	False	trasnu>tras
trARa	30823	trA	trA		derived	pwg	1	False	trARa>trA
trAta	30824	trA	trA		derived	pwg	1	False	trAta>trA
trAtar	30825	trA	trA		derived	pwg	1	False	trAtar>trA
trAtavya	30826	trA	trA		derived	pwg	1	False	trAtavya>trA
trAtra	30827	trA	trA		derived	pwg	1	False	trAtra>trA
trApuza	30828	trap	trapu		derived	pwg	2	False	trApuza>trapu>trap
trAman	30831	trA	trA		derived	pwg	1	False	trAman>trA
trAyantikA	30832	trA	trAyantI		derived	pwg	2	False	trAyantikA>trAyantI>trA
trAyantI	30833	trA	trA		derived	pwg	1	False	trAyantI>trA
trAsa	30837	tras	tras		derived	pwg	1	False	trAsa>tras
trAsadasyava	30838	tras	trasadasyu		derived	pwg	3	True	trAsadasyava>trasadasyu>trasa>tras
trAsana	30839	tras	tras		derived	pwg	1	False	trAsana>tras
trAsin	30841	tras	tras		derived	pwg	1	False	trAsin>tras
triMSatpattra	30850	pat	pattra		compound	pwg	2	True	triMSatpattra>pattra>pat
trikarman	30866	kar	karman		compound	pwg	2	True	trikarman>karman>kar
trikAlajYa	30876	jYA	jYa		compound	pwg	2	True	trikAlajYa>jYa>jYA
trikzAra	30889	kzi	kzAra		compound	pwg	3	True	trikzAra>kzAra>kzA>kzi
trigamBIra	30898	gam	ga		compound	pwg	2	True	trigamBIra>ga>gam
triguRAkfta	30905	kar	kfta		compound	pwg	2	True	triguRAkfta>kfta>kar
tricit	30918	ci	cit		compound	pwg	2	True	tricit>cit>ci
trijagat	30919	gam	jagat		compound	pwg	2	True	trijagat>jagat>gam
trijAta	30921	jan	jAta		compound	pwg	2	True	trijAta>jAta>jan
triRata	30925	nam	nata		compound	pwg	2	True	triRata>nata>nam
triRayana	30926	nI	nayana		compound	pwg	2	True	triRayana>nayana>nI
triRAman	30931	jYA	nAman		compound	pwg	2	True	triRAman>nAman>jYA
tritakza	30934	takz	takzan		compound	pwg	2	True	tritakza>takzan>takz
tridalA	30943	dal	dala		compound	pwg	2	True	tridalA>dala>dal
tridalikA	30944	dal	dala		compound	pwg	2	True	tridalikA>dala>dal
tridaSapati	30950	pat	pati		compound	pwg	2	True	tridaSapati>pati>pat
tridaSasarzapa	30954	san	sa		compound	pwg	2	True	tridaSasarzapa>sa>san
tridaSAyana	30957	i	ayana		compound	pwg	2	True	tridaSAyana>ayana>i
tridaSAyuDa	30958	yuD	AyuDa	A	compound	pwg	3	True	tridaSAyuDa>AyuDa>A+yuD>yuD
tridaSAri	30959	ar	ari		compound	pwg	2	True	tridaSAri>ari>ar
tridaSAlaya	30960	lI	Alaya	A	compound	pwg	3	True	tridaSAlaya>Alaya>A+lI>lI
tridaSAlaya	30961	lI	Alaya	A	compound	pwg	3	True	tridaSAlaya>Alaya>A+lI>lI
tridaSAvAsa	30962	vasvasati	AvAsa	A	compound	pwg	3	True	tridaSAvAsa>AvAsa>A+vasvasati>vasvasati
tridaSAhAra	30963	har	AhAra	A	compound	pwg	3	True	tridaSAhAra>AhAra>A+har>har
tridinaspfS	30965	sparS	spfS		compound	pwg	2	True	tridinaspfS>spfS>sparS
tridivADISa	30967	IS	aDISa		compound	pwg	3	True	tridivADISa>aDISa>ISa>IS
tridiveSvara	30969	IS	ISvara		compound	pwg	2	True	tridiveSvara>ISvara>IS
tridivodBavA	30970	BU	udBava	ud	compound	pwg	3	True	tridivodBavA>udBava>ud+BU>BU
tridivOkas	30971	uc	okas		compound	pwg	2	True	tridivOkas>okas>uc
triDAtu	30976	DA	DAtu		compound	pwg	2	True	triDAtu>DAtu>DA
triniDana	30991	nI	ni		compound	pwg	2	True	triniDana>ni>nI
trinetra	30993	nI	netra		compound	pwg	2	True	trinetra>netra>nI
tripatI	31003	pat	pati		compound	pwg	2	True	tripatI>pati>pat
tripattra	31004	pat	pattra		compound	pwg	2	True	tripattra>pattra>pat
tripattraka	31005	pat	pattra		compound	pwg	2	True	tripattraka>pattra>pat
tripada	31008	pad	pada		compound	pwg	2	True	tripada>pada>pad
tripAWin	31016	paW	pAWa		compound	pwg	2	True	tripAWin>pAWa>paW
tripAda	31019	pad	pAda		compound	pwg	2	True	tripAda>pAda>pad
tripAdaka	31020	pad	pAda		compound	pwg	2	True	tripAdaka>pAda>pad
tripiba	31023	pA	piba	ud	compound	pwg	4	True	tripiba>piba>pA>ud+pA>pA
tripureSvara	31039	IS	ISvara		compound	pwg	2	True	tripureSvara>ISvara>IS
tripfzWa	31042	sTA	pfzWa	pra	compound	pwg	3	True	tripfzWa>pfzWa>pra+sTA>sTA
triprasruta	31044	par	pra		compound	pwg	2	True	triprasruta>pra>par
triBAga	31058	Baj	BAga		compound	pwg	2	True	triBAga>BAga>Baj
triBuvana	31066	BU	Bu		compound	pwg	2	True	triBuvana>Bu>BU
triBuvaneSvaraliNga	31067	lag	liNga		compound	pwg	2	True	triBuvaneSvaraliNga>liNga>lag
triyava	31085	yA	yava		compound	pwg	3	True	triyava>yava>yu>yA
triyAna	31088	yA	yAna		compound	pwg	2	True	triyAna>yAna>yA
triyAma	31089	yam	yAma		compound	pwg	2	True	triyAma>yAma>yam
triyuga	31091	yuj	yuga		compound	pwg	2	True	triyuga>yuga>yuj
triyuga	31092	yuj	yuga		compound	pwg	2	True	triyuga>yuga>yuj
triliNga	31104	lag	liNga		compound	pwg	2	True	triliNga>liNga>lag
triliNgaka	31105	lag	liNga		compound	pwg	2	True	triliNgaka>liNga>lag
triliNgI	31106	lag	liNga		compound	pwg	2	True	triliNgI>liNga>lag
trilocanadAsa	31110	dAs	dAsa		compound	pwg	2	True	trilocanadAsa>dAsa>dAs
trilocaneSvaratIrTa	31111	tar	tIrTa		compound	pwg	2	True	trilocaneSvaratIrTa>tIrTa>tar
trivarga	31120	varj	varga		compound	pwg	2	True	trivarga>varga>varj
trivarRa	31121	var	varRa		compound	pwg	2	True	trivarRa>varRa>var
trivarRa	31122	var	varRa		compound	pwg	2	True	trivarRa>varRa>var
trivarRaka	31123	var	varRa		compound	pwg	2	True	trivarRaka>varRa>var
trivartu	31124	var	vartu		compound	pwg	2	True	trivartu>vartu>var
trivarza	31127	varz	varza		compound	pwg	2	True	trivarza>varza>varz
trivarza	31128	varz	varza		compound	pwg	2	True	trivarza>varza>varz
trivarzikA	31129	varz	varza		compound	pwg	2	True	trivarzikA>varza>varz
trivarzIya	31130	varz	varza		compound	pwg	2	True	trivarzIya>varza>varz
trivAra	31131	var	vAra		compound	pwg	2	True	trivAra>vAra>var
trividya	31137	vid	vidyA		compound	pwg	2	True	trividya>vidyA>vid
triviDa	31138	DA	viDA	vi	compound	pwg	3	True	triviDa>viDA>vi+DA>DA
trivft	31145	var	vft		compound	pwg	2	True	trivft>vft>var
trivftti	31148	vart	vftti		compound	pwg	2	True	trivftti>vftti>vart
triveda	31156	vid	veda		compound	pwg	2	True	triveda>veda>vid
triveda	31157	vid	veda		compound	pwg	2	True	triveda>veda>vid
triSaNkuja	31163	jan	ja		compound	pwg	2	True	triSaNkuja>ja>jan
triSAKapattra	31173	pat	pattra		compound	pwg	2	True	triSAKapattra>pattra>pat
triSAlaka	31176	Sar	SAlA		compound	pwg	2	True	triSAlaka>SAlA>Sar
triSiKidalA	31179	dal	dala		compound	pwg	2	True	triSiKidalA>dala>dal
triSukra	31186	Suc	Sukra		compound	pwg	2	True	triSukra>Sukra>Suc
triSUlaKAta	31191	Kan	KAta		compound	pwg	2	True	triSUlaKAta>KAta>Kan
triSUlagaNgA	31192	gam	ga		compound	pwg	2	True	triSUlagaNgA>ga>gam
triSoka	31197	Suc	Soka		compound	pwg	2	True	triSoka>Soka>Suc
trizatya	31200	as	satya		compound	pwg	3	True	trizatya>satya>sant>as
trizaMDi	31201	DA	saMDi	sam	compound	pwg	3	True	trizaMDi>saMDi>sam+DA>DA
trizavaRa	31205	su	savana		compound	pwg	2	True	trizavaRa>savana>su
trizwupCandas	31212	CA	Ca		compound	pwg	2	True	trizwupCandas>Ca>CA
trizwoma	31214	stu	stoma		compound	pwg	2	True	trizwoma>stoma>stu
trizWa	31215	sTA	sTa		compound	pwg	2	True	trizWa>sTa>sTA
trisaptata	31226	san	trisaptati		derived	pwg	3	True	trisaptata>trisaptati>sa>san
trisaptati	31227	san	sa		compound	pwg	2	True	trisaptati>sa>san
trisama	31230	san	sama		compound	pwg	3	True	trisama>sama>sa>san
trisarga	31232	sarj	sarga		compound	pwg	2	True	trisarga>sarga>sarj
trisTAna	31250	sTA	sTAna		compound	pwg	2	True	trisTAna>sTAna>sTA
trisTAna	31251	sTA	sTAna		compound	pwg	2	True	trisTAna>sTAna>sTA
triHsnAna	31255	snA	snAna		compound	pwg	2	True	triHsnAna>snAna>snA
trIzu	31260	iz	izu		compound	pwg	2	True	trIzu>izu>iz
truwi	31264	truw	truw		derived	pwg	1	False	truwi>truw
truwivIja	31265	truw	truwi		compound	pwg	2	True	truwivIja>truwi>truw
truwyavayava	31267	truw	truwi		compound	pwg	2	True	truwyavayava>truwi>truw
tretA	31270	trA	traya		derived	pwg	3	False	tretA>traya>tra>trA
tretinI	31271	trA	tretA		derived	pwg	4	False	tretinI>tretA>traya>tra>trA
treDA	31272	trA	traya		derived	pwg	3	False	treDA>traya>tra>trA
trEDAtava	31292	DA	triDAtu		derived	pwg	3	True	trEDAtava>triDAtu>DAtu>DA
trEDAtuka	31294	DA	triDAtu		derived	pwg	3	True	trEDAtuka>triDAtu>DAtu>DA
trEpada	31298	pad	tripada		derived	pwg	3	True	trEpada>tripada>pada>pad
trEmAtura	31307	sIv	mAtar		compound	pwg	3	True	trEmAtura>mAtar>sUtra>sIv
trEliNga	31316	lag	triliNga		derived	pwg	3	True	trEliNga>triliNga>liNga>lag
trElokyaprakASa	31322	par	pra		compound	pwg	2	True	trElokyaprakASa>pra>par
trEvarRika	31332	var	varRa		compound	pwg	2	True	trEvarRika>varRa>var
trEvarzika	31333	varz	trivarza		derived	pwg	3	True	trEvarzika>trivarza>varza>varz
trEvArzika	31334	varz	trivarza		derived	pwg	3	True	trEvArzika>trivarza>varza>varz
trEvidya	31337	vid	vidyA		compound	pwg	2	True	trEvidya>vidyA>vid
trEviDya	31338	DA	triviDa	vi	derived	pwg	4	True	trEviDya>triviDa>viDA>vi+DA>DA
trEvfta	31341	var	trivft		derived	pwg	3	True	trEvfta>trivft>vft>var
trESoka	31348	Suc	triSoka		derived	pwg	3	True	trESoka>triSoka>Soka>Suc
trEsvarya	31352	svar	svara		compound	pwg	2	True	trEsvarya>svara>svar
tryakzara	31365	at	akzara		compound	pwg	3	True	tryakzara>akzara>a>at
tryaYjana	31371	aYj	aYjana	aDi	compound	pwg	4	True	tryaYjana>aYjana>aYj>aDi+aYj>aYj
tryaDISa	31375	IS	aDISa		compound	pwg	3	True	tryaDISa>aDISa>ISa>IS
tryanIka	31376	an	anIka		compound	pwg	2	True	tryanIka>anIka>an
tryahasparSa	31396	sparS	sparSa		compound	pwg	2	True	tryahasparSa>sparSa>sparS
tryahEhika	31398	i	Ehika		compound	pwg	3	True	tryahEhika>Ehika>iha>i
tryAliKita	31404	liK	A+liK	A	prefix_root	pwg	2	False	tryAliKita>A+liK>liK
tryAvft	31405	vart	Avft	A	compound	pwg	3	True	tryAvft>Avft>A+vart>vart
tryASir	31406	SarSrI	ASir	A	compound	pwg	3	True	tryASir>ASir>A+SarSrI>SarSrI
tryuttarIBAva	31410	av	u		compound	pwg	2	True	tryuttarIBAva>u>av
tryudAya	31411	i	udA+i	udA	prefix_root	pwg	2	False	tryudAya>udA+i>i
tryuzaRa	31413	muz	uzaRa	aBi	compound	pwg	4	True	tryuzaRa>uzaRa>uz>aBi+muz>muz
tryfca	31414	arc	fc		compound	pwg	2	True	tryfca>fc>arc
tryeta	31415	i	eta	A	compound	pwg	3	True	tryeta>eta>A+i>i
tvakCada	31423	Cad	Cada		compound	pwg	2	True	tvakCada>Cada>Cad
tvaktaraMgaka	31424	tar	taraMga		compound	pwg	2	True	tvaktaraMgaka>taraMga>tar
tvaktra	31425	trA	tra		compound	pwg	2	True	tvaktra>tra>trA
tvakpattra	31426	pat	pattra		compound	pwg	2	True	tvakpattra>pattra>pat
tvakpAka	31427	pac	pAka		compound	pwg	2	True	tvakpAka>pAka>pac
tvakpAruzya	31428	pA	pA	ud	compound	pwg	3	True	tvakpAruzya>pA>ud+pA>pA
tvakzas	31432	tvakz	tvakz		derived	pwg	1	False	tvakzas>tvakz
tvakzIyaMs	31433	tvakz	tvakz		derived	pwg	1	False	tvakzIyaMs>tvakz
tvaksAra	31434	sar	sAra		compound	pwg	2	True	tvaksAra>sAra>sar
tvagja	31442	jan	ja		compound	pwg	2	True	tvagja>ja>jan
tvagdozApahA	31444	hA	apahA	apa	compound	pwg	3	True	tvagdozApahA>apahA>apa+hA>hA
tvagdozAri	31445	ar	ari		compound	pwg	2	True	tvagdozAri>ari>ar
tvagBeda	31447	Bid	Beda		compound	pwg	2	True	tvagBeda>Beda>Bid
tvagvant	31449	tvac	tvac		derived	pwg	1	False	tvagvant>tvac
tvaNmaya	31453	tvac	tvac		derived	pwg	1	False	tvaNmaya>tvac
tvacizWa	31463	tvac	tvac		derived	pwg	1	False	tvacizWa>tvac
tvacisAra	31464	sar	sAra		compound	pwg	2	True	tvacisAra>sAra>sar
tvacIyaMs	31466	tvac	tvac		derived	pwg	1	False	tvacIyaMs>tvac
tvacya	31467	tvac	tvac		derived	pwg	1	False	tvacya>tvac
tvatkfta	31471	kar	kfta		compound	pwg	2	True	tvatkfta>kfta>kar
tvadyoni	31478	yA	yoni		compound	pwg	3	True	tvadyoni>yoni>yu>yA
tvadviDa	31480	DA	viDA	vi	compound	pwg	3	True	tvadviDa>viDA>vi+DA>DA
tvaraRa	31484	tvar	tvar		derived	pwg	1	False	tvaraRa>tvar
tvaraRIya	31485	tvar	tvar		derived	pwg	1	False	tvaraRIya>tvar
tvarA	31486	tvar	tvar		derived	pwg	1	False	tvarA>tvar
tvarAroha	31489	tvar	tvarA		compound	pwg	2	True	tvarAroha>tvarA>tvar
tvarAvant	31490	tvar	tvarA		derived	pwg	2	False	tvarAvant>tvarA>tvar
tvari	31491	tvar	tvar		derived	pwg	1	False	tvari>tvar
tvarita	31492	tvar	tvar		derived	pwg	1	False	tvarita>tvar
tvaritaka	31493	tvar	tvarita		derived	pwg	2	False	tvaritaka>tvarita>tvar
tvazwar	31495	tvakz	tvakz		derived	pwg	1	False	tvazwar>tvakz
tvazwi	31496	tvakz	tvakz		derived	pwg	1	False	tvazwi>tvakz
tvazwfmant	31498	tvakz	tvazwar		derived	pwg	2	False	tvazwfmant>tvazwar>tvakz
tvAMkAma	31499	kam	kAma		compound	pwg	2	True	tvAMkAma>kAma>kam
tvAca	31500	tvac	tvac		derived	pwg	1	False	tvAca>tvac
tvAdatta	31501	dA	datta		compound	pwg	3	True	tvAdatta>datta>dA>dA
tvAdAta	31502	dA	dAta	ava	compound	pwg	3	True	tvAdAta>dAta>ava+dA>dA
tvAvasu	31512	vAsay	vasu	aDi	compound	pwg	4	True	tvAvasu>vasu>vas>aDi+vAsay>vAsay
tvAvfDa	31513	varD	vfDa		compound	pwg	2	True	tvAvfDa>vfDa>varD
tvizA	31518	tviz	tviz		derived	pwg	1	False	tvizA>tviz
tvizAmISa	31519	IS	ISa		compound	pwg	2	True	tvizAmISa>ISa>IS
tvizAMpati	31520	pat	pati		compound	pwg	2	True	tvizAMpati>pati>pat
tvizi	31521	tviz	tviz		derived	pwg	1	False	tvizi>tviz
tvizimant	31522	tviz	tvizi		derived	pwg	2	False	tvizimant>tvizi>tviz
tveza	31523	tviz	tviz		derived	pwg	1	False	tveza>tviz
tvezaTa	31524	tviz	tviz		derived	pwg	1	False	tvezaTa>tviz
tvezadyumna	31525	tviz	tveza		compound	pwg	2	True	tvezadyumna>tveza>tviz
tvezanfmRa	31526	tviz	tveza		compound	pwg	2	True	tvezanfmRa>tveza>tviz
tvezapratIka	31527	tviz	tveza		compound	pwg	2	True	tvezapratIka>tveza>tviz
tvezayAma	31528	tviz	tveza		compound	pwg	2	True	tvezayAma>tveza>tviz
tvezaraTa	31529	tviz	tveza		compound	pwg	2	True	tvezaraTa>tveza>tviz
tvezas	31530	tviz	tviz		derived	pwg	1	False	tvezas>tviz
tvezya	31533	tviz	tviz		derived	pwg	1	False	tvezya>tviz
tvoti	31537	av	Uti		compound	pwg	2	True	tvoti>Uti>av
tsArin	31541	av	Uti		compound	pwg	2	True	tsArin>Uti>av
daMSa	31566	daMS	daMS		derived	pwg	1	False	daMSa>daMS
daMSaka	31567	daMS	daMS		derived	pwg	1	False	daMSaka>daMS
daMSana	31568	daMS	daMS		derived	pwg	1	False	daMSana>daMS
daMSamUla	31571	daMS	daMSa		compound	pwg	2	True	daMSamUla>daMSa>daMS
daMSita	31573	daMS	daMSa		derived	pwg	2	False	daMSita>daMSa>daMS
daMSin	31574	daMS	daMS		derived	pwg	1	False	daMSin>daMS
daMSuka	31575	daMS	daMS		derived	pwg	1	False	daMSuka>daMS
daMSera	31576	daMS	daMS		derived	pwg	1	False	daMSera>daMS
daMSman	31577	daMS	daMS		derived	pwg	1	False	daMSman>daMS
daMzwar	31578	daMS	daMS		derived	pwg	1	False	daMzwar>daMS
daMzwra	31579	daMS	daMS		derived	pwg	1	False	daMzwra>daMS
daMzwrAnivAsin	31580	nI	ni		compound	pwg	2	True	daMzwrAnivAsin>ni>nI
daMzwrAyuDa	31581	yuD	AyuDa	A	compound	pwg	3	True	daMzwrAyuDa>AyuDa>A+yuD>yuD
daMsayitar	31589	daMs	daMs		derived	pwg	1	False	daMsayitar>daMs
daMsupatnI	31595	pat	pati		compound	pwg	2	True	daMsupatnI>pati>pat
dakza	31601	dakz	dakz		derived	pwg	1	False	dakza>dakz
dakzakanyA	31602	dakz	dakza		compound	pwg	2	True	dakzakanyA>dakza>dakz
dakzakratu	31603	dakz	dakza		compound	pwg	2	True	dakzakratu>dakza>dakz
dakzajA	31604	dakz	dakza		compound	pwg	2	True	dakzajA>dakza>dakz
dakzajApati	31605	pat	pati		compound	pwg	2	True	dakzajApati>pati>pat
dakzatA	31606	dakz	dakza		derived	pwg	2	False	dakzatA>dakza>dakz
dakzatAti	31607	dakz	dakza		derived	pwg	2	False	dakzatAti>dakza>dakz
dakzaniDana	31608	dakz	dakza		compound	pwg	2	True	dakzaniDana>dakza>dakz
dakzapati	31609	dakz	dakza		compound	pwg	2	True	dakzapati>dakza>dakz
dakzapitar	31610	dakz	dakza		compound	pwg	2	True	dakzapitar>dakza>dakz
dakzavihitA	31611	dakz	dakza		compound	pwg	2	True	dakzavihitA>dakza>dakz
dakzavfD	31612	dakz	dakza		compound	pwg	2	True	dakzavfD>dakza>dakz
dakzas	31613	dakz	dakz		derived	pwg	1	False	dakzas>dakz
dakzasADana	31614	dakz	dakza		compound	pwg	2	True	dakzasADana>dakza>dakz
dakzasAvarRi	31615	dakz	dakza		compound	pwg	2	True	dakzasAvarRi>dakza>dakz
dakzasuta	31616	dakz	dakza		compound	pwg	2	True	dakzasuta>dakza>dakz
dakzAyya	31617	dakz	dakz		derived	pwg	1	False	dakzAyya>dakz
dakziRa	31619	dakz	dakz		derived	pwg	1	False	dakziRa>dakz
dakziRatas	31621	dakz	dakziRa		derived	pwg	2	False	dakziRatas>dakziRa>dakz
dakziRatrA	31623	dakz	dakziRa		derived	pwg	2	False	dakziRatrA>dakziRa>dakz
dakziRatva	31624	dakz	dakziRa		derived	pwg	2	False	dakziRatva>dakziRa>dakz
dakziRapUrva	31631	pA	pU	ud	compound	pwg	4	True	dakziRapUrva>pU>pA>ud+pA>pA
dakziRasTa	31636	sTA	sTa		compound	pwg	2	True	dakziRasTa>sTa>sTA
dakziRA	31637	dakz	dakziRa		derived	pwg	2	False	dakziRA>dakziRa>dakz
dakziRAgni	31640	dakz	dakziRa		compound	pwg	2	True	dakziRAgni>dakziRa>dakz
dakziRAcala	31642	dakz	dakziRa		compound	pwg	2	True	dakziRAcala>dakziRa>dakz
dakziRAcAra	31643	dakz	dakziRa		compound	pwg	2	True	dakziRAcAra>dakziRa>dakz
dakziRAt	31647	dakz	dakziRa		derived	pwg	2	False	dakziRAt>dakziRa>dakz
dakziRAntikA	31649	dakz	dakziRa		compound	pwg	2	True	dakziRAntikA>dakziRa>dakz
dakziRApara	31652	dakz	dakziRa		compound	pwg	2	True	dakziRApara>dakziRa>dakz
dakziRAyana	31659	dakz	dakziRa		compound	pwg	2	True	dakziRAyana>dakziRa>dakz
dakziRAraRya	31661	dakz	dakziRa		compound	pwg	2	True	dakziRAraRya>dakziRa>dakz
dakziRArDa	31663	dakz	dakziRa		compound	pwg	2	True	dakziRArDa>dakziRa>dakz
dakziRASA	31671	dakz	dakziRa		compound	pwg	2	True	dakziRASA>dakziRa>dakz
dakziRAhi	31673	dakz	dakziRa		derived	pwg	2	False	dakziRAhi>dakziRa>dakz
dakziRit	31674	dakz	dakziRa		derived	pwg	2	False	dakziRit>dakziRa>dakz
dakziRIya	31676	dakz	dakziRA		derived	pwg	3	False	dakziRIya>dakziRA>dakziRa>dakz
dakziRetara	31677	dakz	dakziRa		compound	pwg	2	True	dakziRetara>dakziRa>dakz
dakziRena	31678	dakz	dakziRa		derived	pwg	2	False	dakziRena>dakziRa>dakz
dakziRerman	31679	dakz	dakziRa		compound	pwg	2	True	dakziRerman>dakziRa>dakz
dakziRottara	31680	dakz	dakziRa		compound	pwg	2	True	dakziRottara>dakziRa>dakz
dakziRottarin	31681	dakz	dakziRA		derived	pwg	3	False	dakziRottarin>dakziRA>dakziRa>dakz
dakzeSvaraliNga	31684	lag	liNga		compound	pwg	2	True	dakzeSvaraliNga>liNga>lag
dagDar	31690	dah	dah		derived	pwg	1	False	dagDar>dah
dagDavarRaka	31693	var	varRa		compound	pwg	2	True	dagDavarRaka>varRa>var
dagDavya	31694	dah	dah		derived	pwg	1	False	dagDavya>dah
daGna	31699	daG	daG		derived	pwg	1	False	daGna>daG
daGvan	31700	daG	daG		derived	pwg	1	False	daGvan>daG
daMkzRu	31701	daMS	daMS		derived	pwg	1	False	daMkzRu>daMS
daRqakAlasaka	31710	at	alasa		compound	pwg	3	True	daRqakAlasaka>alasa>a>at
daRqaGna	31717	han	Gna		compound	pwg	2	True	daRqaGna>Gna>han
daRqacCadana	31719	CA	Ca		compound	pwg	2	True	daRqacCadana>Ca>CA
daRqadAsa	31723	dAs	dAsa		compound	pwg	2	True	daRqadAsa>dAsa>dAs
daRqaDara	31725	Dar	Dara		compound	pwg	2	True	daRqaDara>Dara>Dar
daRqaDarADipa	31726	Dar	daRqaDara		compound	pwg	3	True	daRqaDarADipa>daRqaDara>Dara>Dar
daRqaDAra	31727	Dar	DAra		compound	pwg	2	True	daRqaDAra>DAra>Dar
daRqaDfk	31730	Dar	Dfk		compound	pwg	2	True	daRqaDfk>Dfk>Dar
daRqanipAtana	31733	nI	ni		compound	pwg	2	True	daRqanipAtana>ni>nI
daRqanIya	31735	daRqay	daRqay		derived	pwg	1	False	daRqanIya>daRqay
daRqapARi	31740	pA	pA	ud	compound	pwg	3	True	daRqapARi>pA>ud+pA>pA
daRqapAtana	31742	pA	pA	ud	compound	pwg	3	True	daRqapAtana>pA>ud+pA>pA
daRqapAruzya	31744	pA	pA	ud	compound	pwg	3	True	daRqapAruzya>pA>ud+pA>pA
daRqapAla	31745	pA	pAla	ud	compound	pwg	4	True	daRqapAla>pAla>pA>ud+pA>pA
daRqapAlaka	31746	pA	pA	ud	compound	pwg	3	True	daRqapAlaka>pA>ud+pA>pA
daRqapraRAma	31750	par	pra		compound	pwg	2	True	daRqapraRAma>pra>par
daRqayAma	31762	yam	yAma		compound	pwg	2	True	daRqayAma>yAma>yam
daRqayoga	31763	yuj	yoga		compound	pwg	2	True	daRqayoga>yoga>yuj
daRqavyUha	31774	Uh	vyUha	vi	compound	pwg	3	True	daRqavyUha>vyUha>vi+Uh>Uh
daRqavrataDara	31775	Dar	Dara		compound	pwg	2	True	daRqavrataDara>Dara>Dar
daRqahasta	31778	han	ha		compound	pwg	2	True	daRqahasta>ha>han
daRqAKya	31779	KyA	AKyA	A	compound	pwg	3	True	daRqAKya>AKyA>A+KyA>KyA
daRqADipa	31782	pApAti	aDipa	aDi	compound	pwg	3	True	daRqADipa>aDipa>aDi+pApAti>pApAti
daRqAnIka	31784	an	anIka		compound	pwg	2	True	daRqAnIka>anIka>an
daRqArta	31789	ar	Arta	A	compound	pwg	3	True	daRqArta>Arta>A+ar>ar
daRqAlasikA	31790	at	alasa		compound	pwg	3	True	daRqAlasikA>alasa>a>at
daRqAstra	31792	as	astra		compound	pwg	2	True	daRqAstra>astra>as
daRqya	31800	daRqay	daRqay		derived	pwg	1	False	daRqya>daRqay
datta	31803	dA	dA		derived	pwg	2	False	datta>dA>dA
