n	tag	word	slp1	form_key	norm	in_union16	in_union15	u16_n_dicts	u16_dicts
68262	G	bā́stāyana	bAstAyana	bāstāyana	acc	1	1	3	MW PWG PWK
68263	G	pānthāyaná	pAnTAyana	pānthāyana	acc	1	1	4	MW PWG PWK VCP
68264		saumadāyana	sOmadAyana	saumadāyana		1	1	3	MW PWG PWK
68265	M	gādāyana	gAdAyana	gādāyana		1	1	1	MW
68266	G	pā́dāyana	pAdAyana	pādāyana	acc	1	1	4	MW PWG PWK VCP
68267		mādāyana	mAdAyana	mādāyana		1	1	3	MW PWG PWK
68268	G	vā́dāyana	vAdAyana	vādāyana	acc	1	1	3	MW PWG PWK
68269	G	naiṣādāyaná	nEzAdAyana	naiṣādāyana	acc	1	1	3	MW PWG PWK
68270	M	naiṣādāyana	nEzAdAyana	naiṣādāyana		1	1	3	MW PWG PWK
68271	G	vedāyana	vedAyana	vedāyana		1	1	4	MW PWG PWK SCH
68272	G	svédāyana	svedAyana	svedāyana	acc	1	1	3	MW PWG PWK
68273	M	baidāyana	bEdAyana	baidāyana		1	1	3	MW PWK SCH
