headword_iast	source_code	form_key
ñūṅiḥ	A	nūni
tūṅiḥ	A	tūni
ṣākapūṅiḥ	A	ṣākapūni
ṣṛṅiḥ	A	ṣṛni
sṛṅiḥ	A	sṛni
hṛṅiḥ	A	hṛni
ṣreṅiḥ	A	ṣreni
veṅiḥ	A	veni
praveṅiḥ	A	praveni
droṅiḥ	A	droni
ṣroṅiḥ	A	ṣroni
kṣoṅiḥ	A	kṣoni
kṣauṅiḥ	A	kṣauni
varṅiḥ	A	varni
sāvarṅiḥ	A	sāvarni
tārṅiḥ	A	tārni
kīrṅiḥ	A	kīrni
gīrṅiḥ	A	gīrni
jīrṅiḥ	A	jīrni
sīrṅiḥ	A	sīrni
ṅūrṅiḥ	A	nūrni
cūrṅiḥ	A	cūrni
bhūrṅiḥ	A	bhūrni
ḍṛṣṅiḥ	A	ḍṛṣni
pṛṣṅiḥ	A	pṛṣni
kārṣṅiḥ	A	kārṣni
pārṣṅiḥ	A	pārṣni
paciḥ	A	paci
ṣaciḥ	A	ṣaci
saciḥ	A	saci
piṣāciḥ	A	piṣāci
viciḥ	A	vici
kaṅīciḥ	A	kanīci
kanīciḥ	A	kanīci
ṣvayīciḥ	A	ṣvayīci
marīciḥ	A	marīci
vīciḥ	A	vīci
cuciḥ	A	cuci
namuciḥ	A	namuci
ruciḥ	A	ruci
aruciḥ	A	aruci
abhiruciḥ	A	abhiruci
viṣūciḥ	A	viṣūci
sūciḥ	A	sūci
khasūciḥ	A	khasūci
hilamociḥ	A	hilamoci
sauciḥ	A	sauci
kāñciḥ	A	kānci
viriñciḥ	A	virinci
kuñciḥ	A	kunci
upakuñciḥ	A	upakunci
arciḥ	A	arci
carciḥ	A	carci
anucarciḥ	A	anucarci
chiḥ	A	chi
jiḥ	A	ji
ājiḥ	A	āji
yajiḥ	A	yaji
ajājiḥ	A	ajāji
padājiḥ	A	padāji
yājiḥ	A	yāji
rājiḥ	A	rāji
ḍrājiḥ	A	ḍrāji
vrājiḥ	A	vrāji
bhujiḥ	A	bhuji
bhaṭṭojiḥ	A	bhaṭṭoji
pañjiḥ	A	panji
mañjiḥ	A	manji
hañjiḥ	A	hanji
puñjiḥ	A	punji
sarjiḥ	A	sarji
ñiḥ	A	ni
āṭiḥ	A	āṭi
kaṭiḥ	A	kaṭi
karkaṭiḥ	A	karkaṭi
parkaṭiḥ	A	parkaṭi
niṣaṅgaṭiḥ	A	niṣangaṭi
pucchaṭiḥ	A	pucchaṭi
ñaṭiḥ	A	naṭi
kujñaṭiḥ	A	kujnaṭi
paṭiḥ	A	paṭi
maṭusphaṭiḥ	A	maṭusphaṭi
cirbhaṭiḥ	A	cirbhaṭi
maṭiḥ	A	maṭi
saraṭiḥ	A	saraṭi
sāraṭiḥ	A	sāraṭi
āḍiraṭiḥ	A	āḍiraṭi
ḍīlaṭiḥ	A	ḍīlaṭi
vaṭiḥ	A	vaṭi
avaṭiḥ	A	avaṭi
ṣaṭiḥ	A	ṣaṭi
saṭiḥ	A	saṭi
āṅāṭiḥ	A	ānāṭi
paripāṭiḥ	A	paripāṭi
bhāṭiḥ	A	bhāṭi
māṭiḥ	A	māṭi
rāṭiḥ	A	rāṭi
ṣarāṭiḥ	A	ṣarāṭi
kiṭiḥ	A	kiṭi
tiṭiḥ	A	tiṭi
atiṭiḥ	A	atiṭi
riṭiḥ	A	riṭi
kiriṭiḥ	A	kiriṭi
bhṛṅgeriṭiḥ	A	bhṛngeriṭi
viṭiḥ	A	viṭi
pīṭiḥ	A	pīṭi
vīṭiḥ	A	vīṭi
kuṭiḥ	A	kuṭi
kukuṭiḥ	A	kukuṭi
bhrukuṭiḥ	A	bhrukuṭi
bhṛkuṭiḥ	A	bhṛkuṭi
niṣkuṭiḥ	A	niṣkuṭi
sphuṭiḥ	A	sphuṭi
truṭiḥ	A	truṭi
koṭiḥ	A	koṭi
khoṭiḥ	A	khoṭi
puroṭiḥ	A	puroṭi
troṭiḥ	A	troṭi
khāṅṭiḥ	A	khānṭi
khaṭṭiḥ	A	khaṭṭi
akhaṭṭiḥ	A	akhaṭṭi
bhaṭṭiḥ	A	bhaṭṭi
granṭiḥ	A	granṭi
nigranṭiḥ	A	nigranṭi
aṣṭiḥ	A	aṣṭi
iṣṭiḥ	A	iṣṭi
ṛṣṭiḥ	A	ṛṣṭi
eṣṭiḥ	A	eṣṭi
naṣṭiḥ	A	naṣṭi
vinaṣṭiḥ	A	vinaṣṭi
samaṣṭiḥ	A	samaṣṭi
yaṣṭiḥ	A	yaṣṭi
koyaṣṭiḥ	A	koyaṣṭi
atyaṣṭiḥ	A	atyaṣṭi
praṣṭiḥ	A	praṣṭi
tvaṣṭiḥ	A	tvaṣṭi
ṣaṣṭiḥ	A	ṣaṣṭi
apāṣṭiḥ	A	apāṣṭi
diṣṭiḥ	A	diṣṭi
riṣṭiḥ	A	riṣṭi
ariṣṭiḥ	A	ariṣṭi
pariṣṭiḥ	A	pariṣṭi
apariṣṭiḥ	A	apariṣṭi
kliṣṭiḥ	A	kliṣṭi
ṣliṣṭiḥ	A	ṣliṣṭi
viṣṭiḥ	A	viṣṭi
niviṣṭiḥ	A	niviṣṭi
ṣiṣṭiḥ	A	ṣiṣṭi
praṣiṣṭiḥ	A	praṣiṣṭi
anuṣiṣṭiḥ	A	anuṣiṣṭi
parīṣṭiḥ	A	parīṣṭi
tuṣṭiḥ	A	tuṣṭi
pratuṣṭiḥ	A	pratuṣṭi
parituṣṭiḥ	A	parituṣṭi
santuṣṭiḥ	A	santuṣṭi
duṣṭiḥ	A	duṣṭi
puṣṭiḥ	A	puṣṭi
vipuṣṭiḥ	A	vipuṣṭi
muṣṭiḥ	A	muṣṭi
vyuṣṭiḥ	A	vyuṣṭi
ruṣṭiḥ	A	ruṣṭi
ṣruṣṭiḥ	A	ṣruṣṭi
kṛṣṭiḥ	A	kṛṣṭi
ākṛṣṭiḥ	A	ākṛṣṭi
gṛṣṭiḥ	A	gṛṣṭi
ṅṛṣṭiḥ	A	nṛṣṭi
āḍṛṣṭiḥ	A	āḍṛṣṭi
dṛṣṭiḥ	A	dṛṣṭi
adṛṣṭiḥ	A	adṛṣṭi
ādṛṣṭiḥ	A	ādṛṣṭi
upadṛṣṭiḥ	A	upadṛṣṭi
lohitāntargatādṛṣṭiḥ	N	lohitāntargatādṛṣṭi
pṛṣṭiḥ	A	pṛṣṭi
spṛṣṭiḥ	A	spṛṣṭi
aspṛṣṭiḥ	A	aspṛṣṭi
bhṛṣṭiḥ	A	bhṛṣṭi
mṛṣṭiḥ	A	mṛṣṭi
pramṛṣṭiḥ	A	pramṛṣṭi
vṛṣṭiḥ	A	vṛṣṭi
āvṛṣṭiḥ	A	āvṛṣṭi
anāvṛṣṭiḥ	A	anāvṛṣṭi
ativṛṣṭiḥ	A	ativṛṣṭi
sṛṣṭiḥ	A	sṛṣṭi
saṃsṛṣṭiḥ	A	sansṛṣṭi
visṛṣṭiḥ	A	visṛṣṭi
anusṛṣṭiḥ	A	anusṛṣṭi
utsṛṣṭiḥ	A	utsṛṣṭi
hṛṣṭiḥ	A	hṛṣṭi
paryeṣṭiḥ	A	paryeṣṭi
putreṣṭiḥ	I	putreṣṭi
aveṣṭiḥ	A	aveṣṭi
paroṣṭiḥ	A	paroṣṭi
mārṣṭiḥ	A	mārṣṭi
paṭhiḥ	A	paṭhi
saṭhiḥ	A	saṭhi
irimbiṭhiḥ	A	irimbiṭhi
kuṭhiḥ	A	kuṭhi
meṭhiḥ	A	meṭhi
luṅṭhiḥ	A	lunṭhi
ṣuṅṭhiḥ	A	ṣunṭhi
aṣṭhiḥ	A	aṣṭhi
anuṣṭhiḥ	A	anuṣṭhi
