headword_iast	source_code	form_key	in_union	union_dicts
anākarṅitakena		anākarnitakena	1	PWK SCH
parikrāmitakena	M	parikrāmitakena	1	MW
apavāritakena	R	apavāritakena	1	AP MW PWK
sāmantakena	M	sāmantakena	1	MW
sarvātmakena	M	sarvātmakena	1	MW
ciratarakena	H	ciratarakena	1	BHS
antikena	M	antikena	1	MW PD
nirviśaṅkena	M	nirviśankena	1	MW
mukhena	M	mukhena	1	MW
sukhasukhena	M	sukhasukhena	1	AP MW
avibhāgena	M	avibhāgena	1	MW
bhāgānubhāgena	M	bhāgānubhāgena	1	CAE MW
yogena	M	yogena	1	MW
kramayogena	M	kramayogena	1	AP MW
daivayogena	M	daivayogena	1	MW
yathāyogena		yathāyogena	1	MW PWG PWK
niyogena	M	niyogena	1	MW
asaṅgena	M	asangena	1	MW
niḥsaṅgena	M	niḥsangena	1	MW
prasaṅgena	M	prasangena	1	AP MW
kathāprasaṅgena	M	kathāprasangena	1	MW
prasaṅgānusaṅgena	M	prasangānusangena	1	MW PWK SCH
akāraṅena	M	akāranena	1	MW
sarvaprāṅena	M	sarvaprānena	1	MW
yathāprāṅena	M	yathāprānena	1	CAE MW PWK
dakṣiṅena		dakṣinena	1	AP CAE CCS MD MW PWG PWK SKD VCP
pradakṣiṅena		pradakṣinena	1	MW
prapañcena	M	prapancena	1	MW
atisajjena	S	atisajjena	0	
heṣṭena	H	heṣṭena	1	BHS
paripāṭhena	M	paripāṭhena	1	MW
bhūyiṣṭhena	M	bhūyiṣṭhena	1	MW
tena		tena	1	AP BHS CAE CCS INM MD MW PWG PWK SKD VCP
ṛtena	A	ṛtena	1	AP MW
yathāgatena	M	yathāgatena	1	MW
kṛtena		kṛtena	1	AP MW PWG PWK
advaitena	M	advaitena	1	MW
yathoktena	M	yathoktena	1	MW
samantena	M	samantena	1	MW
adhyantena		adhyantena	1	CAE CCS MD MW PD PWG PWK
nyantena		nyantena	1	MD MW PWK
ekāntena	M	ekāntena	1	AP MW
saṃkṣiptena	H	sankṣiptena	1	BHS MW
dhārāvartena	M	dhārāvartena	1	MW
muhūrtena	M	muhūrtena	1	MW
stena		stena	1	BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI
astena		astena	1	CAE MW PWK VCP
brahmastena		brahmastena	1	CAE CCS MW PWK
vācāstena		vācāstena	1	GRA MW PWG PWK
ādhistena	M	ādhistena	1	CAE MW VCP
avitathena	M	avitathena	1	MW
pāthena		pāthena	1	PWG PWK
avicchedena	M	avicchedena	1	MW
chandena	M	chandena	1	MW
dhena		dhena	1	BUR MW PWK SCH VCP
visṛṣṭadhena		visṛṣṭadhena	1	GRA MW PWG PWK
viśvadhena		viśvadhena	1	CAE CCS GRA MW PWG PWK
sāmidhena		sāmidhena	1	CAE MD MW PWG PWK
asaṃrodhena	R	asanrodhena	1	MW
pratiskandhena	R	pratiskandhena	0	
śarīrabandhena	M	śarīrabandhena	1	MW
nirbandhena	M	nirbandhena	1	MW
atinirbandhena	R	atinirbandhena	0	
anena		anena	1	AP BUR CAE GRA MW PD PWG PWK
siṃhāvalokanena	M	sinhāvalokanena	1	MW
jaghanena		jaghanena	1	CAE CCS MD MW PWG PWK
bhājanena	M	bhājanena	1	MW
vanena	I	vanena	0	
praḍānena	A	praḍānena	0	
nidānena	M	nidānena	1	MW
vyavadhānena	M	vyavadhānena	1	MW
yathāvidhānena	G	yathāvidhānena	1	CAE MW PWG
yathāvibhavamānena	M	yathāvibhavamānena	1	MW PWK
avighnena	M	avighnena	1	MW
nirvighnena	M	nirvighnena	1	MW
ayatnena	M	ayatnena	1	MW
sarvaprayatnena	M	sarvaprayatnena	1	MW
sarvayatnena	M	sarvayatnena	1	MW
alpena	M	alpena	1	AP MW
vikalpena	M	vikalpena	1	MW
phena		phena	1	MD MW PWG PWK VCP
aphena		aphena	1	AP BUR CAE CCS MD MW PWG PWK VCP
dugdhaphena		dugdhaphena	1	MW PWG PWK VCP
śyāmaphena		śyāmaphena	1	MW PWG PWK
samudraphena	S	samudraphena	1	MW PWK
jalaphena		jalaphena	1	MW PWK
saphena		saphena	1	CAE MW PWK
phaṅiphena	S	phaniphena	1	MW PWG PWK
abdhiphena		abdhiphena	1	MW PWG PWK VCP
vārdhiphena		vārdhiphena	1	MW PWK
niphena		niphena	1	MW PWG PWK
ahiphena		ahiphena	1	PWG
suphena		suphena	1	BUR MW PWG PWK VCP
niṣphena		niṣphena	1	AP CAE CCS MW PWG PWK VCP
avilambena	M	avilambena	1	AP MW
bhena		bhena	1	BUR MW PWG PWK
upakumbhena	M	upakumbhena	1	MW
mena		mena	1	MW PWG PWK
amena		amena	1	AP CAE GRA MW PWG PWK
ciratamena	M	ciratamena	1	MW
niyamena	M	niyamena	1	MW
kāmena	M	kāmena	1	AP MW
paścimena	M	paścimena	1	MW
pratilomena	M	pratilomena	1	MW
yena		yena	1	AP BHS CAE CCS MD MW PWG PWK
praṅayena	M	pranayena	1	MW
pariṅayena	M	parinayena	1	MW
arghāpacayena	M	arghāpacayena	1	MW
niścayena	M	niścayena	1	MW
katipayena		katipayena	1	MW PWK
viparyayena	M	viparyayena	1	MW
atiśayena	M	atiśayena	1	MW
nirupāyena	H	nirupāyena	1	BHS
nyāyena	M	nyāyena	1	MW
gobalīvardanyāyena	M	gobalīvardanyāyena	1	MW
siṃhāvalokananyāyena	M	sinhāvalokananyāyena	1	MW
śukanalikānyāyena	M	śukanalikānyāyena	1	MW
chattrinyāyena		chattrinyāyena	1	PWK
kākākṣinyāyena	M	kākākṣinyāyena	1	MW
tṛtīyena	M	tṛtīyena	1	MW
yobhūyena	H	yobhūyena	1	BHS
yathāmukhyena		yathāmukhyena	1	MW PWG PWK
yathāsaṃkhyena	G	yathāsankhyena	1	MW PWG PWK
bhāgyena	M	bhāgyena	1	MW
atarapaṅyena	M	atarapanyena	1	MW
naipuṅyena	M	naipunyena	1	MW
nāṭyena	M	nāṭyena	1	MW
sausṭyena	A	sausṭyena	0	
sāhityena	M	sāhityena	1	MW
styena		styena	1	BUR MW PWG PWK VCP
tathyena	M	tathyena	1	AP MW
yathātathyena	G	yathātathyena	1	AP MW PWG PWK
yāthātathyena	M	yāthātathyena	1	MW
tādarthyena	M	tādarthyena	1	MW
yaugapadyena	B	yaugapadyena	1	BUR MW
madhyena	H	madhyena	1	BHS MW
anyena	H	anyena	1	BHS
prādhānyena	M	prādhānyena	1	MW
paunaḥpunyena	M	paunaḥpunyena	1	MW
kārtsnyena	M	kārtsnyena	1	MW
tāratamyena	M	tāratamyena	1	MW
yāmyena	M	yāmyena	1	MW
pratyātmyena	R	pratyātmyena	1	AP MW
sākalyena	M	sākalyena	1	MW
bāhulyena	M	bāhulyena	1	MW
apasavyena	M	apasavyena	1	MW
śyena		śyena	1	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI
ekaikaśyena	M	ekaikaśyena	1	AP MW
kṣipraśyena		kṣipraśyena	1	MW PWG PWK VEI
śyenāśvaśyena		śyenāśvaśyena	1	MW PWK
pārihāsyena	M	pārihāsyena	1	MW
bāhyena	M	bāhyena	1	AP MW
karena	A	karena	0	
lena	H	lena	1	BHS
alena	H	alena	1	BHS
kuśalena	M	kuśalena	1	MW
kālena	M	kālena	1	MW
akhilena	G	akhilena	1	MW PWG
nikhilena	M	nikhilena	1	AP MW
vena		vena	1	BUR CAE CCS MD MW PWG PWK SKD VCP
mallavena	M	mallavena	1	MW
bhāvena	M	bhāvena	1	MW
vivena		vivena	1	GRA MW PWG PWK
yāvajjīvena		yāvajjīvena	1	CAE MW PWK
suvena		suvena	1	MW PWG PWK
svapratinidhitvena	M	svapratinidhitvena	1	MW
pṛthaktvena	M	pṛthaktvena	1	MW
tattvena	M	tattvena	1	AP MW
bhūyastvena	M	bhūyastvena	1	MW
dvaṃdvena	M	dvandvena	1	MW
vipārśvena	R	vipārśvena	0	
iśena	G	iśena	1	PWG
īśena	G	īśena	1	PWG
ekāṃśena	H	ekānśena	1	BHS
samāṃśena	M	samānśena	1	MW
avakāśena	M	avakāśena	1	MW
uddeśena	M	uddeśena	1	MW
anirdeśena	R	anirdeśena	0	
viśvakśena	S	viśvakśena	1	SKD
indraṣena	P	indraṣena	0	
viśeṣena	M	viśeṣena	1	AP
udakṣena	I	udakṣena	0	
sena		sena	1	AP MD MW PWG PWK
tejaḥsena		tejaḥsena	1	MD MW PWG PWK
udakasena		udakasena	1	PWK
kanakasena		kanakasena	1	MW PWK
herambakasena		herambakasena	1	MW PWG PWK
pinākasena	M	pinākasena	1	MW PWK SCH
vaṅkasena		vankasena	1	MW PWG PWK
mṛgāṅkasena		mṛgānkasena	1	MW PWG PWK
subhagasena	G	subhagasena	1	PWG
nāgasena		nāgasena	1	MW PWG PWK
parityāgasena		parityāgasena	1	PWG PWK
bhogasena		bhogasena	1	MW PWG PWK
anaṅgasena		anangasena	1	PD PWG PWK
vaṅgasena		vangasena	1	MW PWG PWK VCP
sāṅgasena	M	sāngasena	1	MW
kaliṅgasena	P	kalingasena	0	
khaḍgasena		khaḍgasena	1	MW PWK
durgasena		durgasena	1	CAE MW PWG PWK
lakṣmaṅasena		lakṣmanasena	1	MW PWG PWK
rūpanārāyaṅasena	M	rūpanārāyanasena	1	MW
kalyāṅasena		kalyānasena	1	MW PWG PWK
suvarṅasena	H	suvarnasena	1	BHS
pūrṅasena	M	pūrnasena	1	MW
rājasena		rājasena	1	MW PWK
jajñasena	N	jajnasena	1	INM
yajñasena		yajnasena	1	CAE CCS INM MW PWG PWK VEI
yājñasena		yājnasena	1	CAE MW PWG PWK
śikhaṅḍinyājñasena	V	śikhanḍinyājnasena	1	VEI
paṭṭasena	I	paṭṭasena	0	
ariṣṭasena	N	ariṣṭasena	1	INM
śreṣṭhasena		śreṣṭhasena	1	MW PWG PWK
pracaṅḍasena		pracanḍasena	1	MW PWG PWK
daṅḍasena		danḍasena	1	INM MW PWG PWK VCP
gūḍhasena	P	gūḍhasena	0	
dṛḍhasena		dṛḍhasena	1	INM MW PWG PWK VCP
dhṛḍhasena	I	dhṛḍhasena	0	
ṛtasena		ṛtasena	1	MW PWG PWK
bharatasena		bharatasena	1	MW PWG PWK
śatasena	I	śatasena	0	
nihatasena	M	nihatasena	1	MD MW
jātasena		jātasena	1	MW PWG PWK
ajitasena	H	ajitasena	1	BHS PD
mānitasena		mānitasena	1	MW PWG PWK
haritasena		haritasena	1	MW PWG PWK
iṣitasena		iṣitasena	1	MW PWK
vihitasena		vihitasena	1	MW PWG PWK
pratītasena		pratītasena	1	MW PWG PWK
vinītasena		vinītasena	1	MW PWG PWK
śrutasena		śrutasena	1	CAE CCS INM MW PWG PWK VEI
dhṛtasena	N	dhṛtasena	1	INM
vaitasena		vaitasena	1	MW PWG PWK
vimuktasena		vimuktasena	1	MW PWG PWK
yuktasena		yuktasena	1	MW PWG PWK
vasantasena		vasantasena	1	CAE MW PWG PWK
dāntasena	M	dāntasena	1	MW PWK
sudāntasena		sudāntasena	1	MW PWG PWK
śāntasena		śāntasena	1	MW PWG PWK
prāptasena	H	prāptasena	1	BHS
rathasena	N	rathasena	1	INM
viśvanāthasena	M	viśvanāthasena	1	MW
śivānandasena	M	śivānandasena	1	MW
pulindasena		pulindasena	1	MW PWK
mukundasena	M	mukundasena	1	MW
siddhasena		siddhasena	1	MW PWG PWK
buddhasena		buddhasena	1	MW PWG PWK
ayuddhasena		ayuddhasena	1	AP GRA MW PWG PWK
vṛddhasena		vṛddhasena	1	GRA MW PWG PWK
yavanasena		yavanasena	1	MW PWG PWK
jinasena		jinasena	1	MW PWG PWK
ratnasena		ratnasena	1	MW PWG PWK
upasena		upasena	1	BHS MW PWG PWK
pratāpasena		pratāpasena	1	PWG PWK
rūpasena		rūpasena	1	MW PWG PWK
herambasena	M	herambasena	1	MW
rabhasena	M	rabhasena	1	MW
rāsabhasena		rāsabhasena	1	MW PWG PWK
vikramasena		vikramasena	1	CAE MW PWG PWK
trivikramasena		trivikramasena	1	CAE CCS MW PWG PWK
kāmasena		kāmasena	1	MW PWG PWK
rāmasena	M	rāmasena	1	MW
bhīmasena		bhīmasena	1	CAE CCS INM MW PWG PWK VCP VEI
drumasena		drumasena	1	INM MW PWG PWK VCP
premasena		premasena	1	MW PWK
bhaimasena	V	bhaimasena	1	MW PWK SCH VEI
somasena		somasena	1	MW PWG PWK
padmasena		padmasena	1	MW PWG PWK
karmasena		karmasena	1	MW PWG PWK
dharmasena		dharmasena	1	MW PWG PWK
jayasena		jayasena	1	CAE CCS INM MW PWG PWK VCP
vijayasena		vijayasena	1	MW PWG PWK
dhanaṃjayasena	M	dhananjayasena	1	MW
akṣayasena		akṣayasena	1	PD PWG PWK
priyasena	H	priyasena	1	BHS MW PWK SCH
puṅyasena		punyasena	1	MW PWG PWK
bhaiṣajyasena		bhaiṣajyasena	1	BHS MW PWK
rājyasena		rājyasena	1	MW PWG PWK
satyasena		satyasena	1	INM MW PWG PWK
ādityasena		ādityasena	1	MW PWG PWK
vindhyasena		vindhyasena	1	MW PWG PWK
vīryasena		vīryasena	1	MW PWG PWK
sūryasena		sūryasena	1	MW PWG PWK
śaṃkarasena		śankarasena	1	MW PWG PWK
bhāskarasena	M	bhāskarasena	1	MW
śikharasena		śikharasena	1	MW PWK
nāgarasena		nāgarasena	1	MW PWK
uttarasena		uttarasena	1	PWG PWK
kandarasena	I	kandarasena	0	
sundarasena		sundarasena	1	MW PWG PWK
dharasena	G	dharasena	1	MW PWG PWK
lakṣmīdharasena	M	lakṣmīdharasena	1	MW
śrīdharasena		śrīdharasena	1	MW PWG PWK
varasena		varasena	1	PWG PWK
pravarasena		pravarasena	1	MW PWG PWK
indīvarasena	P	indīvarasena	0	
īśvarasena		īśvarasena	1	MW PWK
kumārasena		kumārasena	1	MW PWG PWK
vīrasena		vīrasena	1	BHS CAE CCS INM MW PWG PWK VCP
surasena	I	surasena	0	
karpūrasena		karpūrasena	1	MW PWG PWK
śūrasena		śūrasena	1	CAE CCS INM MW PWG PWK VCP
sūrasena		sūrasena	1	INM MW PWG PWK
śaurasena		śaurasena	1	CAE CCS MD MW PWG PWK
saurasena		saurasena	1	MW PWG PWK
cakrasena		cakrasena	1	MW PWG PWK
agrasena	M	agrasena	1	MW PD
ugrasena		ugrasena	1	BHS CAE CCS INM MW PWG PWK VCP VEI
vyāghrasena		vyāghrasena	1	MW PWG PWK
vajrasena		vajrasena	1	BHS MW PWG PWK
daṃṣṭrasena	H	danṣṭrasena	1	BHS
citrasena		citrasena	1	BHS CAE CCS GRA INM MW PWG PWK VCP
mitrasena		mitrasena	1	INM MW PWG PWK
putrasena		putrasena	1	MW PWK VEI
bhadrasena		bhadrasena	1	BHS CAE CCS MW PWG PWK VCP
samudrasena		samudrasena	1	INM MW PWG PWK
rudrasena		rudrasena	1	INM MW PWG PWK
indrasena		indrasena	1	BHS CAE CCS INM MW PWG PWK VCP
candrasena		candrasena	1	INM MW PWG PWK VCP
bhūrindrasena	I	bhūrindrasena	0	
purīndrasena		purīndrasena	1	MW PWK
prasena		prasena	1	BHS CAE CCS INM MW PWG PWK VCP
tāmrasena		tāmrasena	1	MW PWG PWK
maṅgalasena	H	mangalasena	1	BHS
nalasena		nalasena	1	MW PWK
balasena		balasena	1	BHS MW PWG PWK
kālasena		kālasena	1	PWK
ballālasena		ballālasena	1	PWG PWK
pravilasena		pravilasena	1	MW PWG PWK
hastimallasena	M	hastimallasena	1	MW
trillasena	G	trillasena	1	MW PWG PWK
pravillasena		pravillasena	1	MW PWK
javasena	I	javasena	0	
mādhavasena		mādhavasena	1	CAE CCS MW PWG PWK
bhāvasena	M	bhāvasena	1	MW
yuvasena		yuvasena	1	MW PWK
dhruvasena		dhruvasena	1	MW PWG PWK
devasena		devasena	1	CAE MW PWG PWK SCH
vāsudevasena	M	vāsudevasena	1	MW
sarvasena		sarvasena	1	CAE CCS GRA MW PWG PWK
sārvasena		sārvasena	1	MW PWG PWK
aśvasena		aśvasena	1	CAE CCS INM MW PWG PWK VCP
sadaśvasena		sadaśvasena	1	MW PWG PWK
viśvasena		viśvasena	1	INM MW PWG PWK
vṛṣasena		vṛṣasena	1	BHS CAE INM MW PWG PWK SCH
ukṣasena		ukṣasena	1	MW PWG PWK
kakṣasena		kakṣasena	1	INM MW PWG PWK VCP
yakṣasena		yakṣasena	1	MW PWG PWK
sasena	M	sasena	1	MW
śivadāsasena	M	śivadāsasena	1	MW
siṃhasena	N	sinhasena	1	INM MW PWG
vaidyanarasiṃhasena		vaidyanarasinhasena	1	MW PWG PWK
mahasena		mahasena	1	MW PWK
guhasena		guhasena	1	MW PWG PWK
rohasena		rohasena	1	CAE CCS MD MW PWG PWK
muktāsena		muktāsena	1	MD MW PWG PWK
samāsena	B	samāsena	1	BUR
aprayāsena	M	aprayāsena	1	MW
anāyāsena	M	anāyāsena	1	AP MW
pūrvābhyāsena	M	pūrvābhyāsena	1	MW
daṃṣṭrāsena		danṣṭrāsena	1	MW PWG PWK
mahāsena		mahāsena	1	BHS CAE CCS GRA INM MW PWG PWK VCP
caṅḍamahāsena		canḍamahāsena	1	MW PWG PWK SCH
bharaṅisena	M	bharanisena	1	MW PWK
rohiṅisena	M	rohinisena	1	MW PWK
atisena		atisena	1	MW PD PWG PWK
ratisena		ratisena	1	MW PWG PWK
śaktisena		śaktisena	1	MW PWG PWK
muktisena		muktisena	1	MW PWG PWK
avantisena		avantisena	1	MW PWK
kīrtisena		kīrtisena	1	MW PWG PWK
hastisena		hastisena	1	MW PWG PWK
asthisena	H	asthisena	1	BHS
nandisena		nandisena	1	INM MW PWK
bhūmisena		bhūmisena	1	MW PWG PWK VCP
kṛmisena		kṛmisena	1	MW PWG PWK SCH
harisena		harisena	1	MW PWG PWK
vārisena		vārisena	1	MW PWG PWK
girisena		girisena	1	MW PWG PWK
bhūrisena	I	bhūrisena	0	
ravisena		ravisena	1	MW PWK
śiṅgadharaṅīsena	M	śingadharanīsena	1	MW
lakṣmīsena		lakṣmīsena	1	MW PWG PWK
śrīsena		śrīsena	1	MW PWG PWK
pṛthusena		pṛthusena	1	MW PWG PWK VCP
bindusena		bindusena	1	CAE MW PWG PWK
madhusena		madhusena	1	MW PWG PWK
bhānusena		bhānusena	1	INM MW PWG PWK VCP
purusena	M	purusena	1	MW
susena		susena	1	MW PWG PWK
vasusena	S	vasusena	1	MW
bahusena	H	bahusena	1	BHS
nṛsena		nṛsena	1	MW PWG PWK VCP
udaksena		udaksena	1	MW PWG PWK
viśvaksena		viśvaksena	1	INM MW PWG PWK VCP
viṣvaksena		viṣvaksena	1	CAE CCS INM MW PWG PWK VCP VEI
śatabhiṣaksena		śatabhiṣaksena	1	MW PWG PWK
aśvayuksena		aśvayuksena	1	PWG PWK
dyumatsena		dyumatsena	1	CAE INM MW PWG PWK VCP
yatsena		yatsena	1	MW PWK
jayatsena		jayatsena	1	INM MW PWG PWK VCP
mahatsena		mahatsena	1	MW PWG PWK
bṛhatsena		bṛhatsena	1	CAE CCS INM MW PWG PWK VCP
tryahena	M	tryahena	1	MW
jaina		jaina	1	BUR CAE CCS MD MW PWG PWK VCP
staina		staina	1	BUR MW PWG PWK VCP
daina		daina	1	AP MW PWG PWK VCP
maina	I	maina	0	
styaina		styaina	1	MW PWG PWK
śyaina		śyaina	1	MW PWG PWK
śyenāśvaśyaina	M	śyenāśvaśyaina	1	MW PWK
vaina		vaina	1	BUR CAE CCS MD MW PWG PWK
siṃhasaina		sinhasaina	1	PWK
ekona		ekona	1	AP CAE CCS MD MW PWG PWK
mahāgona	P	mahāgona	0	
māghona		māghona	1	CAE CCS GRA MD MW PWG PWK
vātona	M	vātona	1	MW
atyantona	S	atyantona	0	
pāthona		pāthona	1	MW PWG PWK
pārthona	M	pārthona	1	MW PWK
pādona		pādona	1	CAE CCS MW PWK
ardhona		ardhona	1	BUR MW PWK
nona		nona	1	MD MW PWG PWK
śatapona	M	śatapona	1	MW
alpona	M	alpona	1	AP MW
yona	A	yona	1	AP
tiryagyona		tiryagyona	1	CAE MW PWG PWK
tairyagyona		tairyagyona	1	AP CAE CCS MD MW PWG PWK
syona		syona	1	AP BUR CAE CCS GRA MD MW PWG PWK VCP
aślona	G	aślona	1	AP MW PWG PWK
aṣlona	A	aṣlona	0	
māṣona	M	māṣona	1	MW PWG PWK
sona	H	sona	1	BHS
rasona		rasona	1	BUR CAE MW PWG PWK
stauna		stauna	1	CAE GRA MW PWG PWK
mauna		mauna	1	BHS BUR CAE CCS MD MW PWG PWK VCP VEI
amauna		amauna	1	MW PWK
gṛhītamauna	M	gṛhītamauna	1	MW
baddhamauna		baddhamauna	1	AP MW PWK
mānamauna	M	mānamauna	1	MW
haṃsamauna		hansamauna	1	MW PWG PWK
vimauna		vimauna	1	MW PWG PWK
aṅīcinmauna	V	anīcinmauna	1	VEI
yauna		yauna	1	AP CAE CCS INM MD MW PWG PWK VCP
agniyauna	M	agniyauna	1	MW PD
śauna		śauna	1	CAE CCS MD MW PWG PWK SCH
sauna		sauna	1	AP CAE CCS MD MW PWG PWK
akna		akna	1	MD PD PWG PWK
ākna		ākna	1	MW PWG PWK
samakna		samakna	1	MW PWK
nyakna		nyakna	1	MW PWG PWK
jānvakna	M	jānvakna	1	MW PWK SCH
dakṣiṅajānvakna	M	dakṣinajānvakna	1	MW
śakna		śakna	1	AP BUR MW PWG PWK
ṣakna	A	ṣakna	0	
jānvākna		jānvākna	1	MW PWK
śvikna		śvikna	1	CAE CCS MW PWG PWK VEI
vṛkna		vṛkna	1	AP BUR CAE CCS GRA MD MW PWG PWK VCP
śvaikna		śvaikna	1	CAE CCS MW PWG PWK VEI
pratīdarśaśvaikna	V	pratīdarśaśvaikna	1	VEI
jāmadagna		jāmadagna	1	CAE CCS MD MW PWG PWK
bārhadagna		bārhadagna	1	MW PWG PWK VCP
nagna		nagna	1	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP
anagna		anagna	1	GRA MD MW PD PWG PWK SCH VCP
mahānagna		mahānagna	1	BHS CAE MW PWG PWK
vinagna		vinagna	1	AP BHS MW PWK
dvirnagna	M	dvirnagna	1	MW PWK SCH
bhagna		bhagna	1	AP BUR CAE CCS MD MW PWG PWK VCP
abhagna	M	abhagna	1	MW
prāṅabhagna	N	prānabhagna	1	INM
kāṅḍabhagna		kānḍabhagna	1	MW PWK
dharmabhagna	M	dharmabhagna	1	MW PWK SCH
prabhagna	A	prabhagna	1	AP MW
samprabhagna	M	samprabhagna	1	MW
saṃprabhagna	R	sanprabhagna	0	
avabhagna	M	avabhagna	1	MW
niḥśeṣabhagna	M	niḥśeṣabhagna	1	MW
vyābhagna	M	vyābhagna	1	MW
paribhagna	R	paribhagna	1	CAE MW
vibhagna	R	vibhagna	1	MW PWG
adhobhagna		adhobhagna	1	PD PWK
udbhagna	M	udbhagna	1	CAE MW
svayambhagna	M	svayambhagna	1	MW
svayaṃbhagna		svayanbhagna	1	CAE CCS PWG PWK
sambhagna	N	sambhagna	1	INM MW
abhisaṃbhagna	R	abhisanbhagna	0	
abhisambhagna	M	abhisambhagna	1	MW
nirbhagna	R	nirbhagna	1	AP MW
nātinirbhagna		nātinirbhagna	1	MW PWK
vinirbhagna	R	vinirbhagna	1	MW
durbhagna		durbhagna	1	MW PWG PWK
magna		magna	1	AP BUR CAE CCS MD MW PWG PWK VCP
āmagna	R	āmagna	1	CAE MW
paṅkamagna		pankamagna	1	MW PWK
pramagna	A	pramagna	1	AP MW
jalamagna	M	jalamagna	1	MW
mahāmagna		mahāmagna	1	MW PWK
nimagna	B	nimagna	1	AP BUR CAE MW PWG VCP
astanimagna		astanimagna	1	AP MW PWK
vinimagna	R	vinimagna	1	MW
saṃnimagna	M	sannimagna	1	MW
ānemimagna	M	ānemimagna	1	MW
sammagna	M	sammagna	1	MW
saṃmagna	R	sanmagna	1	CAE
nirmagna	M	nirmagna	1	MW
lagna		lagna	1	AP BHS BUR CAE CCS MD MW PWG PWK VCP
alagna	A	alagna	1	AP MW VCP
ālagna	R	ālagna	1	AP CAE MW
saṃlagna	S	sanlagna	1	AP CAE MW VCP
ghaṭikalagna		ghaṭikalagna	1	MW PWG PWK
paṅkalagna		pankalagna	1	MW PWK
mṛtaṅgalagna	M	mṛtangalagna	0	
caraṅalagna	M	caranalagna	1	MW PWK SCH
kaṅṭhalagna	M	kanṭhalagna	1	AP MW
pṛṣṭhalagna		pṛṣṭhalagna	1	AP MW PWK
daṅḍalagna	H	danḍalagna	1	BHS
astalagna		astalagna	1	MW PWK
pādalagna		pādalagna	1	AP CAE CCS MW PWK SCH
tribhonalagna		tribhonalagna	1	MW PWG PWK
upalagna	H	upalagna	1	BHS
śubhalagna		śubhalagna	1	CAE CCS MW PWK
kumbhalagna	M	kumbhalagna	1	MW
janmalagna		janmalagna	1	MW PWG PWK
madhyalagna		madhyalagna	1	MW PWG PWK
pralagna	H	pralagna	1	BHS
valagna	B	valagna	1	BUR MW SCH
avalagna		avalagna	1	AP BUR CAE MD MW PWG PWK SCH VCP
siṃhalagna	M	sinhalagna	1	MW
samālagna	R	samālagna	1	MW
yatilagna		yatilagna	1	MW PWK
abhilagna	H	abhilagna	1	BHS
śakrābhilagna	H	śakrābhilagna	1	BHS
parilagna	M	parilagna	1	CAE MW
vilagna		vilagna	1	AP BUR CAE MW PWK VCP
tīravilagna	M	tīravilagna	1	MW
kulagna	M	kulagna	1	MD MW PWK SCH
madhulagna		madhulagna	1	MW PWG PWK VCP
anulagna	B	anulagna	1	AP BUR CAE MW PD
sulagna		sulagna	1	MW PWK
prāglagna		prāglagna	1	MW PWK
ullagna	M	ullagna	1	MW
saumāgna		saumāgna	1	MW PWK
raudrāgna		raudrāgna	1	MW PWG PWK
aindrāgna		aindrāgna	1	AP INM MW PWG PWK VCP
vigna		vigna	1	AP BUR MW PWG PWK
avigna		avigna	1	BUR MW PWG PWK VCP
āvigna		āvigna	1	AP BUR CAE MW PWG PWK VCP
saṃvigna	R	sanvigna	1	AP CAE MW VCP
susaṃvigna		susanvigna	1	CAE MW PWK
samāvigna	R	samāvigna	1	CAE MW
vivigna	R	vivigna	1	AP CAE MW
udvigna	S	udvigna	1	AP CAE MD MW PWG VCP
anudvigna		anudvigna	1	AP CAE MW PD PWK VCP
samudvigna	M	samudvigna	1	MW
nirudvigna		nirudvigna	1	AP BUR CAE CCS MW PWG PWK
prodvigna	A	prodvigna	1	AP MW
bhugna		bhugna	1	AP BUR CAE CCS MD MW PWG PWK SCH VCP
abhugna	H	abhugna	1	AP BHS MW
ābhugna		ābhugna	1	AP CAE MD MW PWK VCP
prabhugna	M	prabhugna	1	MW
avabhugna	R	avabhugna	1	AP MW
vyābhugna	M	vyābhugna	1	CAE MW
paribhugna	A	paribhugna	1	AP MW
vibhugna	H	vibhugna	1	AP BHS MW
sambhugna	M	sambhugna	1	MW
nirbhugna	R	nirbhugna	1	AP MW
rugna		rugna	1	AP CAE CCS MD MW PWG PWK VCP
arugna		arugna	1	AP CAE GRA MW PWG PWK SCH VCP
lugna	H	lugna	1	BHS
pralugna	H	pralugna	1	BHS
ghna		ghna	1	AP BUR CAE CCS GRA MD MW PWG PWK
sāraṅikaghna		sāranikaghna	1	MW PWG PWK
muṣṭikaghna		muṣṭikaghna	1	MW PWK
prajāpatimakhaghna	N	prajāpatimakhaghna	1	INM
bhagaghna		bhagaghna	1	INM MW PWG PWK VCP
vegaghna		vegaghna	1	MW PWK
rogaghna		rogaghna	1	AP CAE CCS MW PWG PWK VCP
pāṅḍurogaghna	M	pānḍurogaghna	1	MW
durgaghna		durgaghna	1	MW PWK
aghaghna	M	aghaghna	1	MW PD
brāhmaṅaghna		brāhmanaghna	1	CAE CCS MW PWG PWK
prāṅaghna		prānaghna	1	AP MW PWG PWK
