key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
vijYapti	vijn5apti	vijñapti	vijnapti	fiction	23750	328-2	SCH-fiction-3147_cases.xml	1
vijYAnakftsna	vijn5a1nakr2tsna	vijñānakṛtsna	vijnānakṛtsna	fiction	23753	328-2	SCH-fiction-3147_cases.xml	1
vijYAnanA	vijn5a1nana1	vijñānanā	vijnānanā	fiction	23754	328-2	SCH-fiction-3147_cases.xml	1
vijYAnAhAra	vijn5a1na1ha1ra	vijñānāhāra	vijnānāhāra	fiction	23757	328-3	SCH-fiction-3147_cases.xml	1
vijYApanIya	vijn5a1pani1ya	vijñāpanīya	vijnāpanīya	fiction	23758	328-3	SCH-fiction-3147_cases.xml	1
viwaNka	vit2an3ka	viṭaṅka	viṭanka	fiction	23762	328-3	SCH-fiction-3147_cases.xml	1
viwKadira	vit2khadira	viṭkhadira	viṭkhadira	fiction	23771	328-3	SCH-fiction-3147_cases.xml	1
viWapana	vit2hapana	viṭhapana	viṭhapana	fiction	23773	328-3	SCH-fiction-3147_cases.xml	1
viqaganDa	vid2agandha	viḍagandha	viḍagandha	fiction	23774	328-3	SCH-fiction-3147_cases.xml	1
vitaRqana	vitan2d2ana	vitaṇḍana	vitanḍana	fiction	23781	329-1	SCH-fiction-3147_cases.xml	1
vitata	vitata	vitata	vitata	fiction	23783	329-1	SCH-fiction-3147_cases.xml	1
vidagDaka	vidagdhaka	vidagdhaka	vidagdhaka	fiction	23801	329-1	SCH-fiction-3147_cases.xml	1
vidala	vidala	vidala	vidala	fiction	23806	329-2	SCH-fiction-3147_cases.xml	1
vidu	vidu	vidu	vidu	fiction	23812	329-2	SCH-fiction-3147_cases.xml	1
viDa	vidha	vidha	vidha	fiction	23843	329-3	SCH-fiction-3147_cases.xml	1
viDi	vidhi	vidhi	vidhi	fiction	23847	329-3	SCH-fiction-3147_cases.xml	1
vinayaviBaNga	Vinayavibhan3ga	vinayavibhaṅga	vinayavibhanga	fiction	23868	330-1	SCH-fiction-3147_cases.xml	1
vinAyaka	vina1yaka	vināyaka	vināyaka	fiction	23872	330-1	SCH-fiction-3147_cases.xml	1
vinipAta	vinipa1ta	vinipāta	vinipāta	fiction	23881	330-1	SCH-fiction-3147_cases.xml	1
vinibanDa	vinibandha	vinibandha	vinibandha	fiction	23884	330-1	SCH-fiction-3147_cases.xml	1
vinIlaka	vini1laka	vinīlaka	vinīlaka	fiction	23909	330-2	SCH-fiction-3147_cases.xml	1
vipadumaka	vipadumaka	vipadumaka	vipadumaka	fiction	23931	330-3	SCH-fiction-3147_cases.xml	1
vipUyaka	vipu1yaka	vipūyaka	vipūyaka	fiction	23950	331-1	SCH-fiction-3147_cases.xml	1
vipfzWI	vipr2s2t2hi1	vipṛṣṭhī	vipṛṣṭhī	fiction	23953	331-1	SCH-fiction-3147_cases.xml	0
vipratIsAra	viprati1sa1ra	vipratīsāra	vipratīsāra	fiction	23961	331-1	SCH-fiction-3147_cases.xml	1
vipravAdana	viprava1dana	vipravādana	vipravādana	fiction	23968	331-1	SCH-fiction-3147_cases.xml	1
vipravAsa	viprava1sa	vipravāsa	vipravāsa	fiction	23969	331-1	SCH-fiction-3147_cases.xml	1
viBajana	vibhajana	vibhajana	vibhajana	fiction	23988	331-2	SCH-fiction-3147_cases.xml	1
viBu	vibhu	vibhu	vibhu	fiction	23997	331-2	SCH-fiction-3147_cases.xml	1
viBUta	vibhu1ta	vibhūta	vibhūta	fiction	23999	331-3	SCH-fiction-3147_cases.xml	1
vimudra	vimudra	vimudra	vimudra	fiction	24027	332-1	SCH-fiction-3147_cases.xml	1
viyAtiman	viya1timan	viyātiman	viyātiman	fiction	24034	332-1	SCH-fiction-3147_cases.xml	1
virajastejaHsvara	Virajastejah2svara	virajastejaḥsvara	virajastejaḥsvara	fiction	24039	332-1	SCH-fiction-3147_cases.xml	1
viraletara	viraletara	viraletara	viraletara	fiction	24045	332-1	SCH-fiction-3147_cases.xml	1
virAj	vira1j	virāj	virāj	fiction	24054	332-2	SCH-fiction-3147_cases.xml	1
virADana	vira1dhana	virādhana	virādhana	fiction	24055	332-2	SCH-fiction-3147_cases.xml	1
