key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
UhApohasamarTa	u1ha1pohasamartha	ūhāpohasamartha	ūhāpohasamartha	fiction	8983	123-3	SCH-fiction-3147_cases.xml	0
fkzeSa	r2ks2es4a	ṛkṣeśa	ṛkṣeśa	fiction	8993	123a-1	SCH-fiction-3147_cases.xml	0
ekagraha	ekagraha	ekagraha	ekagraha	fiction	9060	124a-1	SCH-fiction-3147_cases.xml	0
ekajvAlI	ekajva1li1	ekajvālī	ekajvālī	fiction	9065	124a-2	SCH-fiction-3147_cases.xml	0
ekadfS	ekadr2s4	ekadṛś	ekadṛś	fiction	9077	124a-3	SCH-fiction-3147_cases.xml	0
eqavaRa	Ed2avan2a	eḍavaṇa	eḍavana	fiction	9238	127-1	SCH-fiction-3147_cases.xml	0
evaMyukta	evam2yukta	evaṃyukta	evanyukta	fiction	9269	127-2	SCH-fiction-3147_cases.xml	0
evaMsaMjYin	evam2sam2jn5in	evaṃsaṃjñin	evansanjnin	fiction	9278	127-3	SCH-fiction-3147_cases.xml	0
evamAyuzyaparyanta	evama1yus2yaparyanta	evamāyuṣyaparyanta	evamāyuṣyaparyanta	fiction	9290	127-3	SCH-fiction-3147_cases.xml	0
evaMpramuKa	evam2pramukha	evaṃpramukha	evampramukha	fiction	9293	127-3	SCH-fiction-3147_cases.xml	0
evaMBAgIya	evam2bha1gi1ya	evaṃbhāgīya	evambhāgīya	fiction	9295	127-3	SCH-fiction-3147_cases.xml	0
EcCantika	aicchantika	aicchantika	aicchantika	fiction	9308	128-1	SCH-fiction-3147_cases.xml	0
EhipaSyika	aihipas4yika	aihipaśyika	aihipaśyika	fiction	9337	128-3	SCH-fiction-3147_cases.xml	0
oGottIrRa	oghotti1rn2a	oghottīrṇa	oghottīrna	fiction	9342	128a-1	SCH-fiction-3147_cases.xml	0
oGopakaraRa	oghopakaran2a	oghopakaraṇa	oghopakarana	fiction	9343	128a-1	SCH-fiction-3147_cases.xml	0
ojApratyAhAriRI	Oja1pratya1ha1rin2i1	ojāpratyāhāriṇī	ojāpratyāhārinī	fiction	9348	128a-1	SCH-fiction-3147_cases.xml	0
OSIra	aus4i1ra	auśīra	auśīra	fiction	9420	129-3	SCH-fiction-3147_cases.xml	0
kakkiRqa	kakkin2d2a	kakkiṇḍa	kakkinḍa	fiction	9451	130-2	SCH-fiction-3147_cases.xml	0
kacavara	kacavara	kacavara	kacavara	fiction	9481	130-3	SCH-fiction-3147_cases.xml	0
kawapra	kat2apra	kaṭapra	kaṭapra	fiction	9516	131-1	SCH-fiction-3147_cases.xml	0
kawuSfNgAwa	kat2us4r2n3ga1t2a	kaṭuśṛṅgāṭa	kaṭuśṛngāṭa	fiction	9549	131-3	SCH-fiction-3147_cases.xml	0
kaWaSAWa	Kat2has4a1t2ha	kaṭhaśāṭha	kaṭhaśāṭha	fiction	9556	131-3	SCH-fiction-3147_cases.xml	0
